date,status,speaker,title,url,last_checked,language,type
2025-12-21,Success,Unknown Speaker,2025-Dec-21 Spoken Word Church Live Streaming,https://www.youtube.com/watch?v=osUUeFA4Cdo,2025-12-23,English,Full Sermon
2025-11-23,Success,Unknown Speaker,2025-Nov-23 Spoken Word Church Live Streaming,https://www.youtube.com/watch?v=8wpRtbUSRks,2025-12-23,English,Full Sermon
2025-11-13,No Transcript,Luis Urrego,25-1112 - The Eleventh Hour Workers (A Quick Powerful Work) - Luis Urrego,https://www.youtube.com/watch?v=W07rWtu8fJE,2025-12-23,Unknown,Full Sermon
2025-04-20,Success,Wade Dale,25-0420 - A Body Hast Thou Prepared Me - Wade Dale,https://www.youtube.com/watch?v=Uclebr-Sm1k,2025-12-23,English,Full Sermon
2025-04-06,Success,Unknown Speaker,2025-Apr-06 Spoken Word Church Live Streaming,https://www.youtube.com/watch?v=S_aYv2Pxh0c,2025-12-23,English,Full Sermon
2024-09-23,Success,Unknown Speaker,Celebrating the Life of Mary Kimani 1,https://www.youtube.com/watch?v=bvdYyQtxgb4,2025-12-23,English,Memorial Service
2024-06-29,Success,Unknown Speaker,24-0629 - Samuel Dale's Going Home Ceremony,https://www.youtube.com/watch?v=nSc8ZC6yJZM,2025-12-23,English,Full Sermon
2025-12-21,Success,Manuel Valencia,25-1221am - God's Presence - Manuel Valencia,https://www.youtube.com/watch?v=6Su_LdMm_2s,2025-12-23,English,Full Sermon
2025-12-17,Success,Manuel Valencia,25-1217 - A Limping Prince - Manuel Valencia,https://www.youtube.com/watch?v=_-_sp_N-dAs,2025-12-23,English,Full Sermon
2025-12-17,No Transcript,Unknown Speaker,2025 Christmas Program (Sunday School),https://www.youtube.com/watch?v=mNG9Ve2MQPs,2025-12-23,Unknown,Christmas Program
2025-12-14,Success,Wade Dale,25-1214am - Son of Man (Matthew 24 - The Seal Pt.2) - Wade Dale,https://www.youtube.com/watch?v=taPrO-_PP4A,2025-12-23,English,Full Sermon
2025-12-14,Success,Manuel Valencia,25-1214am - Sins Regression and Faiths Progression - Manuel Valencia,https://www.youtube.com/watch?v=3GXctPYH42c,2025-12-23,English,Full Sermon
2025-12-10,Success,Aaron Roberts,25-1210 - Time of Visitation - Aaron Roberts,https://www.youtube.com/watch?v=nOuFWc5AxQ0,2025-12-23,English,Full Sermon
2025-12-07,Success,Wade Dale,25-1207am - What A Gift - Wade Dale,https://www.youtube.com/watch?v=ZHqys6dblpI,2025-12-23,English,Full Sermon
2025-12-07,Success,Manuel Valencia,25-1207am - Dressed in His Word - Manuel Valencia,https://www.youtube.com/watch?v=o7XoVcQu-qY,2025-12-23,English,Full Sermon
2025-12-03,Success,Luis Urrego,25-1203 - When Grace Rolls Away The Shame - Luis Urrego,https://www.youtube.com/watch?v=MvLZACRbIvk,2025-12-23,English,Full Sermon
2025-11-30,Success,Wade Dale,25-1130am - Son of Man (Matthew 24 - The Seals) - Wade Dale,https://www.youtube.com/watch?v=SCwylj55uIo,2025-12-23,English,Full Sermon
2025-11-30,Success,Manuel Valencia,25-1130am - He Will Joy Over Thee - Manuel Valencia,https://www.youtube.com/watch?v=xUluQOhWUKQ,2025-12-23,English,Full Sermon
2025-11-30,Success,Manuel Valencia,25-1123am - Resting in God in a Restless World - Manuel Valencia,https://www.youtube.com/watch?v=yaElzLj3F7k,2025-12-23,English,Full Sermon
2025-11-25,Success,Aaron Roberts,25-1126 - Following God's Program - Aaron Roberts,https://www.youtube.com/watch?v=-wrJbfIKcsk,2025-12-23,English,Full Sermon
2025-11-23,Success,Tim Cross,25-1123am - To Whom Shall We Go - Tim Cross,https://www.youtube.com/watch?v=ZB33BGqg_lA,2025-12-23,English,Full Sermon
2025-11-19,Success,Markus Becker,25-1119 - The Right and Wrong Perception - Markus Becker,https://www.youtube.com/watch?v=SaZgy631V30,2025-12-23,English,Full Sermon
2025-11-16,Success,Luis Urrego,25-1112 - The Eleventh Hour Workers (A Quick Powerful Work) - Luis Urrego,https://www.youtube.com/watch?v=89chMLYo0wg,2025-12-23,English,Full Sermon
2025-11-16,No Transcript,Stephen Wilson,25-1116 - This is That - Stephen Wilson,https://www.youtube.com/watch?v=AB-Lk6OjqPo,2025-12-23,Unknown,Full Sermon
2025-11-16,No Transcript,Manuel Valencia,25-1116am - New Testament Prayers - Manuel Valencia,https://www.youtube.com/watch?v=75aau0mAEak,2025-12-23,Unknown,Full Sermon
