date,status,speaker,title,url,last_checked,language,type,description,duration,church,first_scraped,video_status,video_removed_date
2026-01-21,Success,Joseph Gordon,Bro. Joseph Gordon Where Would I Go from Your Presence,https://www.youtube.com/watch?v=1fOXZi-a9Wg,2026-01-26,Unknown,Full Sermon,,0,Arizona Believers Church,2026-01-26,available,
2026-01-18,Success,Isaac Hatfield,Bro. Isaac Hatfield It is Recognizing Time,https://www.youtube.com/watch?v=3A-y3eCirHo,2026-01-25,Unknown,Full Sermon,,0,Arizona Believers Church,2026-01-25,available,
2026-01-18,Success,,The Christian Mindset Pt. 1,https://www.youtube.com/watch?v=Ora7Kmx2BCk,2026-01-25,English,Church Service,"The Christian Mindset Pt. 1 Sunday Service: January 18, 2026 Arizona Believers Church https://azbelievers.com/ --- Backup Live Stream: https://azbelievers.com/live-streaming/",77,Arizona Believers Church,2026-01-19,available,
2026-01-14,Success,,All Things Common Pt. 2,https://www.youtube.com/watch?v=VI84zxIXs3k,2026-01-22,English,Church Service,"All Things Common Pt. 2 Wednesday Service: January 14, 2026 Arizona Believers Church https://azbelievers.com/ --- Backup Live Stream: https://azbelievers.com/live-streaming/",55,Arizona Believers Church,2026-01-16,available,
2026-01-11,Success,,All Things Common Pt. 1,https://www.youtube.com/watch?v=FIgo2kbZpes,2026-01-18,English,Church Service,"All Things Common Pt. 1 Sunday Service: January 11, 2026 Arizona Believers Church https://azbelievers.com/ --- Backup Live Stream: https://azbelievers.com/live-streaming/",63,Arizona Believers Church,2026-01-15,available,
2025-02-23,No Transcript,Paul LaFontaine,"Bro. Paul LaFontaine: Lord, Teach Us To Pray",https://www.youtube.com/watch?v=N9Ow9Hd1V6c,2026-01-15,Unknown,Church Service,"Bro. Paul LaFontaine: Lord, Teach Us To Pray Sunday Service: February 23, 2025 Arizona Believers Church https://azbelievers.com/ --- Backup Live Stream: https://azbelievers.com/live-streaming/",112,Arizona Believers Church,2026-01-15,available,
2024-12-01,No Transcript,,71 The Voice of Mercy Pt. 1,https://www.youtube.com/watch?v=OuXYmGqXaIo,2026-01-15,Unknown,Short Clip,"71 The Voice of Mercy Pt. 1 Sunday Service: December 1, 2024 Arizona Believers Church https://azbelievers.com/ --- Backup Live Stream: https://azbelievers.com/live-streaming/",59,Arizona Believers Church,2026-01-15,available,
Unknown Date,No Transcript,Gustav Panknin,Bro Gustav Panknin: The Pool of Bathesda,https://www.youtube.com/watch?v=Ruhx9oJ01N8,2026-01-15,Unknown,Church Service,,0,Arizona Believers Church,2026-01-15,available,
Unknown Date,No Transcript,Gustav Panknin,Bro. Gustav Panknin: Gideon the Mighty Warrior,https://www.youtube.com/watch?v=Gi3Tbka64Ss,2026-01-15,Unknown,Church Service,,0,Arizona Believers Church,2026-01-15,available,
2022-07-17,No Transcript,,08 Our Family Tree (One More Oasis),https://www.youtube.com/watch?v=TEnA-Qnh850,2026-01-15,Unknown,Church Service,"08 Our Family Tree (One More Oasis) Sunday Service: July 17, 2022 Arizona Believers Church https://azbelievers.com/",75,Arizona Believers Church,2026-01-15,available,
2022-06-19,No Transcript,,05 Our Family Tree (A Father's Business),https://www.youtube.com/watch?v=XHl9YF9xTLU,2026-01-15,Unknown,Church Service,"05 Our Family Tree (A Father's Business) Sunday Service: June 19, 2022 Arizona Believers Church https://azbelievers.com/",83,Arizona Believers Church,2026-01-15,available,
2022-01-12,No Transcript,,05 Talking About Practice,https://www.youtube.com/watch?v=SNadV6qAQ7w,2026-01-15,Unknown,Church Service,"05 Talking About Practice Wednesday Service: January 12, 2022 Arizona Believers Church https://azbelievers.com/",65,Arizona Believers Church,2026-01-15,available,
2022-01-09,No Transcript,,04 Talking About Practice,https://www.youtube.com/watch?v=1wD6LdEYuq4,2026-01-15,Unknown,Church Service,"04 Talking About Practice Sunday Service: January 9, 2022 Arizona Believers Church https://azbelievers.com/",88,Arizona Believers Church,2026-01-15,available,
