date,status,speaker,title,url,last_checked,language,type,description,duration,church,first_scraped,video_status,video_removed_date
2026-01-18,No Transcript,,BSWT LIVE,https://www.youtube.com/watch?v=9V2rRW-xaUQ,2026-01-22,Unknown,Church Service,,0,Believer's Spoken Word Tabernacle,2026-01-22,available,
2026-01-18,Success,Trevor Emond,Redemption in the Book of Revelation,https://www.youtube.com/watch?v=oubRTiOZN9I,2026-01-22,Unknown,Full Sermon,,0,Believer's Spoken Word Tabernacle,2026-01-22,available,
2026-01-18,Success,Trevor Emond,"That Which I Do, I Allow Not - Trevor Emond",https://www.youtube.com/watch?v=d1mkAacVfzs,2026-01-22,English,Church Service,,156,Believer's Spoken Word Tabernacle,2026-01-18,available,
2026-01-12,Success,,BSWT LIVE,https://www.youtube.com/watch?v=aZ9rUWOqcIo,2026-01-22,Unknown,Full Sermon,,0,Believer's Spoken Word Tabernacle,2026-01-22,available,
2025-12-28,No Transcript,Samuel Browning,Embracing Deity - Part 2 - Samuel Browning,https://www.youtube.com/watch?v=SZBPMA3fWso,2026-01-15,Unknown,Church Service,,154,Believer's Spoken Word Tabernacle,2026-01-15,available,
2025-12-11,No Transcript,Samuel Browning,Love's Confidence - 1 - Samuel Browning,https://www.youtube.com/watch?v=dZHWpmXd4Ew,2026-01-15,Unknown,Church Service,,123,Believer's Spoken Word Tabernacle,2026-01-15,available,
2025-11-16,No Transcript,Samuel Browning,The Fellowship of The Mystery - 1 - Samuel Browning,https://www.youtube.com/watch?v=GiqZfzpHQGs,2026-01-15,Unknown,Church Service,,144,Believer's Spoken Word Tabernacle,2026-01-15,available,
2025-11-09,No Transcript,Alexander Magoulas,Seeing Him Who Is Invisible - Alexander Magoulas,https://www.youtube.com/watch?v=xYqM-HjPXuI,2026-01-15,Unknown,Church Service,,142,Believer's Spoken Word Tabernacle,2026-01-15,available,
2025-10-23,No Transcript,Samuel Browning,The Brotherhood - 2 - Samuel Browning,https://www.youtube.com/watch?v=FM4lyk09npc,2026-01-15,Unknown,Church Service,,128,Believer's Spoken Word Tabernacle,2026-01-15,available,
2025-10-19,No Transcript,Samuel Browning,Fully Consecrated to the Word by the Spirit - 4 - Samuel Browning,https://www.youtube.com/watch?v=v-6HghgYjo4,2026-01-15,Unknown,Church Service,,148,Believer's Spoken Word Tabernacle,2026-01-15,available,
