date,status,speaker,title,url,last_checked,language,type,description,duration,church,first_scraped,video_status,video_removed_date
2026-01-11,Success,Chris Take When Water Pours Wine,Sermon Clip 260111,https://www.youtube.com/watch?v=kcPMF_Cbca8,2026-01-20,Unknown,Full Sermon,,0.0,Believers Christian Fellowship,2026-01-20,available,
2026-01-11,No Transcript,Chris Take,260111 - Chris Take: When Water Pours Wine,https://www.youtube.com/watch?v=WLCuSA61DAI,2026-01-19,Unknown,Church Service,"Messages and sermon notes from church services at Believers Christian Fellowship, and other information, can be found on the BCF website, http://www.bcfellowship.org​​​​​​​.",107.0,Believers Christian Fellowship,2026-01-19,available,
2026-01-07,Success,Chad Lamb Our Discernment,Sermon Clip 260107,https://www.youtube.com/watch?v=XD69y2_iiik,2026-01-16,Unknown,Full Sermon,,0.0,Believers Christian Fellowship,2026-01-16,available,
2025-12-23,No Transcript,Chad Lamb,251223 - Chad Lamb: Emmanuel,https://www.youtube.com/watch?v=7g1NF6hOWCk,2026-01-15,Unknown,Church Service,"Messages and sermon notes from church services at Believers Christian Fellowship, and other information, can be found on the BCF website, http://www.bcfellowship.org​​​​​​​.",99.0,Believers Christian Fellowship,2026-01-15,available,
2025-12-03,No Transcript,Chad Lamb,251203 - Chad Lamb: Receiving the Book of Redemption,https://www.youtube.com/watch?v=c4h8eyz16ts,2026-01-15,Unknown,Church Service,"Messages and sermon notes from church services at Believers Christian Fellowship, and other information, can be found on the BCF website, http://www.bcfellowship.org​​​​​​​.",111.0,Believers Christian Fellowship,2026-01-15,available,
2025-11-22,No Transcript,Unknown Speaker,251122 - Chad Lamb: Celebrating the Life of Nancy Morrow,https://www.youtube.com/watch?v=TheXtLMcjTk,2026-01-15,Unknown,Memorial Service,"Messages and sermon notes from church services at Believers Christian Fellowship, and other information, can be found on the BCF website, http://www.bcfellowship.org​​​​​​​.",77.0,Believers Christian Fellowship,2026-01-15,available,
2025-11-16,No Transcript,Jason Demars,251116 - Jason DeMars: The Mystery of Hidden Wisdom,https://www.youtube.com/watch?v=s6TeUgOSGyg,2026-01-15,Unknown,Church Service,"Messages and sermon notes from church services at Believers Christian Fellowship, and other information, can be found on the BCF website, http://www.bcfellowship.org​​​​​​​.",151.0,Believers Christian Fellowship,2026-01-15,available,
2025-09-14,No Transcript,Chad Lamb,250914 - Chad Lamb: The Messenger of the Seventh Seal,https://www.youtube.com/watch?v=6_vmu2QXAk4,2026-01-15,Unknown,Church Service,"Messages and sermon notes from church services at Believers Christian Fellowship, and other information, can be found on the BCF website, http://www.bcfellowship.org​​​​​​​.",154.0,Believers Christian Fellowship,2026-01-15,available,
2025-08-06,No Transcript,Chad Lamb,250806 - Chad Lamb: A Message From the Holy Spirit - Part 1,https://www.youtube.com/watch?v=qvEa_ucVKWg,2026-01-15,Unknown,Church Service,"Messages and sermon notes from church services at Believers Christian Fellowship, and other information, can be found on the BCF website, http://www.bcfellowship.org​​​​​​​.",124.0,Believers Christian Fellowship,2026-01-15,available,
2025-08-03,No Transcript,Chad Lamb,250803 - Chad Lamb: There Must Come an Ephesians,https://www.youtube.com/watch?v=ioMGEogOAoU,2026-01-15,Unknown,Church Service,"Messages and sermon notes from church services at Believers Christian Fellowship, and other information, can be found on the BCF website, http://www.bcfellowship.org​​​​​​​.",152.0,Believers Christian Fellowship,2026-01-15,available,
2025-06-22,No Transcript,Chad Lamb,250622 - Chad Lamb: Being Identified As a Child of God,https://www.youtube.com/watch?v=ROnfgho0xAM,2026-01-15,Unknown,Church Service,"Messages and sermon notes from church services at Believers Christian Fellowship, and other information, can be found on the BCF website, http://www.bcfellowship.org​​​​​​​.",147.0,Believers Christian Fellowship,2026-01-15,available,
2025-06-15,No Transcript,Chad Lamb,250615 - Chad Lamb: The Blessing of a Father,https://www.youtube.com/watch?v=1RfwCnp9g8M,2026-01-15,Unknown,Church Service,"Messages and sermon notes from church services at Believers Christian Fellowship, and other information, can be found on the BCF website, http://www.bcfellowship.org​​​​​​​.",155.0,Believers Christian Fellowship,2026-01-15,available,
2025-06-11,No Transcript,Tony Murray,250611 - Tony Murray: The Text and the Context,https://www.youtube.com/watch?v=4W55eQDQ2EU,2026-01-15,Unknown,Church Service,"Messages and sermon notes from church services at Believers Christian Fellowship, and other information, can be found on the BCF website, http://www.bcfellowship.org​​​​​​​.",102.0,Believers Christian Fellowship,2026-01-15,available,
2025-04-02,No Transcript,Gabriel Smith,250402 - Gabriel Smith: Touched,https://www.youtube.com/watch?v=LW9vjUFCbiU,2026-01-15,Unknown,Church Service,"Messages and sermon notes from church services at Believers Christian Fellowship, and other information, can be found on the BCF website, http://www.bcfellowship.org​​​​​​​.",120.0,Believers Christian Fellowship,2026-01-15,available,
2025-03-26,No Transcript,Chad Lamb,250326 - Chad Lamb: Peter's Perfection,https://www.youtube.com/watch?v=9fk9OX0hzhw,2026-01-15,Unknown,Church Service,"Messages and sermon notes from church services at Believers Christian Fellowship, and other information, can be found on the BCF website, http://www.bcfellowship.org​​​​​​​.",114.0,Believers Christian Fellowship,2026-01-15,available,
