date,status,speaker,title,url,last_checked,language,type,description,duration,church
2026-01-09,Success,Matthew Watkins,The Real Thing,https://www.youtube.com/watch?v=ZnLq1tHbZmI,2026-01-10,Unknown,Full Sermon,,,Bethel Tabernacle
2026-01-05,Success,Bro. Jason Watkins,"Sunday Service Demonology, The Spiritual Realm Pt. 4",https://www.youtube.com/watch?v=YGLpUcxxM8I,2026-01-10,Unknown,Full Sermon,,,Bethel Tabernacle
2026-01-04,Success,,(Adult Sunday School),https://www.youtube.com/watch?v=AnQZ2HO91-I,2026-01-10,English,Sunday School,(Adult Sunday School),35,Bethel Tabernacle
2026-01-01,Success,Jason Watkins,"Demonology, The Spiritual Realm Pt. 3",https://www.youtube.com/watch?v=dz3eQVmw6lU,2026-01-10,Unknown,Full Sermon,,,Bethel Tabernacle
2025-12-28,Success,Bro. Jason Watkins,"Sunday Service Demonology, The Spiritual Realm Pt. 2",https://www.youtube.com/watch?v=q5PElQX9-_0,2026-01-10,Unknown,Full Sermon,,,Bethel Tabernacle
2025-12-28,Success,Unknown Speaker,(Adult Sunday School),https://www.youtube.com/watch?v=HccG68ZOWZI,2026-01-04,Unknown,Sunday School,,32,Bethel Tabernacle
2025-12-21,Success,Jason Watkins,The Wise Men's Journey -Bro Jason Watkins,https://www.youtube.com/watch?v=eH7Yq9jjgj8,2026-01-04,English,Church Service,,110,Bethel Tabernacle
2025-12-21,Success,Mathew Smith,Sunday School The Word Dynamo -Bro. Mathew Smith,https://www.youtube.com/watch?v=kAFhRI8WS0Y,2026-01-04,Unknown,Sunday School,,34,Bethel Tabernacle
2025-12-18,Success,Bro. Caleb Campbell,Elijah's Garment,https://www.youtube.com/watch?v=atwWMBd3t7s,2026-01-10,Unknown,Full Sermon,,,Bethel Tabernacle
2025-12-14,Success,Bro. Aaron McGeary,(Special Meetings) Building Bethel Pt. 2,https://www.youtube.com/watch?v=VBdcDt5WkPE,2026-01-10,Unknown,Full Sermon,,,Bethel Tabernacle
2025-12-13,Success,Unknown Speaker,Special Meetings,https://www.youtube.com/watch?v=2Ve-WI_1p0o,2026-01-04,English,Church Service,,126,Bethel Tabernacle
2025-12-07,No Transcript,Jason Watkins,"Sunday Service: Demonology, The Spiritual Realm- Bro. Jason Watkins",https://www.youtube.com/watch?v=nfdw3SK6Ndg,2026-01-04,Unknown,Church Service,"Demonology, The Spiritual Realm- Bro. Jason Watkins",112,Bethel Tabernacle
2025-12-07,Success,Mathew Smith,Sunday School The Road to Conquest Unity -Bro. Mathew Smith,https://www.youtube.com/watch?v=qSHW0vZ41SY,2026-01-04,Unknown,Sunday School,,34,Bethel Tabernacle
2025-12-04,Success,Unknown Speaker,Wednesday Service,https://www.youtube.com/watch?v=opzkbEU3RIA,2026-01-04,English,Church Service,,116,Bethel Tabernacle
2025-11-30,Success,Jason Watkins,Lucifer's Competing Claim Part 5,https://www.youtube.com/watch?v=j9G2bfItCuw,2026-01-10,Unknown,Full Sermon,,,Bethel Tabernacle
