date,status,speaker,title,url,last_checked,language,type,description,duration,church,first_scraped,video_status,video_removed_date
2026-01-25,Success,H. Simmons,Pastor H. Simmons The Authority of the Believer,https://www.youtube.com/watch?v=-j_ryQ-Za40,2026-01-26,Unknown,Full Sermon,,0.0,Bride Tabernacle of Columbia SC,2026-01-26,available,
2026-01-24,Success,H. Simmons,Pastor H. Simmons Faith Without Works is Dead,https://www.youtube.com/watch?v=p8JhnP_sV30,2026-01-26,Unknown,Full Sermon,,0.0,Bride Tabernacle of Columbia SC,2026-01-26,available,
2026-01-18,Success,,Minister E. Legette Choosing Faith Over Fear,https://www.youtube.com/watch?v=uc01sYh4cZI,2026-01-25,Unknown,Full Sermon,,0.0,Bride Tabernacle of Columbia SC,2026-01-25,available,
2026-01-17,Success,H. Simmons,Pastor H. Simmons Walking by Faith or Walking by Sight,https://www.youtube.com/watch?v=TQMi8iftfUM,2026-01-24,Unknown,Full Sermon,,0.0,Bride Tabernacle of Columbia SC,2026-01-24,available,
2026-01-11,Success,,Minister C. Simmons Rapturing Faith,https://www.youtube.com/watch?v=wtJKIU2m6VA,2026-01-26,Unknown,Full Sermon,,0.0,Bride Tabernacle of Columbia SC,2026-01-26,available,
2026-01-10,Success,Unknown Speaker,Minister E. Legette The Value of Christ,https://www.youtube.com/watch?v=VDdaCTJWMTo,2026-01-26,Unknown,Full Sermon,,0.0,Bride Tabernacle of Columbia SC,2026-01-26,available,
2025-10-19,No Transcript,H. Simmons,"Pastor H. Simmons: ""It's Already Done""   Subtopic: ""It's Finished""",https://www.youtube.com/watch?v=EWbZnma180o,2026-01-15,Unknown,Sunday School,Join us in person for: Bible Study Tuesday @ 7-8pm Sunday School Sunday 9:30 am  Virtual & In Person: Friday @ 7:30pm Sunday @ 10:30am,91.0,Bride Tabernacle of Columbia SC,2026-01-15,available,
2025-10-05,No Transcript,H. Simmons,"Pastor H. Simmons: ""Freedom of Choice""",https://www.youtube.com/watch?v=FT50cczEtgs,2026-01-15,Unknown,Sunday School,Join us in person for: Bible Study Tuesday @ 7-8pm Sunday School Sunday 9:30 am  Virtual & In Person: Friday @ 7:30pm Sunday @ 10:30am,98.0,Bride Tabernacle of Columbia SC,2026-01-15,available,
2025-10-04,No Transcript,,"Minister E. Legette: ""The Wake Up Call""",https://www.youtube.com/watch?v=SxlJYnnQ4CE,2026-01-15,Unknown,Sunday School,Join us in person for: Bible Study Tuesday @ 7-8pm Sunday School Sunday 9:30 am  Virtual & In Person: Friday @ 7:30pm Sunday @ 10:30am,73.0,Bride Tabernacle of Columbia SC,2026-01-15,available,
2025-09-19,No Transcript,C Simmons,"Bro. C. Simmons: ""Can God Have Confidence In You?""",https://www.youtube.com/watch?v=GqZtvyVWw4c,2026-01-15,Unknown,Sunday School,Join us in person for: Bible Study Tuesday @ 7-8pm Sunday School Sunday 9:30 am  Virtual & In Person: Friday @ 7:30pm Sunday @ 10:30am,2.0,Bride Tabernacle of Columbia SC,2026-01-15,available,
2025-09-13,No Transcript,,"Minister E. Legette: ""Human Ability""",https://www.youtube.com/watch?v=tjO-F5S_f5Q,2026-01-15,Unknown,Sunday School,Join us in person for: Bible Study Tuesday @ 7-8pm Sunday School Sunday 9:30 am  Virtual & In Person: Friday @ 7:30pm Sunday @ 10:30am,79.0,Bride Tabernacle of Columbia SC,2026-01-15,available,
2025-08-30,No Transcript,,Youth Service,https://www.youtube.com/watch?v=AQwsZP3Kj9c,2026-01-15,Unknown,Youth Service,Tent Revival  Tent Revival Services: Friday Night @ 7pm Saturday Morning Youth Service @ 10:30am Saturday Night @ 7pm Sunday Morning @ 10:30am,11.0,Bride Tabernacle of Columbia SC,2026-01-15,available,
2025-08-03,No Transcript,C Simmons,"Bro. C. Simmons: ""An Ear to Hear""  Subtopic: ""And the Faith to Believe""",https://www.youtube.com/watch?v=ZStVj-BmusA,2026-01-15,Unknown,Sunday School,Join us in person for: Bible Study Tuesday @ 7-8pm Sunday School Sunday 9:30 am  Virtual & In Person: Friday @ 7:30pm Sunday @ 10:30am,86.0,Bride Tabernacle of Columbia SC,2026-01-15,available,
2025-04-27,No Transcript,Jimmy Nkasha,"Pastor Jimmy Nkasha: ""The Manifestation of the Spirit of God Among His People""",https://www.youtube.com/watch?v=qztUB9XpQSg,2026-01-15,Unknown,Sunday School,Join us in person for: Bible Study Tuesday @ 7-8pm Sunday School Sunday 9:30 am  Virtual & In Person: Friday @ 7:30pm Sunday @ 10:30am,100.0,Bride Tabernacle of Columbia SC,2026-01-15,available,
2025-02-16,No Transcript,H. Simmons,"Pastor H. Simmons: ""Spiritual Intoxication""",https://www.youtube.com/watch?v=aJWylUVgD8E,2026-01-15,Unknown,Sunday School,Join us in person for: Bible Study Tuesday @ 7-8pm Sunday School Sunday 9:30 am  Virtual & In Person: Friday @ 7:30pm Sunday @ 10:30am,93.0,Bride Tabernacle of Columbia SC,2026-01-15,available,
2024-11-23,No Transcript,Henry Simmons,"Pastor Henry Simmons: ""The Law of Sin and Death""",https://www.youtube.com/watch?v=9ZpOr_0Dx8E,2026-01-15,Unknown,Sunday School,Join us in person for: Bible Study Tuesday @ 7-8pm Sunday School Sunday 9:30 am  Virtual & In Person: Friday @ 7:30pm Sunday @ 10:30am,91.0,Bride Tabernacle of Columbia SC,2026-01-15,available,
2024-10-27,No Transcript,H. Simmons,"Pastor H. Simmons: ""Washed In the Blood""",https://www.youtube.com/watch?v=O1j_rdxUU-E,2026-01-15,Unknown,Sunday School,Join us in person for:  Bible Study Tuesday @ 7-8pm  Sunday School Sunday 9:30 am    Virtual & In Person:  Friday @ 7:30pm  Sunday @ 10:30am,102.0,Bride Tabernacle of Columbia SC,2026-01-15,available,
2024-10-19,No Transcript,Ernest Legette,"Minister Ernest Legette: ""Ordered Footsteps""",https://www.youtube.com/watch?v=UIWveF-ktj4,2026-01-15,Unknown,Sunday School,Join us in person for:  Bible Study Tuesday @ 7-8pm  Sunday School Sunday 9:30 am    Virtual & In Person:  Friday @ 7:30pm  Sunday @ 10:30am,78.0,Bride Tabernacle of Columbia SC,2026-01-15,available,
2024-10-14,No Transcript,Unknown Speaker,Homegoing Service of Melvin M. Simmons II,https://www.youtube.com/watch?v=9YUp2wtvqzE,2026-01-15,Unknown,Memorial Service,Join us in person for:  Bible Study Tuesday @ 7-8pm  Sunday School Sunday 9:30 am    Virtual & In Person:  Friday @ 7:30pm  Sunday @ 10:30am,113.0,Bride Tabernacle of Columbia SC,2026-01-15,available,
2024-09-08,No Transcript,Caleb Simmons,"Bro. Caleb Simmons: ""A Way of Escape""",https://www.youtube.com/watch?v=oKoR-TsUlj4,2026-01-15,Unknown,Sunday School,Join us in person for:  Bible Study Tuesday @ 7-8pm  Sunday School Sunday 9:30 am    Virtual & In Person:  Friday @ 7:30pm  Sunday @ 10:30am,76.0,Bride Tabernacle of Columbia SC,2026-01-15,available,
2024-07-19,No Transcript,Gene Williams,"Guest Pastor Gene Williams:  ""Keeping the Fire On the Alter of Your Heart Burning""",https://www.youtube.com/watch?v=hJMgYSZxrls,2026-01-15,Unknown,Sunday School,Join us in person for:  Bible Study Tuesday @ 7-8pm  Sunday School Sunday 9:30 am    Virtual & In Person:  Friday @ 7:30pm  Sunday @ 10:30am,125.0,Bride Tabernacle of Columbia SC,2026-01-15,available,
2024-07-13,No Transcript,H. Simmons,Pastor H. Simmons: “Anointed but not Crowned”,https://www.youtube.com/watch?v=xqBvauoFsGA,2026-01-15,Unknown,Sunday School,Join us in person for:  Bible Study Tuesday @ 7-8pm  Sunday School Sunday 9:30 am    Virtual & In Person:  Friday @ 7:30pm  Sunday @ 10:30am,67.0,Bride Tabernacle of Columbia SC,2026-01-15,available,
2024-06-23,No Transcript,Henry Simmons,"Pastor Henry Simmons: ""Look to the Unseen""",https://www.youtube.com/watch?v=qOUWchmhjVU,2026-01-15,Unknown,Sunday School,Join us in person for:  Bible Study Tuesday @ 7-8pm  Sunday School Sunday 9:30 am    Virtual & In Person:  Friday @ 7:30pm  Sunday @ 10:30am,6.0,Bride Tabernacle of Columbia SC,2026-01-15,available,
2024-04-12,No Transcript,Jeff Jenkins,Minister Jeff Jenkins,https://www.youtube.com/watch?v=cgo9hB11ZZs,2026-01-15,Unknown,Sunday School,Join us in person for:  Bible Study Tuesday @ 7-8pm  Sunday School Sunday 9:30 am    Virtual & In Person:  Friday @ 7:30pm  Sunday @ 10:30am,0.0,Bride Tabernacle of Columbia SC,2026-01-15,available,
2024-03-10,No Transcript,H. Simmons,"Pastor H. Simmons: ""A Double Portion""",https://www.youtube.com/watch?v=c8vBLWE6KjI,2026-01-15,Unknown,Sunday School,Join us in person for:  Bible Study Tuesday @ 7-8pm  Sunday School Sunday 9:30 am    Virtual & In Person:  Friday @ 7:30pm  Sunday @ 10:30am,82.0,Bride Tabernacle of Columbia SC,2026-01-15,available,
2023-10-22,No Transcript,K Moore,"Pastor K. Moore: ""From a Borrowed Womb, to a Borrowed Tomb""",https://www.youtube.com/watch?v=84sPfmBzvVw,2026-01-15,Unknown,Church Service,Friday @ 7:30pm  Sunday @ 10:30am,119.0,Bride Tabernacle of Columbia SC,2026-01-15,available,
2023-09-22,No Transcript,Ernest Legette,"Minister Ernest Legette: ""Who Shall Abide?""",https://www.youtube.com/watch?v=aKJ5SCJHy2k,2026-01-15,Unknown,Short Clip,Friday @ 7:30pm  Sunday @ 10:30am,15.0,Bride Tabernacle of Columbia SC,2026-01-15,available,
2023-07-30,No Transcript,Keith Reid,Annual Tent Revival: Pastor Keith Reid,https://www.youtube.com/watch?v=g0qQz1r564E,2026-01-15,Unknown,Church Service,Tent Revival,71.0,Bride Tabernacle of Columbia SC,2026-01-15,available,
2023-07-27,No Transcript,Annual Tent,Annual Tent Revival: Pastor I. Brooks,https://www.youtube.com/watch?v=jYFVIeXpVc8,2026-01-15,Unknown,Short Clip,Services:   Friday @ 7:30  Sunday @ 10:30,12.0,Bride Tabernacle of Columbia SC,2026-01-15,available,
2023-07-16,No Transcript,Henry Simmons,"Pastor Henry Simmons: ""By Faith""",https://www.youtube.com/watch?v=0A5dWwAc2YE,2026-01-15,Unknown,Church Service,Services:   Friday @ 7:30  Sunday @ 10:30,96.0,Bride Tabernacle of Columbia SC,2026-01-15,available,
2023-04-09,No Transcript,H. Simmons,"Pastor H. Simmons: ""The Power of His Resurrection""",https://www.youtube.com/watch?v=Op44o8GbFO4,2026-01-15,Unknown,Easter Program,Services:   Friday @ 7:30  Sunday @ 10:30,97.0,Bride Tabernacle of Columbia SC,2026-01-15,available,
2023-03-17,No Transcript,H. Simmons,"Pastor H. Simmons: ""Adoption""",https://www.youtube.com/watch?v=2W7PEd0HDN4,2026-01-15,Unknown,Short Clip,Services:   Friday @ 7:30  Sunday @ 10:30,1.0,Bride Tabernacle of Columbia SC,2026-01-15,available,
