################################################################################
TIMESTAMPED TRANSCRIPT
################################################################################
Source: 2017-08-27 - (8-27-17) The Law of Perfect Love [Fear Series Pt. 8] - Jesse Smith - Jesse Smith.txt
Video ID: 8PPE0dKOwzE
Segments: 2361
URL: https://www.youtube.com/watch?v=8PPE0dKOwzE
================================================================================
Click any timestamp to jump to that point in the video.
Format: [M:SS] or [H:MM:SS] followed by transcript text.
================================================================================

[0:00] [Music]
[0:13] [Music]
[0:21] [Music]
[0:30] [Music]
[0:50] [Music]
[1:07] [Music]
[1:22] [Music]
[1:34] [Music]
[1:42] [Music]
[1:59] [Music]
[2:16] [Music]
[2:32] [Music]
[2:41] [Music]
[2:54] [Music]
[3:05] [Music]
[3:35] [Music]
[3:46] [Music]
[3:54] [Music]
[4:08] [Music]
[4:21] [Applause]
[4:22] [Music]
[4:59] [Music]
[5:05] [Music]
[5:19] [Music]
[5:25] [Music]
[5:31] [Music]
[5:48] [Music]
[6:17] [Music]
[6:24] [Music]
[6:54] [Music]
[8:04] [Music]
[8:20] [Applause]
[8:21] [Music]
[8:39] [Applause]
[8:39] [Music]
[8:55] [Music]
[9:28] [Music]
[9:40] [Music]
[9:50] [Music]
[11:08] [Music]
[11:09] [Applause]
[11:10] [Music]
[11:14] [Applause]
[11:20] [Music]
[11:47] [Music]
[11:54] [Music]
[12:00] [Music]
[12:13] [Music]
[12:27] [Applause]
[12:34] [Music]
[12:35] [Applause]
[12:58] [Music]
[13:02] [Applause]
[13:11] [Music]
[13:17] [Applause]
[13:17] [Music]
[13:41] [Music]
[13:46] [Applause]
[13:53] [Applause]
[13:59] [Music]
[14:00] [Applause]
[14:14] [Music]
[14:21] [Applause]
[14:24] [Music]
[14:37] oh yes we can - you looking for grace
[16:09] because your wish thank you stay with us
[16:33] [Music]
[16:49] [Music]
[16:56] [Music]
[16:58] [Applause]
[17:00] [Music]
[17:05] [Applause]
[17:12] [Applause]
[17:17] [Music]
[17:32] [Music]
[17:44] [Applause]
[17:46] [Music]
[17:48] [Applause]
[17:52] [Music]
[18:03] [Applause]
[18:06] [Music]
[18:21] [Applause]
[18:23] [Music]
[18:28] [Applause]
[18:30] [Music]
[18:32] [Applause]
[18:35] [Music]
[18:38] [Applause]
[18:39] [Music]
[18:40] [Applause]
[18:45] [Music]
[18:54] [Applause]
[18:59] [Music]
[19:01] [Applause]
[19:04] [Music]
[19:08] [Applause]
[19:11] [Music]
[19:12] [Applause]
[19:17] [Music]
[19:19] [Applause]
[19:27] [Music]
[19:29] [Applause]
[19:37] [Music]
[19:48] [Applause]
[19:50] [Music]
[19:52] [Applause]
[19:55] [Music]
[19:58] [Applause]
[20:13] [Music]
[20:23] [Music]
[20:27] [Applause]
[20:33] [Music]
[20:46] [Music]
[20:50] [Applause]
[20:51] [Music]
[20:59] [Applause]
[21:02] [Music]
[21:10] [Applause]
[21:12] [Music]
[21:20] [Applause]
[21:22] [Music]
[21:38] [Music]
[21:47] [Music]
[21:49] [Applause]
[21:51] [Music]
[22:00] [Music]
[22:04] [Applause]
[22:05] [Music]
[22:14] [Music]
[22:27] [Music]
[22:40] [Music]
[22:42] [Applause]
[22:46] [Music]
[22:49] [Applause]
[22:54] [Music]
[22:56] [Applause]
[22:59] [Music]
[23:07] [Music]
[23:10] [Applause]
[23:18] [Music]
[23:33] [Applause]
[23:41] [Music]
[23:51] [Music]
[23:59] [Music]
[24:06] [Music]
[24:17] [Applause]
[24:23] [Music]
[24:29] [Music]
[24:41] [Music]
[24:46] [Music]
[25:05] [Music]
[25:16] [Music]
[25:26] [Music]
[25:33] [Music]
[25:51] [Music]
[26:07] [Music]
[26:24] [Music]
[26:39] [Music]
[27:08] [Music]
[27:24] [Music]
[27:34] [Music]
[27:54] [Music]
[28:15] [Music]
[28:22] [Music]
[28:47] [Applause]
[29:10] [Music]
[29:25] [Music]
[29:35] [Music]
[29:53] [Applause]
[29:59] [Music]
[30:20] have you ever questioned like to share a
[30:23] few announcements the city announcements
[30:28] first next week we had brother bender on
[30:30] schedule but I haven't heard back from
[30:31] him he was putting his name in to be
[30:34] pastor at his home Church Vaqueros
[30:36] variety and haven't heard back from her
[30:38] so I'm not sure if he's coming next
