################################################################################
TIMESTAMPED TRANSCRIPT
################################################################################
Source: 2017-10-08 - (10-8-17AM) Morning Worship - Isiah Brooks - Isiah Brooks.txt
Video ID: T2nQodkWojk
Segments: 2469
URL: https://www.youtube.com/watch?v=T2nQodkWojk
================================================================================
Click any timestamp to jump to that point in the video.
Format: [M:SS] or [H:MM:SS] followed by transcript text.
================================================================================

[0:01] [Music]
[0:10] [Music]
[0:34] [Music]
[0:45] [Applause]
[0:47] [Music]
[0:55] [Music]
[1:00] [Applause]
[1:04] [Music]
[1:24] [Applause]
[1:25] [Music]
[1:35] [Music]
[1:38] [Applause]
[1:39] [Music]
[2:07] [Applause]
[2:07] [Music]
[2:25] [Music]
[3:38] there's me with houses also more this
[3:41] morning pardon me
[3:41] let's get going around laws break
[3:47] [Applause]
[3:53] [Music]
[3:58] [Applause]
[4:01] [Music]
[4:12] [Music]
[4:18] [Music]
[4:20] [Applause]
[4:22] [Music]
[4:28] [Applause]
[4:31] [Music]
[4:32] [Applause]
[4:34] [Music]
[4:40] [Applause]
[4:44] [Music]
[4:57] [Music]
[4:57] [Applause]
[4:59] [Music]
[5:05] [Applause]
[5:07] [Music]
[5:08] [Applause]
[5:17] [Applause]
[5:21] [Music]
[5:29] [Music]
[5:36] [Applause]
[5:39] [Music]
[5:50] [Music]
[6:00] [Music]
[6:04] [Applause]
[6:09] [Music]
[6:12] [Applause]
[6:16] [Music]
[6:21] [Applause]
[6:24] [Music]
[6:31] [Applause]
[6:37] [Music]
[6:43] [Music]
[6:46] [Applause]
[6:56] [Music]
[7:02] [Applause]
[7:05] [Music]
[7:06] [Applause]
[7:13] [Music]
[7:24] [Music]
[7:36] [Applause]
[7:39] [Music]
[7:44] [Applause]
[7:47] [Music]
[8:02] [Music]
[8:03] [Applause]
[8:06] [Music]
[8:15] [Music]
[8:37] [Music]
[8:44] [Applause]
[8:45] [Music]
[8:55] [Music]
[8:57] [Applause]
[8:58] [Music]
[9:02] [Applause]
[9:07] [Music]
[9:16] [Music]
[9:29] [Applause]
[9:30] [Music]
[9:46] [Applause]
[9:49] [Music]
[9:57] [Applause]
[10:02] [Music]
[10:04] [Applause]
[10:05] [Music]
[10:12] [Music]
[10:21] [Music]
[10:24] [Applause]
[10:28] [Music]
[10:39] [Music]
[10:50] [Music]
[10:58] [Music]
[11:12] [Music]
[11:31] [Music]
[11:36] [Applause]
[11:42] [Music]
[11:51] [Applause]
[11:52] [Music]
[11:54] [Applause]
[11:58] [Music]
[12:06] [Music]
[12:25] [Music]
[12:27] [Applause]
[12:33] [Music]
[12:34] [Applause]
[12:44] [Music]
[12:52] [Music]
[12:54] [Applause]
[12:57] [Music]
[13:01] [Applause]
[13:07] [Music]
[13:27] [Applause]
[13:38] [Applause]
[13:43] [Music]
[13:50] [Music]
[13:51] [Applause]
[13:57] [Applause]
[14:04] [Applause]
[14:09] [Music]
[14:15] [Music]
[14:30] [Applause]
[14:36] [Music]
[14:39] [Applause]
[14:42] [Music]
[14:50] [Music]
[14:57] [Music]
[15:13] [Music]
[15:23] [Music]
[15:35] [Music]
[15:36] [Applause]
[15:51] angels prostrate form when all soiled ID
[15:58] card with praise this one I want crowd
[16:01] with raises man
