################################################################################
TIMESTAMPED TRANSCRIPT
################################################################################
Source: 2020-12-10 - (12-9-20) The Mystery of Israel's Blindness, Pt. 3 - Jesse Smith - Jesse Smith.txt
Video ID: OgjE7pbl9kA
Segments: 1921
URL: https://www.youtube.com/watch?v=OgjE7pbl9kA
================================================================================
Click any timestamp to jump to that point in the video.
Format: [M:SS] or [H:MM:SS] followed by transcript text.
================================================================================

[0:00] [Music]
[0:14] foreign
[0:17] [Music]
[0:21] [Applause]
[0:22] [Music]
[0:28] then
[0:31] [Music]
[0:52] [Applause]
[0:56] foreign
[0:59] [Music]
[1:12] [Applause]
[1:15] [Music]
[1:24] so
[1:26] [Music]
[2:16] [Music]
[2:24] [Music]
[2:30] [Applause]
[2:31] [Music]
[3:02] foreign
[3:05] [Music]
[3:12] [Applause]
[3:12] [Music]
[3:31] foreign
[3:32] [Music]
[4:28] [Music]
[4:54] foreign
[4:56] [Music]
[5:04] [Applause]
[5:08] oh
[5:11] [Music]
[5:17] [Music]
[5:20] shall be forever
[5:25] [Music]
[5:36] is
[5:42] [Music]
[5:50] me
[5:56] [Music]
[6:04] is
[6:06] [Music]
[6:12] the perfect
[6:21] [Music]
[6:46] oh
[6:48] [Music]
[6:57] [Music]
[7:14] is
[7:17] [Music]
[7:28] me
[7:30] [Music]
[7:42] foreign
[7:44] [Music]
[7:52] [Music]
[8:15] [Applause]
[8:18] [Music]
[8:38] yeah oh
[8:55] [Music]
[9:00] i cast my mind
[9:04] to calvary
[9:08] [Music]
[9:09] [Applause]
[9:15] [Applause]
[9:19] [Music]
[9:20] is
[9:23] [Music]
[9:30] [Music]
[9:48] is
[9:52] [Music]
[9:55] [Applause]
[9:56] [Music]
[10:02] is
[10:04] [Music]
[10:16] [Music]
[10:30] forever
[10:32] [Music]
[10:43] [Music]
[10:56] [Music]
[10:58] up
[11:12] oh
[11:18] [Music]
[11:26] oh
[11:29] [Music]
[11:37] [Applause]
[11:40] oh
[11:44] [Music]
[11:54] oh
[11:56] [Music]
[12:08] is
[12:09] [Applause]
[12:11] [Music]
[12:21] [Applause]
[12:22] my
[12:25] [Music]
[12:38] [Applause]
[12:41] [Music]
[12:48] [Applause]
[12:50] is
[12:57] [Music]
[13:18] oh
[13:22] [Music]
[13:29] [Music]
[13:32] is
[13:34] [Music]
[13:54] [Music]
[14:00] my
[14:05] [Music]
[14:14] oh
[14:20] [Music]
[14:28] is
[14:31] [Music]
[14:46] [Applause]
[14:47] [Music]
[14:56] is
[14:58] [Music]
[15:07] i am
[15:12] [Music]
[15:20] [Music]
[15:38] is
[15:44] [Music]
[15:57] [Music]
[16:03] [Music]
[16:08] [Music]
[16:20] is
[16:26] [Music]
[16:34] hey
[16:39] we overcome
[16:55] [Music]
[17:02] me
[17:10] [Music]
[17:16] yesterday
[17:18] [Music]
[17:35] [Applause]
[17:38] [Music]
[17:44] you
[17:47] [Music]
[17:58] oh
[18:02] [Music]
[18:26] is
[18:29] [Music]
[18:46] [Music]
[18:54] is
[18:57] [Music]
[18:58] [Applause]
[18:59] [Music]
[19:08] is
[19:10] [Music]
[19:22] is
[19:24] [Music]
[19:28] [Applause]
[19:31] [Music]
[19:36] is
[19:38] [Music]
[20:02] [Music]
[20:04] is
[20:07] [Music]
[20:07] [Applause]
[20:12] [Music]
[20:18] is
[20:20] [Music]
[21:14] is
[21:21] [Music]
[21:38] [Music]
[21:42] get right into the word of god tonight
[21:48] just a reminder we're trying to be real
[21:49] careful with the time here by god's
[21:51] grace
[21:53] so let's get to some prayer requests
[21:56] here
[22:00] uh what just one announcement i think uh
[22:02] i'm sorry two
[22:04] uh brother cam will be coming uh
[22:06] december
[22:07] 20th by god's grace so we're looking
[22:09] forward to that
[22:11] just the two services on that sunday by
[22:13] god's grace so
[22:14] very happy that they'll be coming also
[22:18] lydia's 16th birthday is tomorrow so
[22:19] let's give her a round of applause god
[22:21] bless your video
[22:25] so next week you can drive me home okay
[22:29] first you got to get the permit right
[22:30] [Laughter]
