################################################################################
TIMESTAMPED TRANSCRIPT
################################################################################
Source: 2024-02-04 - (2-4-24) Sunday Morning Service - Brian Hawkins - Brian Hawkins.txt
Video ID: 347843qDFnw
Segments: 1712
URL: https://www.youtube.com/watch?v=347843qDFnw
================================================================================
Click any timestamp to jump to that point in the video.
Format: [M:SS] or [H:MM:SS] followed by transcript text.
================================================================================

[0:00] [Music]
[0:09] [Music]
[0:25] [Music]
[0:39] [Music]
[0:48] [Music]
[0:55] [Music]
[0:58] God
[1:01] [Music]
[1:09] [Music]
[1:28] see
[1:35] [Music]
[1:46] [Music]
[1:58] I
[2:02] [Music]
[2:20] [Music]
[2:28] Al
[2:32] [Music]
[2:58] see that
[3:00] [Music]
[3:10] [Music]
[3:28] see
[3:30] [Music]
[3:58] you
[4:06] [Music]
[4:13] [Music]
[4:28] against
[4:30] [Music]
[4:36] [Music]
[4:58] the
[4:59] [Music]
[5:28] I
[5:35] [Music]
[5:41] [Music]
[5:58] be
[6:02] [Music]
[6:12] [Music]
[6:23] [Music]
[6:28] heart
[6:35] [Music]
[6:45] [Music]
[6:58] am
[7:01] [Music]
[7:08] [Music]
[7:28] is
[7:29] Mery
[7:32] [Music]
[7:38] [Music]
[7:44] and
[7:47] [Music]
[7:56] [Music]
[7:58] GL
[8:03] hallelu
[8:06] [Music]
[8:15] [Music]
[8:28] am
[8:29] [Music]
[8:58] will
[9:00] victory
[9:02] victory
[9:04] victory
[9:08] [Music]
[9:10] viory
[9:14] [Music]
[9:28] hallelu
[9:29] [Music]
[9:48] [Music]
[9:58] Hall
[10:14] [Music]
[10:26] [Music]
[10:28] you
[10:31] [Music]
[10:48] [Music]
[10:58] the
[11:01] [Music]
[11:27] am
[11:29] [Music]
[11:38] [Music]
[11:52] [Music]
[11:57] my
[12:00] [Music]
[12:13] [Music]
[12:27] the
[12:30] [Music]
[12:57] resur
[13:01] [Music]
[13:21] [Music]
[13:27] for
[13:40] [Music]
[13:57] will
[14:27] find
[14:57] want
[15:27] for
[15:57] for
[16:27] is
[16:31] [Music]
[16:57] Val
[17:03] [Music]
[17:09] [Music]
[17:27] hallelu
[17:29] [Music]
[17:41] [Music]
[17:55] [Music]
[17:57] hallelu
[18:06] [Music]
[18:21] [Music]
[18:27] Sal
[18:32] [Music]
[18:39] [Music]
[18:57] CHR
[18:59] [Music]
[19:16] [Music]
[19:23] hallelu
[19:25] a what aor
[19:30] [Music]
[19:31] what a
[19:33] father what
[19:36] [Music]
[19:57] aelu
[19:58] [Music]
[20:09] [Music]
[20:18] [Music]
[20:27] hallelu
[20:33] [Music]
[20:57] for
[21:07] [Music]
[21:27] all you
[21:28] [Music]
[21:34] are
[21:39] [Music]
[21:57] you
[22:03] [Music]
[22:09] [Music]
[22:26] all
[22:29] for
[22:33] [Music]
[22:35] are
[22:40] [Music]
[22:56] you
[23:03] [Music]
[23:08] [Music]
[23:18] [Music]
[23:26] every
[23:28] [Music]
[23:42] walk
[23:43] [Music]
[23:49] close let
[23:51] [Music]
[23:56] it
[23:58] [Music]
[24:11] with me my
[24:17] bur dear
[24:20] [Music]
[24:25] Lord the closer walk with
[24:29] [Music]
[24:41] me walking cl
[24:45] to let it be dear Lord let it
[24:54] be just the closer Walk With
[25:03] Me Jesus is
[25:09] Mye
[25:11] daily walking close
[25:13] [Music]
[25:15] to Let It
[25:18] Be My Lord let it
[25:23] be
[25:26] amen
[25:28] amen praise the Lord praise the Lord
[25:32] amen God is
[25:33] good all the time uh before I get
[25:37] started I just wanted to thank you all I
[25:40] just wanted to greet you all uh from
[25:43] Brother Jim and all the brothers and
[25:45] sisters back uh East so far away but uh
[25:51] they all send their greetings and one
[25:52] that wanted would have liked to have
[25:55] said it he's here in person so
[25:59] and
[26:01] uh let's see if you would uh let's turn
[26:04] to Revelations chapter
[26:08] 18 said okay if we just talk about some
[26:10] things this morning uh just might might
[26:14] not be preaching like we're like you're
[26:16] used to but
[26:19] uh might be some readings some people
[26:21] don't like when people or when preachers
[26:24] read things they would much rather them
[26:26] flow with the with the Holy Spirit of
[26:28] the preaching and I like that too but
[26:30] some some things that I want to take out
[26:32] of the message as far as
[26:35] quotes uh that supports what I want to
[26:38] talk about this
[26:40] morning I might have spoken on this here
[26:43] before I can't remember uh but if I did
[26:47] my apologies if I didn't well praise the
[26:50] Lord but if it didn't bear repeating it
[26:52] shouldn't have been preached in the
[26:53] first place right so uh just kind of
