date,status,speaker,title,url,last_checked,language,type,description,duration,church,first_scraped,video_status,video_removed_date
2026-01-18,No Transcript,David Hawkins,(1-18-26PM) Sunday Evening Service - David Hawkins,https://www.youtube.com/watch?v=_YuB-g-mubQ,2026-01-18,Unknown,Church Service,,0.0,Bride of Christ Fellowship,2026-01-18,available,
2026-01-18,No Transcript,David Hawkins,(1-18-26AM) Sunday Morning Service- David Hawkins,https://www.youtube.com/watch?v=oyrao33rtuo,2026-01-18,Unknown,Church Service,,0.0,Bride of Christ Fellowship,2026-01-18,available,
2026-01-11,Success,Jesse Smith,(1-11-26) Confidence Without Character,https://www.youtube.com/watch?v=Gi2aQyVgS50,2026-01-18,Unknown,Full Sermon,,0.0,Bride of Christ Fellowship,2026-01-18,available,
2024-07-29,No Transcript,Paul Griffin,(7-28-24AM) Sunday Morning Service - Paul Griffin,https://www.youtube.com/watch?v=7VOAmVjj7YQ,2026-01-15,Unknown,Church Service,,187.0,Bride of Christ Fellowship,2026-01-15,available,
2023-11-12,No Transcript,Simon Smith,(11-12-23) Sunday Morning Service - Simon Smith,https://www.youtube.com/watch?v=_6WBdUcbOoY,2026-01-15,Unknown,Church Service,,115.0,Bride of Christ Fellowship,2026-01-15,available,
2023-11-04,No Transcript,Cam Smith,(11-4-23) Saturday Evening Service - Cam Smith,https://www.youtube.com/watch?v=PdRowqaO8Ow,2026-01-15,Unknown,Short Clip,,18.0,Bride of Christ Fellowship,2026-01-15,available,
2023-11-04,No Transcript,Jim Shumake,(11-3-23) Friday Evening Service - Jim Shumake,https://www.youtube.com/watch?v=ZdckHuh3vNg,2026-01-15,Unknown,Short Clip,,23.0,Bride of Christ Fellowship,2026-01-15,available,
2023-08-03,No Transcript,Jesse Smith,"We Aren’t All Giant Killers, But We All Overcome - Jesse Smith (8-2-23)",https://www.youtube.com/watch?v=hJMO0WU2nm0,2026-01-15,Unknown,Church Service,,102.0,Bride of Christ Fellowship,2026-01-15,available,
2023-02-02,No Transcript,Jesse Smith,"(2-1-23) I Will Pour Out My Spirit, Pt. 2 - Jesse Smith",https://www.youtube.com/watch?v=Raxp97kOGSs,2026-01-15,Unknown,Church Service,,116.0,Bride of Christ Fellowship,2026-01-15,available,
2022-10-03,No Transcript,Jesse Smith,(10-2-22AM) The Mystery of God Is Finished - Jesse Smith,https://www.youtube.com/watch?v=M1EXqfWKxgA,2026-01-15,Unknown,Church Service,,77.0,Bride of Christ Fellowship,2026-01-15,available,
2022-10-02,No Transcript,Jesse Smith,(10-2-22AM) Personal Revival- Jesse Smith,https://www.youtube.com/watch?v=R5JUhhetECw,2026-01-15,Unknown,Church Service,,73.0,Bride of Christ Fellowship,2026-01-15,available,
2022-09-29,No Transcript,Jesse Smith,"(9-28-22) The Mystery of the Seven Church Ages, Pt. 1 - Jesse Smith",https://www.youtube.com/watch?v=EN7EEZDXVBQ,2026-01-15,Unknown,Short Clip,,27.0,Bride of Christ Fellowship,2026-01-15,available,
2022-04-17,No Transcript,Simon Smith,(4-17-22AM) Sunday Morning Service - Simon Smith,https://www.youtube.com/watch?v=fsvQjE_V-zw,2026-01-15,Unknown,Church Service,,129.0,Bride of Christ Fellowship,2026-01-15,available,
2022-04-03,No Transcript,Simon Smith,(4-3-22AM) Sunday Morning Service - Simon Smith,https://www.youtube.com/watch?v=6oyKpakk_NM,2026-01-15,Unknown,Church Service,,136.0,Bride of Christ Fellowship,2026-01-15,available,
2022-01-09,No Transcript,Jesse Smith,"(1-9-22) John, the Disciple That Jesus Loved - Jesse Smith",https://www.youtube.com/watch?v=3BJ-NISKzxw,2026-01-15,Unknown,Short Clip,,1.0,Bride of Christ Fellowship,2026-01-15,available,
2022-01-02,No Transcript,Jesse Smith,"(1-2-22) The Book of Joshua, Pt. 37 - Jesse Smith",https://www.youtube.com/watch?v=inC_-K5mtNE,2026-01-15,Unknown,Short Clip,,35.0,Bride of Christ Fellowship,2026-01-15,available,
2021-12-05,No Transcript,Jesse Smith,"(12-5-21AM) Freedom From Bondage,  Pt. 3 - Jesse Smith",https://www.youtube.com/watch?v=7MzSSa73dio,2026-01-15,Unknown,Church Service,,90.0,Bride of Christ Fellowship,2026-01-15,available,
2021-11-28,No Transcript,Jesse Smith,"(11-28-21AM) Freedom From Bondage,  Pt. 2 - Jesse Smith",https://www.youtube.com/watch?v=5Yq34FZNOHM,2026-01-15,Unknown,Church Service,,108.0,Bride of Christ Fellowship,2026-01-15,available,
2021-11-25,No Transcript,Jesse Smith,(11-24-21AM) Being Thankful For Freedom From Bondage - Jesse Smith,https://www.youtube.com/watch?v=lwY5aBc5HAA,2026-01-15,Unknown,Short Clip,,52.0,Bride of Christ Fellowship,2026-01-15,available,
2021-11-21,No Transcript,Jesse Smith,"(11-21-21AM) Mount Zion,  Pt. 6 - Jesse Smith",https://www.youtube.com/watch?v=dHG7rqHkgIM,2026-01-15,Unknown,Church Service,,116.0,Bride of Christ Fellowship,2026-01-15,available,
2021-11-15,No Transcript,Simon Smith,(11-14-21AM) Sunday Evening Worship - Simon Smith,https://www.youtube.com/watch?v=vwK1bibODuw,2026-01-15,Unknown,Church Service,,83.0,Bride of Christ Fellowship,2026-01-15,available,
2021-11-14,No Transcript,Simon Smith,(11-14-21AM) Sunday Afternoon Service - Simon Smith,https://www.youtube.com/watch?v=JNPtVnPxPdY,2026-01-15,Unknown,Church Service,,97.0,Bride of Christ Fellowship,2026-01-15,available,
2021-11-07,No Transcript,Jesse Smith,"(11-7-21AM) The Seven Church Ages Foreshadowed in the Old Testament,  Pt.  2 - Jesse Smith",https://www.youtube.com/watch?v=DboR3FFlqFk,2026-01-15,Unknown,Short Clip,,25.0,Bride of Christ Fellowship,2026-01-15,available,
2021-10-31,No Transcript,Jesse Smith,"(10-31-21AM) The Book Of Joshua,  Pt.  31 - Jesse Smith",https://www.youtube.com/watch?v=gjcaKkh4oko,2026-01-15,Unknown,Church Service,,62.0,Bride of Christ Fellowship,2026-01-15,available,
2021-10-21,No Transcript,Jesse Smith,"(10-20-21) Mount Zion,  Pt.  2 - Jesse Smith",https://www.youtube.com/watch?v=9ZograSeOlA,2026-01-15,Unknown,Church Service,,94.0,Bride of Christ Fellowship,2026-01-15,available,
2021-10-17,No Transcript,Jesse Smith,(10-17-21AM) Mount Zion - Jesse Smith,https://www.youtube.com/watch?v=_7QXaAVDEzI,2026-01-15,Unknown,Church Service,,117.0,Bride of Christ Fellowship,2026-01-15,available,
2021-09-26,No Transcript,Jesse Smith,"(9-26-21) Book of Joshua, Part 25 - Jesse Smith",https://www.youtube.com/watch?v=8PpH-7G6K1Y,2026-01-15,Unknown,Church Service,,84.0,Bride of Christ Fellowship,2026-01-15,available,
2021-06-26,No Transcript,,(6-25-21) Church Anniversary Prayer Meeting,https://www.youtube.com/watch?v=Bn_sncGPq_Y,2026-01-15,Unknown,Prayer Meeting,,34.0,Bride of Christ Fellowship,2026-01-15,available,
2021-05-16,No Transcript,Jesse Smith,(5-16-21AM) Sunday Morning Service - Jesse Smith,https://www.youtube.com/watch?v=obUKIbqk3ss,2026-01-15,Unknown,Church Service,,102.0,Bride of Christ Fellowship,2026-01-15,available,
2021-04-15,Success,Jesse Smith,"(4-13-21) The Mystery of the Church as Bride, Pt. 13",https://www.youtube.com/watch?v=HP9CAmbJX_A,2026-01-15,Unknown,Full Sermon,,0.0,Bride of Christ Fellowship,2026-01-15,available,
