date,status,speaker,title,url,last_checked,language,type,description,duration,church,first_scraped,video_status,video_removed_date
2026-01-18,No Transcript,Barry Johnson,2026-01-18 Bro. Barry - Jehovah Shalom Part 2,https://www.youtube.com/watch?v=0HCxjNmVnkk,2026-01-21,Unknown,Short Clip,"Bro. Barry Johnson - Jehovah Shalom Part 2 Sunday January 18th, 2026 OUR WEBSITE: https://www.calgarylivingword.com",54.0,Calgary Living Word Assembly,2026-01-21,available,
2026-01-18,Success,Jehovah Shalom Part 3,2026-01-18 Bro. Barry,https://www.youtube.com/watch?v=HKuJQwzcWYM,2026-01-21,Unknown,Full Sermon,,0.0,Calgary Living Word Assembly,2026-01-21,available,
2026-01-15,Success,The Choice from Christ,Bro. Emmanuel,https://www.youtube.com/watch?v=5oWGOHddGN0,2026-01-21,Unknown,Full Sermon,,0.0,Calgary Living Word Assembly,2026-01-21,available,
2026-01-21,Success,Br. Don Snow,Dying to Die,https://www.youtube.com/watch?v=SQTvjCWQ28Y,2026-01-21,Unknown,Full Sermon,,0.0,Calgary Living Word Assembly,2026-01-21,available,
2026-01-18,Success,,When We All Get To Heaven,https://www.youtube.com/watch?v=tzW1lQuOgWc,2026-01-21,English,Church Service,"Sing the wondrous love of Jesus Sing His mercy and His grace In the mansions bright and blessed He'll prepare for us a place  CHORUS When we all get to heaven What a day of rejoicing that will be When we all see Jesus We'll sing and shout the victory  While we walk the pilgrim pathway Clouds will over-spread the sky But when trav'ling days are over Not a shadow, not a sigh  Let us then be true and faithful Trusting, serving ev'ry day Just one glimpse of Him in glory Will the toils of life repay ",3.0,Calgary Living Word Assembly,2026-01-18,available,
2026-01-18,Success,,The Original Life,https://www.youtube.com/watch?v=bM6KZ7arzuQ,2026-01-21,English,Church Service,"God's attributes were manifested To His Bride in this last age We have caught the revelation By the last prophet's message And we know who we are And what we are raised up for Praise the Lord for the original life  CHORUS The original life, the original seed The original Word is what I believe The Son of Man is revealed The seventh seal is unveiled The original life, the original seed  We are the Word made flesh today This is what the Scriptures say And our names are seen within Redeemed and per",3.0,Calgary Living Word Assembly,2026-01-18,available,
2026-01-18,Success,,In Christ Alone,https://www.youtube.com/watch?v=6vF55xP9bDU,2026-01-21,English,Church Service,"In Christ alone will I glory Though I could pride myself in battles won For I've been blessed beyond measure  And by His strength alone I overcome Oh I could stop and count successes Like diamonds in my hands But those trophies could not equal To the grace by which I stand  Chorus In Christ alone I place my trust And find my glory in the power of the Cross In every victory let it be said of me My source of strength, my source of hope Is Christ alone  In Christ alone will I glory For only by His ",3.0,Calgary Living Word Assembly,2026-01-18,available,
2026-01-18,Success,,Fill My Way With Love,https://www.youtube.com/watch?v=ei0lc35y_BY,2026-01-21,English,Church Service,Let me walk blessed Lord In the way Thou hast gone Leading straight to the land above Giving cheer everywhere To the sad and the lone Fill my way every day with love  CHORUS Fill my way every day with love As I walk with the heavenly dove Let me go all the while With a song and a smile Fill my way every day with love  Keep me close to the side  Of my Saviour and guide Let me never in darkness rove Keep my path free from wrath And my soul satisfied Fill my way every day with love  Soon the race w,2.0,Calgary Living Word Assembly,2026-01-18,available,
2026-01-18,Success,,Your Cries Have Awoken The Master,https://www.youtube.com/watch?v=EZYs0QqZexI,2026-01-21,English,Church Service,"Crossing the calm sea with Jesus The disciples were getting concerned The winds started violently blowing But He was asleep in the stearn Does He not care that we perish? We're helpless and we're so afraid Jesus arose when they called Him And said to them, where is your faith?  Chorus Because you've prayed all night 'Cause you've held on with all of your might Child, your cries have awoken the Master Oh, He knows your voice Lift your hands, it's time to rejoice Child, your cries have awoken the ",4.0,Calgary Living Word Assembly,2026-01-18,available,
2026-01-11,Success,Jehovah,2026-01-11 Bro. Barry J. -Jehovah Shalom,https://www.youtube.com/watch?v=dJrjC61Xb7I,2026-01-21,Unknown,Full Sermon,,0.0,Calgary Living Word Assembly,2026-01-21,available,
2026-01-11,Success,Unknown Speaker,We're Marching To Zion!,https://www.youtube.com/watch?v=Y3zTIvM744Q,2026-01-21,Unknown,Full Sermon,,0.0,Calgary Living Word Assembly,2026-01-21,available,
2026-01-11,Success,Unknown Speaker,Jesus Is Passing This Way,https://www.youtube.com/watch?v=ZyVFowiXdtk,2026-01-21,Unknown,Full Sermon,,0.0,Calgary Living Word Assembly,2026-01-21,available,
2026-01-11,Success,Sis Kindness Onyeji,Let my life be a picture of you,https://www.youtube.com/watch?v=7U8OgDoiLec,2026-01-18,Unknown,Full Sermon,,0.0,Calgary Living Word Assembly,2026-01-18,available,
2026-01-04,No Transcript,Barry Johnson,2026-01-04 Bro. Barry,https://www.youtube.com/watch?v=W9AnouZC5vM,2026-01-15,Unknown,Church Service,"Bro. Barry Johnson - Question & Answer  Sunday January 4th, 2026 OUR WEBSITE: https://www.calgarylivingword.com",171.0,Calgary Living Word Assembly,2026-01-15,available,
