date,status,speaker,title,url,last_checked,language,type,description,duration,church,first_scraped,video_status,video_removed_date
2026-01-18,No Transcript,Jimmy Alkire,"Jan 18, 2026 | Bro. Jimmy Alkire",https://www.youtube.com/watch?v=ct00y9gNT2Q,2026-01-18,Unknown,Church Service,"The Birth of the Stature ""Growing in Stature""",0.0,Cedar Hills - Church of the Cross,2026-01-18,available,
2026-01-15,Success,Emilio Perez Jr,"Jan 14, 2026 Bro. Emilio Perez Jr. & Bro. Salvador Guerrero",https://www.youtube.com/watch?v=ziurpPuRtRk,2026-01-18,Unknown,Full Sermon,,0.0,Cedar Hills - Church of the Cross,2026-01-18,available,
2026-01-12,Success,Unknown Speaker,"Jan 11, 2026 Children's Church",https://www.youtube.com/watch?v=wd12By8IADE,2026-01-18,Unknown,Full Sermon,,0.0,Cedar Hills - Church of the Cross,2026-01-18,available,
2026-01-11,Success,Abraham Perez,"Jan 11, 2026 Elder Abraham Perez",https://www.youtube.com/watch?v=qvavycXPXnQ,2026-01-18,Unknown,Full Sermon,,0.0,Cedar Hills - Church of the Cross,2026-01-18,available,
2025-11-30,No Transcript,Jerry Gonzales,"Nov 30, 2025 | Bro. Jerry Gonzales - How Can I Overcome?",https://www.youtube.com/watch?v=C-DeiqubSlA,2026-01-16,Unknown,Church Service,Possessing All Things!,114.0,Cedar Hills - Church of the Cross,2026-01-16,available,
2025-10-23,No Transcript,Ruben Castrillon,"Oct 22, 2025 |  Bro. Ruben Castrillon & Bro. James Castrillon & Bro. Diego Castrillon",https://www.youtube.com/watch?v=dXrzurX6liY,2026-01-16,Unknown,Church Service,,105.0,Cedar Hills - Church of the Cross,2026-01-16,available,
2025-08-18,No Transcript,Abraham Perez,"Aug 17, 2025 | Elder Abraham Perez",https://www.youtube.com/watch?v=7sU8wZUygX8,2026-01-16,Unknown,Church Service,"The Beast At The Beginning = The Beast At The End  ""The Gates Of Hell""",138.0,Cedar Hills - Church of the Cross,2026-01-16,available,
2025-08-14,No Transcript,Thomas Perez,"Aug 13, 2025 | Bro. Thomas T. Perez Jr.",https://www.youtube.com/watch?v=mi8cnuvkD6w,2026-01-16,Unknown,Church Service,,103.0,Cedar Hills - Church of the Cross,2026-01-16,available,
2025-08-11,No Transcript,Caleb Perez,"Aug 10, 2025 | Pastor Caleb T. Perez | Establishing The Word 7 - ""The Dark Seal""",https://www.youtube.com/watch?v=8PpXtAWLyYA,2026-01-16,Unknown,Church Service,Establishing The Word 7 - The Dark Seal,159.0,Cedar Hills - Church of the Cross,2026-01-16,available,
2025-07-20,No Transcript,Caleb Perez,"July 20, 2025 | Pastor Caleb T. Perez | Establishing The Word 5 - ""The Opening of the First Seal""",https://www.youtube.com/watch?v=khf9k3iDcOg,2026-01-16,Unknown,Church Service,Establishing The Word 5 - The Opening Of The First Seal,183.0,Cedar Hills - Church of the Cross,2026-01-16,available,
2025-06-29,No Transcript,Enrique Briceno,"June 29, 2025 | Bro. Enrique Briceno",https://www.youtube.com/watch?v=PP4l-sYmtgk,2026-01-16,Unknown,Church Service,,184.0,Cedar Hills - Church of the Cross,2026-01-16,available,
2025-06-15,No Transcript,Abraham Perez,"June 15, 2025 | Elder Abraham Perez",https://www.youtube.com/watch?v=quR6g8BTRtw,2026-01-16,Unknown,Church Service,,176.0,Cedar Hills - Church of the Cross,2026-01-16,available,
2025-06-01,No Transcript,,"June 1, 2025 | Children's Church",https://www.youtube.com/watch?v=F3Pt6yphL3o,2026-01-16,Unknown,Sunday School,,44.0,Cedar Hills - Church of the Cross,2026-01-16,available,
2025-05-28,No Transcript,Uganda,"May 28, 2025 | Uganda Missionary Report",https://www.youtube.com/watch?v=cnkFceOMDL4,2026-01-16,Unknown,Church Service,,126.0,Cedar Hills - Church of the Cross,2026-01-16,available,
2025-05-25,No Transcript,Jimmy Alkire,"May 25, 2025 | Bro. Jimmy Alkire",https://www.youtube.com/watch?v=g9HLkqpLkzo,2026-01-16,Unknown,Church Service,The Foundation Of God - You Are Not Your Own,155.0,Cedar Hills - Church of the Cross,2026-01-16,available,
2025-04-28,No Transcript,,"Apr 27, 2025 | Sunday Evening Service Cancelled",https://www.youtube.com/watch?v=CLnTHVD_X54,2026-01-16,Unknown,Short Clip,"The Release ""Grace vs. Law""",31.0,Cedar Hills - Church of the Cross,2026-01-16,available,
2025-04-07,No Transcript,Bill Lingar,"Apr 06, 2025 | Bro. Bill Lingar - ""A Glorious Crown""",https://www.youtube.com/watch?v=NLBSRunN13c,2026-01-16,Unknown,Church Service,,147.0,Cedar Hills - Church of the Cross,2026-01-16,available,
2025-02-20,No Transcript,Lorenzo Garcia,"Feb 19, 2025 | Wednesday Service | Bro. Lorenzo Garcia, Jr. & Bro. Carlos Hill",https://www.youtube.com/watch?v=4GSeVqZHCj4,2026-01-16,Unknown,Church Service,,123.0,Cedar Hills - Church of the Cross,2026-01-16,available,
2025-01-13,No Transcript,Caleb Perez,"Jan 12, 2025 | Pastor Caleb T. Perez | The Parable 24 - ""Book Of Symbols To Book Of Reality""",https://www.youtube.com/watch?v=mRiBtZp1xXA,2026-01-16,Unknown,Church Service,The Parable 24 - From Revelation Book Of Symbols To Apocalypse Book Of Reality,178.0,Cedar Hills - Church of the Cross,2026-01-16,available,
2025-01-09,No Transcript,Henry Bernal,"Jan 08, 2025 | Bro. Henry Bernal",https://www.youtube.com/watch?v=mwP17kjKS7Y,2026-01-16,Unknown,Church Service,,122.0,Cedar Hills - Church of the Cross,2026-01-16,available,
2025-01-06,No Transcript,Caleb Perez,"Jan 05, 2025 | Pastor Caleb T. Perez | The Parable 23 - ""The Apocalypse""",https://www.youtube.com/watch?v=LFhBj21hE-Q,2026-01-16,Unknown,Church Service,The Parable 23 - The Apocalypse,169.0,Cedar Hills - Church of the Cross,2026-01-16,available,
2024-11-10,No Transcript,Caleb Perez,"Nov 10 2024 | Pastor Caleb T. Perez | The Parable 19 - ""Seven Women and One Man""",https://www.youtube.com/watch?v=5OHcKHCUUSk,2026-01-16,Unknown,Church Service,The Parable 19 - Seven Women And One Man,156.0,Cedar Hills - Church of the Cross,2026-01-16,available,
2024-11-06,No Transcript,,November 06 2024 | Wednesday Service,https://www.youtube.com/watch?v=vIz-y6His54,2026-01-16,Unknown,Church Service,,94.0,Cedar Hills - Church of the Cross,2026-01-16,available,
2024-10-07,No Transcript,Caleb Perez,"Oct 06, 2024 | Pastor Caleb T. Perez | The Parable 16 - ""Answering Our Dark Saying""",https://www.youtube.com/watch?v=aSctUlCEgmo,2026-01-16,Unknown,Church Service,,192.0,Cedar Hills - Church of the Cross,2026-01-16,available,
2024-09-15,No Transcript,,"September 15, 2024 | Children Church",https://www.youtube.com/watch?v=RIIW-wP-BSs,2026-01-16,Unknown,Church Service,,63.0,Cedar Hills - Church of the Cross,2026-01-16,available,
2024-08-14,No Transcript,Isaiah Morales,"August 14, 2024 | Bro. Isaiah Morales and Bro. Lorenzo Garcia Jr.",https://www.youtube.com/watch?v=0b59Z8Gv5zM,2026-01-16,Unknown,Church Service,,128.0,Cedar Hills - Church of the Cross,2026-01-16,available,
2024-08-12,No Transcript,Caleb Perez,"Aug 11, 2024 | Pastor Caleb T. Perez | The Parable 13 - ""From The Shadow To The Person""",https://www.youtube.com/watch?v=59yg0tfhCAE,2026-01-16,Unknown,Church Service,,182.0,Cedar Hills - Church of the Cross,2026-01-16,available,
2024-07-31,No Transcript,,"July 31, 2024 | Youth Camp - ""Testimonies and Specials""",https://www.youtube.com/watch?v=1JBxGZrpQTA,2026-01-16,Unknown,Youth Service,,114.0,Cedar Hills - Church of the Cross,2026-01-16,available,
2024-07-21,No Transcript,,"July 21, 2024 | Sunday Morning Service",https://www.youtube.com/watch?v=2ez3NNcof54,2026-01-16,Unknown,Church Service,,120.0,Cedar Hills - Church of the Cross,2026-01-16,available,
2024-07-21,No Transcript,,"July 21, 2024 | Sunday Morning Service",https://www.youtube.com/watch?v=YcrcefBMriE,2026-01-16,Unknown,Short Clip,,1.0,Cedar Hills - Church of the Cross,2026-01-16,available,
2024-06-21,No Transcript,Henry Elijah Bernal,"June 21,  2024 | Wedding of Bro. Henry Elijah Bernal & Sis. Grace Anne Perez",https://www.youtube.com/watch?v=57AHQGmL80k,2026-01-16,Unknown,Wedding,,65.0,Cedar Hills - Church of the Cross,2026-01-16,available,
2024-06-02,No Transcript,Caleb Perez,"June 02, 2024 | Pastor Caleb Perez | The Parable 9 - ""Heavenly Dimensions & Earthly Dimensions""",https://www.youtube.com/watch?v=06-Ge8T3X_8,2026-01-16,Unknown,Church Service,"""The Parable of Dimensions""",224.0,Cedar Hills - Church of the Cross,2026-01-16,available,
2024-05-05,No Transcript,Abraham Perez,"May 5, 2024 | Elder Abraham Perez",https://www.youtube.com/watch?v=fWvKxkkdoCE,2026-01-16,Unknown,Church Service,,140.0,Cedar Hills - Church of the Cross,2026-01-16,available,
2024-04-07,No Transcript,Caleb Perez,"April 7, 2024 | Pastor Caleb T Perez | The Parable 5 - ""Signs, Seasons and Times""",https://www.youtube.com/watch?v=nweHl6s2dzg,2026-01-16,Unknown,Church Service,,157.0,Cedar Hills - Church of the Cross,2026-01-16,available,
2024-04-01,No Transcript,Morten Kristofferson,"Mar 31, 2024 |Bro. Morten Kristofferson | Easter Services - Sunday",https://www.youtube.com/watch?v=CqBuRSR55Fg,2026-01-16,Unknown,Easter Program,,234.0,Cedar Hills - Church of the Cross,2026-01-16,available,
