date,status,speaker,title,url,last_checked,language,type,description,duration,church
2021-07-28,No Transcript,Unknown Speaker,,https://www.youtube.com/watch?v=JdbVGWLQ-w0,2026-01-03,Unknown,Service,www.biblijski-krscani.com  www.youtube.com/c/BiblijskiKrscani  www.facebook.com/prorok20.stoljeca  www.brotherBranham.com  www.messagehub.info  https://www.instagram.com/speakmylord/  https://www.facebook.com/pg/SpeakmyLord-110048110743353/posts/ https://twitter.com/SpeakMyLord1,,Cloverdale Bibleway
2022-05-26,Success,Ron Spencer,,https://www.youtube.com/watch?v=9iDWM0y4yhM,2026-01-03,English,Service,"Nothing Can Stop This  - Bro. Ron Spencer, Cloverdale Bibleway (22-0521E) https://bibleway.org/sermons/",,Cloverdale Bibleway
2022-05-24,Success,Timothy Pruitt,,https://www.youtube.com/watch?v=PGct_yzf-8c,2026-01-03,English,Service,"A New Song To Sing  - Bro. Timothy Pruitt, Cloverdale Bibleway  22-0521M https://bibleway.org/sermons/",,Cloverdale Bibleway
2022-01-03,Success,Unknown Speaker,,https://www.youtube.com/watch?v=oA_meG3UYYE,2026-01-03,English,Service,www.biblijski-krscani.com  www.youtube.com/c/BiblijskiKrscani  www.facebook.com/prorok20.stoljeca  www.brotherBranham.com  www.messagehub.info  https://www.instagram.com/speakmylord/  https://www.facebook.com/pg/SpeakmyLord-110048110743353/posts/ https://twitter.com/SpeakMyLord1,,Cloverdale Bibleway
2021-11-01,Success,Unknown Speaker,,https://www.youtube.com/watch?v=AHs9wIFYlsk,2026-01-03,English,Song / Worship,www.biblijski-krscani.com www.youtube.com/c/BiblijskiKrscani www.facebook.com/prorok20.stoljeca www.brotherBranham.com www.messagehub.info https://www.instagram.com/speakmylord/ https://www.facebook.com/pg/SpeakmyLord-110048110743353/posts/ https://twitter.com/SpeakMyLord1,,Cloverdale Bibleway
2019-10-29,No Transcript,Unknown Speaker,,https://www.youtube.com/watch?v=XdyzqTHKkQ8,2026-01-03,Unknown,Service,www.biblijski-krscani.com www.youtube.com/c/BiblijskiKrscani www.facebook.com/prorok20.stoljeca www.brotherBranham.com www.messagehub.info www.nevesta-hristova.com www.biblijadanas.org www.poruka.net,,Cloverdale Bibleway
2022-05-23,No Transcript,David Mayeur,,https://www.youtube.com/watch?v=I-pGXETsGjo,2026-01-03,Unknown,Service,"The Bride's Jubilee Is A Reality - Bro. David Mayeur, Cloverdale Bibleway (22-0520) https://www.youtube.com/watch?v=gX78sgBiwoM",,Cloverdale Bibleway
2022-05-29,Success,Tim Pruitt,,https://www.youtube.com/watch?v=RoOp_0jcdVs,2026-01-03,English,Song / Worship,"Jubilee Of Unlimited Resources - Bro. Tim Pruitt, Cloverdale Bibleway (50th Anniversary) https://www.youtube.com/watch?v=361-LAKfGIo",,Cloverdale Bibleway
2022-06-04,Success,David Mayeur,,https://www.youtube.com/watch?v=RQCtdykxEk4,2026-01-03,English,Service,"The Bride's Jubilee Is A Reality  - Bro. David Mayeur, https://www.youtube.com/watch?v=gX78sgBiwoM&t=780s  A New Song To Sing - Bro. Timothy Pruitt https://www.youtube.com/watch?v=PGct_yzf-8c  Nothing Can Stop This - Bro. Ron Spencer https://www.youtube.com/watch?v=9iDWM0y4yhM&t=20s  Jubilee Of Unlimited Resources - Bro. Tim Pruitt https://www.youtube.com/watch?v=361-LAKfGIo&t=2s",,Cloverdale Bibleway
2022-06-22,No Transcript,Unknown Speaker,,https://www.youtube.com/watch?v=XE09cTRrzZY,2026-01-03,Unknown,Service,https://www.youtube.com/watch?v=9iDWM0y4yhM&t=20s,,Cloverdale Bibleway
2021-03-29,Success,Unknown Speaker,,https://www.youtube.com/watch?v=dgnGr3m59nY,2026-01-03,English,Service,www.biblijski-krscani.com  www.youtube.com/c/BiblijskiKrscani  www.facebook.com/prorok20.stoljeca  www.brotherBranham.com  www.messagehub.info  https://www.instagram.com/speakmylord/  https://www.facebook.com/pg/SpeakmyLord-110048110743353/posts/ https://twitter.com/SpeakMyLord1,,Cloverdale Bibleway
