################################################################################
TIMESTAMPED TRANSCRIPT
################################################################################
Source: 2021-10-17 - 21-1017 The Work of the Holy Spirit That which is Perfect Is Come #2 - Unknown Speaker.txt
Video ID: Se9GaIp9G38
Segments: 1574
URL: https://www.youtube.com/watch?v=Se9GaIp9G38
================================================================================
Click any timestamp to jump to that point in the video.
Format: [M:SS] or [H:MM:SS] followed by transcript text.
================================================================================

[0:00] [Music]
[0:19] so
[0:22] [Music]
[1:10] you
[1:13] [Music]
[1:24] [Music]
[1:45] so
[1:48] [Music]
[2:09] [Music]
[2:24] [Music]
[2:31] [Music]
[2:48] [Music]
[2:59] [Music]
[3:15] [Music]
[3:42] [Music]
[3:59] [Music]
[4:18] [Music]
[4:40] [Music]
[4:45] so
[4:46] [Music]
[5:04] [Music]
[5:27] [Music]
[5:30] cheers
[5:39] um
[5:57] [Music]
[6:00] oh
[6:02] [Music]
[6:12] [Music]
[6:36] [Music]
[7:09] so
[7:12] [Music]
[7:31] [Music]
[8:02] so
[8:05] [Music]
[8:44] so
[8:54] [Music]
[9:24] [Music]
[9:29] [Music]
[9:32] so
[9:35] [Music]
[9:40] so
[9:43] [Music]
[9:53] so
[9:56] [Music]
[10:02] [Music]
[10:08] so
[10:11] [Music]
[10:53] do
[10:55] [Music]
[11:02] so
[11:04] [Music]
[11:29] so
[11:32] [Music]
[11:41] [Music]
[11:50] [Music]
[12:10] [Music]
[12:28] so
[12:31] [Music]
[12:42] [Music]
[12:50] [Music]
[13:04] my
[13:07] [Music]
[13:22] so
[13:25] [Music]
[14:10] [Music]
[14:20] so
[14:26] [Music]
[14:55] too
[14:57] [Music]
[15:05] do
[15:07] [Music]
[15:35] [Music]
[16:15] [Music]
[16:38] so
[16:42] [Music]
[17:19] so
[17:21] [Music]
[17:47] so
[17:50] [Music]
[18:02] so
[18:08] [Music]
[18:18] [Music]
[18:38] [Music]
[19:10] [Music]
[19:27] so
[19:36] [Music]
[20:04] [Music]
[20:27] [Music]
[20:46] blue
[20:48] so
[20:50] [Music]
[21:10] [Music]
[21:21] so
[21:23] [Music]
[21:41] [Music]
[21:55] shhh
[21:56] [Music]
[22:01] so
[22:03] [Music]
[22:38] oh
[22:39] [Music]
[23:39] so
[23:40] [Music]
[24:00] so
[24:05] [Music]
[24:20] so
[24:24] [Music]
[24:41] foreign
[24:44] [Music]
[25:49] uh
[25:50] [Music]
[26:15] so
[26:18] [Music]
[26:28] so
[26:31] [Music]
[27:22] so
[27:25] [Music]
[28:01] foreign
[28:02] [Music]
[29:28] so
[29:33] [Music]
[30:20] um
[30:22] [Music]
[32:36] um
[32:37] [Music]
[33:09] [Music]
[33:27] so
[33:30] [Music]
[33:54] so
[34:07] um
[34:09] [Music]
[34:24] so
[34:29] [Music]
[34:36] so
[34:46] [Music]
[35:20] [Music]
[35:39] um
[35:41] [Music]
[36:28] so
[36:30] [Music]
[37:29] so
[37:35] [Music]
[37:42] um
[37:44] [Music]
[38:10] so
[38:21] so
[38:27] [Music]
[38:35] so
[38:50] [Music]
[39:18] so
[39:20] [Music]
[39:46] so
[39:51] [Music]
[40:10] [Music]
[40:19] [Music]
[40:36] um
[40:38] [Music]
[40:55] huh
[40:58] [Music]
[41:12] um
[41:14] [Music]
[41:38] so
[41:42] [Music]
[41:56] [Music]
[42:23] [Music]
[42:41] um
[42:44] [Music]
[43:11] um
[43:14] [Music]
[43:28] so
[43:30] [Music]
[43:44] do
[43:53] [Music]
[44:26] so
[44:28] [Music]
[44:58] um
[45:06] [Music]
[45:23] is
[45:26] [Music]
[45:39] shall we
[45:46] teach me
[45:51] [Applause]
[45:51] [Music]
[46:05] let us stand on our feet
[46:07] [Music]
[46:25] go
[46:29] is
[46:33] [Music]
[47:08] near
[47:10] [Music]
[47:17] [Music]
[47:22] eyes
[47:26] [Music]
[47:56] oh
[47:58] my
[47:59] soul said
[48:06] yes
[48:08] [Music]
[48:13] my
[48:14] soul said
[48:16] [Music]
[48:29] oh
[48:31] my
[48:32] soul
[48:34] [Music]
[49:06] heaven father in the name of jesus
[49:08] christ
[49:10] father god we thank you for this
[49:12] beautiful morning you've given us lord
[49:15] we thank you father king of glory for
[49:17] the words of eternal life you've
