################################################################################
TIMESTAMPED TRANSCRIPT
################################################################################
Source: 2022-07-31 - 22-0731PM - Addressing The Troops - Bro. Ron Spencer - Ron Spencer.txt
Video ID: dlhnbJl8LQc
Segments: 4062
URL: https://www.youtube.com/watch?v=dlhnbJl8LQc
================================================================================
Click any timestamp to jump to that point in the video.
Format: [M:SS] or [H:MM:SS] followed by transcript text.
================================================================================

[0:01] [Music]
[0:30] to
[0:35] [Music]
[1:00] [Music]
[1:12] so
[1:14] [Music]
[1:38] [Music]
[1:44] so
[1:55] [Music]
[2:06] [Music]
[2:23] [Music]
[2:34] uh
[2:42] [Music]
[2:56] um
[3:01] [Music]
[3:29] to
[3:33] [Music]
[4:01] to
[4:07] [Music]
[4:18] [Music]
[5:05] to
[5:06] [Music]
[5:24] [Music]
[5:35] this
[5:36] [Music]
[5:51] oh
[5:54] [Music]
[6:14] to
[6:15] [Music]
[6:32] [Music]
[6:36] foreign
[6:41] [Music]
[6:48] [Music]
[6:56] [Music]
[7:00] to to
[7:05] [Music]
[7:33] hmm
[7:39] [Music]
[7:49] [Music]
[7:59] [Music]
[8:15] [Music]
[8:57] so
[9:01] [Music]
[9:33] do
[9:37] [Music]
[9:50] [Music]
[10:08] [Music]
[10:17] [Music]
[10:19] so
[10:21] [Music]
[10:34] so
[10:40] [Music]
[11:15] so
[11:17] [Music]
[11:52] [Music]
[12:17] so
[12:20] [Music]
[12:25] so
[12:30] [Music]
[12:40] [Music]
[12:49] to
[12:53] so
[12:54] [Music]
[13:22] [Music]
[13:27] so
[13:39] so
[13:40] [Music]
[13:48] so
[13:53] [Music]
[13:59] [Music]
[14:21] [Music]
[14:41] do
[14:44] [Music]
[15:32] so
[15:35] [Music]
[15:42] so
[15:44] [Music]
[15:57] so
[16:00] [Music]
[16:08] my
[16:09] [Music]
[16:20] [Music]
[16:27] so
[16:30] [Music]
[16:39] [Music]
[16:55] so
[17:01] [Music]
[17:49] [Music]
[17:58] [Music]
[18:05] so
[18:07] [Music]
[18:32] so
[18:41] [Music]
[18:46] [Music]
[19:22] foreign
[19:29] [Music]
[19:36] [Music]
[19:45] [Music]
[19:53] [Music]
[19:58] so
[20:01] [Music]
[20:10] so
[20:12] [Music]
[20:20] so
[20:21] [Music]
[20:23] [Laughter]
[20:30] [Music]
[20:37] so
[20:39] [Music]
