################################################################################
TIMESTAMPED TRANSCRIPT
################################################################################
Source: 2022-01-30 - Instrumental Consecration Music - Unknown Speaker.txt
Video ID: EYaNKOXek58
Segments: 121
URL: https://www.youtube.com/watch?v=EYaNKOXek58
================================================================================
Click any timestamp to jump to that point in the video.
Format: [M:SS] or [H:MM:SS] followed by transcript text.
================================================================================

[0:01] [Music]
[0:21] do
[0:23] [Music]
[0:54] [Applause]
[0:57] [Music]
[0:58] [Applause]
[1:03] [Music]
[1:44] do
[1:50] [Applause]
[1:51] [Music]
[2:06] [Applause]
[2:06] [Music]
[2:13] do
[2:16] [Music]
[2:21] [Applause]
[2:22] [Music]
[2:27] do
[2:28] [Music]
[2:42] [Applause]
[3:00] [Music]
[3:08] so
[3:10] [Music]
[3:53] [Applause]
[4:05] do
[4:10] [Music]
[4:17] [Applause]
[4:18] [Music]
[4:32] [Applause]
[4:44] [Music]
[4:53] [Applause]
[5:16] [Music]
[5:40] so
[5:42] [Music]
[5:58] [Applause]
[6:00] [Music]
[7:56] [Applause]
[7:56] [Music]
[8:54] [Music]
[11:44] [Applause]
[11:47] [Music]
[12:38] [Applause]
[12:44] do
[12:51] [Music]
[13:31] [Applause]
[13:36] so
[13:41] [Music]
[14:11] [Applause]
[14:14] [Music]
[14:18] [Applause]
[14:21] [Music]
[15:07] [Applause]
[15:07] [Music]
[15:30] [Applause]
[15:38] [Music]
[16:05] [Applause]
[16:06] [Music]
[16:32] [Applause]
[16:34] [Music]
[17:15] [Applause]
[17:19] [Music]
[17:27] [Applause]
[17:31] [Music]
[17:35] [Applause]
[17:35] [Music]
[17:37] [Applause]
[17:38] [Music]
[18:16] [Applause]
[18:18] [Music]
[18:21] [Applause]
[18:24] [Music]
[18:38] [Applause]
[18:42] [Music]
[19:35] [Applause]
[19:38] [Music]
[19:55] so
[19:57] [Music]
[20:30] [Applause]
[20:31] [Music]
[20:59] [Applause]
[21:01] [Music]
[21:03] [Applause]
[21:09] [Music]
[21:29] [Applause]
[21:32] so
[21:36] [Music]
[21:45] [Applause]
[21:47] [Music]
[21:56] [Applause]
[21:58] [Music]
[22:04] [Music]
[22:29] [Applause]
[22:30] [Music]
[23:07] [Applause]
[23:09] [Music]
[23:27] [Applause]
[23:30] [Music]
[23:55] do
[23:58] [Music]
[24:15] [Applause]
[24:15] [Music]
[25:04] so
[25:05] [Music]
[25:51] [Applause]
[25:52] [Music]
[25:52] [Applause]
[25:56] [Music]
[26:01] so
[26:04] [Applause]
[26:09] [Music]
[26:41] so
[26:51] [Music]
[27:03] [Applause]
[27:09] [Music]
[27:22] [Applause]
[27:24] so
[27:31] [Music]
[27:40] so
[27:49] [Music]
[28:50] [Applause]
[29:02] [Music]
[29:24] you
