################################################################################
TIMESTAMPED TRANSCRIPT
################################################################################
Source: 2022-12-18 - 22-1218  Worship & Adoration Bro. Junior Mavinga - Unknown Speaker.txt
Video ID: ski9aFgIKBg
Segments: 861
URL: https://www.youtube.com/watch?v=ski9aFgIKBg
================================================================================
Click any timestamp to jump to that point in the video.
Format: [M:SS] or [H:MM:SS] followed by transcript text.
================================================================================

[0:00] [Music]
[0:01] foreign
[0:06] [Music]
[0:21] [Music]
[0:32] foreign
[0:32] [Music]
[0:41] [Music]
[0:54] [Music]
[1:01] foreign
[1:03] [Music]
[1:11] foreign
[1:17] [Music]
[1:37] [Music]
[1:44] foreign
[1:45] [Music]
[2:10] [Music]
[2:20] foreign
[2:25] [Music]
[2:48] [Music]
[2:49] foreign
[2:51] [Music]
[3:06] [Music]
[3:18] foreign
[3:33] [Music]
[3:52] [Music]
[3:55] foreign
[3:57] [Music]
[4:09] [Music]
[4:23] [Music]
[4:25] foreign
[4:27] [Music]
[4:48] [Music]
[4:57] foreign
[5:01] [Music]
[5:23] [Music]
[5:31] foreign
[5:36] [Music]
[6:02] foreign
[6:09] [Music]
[6:27] [Music]
[6:33] foreign
[6:36] [Music]
[6:49] [Music]
[7:03] foreign
[7:08] [Music]
[7:23] [Music]
[7:33] foreign
[7:38] [Music]
[7:49] [Music]
[8:00] [Music]
[8:06] foreign
[8:09] [Music]
[8:38] [Music]
[8:44] foreign
[8:49] [Music]
[9:09] foreign
[9:10] [Music]
[9:39] foreign
[9:44] [Music]
[10:02] [Music]
[10:11] foreign
[10:16] [Music]
[10:23] [Music]
[10:33] [Music]
[10:38] [Music]
[10:40] foreign
[10:44] [Music]
[10:47] foreign
[10:50] [Music]
[10:58] [Music]
[11:09] [Music]
[11:22] foreign
[11:24] [Music]
[11:37] [Music]
[11:44] [Music]
[11:55] [Music]
[11:57] foreign
[12:03] [Music]
[12:08] [Music]
[12:17] [Music]
[12:39] foreign
[12:40] [Music]
[12:48] [Music]
[12:54] [Music]
[12:57] foreign
[13:09] [Music]
[13:18] [Music]
[13:26] foreign
[13:48] [Music]
[13:59] [Music]
[14:07] foreign
[14:31] foreign
[14:32] [Music]
[15:01] [Music]
[15:06] foreign
[15:15] [Music]
[15:31] [Music]
[15:41] foreign
[15:59] [Music]
[16:08] [Music]
[16:11] foreign
[16:34] [Music]
[16:41] foreign
[17:01] [Music]
[17:21] thank you
[17:29] [Music]
[17:54] thank you
[18:06] [Music]
[18:17] foreign
[18:35] [Music]
[18:47] [Music]
[18:59] thank you
[19:07] [Music]
[19:20] thank you
[19:22] foreign
[19:28] [Music]
[19:40] [Music]
[20:08] foreign
[20:33] foreign
[20:45] [Music]
[20:59] [Music]
[21:17] foreign
[21:19] [Music]
[21:41] foreign
[22:12] foreign
[22:24] [Music]
[22:46] foreign
[22:51] [Music]
[23:14] foreign
[23:26] [Music]
[23:37] [Music]
[23:49] foreign
[24:05] [Music]
[24:17] [Music]
[24:20] foreign
[24:58] uh before that's one of us uh
[25:01] we're gonna read Psalm 100.
[25:05] from one to five
[25:17] let's read
[25:20] Make a Joyful Noise unto the Lord all ye
[25:23] land
[25:25] serve the Lord with gladness
[25:28] come before his presence with singing
[25:32] know ye that the law is God
[25:35] it is he that has made us and not we
[25:39] ourself
[25:40] we are his people and the Sheep of his
[25:44] pasture
[25:45] enter into his gate with Thanksgiving
[25:48] and into his court with praise
[25:51] be thankful unto him and bless his name
[25:56] for the law is good his Mercy is
[25:59] Everlasting and this truth endures to
[26:03] all generation amen amen
[26:06] I pledge allegiance to the member
[26:09] [Music]
[26:23] [Applause]
[26:26] please
[26:31] [Music]
[26:37] [Applause]
[26:39] [Music]
[26:39] [Applause]
[26:43] [Music]
[26:43] [Applause]
[26:48] space
[26:49] [Applause]
[26:52] if they want
[26:54] us
[26:57] their name of Christ
[27:00] [Music]
[27:18] [Music]
[27:25] see
[27:26] I get no more see
[27:31] if your horses
[27:38] too
[27:41] [Applause]
[27:43] late
[27:48] we both
[27:52] [Music]
[28:04] [Music]
[28:18] and the ease have gone
[28:22] but it cause of Jesus
[28:33] [Music]
[28:38] to reject his word
[28:42] [Music]
[28:44] praise the cross
[28:51] let us
[28:55] [Music]
[29:05] [Music]
[29:11] let us friends
[29:18] [Music]
[29:26] [Applause]
[29:28] [Music]
[29:32] we've all
[29:35] born
[29:39] [Applause]
[29:49] [Music]
[29:52] [Applause]
[29:56] [Music]
[29:58] above all powers before we pray
[30:04] above all powers
[30:07] [Music]
[30:10] [Applause]
[30:11] [Music]
[30:16] [Applause]
[30:21] [Music]
[30:28] of me
[30:30] [Applause]
[30:33] you way before they were because
[30:44] foreign
[30:47] [Music]
[31:00] [Music]
[31:05] [Applause]
[31:06] [Music]
[31:17] okay
[31:19] crucified Maybe
[31:30] rejected and alone
[31:33] [Music]
[31:39] [Applause]
[31:41] you took before
[31:46] and thought of me
[31:51] above home
[31:55] crucified
[31:57] Goods
[32:03] too you lead to die foreign
[32:18] [Music]
[32:18] [Applause]
[32:20] [Music]
[32:29] [Applause]
[32:33] [Music]
[32:40] [Applause]
[32:42] [Music]
[32:58] [Applause]
[32:59] [Music]
[33:06] foreign
[33:07] [Music]
[33:15] [Applause]
[33:16] [Music]
[33:23] [Music]
[33:36] there's no way because
[33:42] foreign
[33:49] [Music]
[34:03] [Music]
[34:05] [Applause]
[34:08] [Music]
[34:13] and out of me
[34:21] [Music]
[34:27] lay Beyond
[34:29] [Applause]
[34:30] [Music]
[34:32] [Applause]
[34:36] rejected
[34:43] on the ground
[34:47] you took before
[34:50] [Music]
[34:56] how about talked to him this morning and
[34:59] thank you for being crucified for your
[35:01] sin for taking our sin of transgression
[35:04] and everything on him so that we can be
[35:07] free to worship Him free for everything
[35:10] yes that's how we're coming this morning
[35:12] we have to say thank you to him we had
[35:16] to listen to his
