date,status,speaker,title,url,last_checked,language,type,description,duration,church,first_scraped,video_status,video_removed_date
Unknown Date,No Transcript,Faustin Lukumuena,01-21-26 | Have You Met The Lord Jesus Christ Yet? - Pt5: Pst. Faustin Lukumuena,https://www.youtube.com/watch?v=e4UxAq1RTuI,2026-01-24,Unknown,Church Service,,0.0,End Time Message Tabernacle CO,2026-01-24,available,
Unknown Date,No Transcript,Faustin Lukumuena,01-18-26 | Have You Met The Lord Jesus Christ Yet? - Pt4: Peter's Conversion,https://www.youtube.com/watch?v=qcocsgOui3k,2026-01-24,Unknown,Church Service,,0.0,End Time Message Tabernacle CO,2026-01-24,available,
2026-01-19,Success,Sis. Patience Mavinga & Saints,01-18-25 I Know A Man Who Can,https://www.youtube.com/watch?v=LTfOHgXArGU,2026-01-24,Unknown,Full Sermon,,0.0,End Time Message Tabernacle CO,2026-01-24,available,
Unknown Date,No Transcript,Richard Lubaki,01-14-26 | Christ My Final Tying Post: Bro. Richard Lubaki,https://www.youtube.com/watch?v=3Xr6ntsK6EU,2026-01-22,Unknown,Church Service,,0.0,End Time Message Tabernacle CO,2026-01-22,available,
Unknown Date,No Transcript,Richard Lubaki,01-11-26 | The Final Tying Post: An Absolute: Bro. Richard Lubaki,https://www.youtube.com/watch?v=esuXxhPHGxo,2026-01-18,Unknown,Church Service,,0.0,End Time Message Tabernacle CO,2026-01-18,available,
Unknown Date,No Transcript,Neville Muteba,01-11-26 | Je N'ai Jamais Vu Un Homme: Bro. Neville Muteba,https://www.youtube.com/watch?v=ICLS4R-Zu2U,2026-01-18,Unknown,Church Service,,0.0,End Time Message Tabernacle CO,2026-01-18,available,
Unknown Date,No Transcript,Faustin Lukumuena,01-04-26 | Have You Met The Lord Jesus Christ Yet? - Pt 3: Paul Had Stripped Himself,https://www.youtube.com/watch?v=g93m3Fuk_Hc,2026-01-16,Unknown,Church Service,,0.0,End Time Message Tabernacle CO,2026-01-16,available,
2026-01-01,No Transcript,,12-31-25 | 01-01-26 | ETM Tabernacle's Crossover Service,https://www.youtube.com/watch?v=GROPnpMNxjo,2026-01-16,Unknown,Church Service,,435.0,End Time Message Tabernacle CO,2026-01-16,available,
Unknown Date,No Transcript,Faustin Lukumuena,12-28-25 | Have You Met The Lord Jesus Christ Yet? - Pt 1: Paul On The Road To Damascus,https://www.youtube.com/watch?v=OFpIz5Xj0Jo,2026-01-16,Unknown,Church Service,,0.0,End Time Message Tabernacle CO,2026-01-16,available,
Unknown Date,No Transcript,Neville Mpiana,"12-21-25 | Jesus Christ The Same Yesterday, Today, And Forever: Written For Our Example",https://www.youtube.com/watch?v=ezKmDquhD4o,2026-01-16,Unknown,Church Service,,0.0,End Time Message Tabernacle CO,2026-01-16,available,
Unknown Date,No Transcript,Neville Mpiana,12-17-25 | The Answer To Our Phobia: Bro. Neville Mpiana,https://www.youtube.com/watch?v=gkCp-SlKfwk,2026-01-16,Unknown,Church Service,,0.0,End Time Message Tabernacle CO,2026-01-16,available,
Unknown Date,No Transcript,Neville Mpiana,12-14-25 | We’ve Got The devil’s Answer: The Risen Christ - Bro. Neville Mpiana,https://www.youtube.com/watch?v=XHfzlKdBdwo,2026-01-16,Unknown,Church Service,,0.0,End Time Message Tabernacle CO,2026-01-16,available,
Unknown Date,No Transcript,Richard Lubaki,12-10-25 | To Whom Am I A Prisoner? : We Are In Constant Fight - Bro. Richard Lubaki,https://www.youtube.com/watch?v=DV88-Bde4YI,2026-01-16,Unknown,Church Service,,0.0,End Time Message Tabernacle CO,2026-01-16,available,
Unknown Date,No Transcript,Richard Lubaki,12-07-25 | God From The Pillar Of Fire Angrily Looked Down: He Cares For Us - Bro. Richard Lubaki,https://www.youtube.com/watch?v=al3OmjFJCcc,2026-01-16,Unknown,Church Service,,0.0,End Time Message Tabernacle CO,2026-01-16,available,
Unknown Date,No Transcript,Richard Lubaki,12-03-25 | Walk In The Light: Bro. Richard Lubaki,https://www.youtube.com/watch?v=FxiCwBxuWUw,2026-01-16,Unknown,Church Service,,0.0,End Time Message Tabernacle CO,2026-01-16,available,
Unknown Date,No Transcript,Richard Lubaki,11-30-25 | Arise and Shine : Bro. Richard Lubaki,https://www.youtube.com/watch?v=gLaSeDHdFeQ,2026-01-16,Unknown,Church Service,,0.0,End Time Message Tabernacle CO,2026-01-16,available,
Unknown Date,No Transcript,Faustin Lukumuena,11-26-25 | Esther The Mystery Of Deliverance Of The Jews-Pt29: Purim Is A Real Thanksgiving For.....,https://www.youtube.com/watch?v=KaWh5Ju-sF4,2026-01-16,Unknown,Thanksgiving Service,,0.0,End Time Message Tabernacle CO,2026-01-16,available,
Unknown Date,No Transcript,Faustin Lukumuena,11-23-25 | Esther The Mystery Of Deliverance Of The Jews-Pt28: The Feast Of Purim,https://www.youtube.com/watch?v=Fkfv3PO64nQ,2026-01-16,Unknown,Church Service,,0.0,End Time Message Tabernacle CO,2026-01-16,available,
Unknown Date,No Transcript,Joseph Lubanza,11-19-25 | The Awakening Of Jacob - Pt2: Bro. Joseph Lubanza,https://www.youtube.com/watch?v=8VsjF3rJbr8,2026-01-16,Unknown,Church Service,,0.0,End Time Message Tabernacle CO,2026-01-16,available,
Unknown Date,No Transcript,Joseph Lubanza,11-16-25 | The Awakening Of Jacob - Pt1 : Bro. Joseph Lubanza,https://www.youtube.com/watch?v=qPQoX82Z0VM,2026-01-16,Unknown,Church Service,,0.0,End Time Message Tabernacle CO,2026-01-16,available,
2025-11-15,No Transcript,Faustin Lukumuena,11-14-25 | Esther The Mystery Of deliverance Of The Jews - P27: Don't Be Afraid To Ask A Lot........,https://www.youtube.com/watch?v=xuF-1_ttkME,2026-01-16,Unknown,Church Service,Esther The Mystery Of deliverance Of The Jews - P27: Don't Be Afraid To Ask A Lot: Pst. Faustin Lukumuena,161.0,End Time Message Tabernacle CO,2026-01-16,available,
Unknown Date,No Transcript,Faustin Lukumuena,11-13-25 | Esther The Mystery Of deliverance Of The Jews - P26:Decisive Prayer Ignores Symptoms.....,https://www.youtube.com/watch?v=gKEWITXLyeA,2026-01-16,Unknown,Church Service,,0.0,End Time Message Tabernacle CO,2026-01-16,available,
Unknown Date,No Transcript,Faustin Lukumuena,11-12-25 |Esther The Mystery Of deliverance Of The Jews - P25: Desperate Prayer Casts Out Fear......,https://www.youtube.com/watch?v=ea3IOpvsNAI,2026-01-16,Unknown,Church Service,,0.0,End Time Message Tabernacle CO,2026-01-16,available,
Unknown Date,No Transcript,Obed Diyoka,11-09-25 | Character Development Part 4: Atmosphere - Bro. Obed Diyoka,https://www.youtube.com/watch?v=-9zeQ_PcHx8,2026-01-16,Unknown,Church Service,,0.0,End Time Message Tabernacle CO,2026-01-16,available,
