date,status,speaker,title,url,last_checked,language,type
2025-12-24,No Transcript,Unknown Speaker,12-28-25 | Have You Met The Lord Jesus Christ Yet? - Pt 1: Paul On The Road To Damascus,https://www.youtube.com/watch?v=OFpIz5Xj0Jo,2025-12-28,Unknown,Full Sermon
2025-12-25,Success,Richard Lubaki,12-24-25| The Importance Of Self-Awareness In a Christian Life: Self-Inventory - Bro. Richard Lubaki,https://www.youtube.com/watch?v=MTx9BePedG4,2025-12-28,English,Full Sermon
Unknown Date,No Transcript,Unknown Speaker,"12-21-25 | Jesus Christ The Same Yesterday, Today, And Forever: Written For Our Example",https://www.youtube.com/watch?v=ezKmDquhD4o,2025-12-28,Unknown,Full Sermon
Unknown Date,No Transcript,Unknown Speaker,12-17-25 | The Answer To Our Phobia: Bro. Neville Mpiana,https://www.youtube.com/watch?v=gkCp-SlKfwk,2025-12-28,Unknown,Full Sermon
Unknown Date,No Transcript,Unknown Speaker,12-14-25 | We’ve Got The devil’s Answer: The Risen Christ - Bro. Neville Mpiana,https://www.youtube.com/watch?v=XHfzlKdBdwo,2025-12-28,Unknown,Full Sermon
Unknown Date,No Transcript,Richard Lubaki,12-10-25 | To Whom Am I A Prisoner? : We Are In Constant Fight - Bro. Richard Lubaki,https://www.youtube.com/watch?v=DV88-Bde4YI,2025-12-28,Unknown,Full Sermon
Unknown Date,No Transcript,Richard Lubaki,12-07-25 | God From The Pillar Of Fire Angrily Looked Down: He Cares For Us - Bro. Richard Lubaki,https://www.youtube.com/watch?v=al3OmjFJCcc,2025-12-28,Unknown,Full Sermon
Unknown Date,No Transcript,Richard Lubaki,12-03-25 | Walk In The Light: Bro. Richard Lubaki,https://www.youtube.com/watch?v=FxiCwBxuWUw,2025-12-28,Unknown,Full Sermon
Unknown Date,No Transcript,Richard Lubaki,11-30-25 | Arise and Shine : Bro. Richard Lubaki,https://www.youtube.com/watch?v=gLaSeDHdFeQ,2025-12-28,Unknown,Full Sermon
Unknown Date,No Transcript,Unknown Speaker,11-26-25 | Esther The Mystery Of Deliverance Of The Jews-Pt29: Purim Is A Real Thanksgiving For.....,https://www.youtube.com/watch?v=KaWh5Ju-sF4,2025-12-28,Unknown,Full Sermon
