date,status,speaker,title,url,last_checked,language,type,description,duration,church,first_scraped,video_status,video_removed_date
2026-04-01,Success,Juan Espinoza,Domingo 4 de enero de 2026,https://www.youtube.com/watch?v=XTuSw92pK34,2026-01-19,Spanish,Church Service,Tabernáculo Cristiano Mizpa 04/01/2026 Pastor Juan Espinoza,167.0,Evangelismo Para El Rapto,2026-01-16,available,
Unknown Date,No Transcript,,De la Siembra a la Cosecha.,https://www.youtube.com/watch?v=K-qrmLBu6cQ,2026-01-16,Unknown,Church Service,,0.0,Evangelismo Para El Rapto,2026-01-16,available,
Unknown Date,No Transcript,,"""Guardianes de una descendencia Sobrenatural""",https://www.youtube.com/watch?v=44Xw9UPLIh4,2026-01-16,Unknown,Church Service,,0.0,Evangelismo Para El Rapto,2026-01-16,available,
Unknown Date,No Transcript,Voz De,La voz de Mi Amado,https://www.youtube.com/watch?v=yAiVwtfP-UM,2026-01-16,Unknown,Church Service,,0.0,Evangelismo Para El Rapto,2026-01-16,available,
Unknown Date,No Transcript,,En las Alas de una Blanca Paloma,https://www.youtube.com/watch?v=gykBhZBYZmc,2026-01-16,Unknown,Church Service,,0.0,Evangelismo Para El Rapto,2026-01-16,available,
2022-08-06,No Transcript,,Quiero esa Paloma,https://www.youtube.com/watch?v=6ptEcCzyjRk,2026-01-16,Unknown,Short Clip,,4.0,Evangelismo Para El Rapto,2026-01-16,available,
2022-08-06,No Transcript,,El Rey de quien yo soy.,https://www.youtube.com/watch?v=zBg89hZOSZc,2026-01-16,Unknown,Short Clip,,3.0,Evangelismo Para El Rapto,2026-01-16,available,
2021-12-09,No Transcript,,Haniel Espinoza.. Mi Fe en El,https://www.youtube.com/watch?v=5FFjFXUzjAw,2026-01-16,Unknown,Short Clip,,1.0,Evangelismo Para El Rapto,2026-01-16,available,
2021-12-09,No Transcript,El Se,Grande es El Señor Jehová,https://www.youtube.com/watch?v=QrRclHvtC_M,2026-01-16,Unknown,Short Clip,,3.0,Evangelismo Para El Rapto,2026-01-16,available,
2021-12-09,No Transcript,,Que Dios tan Bueno,https://www.youtube.com/watch?v=bONqQ6E4nEM,2026-01-16,Unknown,Short Clip,,2.0,Evangelismo Para El Rapto,2026-01-16,available,
2021-12-09,No Transcript,,Señor omnipotente,https://www.youtube.com/watch?v=YRq-KgPw3xo,2026-01-16,Unknown,Short Clip,Pato Branco Brasil 2021,2.0,Evangelismo Para El Rapto,2026-01-16,available,
2021-05-25,No Transcript,Prueba,"""Diversas pruebas""",https://www.youtube.com/watch?v=ugAKHm9tkwM,2026-01-16,Unknown,Church Service,23 de mayo de 2021,88.0,Evangelismo Para El Rapto,2026-01-16,available,
2021-03-21,No Transcript,"Colombia, Juan Espinoza JR",Extranjeros que saben a donde van,https://www.youtube.com/watch?v=o08BpUeyTJg,2026-01-16,Unknown,Church Service,"Juan Espinoza Jr, Cucuta,Colombia,  21 de marzo de 2021",103.0,Evangelismo Para El Rapto,2026-01-16,available,
2020-09-14,No Transcript,,victoria en  Cristo,https://www.youtube.com/watch?v=cWiOHU99XmQ,2026-01-16,Unknown,Short Clip,Familia Espinoza Sequera. 13 de septiembre 2020,3.0,Evangelismo Para El Rapto,2026-01-16,available,
2020-09-06,No Transcript,,La identificación de Dios en nuestro dia II II parte,https://www.youtube.com/watch?v=QphAGtEh1ZI,2026-01-16,Unknown,Church Service,6 de septiembre de 2020,88.0,Evangelismo Para El Rapto,2026-01-16,available,
2020-07-02,No Transcript,Andrew,Todo obra para  bien. Andrew Mendoza,https://www.youtube.com/watch?v=vZNjAWARQeo,2026-01-16,Unknown,Short Clip,,3.0,Evangelismo Para El Rapto,2026-01-16,available,
2020-06-25,No Transcript,,"Familia Espinoza Sequera ""There is something about that name:",https://www.youtube.com/watch?v=f5qpYvujh9I,2026-01-16,Unknown,Short Clip,"Solo utilizado para propósitos recreativos, nada comercial..no reclamamos autoría  sobre la música utilizada en este video",3.0,Evangelismo Para El Rapto,2026-01-16,available,
2020-06-04,No Transcript,,"""Majestad"" Familia Espinoza  Sequera.",https://www.youtube.com/watch?v=KcQxmAICOdQ,2026-01-16,Unknown,Short Clip,4 de junio de 2020,3.0,Evangelismo Para El Rapto,2026-01-16,available,
2020-05-27,No Transcript,,Entrevista conjunta hermano Ricardo oviedo y  hermana Michel pinto,https://www.youtube.com/watch?v=lDaEsnwGAQU,2026-01-16,Unknown,Church Service,26 de mayo de 2020,119.0,Evangelismo Para El Rapto,2026-01-16,available,
2020-05-24,No Transcript,Juan Espinoza Juancho,"""El Poder Prevaleciente"" #3 24 de mayo 2020",https://www.youtube.com/watch?v=XX9YEIPdfrI,2026-01-16,Unknown,Church Service,Juan Espinoza juancho,110.0,Evangelismo Para El Rapto,2026-01-16,available,
2020-05-22,No Transcript,,"""El Poder Prevaleciente "" II PARTE",https://www.youtube.com/watch?v=YjifFVDqb-I,2026-01-16,Unknown,Church Service,Miércoles 19 de mayo 2020,92.0,Evangelismo Para El Rapto,2026-01-16,available,
2020-05-09,No Transcript,,"""Voy a mi eterno hogar"" Familia Espinoza Sequera",https://www.youtube.com/watch?v=SkheR4ArV5E,2026-01-16,Unknown,Short Clip,,4.0,Evangelismo Para El Rapto,2026-01-16,available,
2020-05-03,No Transcript,,Solo habrá paz .familia Espinoza sequera,https://www.youtube.com/watch?v=eN1C8N8URxk,2026-01-16,Unknown,Song Special,,3.0,Evangelismo Para El Rapto,2026-01-16,available,
2020-05-03,No Transcript,,"""Fue asi"" familia Espinoza Sequera",https://www.youtube.com/watch?v=24ozkdgVJ_c,2026-01-16,Unknown,Short Clip,Version de through it all  de andrae crouch.,3.0,Evangelismo Para El Rapto,2026-01-16,available,
2020-04-30,No Transcript,,"""En tierra Santa"" familia Espinoza Sequera",https://www.youtube.com/watch?v=hMoOEn473rQ,2026-01-16,Unknown,Short Clip,27/4/2020,2.0,Evangelismo Para El Rapto,2026-01-16,available,
2020-04-29,No Transcript,,"""Al rayar  el alba"" Juan Espinoza",https://www.youtube.com/watch?v=qZdkUH7YHu0,2026-01-16,Unknown,Short Clip,Otro canto compuesto  por mi. Enero de 2019,4.0,Evangelismo Para El Rapto,2026-01-16,available,
2020-04-24,No Transcript,,"""Todo es posible""",https://www.youtube.com/watch?v=S_HygaL7gYM,2026-01-16,Unknown,Short Clip,Familia Espinoza Sequera,4.0,Evangelismo Para El Rapto,2026-01-16,available,
2020-04-24,No Transcript,,Nunca perderá su poder,https://www.youtube.com/watch?v=Yf0GOzBVFCo,2026-01-16,Unknown,Short Clip,Familia Espinoza sequera  23 de abril 2020,2.0,Evangelismo Para El Rapto,2026-01-16,available,
2020-04-08,No Transcript,,Divino compañero,https://www.youtube.com/watch?v=XQyGn9KiPh8,2026-01-16,Unknown,Short Clip,7/4/20,3.0,Evangelismo Para El Rapto,2026-01-16,available,
2020-04-05,No Transcript,,Cuan gloriosa será la.mañana Familia Espinoza Sequera,https://www.youtube.com/watch?v=0aF_7bnB9N0,2026-01-16,Unknown,Short Clip,5/4/20,3.0,Evangelismo Para El Rapto,2026-01-16,available,
2020-04-05,No Transcript,,A solas al huerto. Juan Espinoza,https://www.youtube.com/watch?v=FO6uOxjn5_o,2026-01-16,Unknown,Short Clip,5/4/2020,3.0,Evangelismo Para El Rapto,2026-01-16,available,
2020-04-05,No Transcript,,Más allá del sol. Familia Espinoza Sequera,https://www.youtube.com/watch?v=IuJGFJNtMdU,2026-01-16,Unknown,Short Clip,5/4/2020,3.0,Evangelismo Para El Rapto,2026-01-16,available,
2020-04-05,No Transcript,,Años mi alma. Familia Espinoza Sequera,https://www.youtube.com/watch?v=LL-ogrZTMKY,2026-01-16,Unknown,Short Clip,5/4/2020,2.0,Evangelismo Para El Rapto,2026-01-16,available,
2020-04-04,No Transcript,,Amor inmensurable.Familia Espinoza Sequera.abril 2020,https://www.youtube.com/watch?v=pziXTqslybU,2026-01-16,Unknown,Short Clip,,3.0,Evangelismo Para El Rapto,2026-01-16,available,
2020-03-29,No Transcript,Juan Espinoza JR,Inteligentes o Espirituales,https://www.youtube.com/watch?v=rFXVXhpv8Fg,2026-01-16,Unknown,Church Service,Juan Espinoza jr Domingo 29/3 2020,78.0,Evangelismo Para El Rapto,2026-01-16,available,
2020-03-27,No Transcript,,Yo quiero ir al otro lado,https://www.youtube.com/watch?v=cVPjDY9Z-3Q,2026-01-16,Unknown,Short Clip,,2.0,Evangelismo Para El Rapto,2026-01-16,available,
2020-03-25,No Transcript,,Plena luz,https://www.youtube.com/watch?v=Vt8rKZ27UT8,2026-01-16,Unknown,Short Clip,Canto por hnos Juan y marrion Espinoza,2.0,Evangelismo Para El Rapto,2026-01-16,available,
2026-04-01,Success,Juan Espinoza Juancho,La Vision de la Novia Pastor Juan Espinoza Juancho,https://www.youtube.com/watch?v=oRzAnJsFNps,2026-01-10,Unknown,Church Service,,121.0,Evangelismo Para El Rapto,2026-01-10,available,
2025-12-01,Success,Unknown Speaker,"La Voluntad de Dios , Un Misterio en  Acertijo. Parte II",https://www.youtube.com/watch?v=5VZQJlt-QiE,2026-01-04,Unknown,Church Service,,103.0,Evangelismo Para El Rapto,2026-01-04,available,
2025-11-10,Success,Juan Espinoza Juancho,Nosotros Tenemos La Mente De Cristo.,https://www.youtube.com/watch?v=Wvkm_zXjpHA,2026-01-10,Unknown,Church Service,,83.0,Evangelismo Para El Rapto,2026-01-10,available,
2025-11-04,Success,Juan Espinoza Sr,Completos En  El,https://www.youtube.com/watch?v=wW6G4YNoJpA,2026-01-10,Unknown,Church Service,,130.0,Evangelismo Para El Rapto,2026-01-10,available,
2025-10-26,Success,Unknown Speaker,SERVICIO DOMINGO 26 OCTUBRE DEL 2025,https://www.youtube.com/watch?v=Ywyw5ybSjh8,2026-01-04,Spanish,Church Service,,162.0,Evangelismo Para El Rapto,2026-01-04,available,
2025-10-26,Success,Unknown Speaker,SERVICIO SÁBADO 25 OCTUBRE DEL 2025,https://www.youtube.com/watch?v=-yjIjvyr-_M,2026-01-04,Spanish,Church Service,,140.0,Evangelismo Para El Rapto,2026-01-04,available,
2025-10-21,Success,Colombia,LOS PENSAMIENTOS DE DIOS PARTE IIISERVICIO DOMINGO 19 DE OCTUBRE DEL 2025,https://www.youtube.com/watch?v=gp-ok0KuAzg,2026-01-04,Spanish,Church Service,"¡Dios les bendiga amados hermanos! TABERNACULO MIZPA, PASTOR JUAN ESPINOZA, CUCUTA COLOMBIA",61.0,Evangelismo Para El Rapto,2026-01-04,available,
2025-10-31,Success,Unknown Speaker,La Parábola de la Levadura,https://www.youtube.com/watch?v=L9Pi8qFqobc,2026-01-19,Unknown,Full Sermon,,0.0,Evangelismo Para El Rapto,2026-01-19,available,
2025-06-24,Success,Unknown Speaker,Un Tiempo Prestado..,https://www.youtube.com/watch?v=nGVNocv-CWc,2026-01-04,Spanish,Short Clip,corto sobre La Necesidad de Pasar de Apoc 10-7 hasta el 11,3.0,Evangelismo Para El Rapto,2026-01-04,available,
2024-10-06,Success,Unknown Speaker,El Libro de la Vida Del Cordero parte II,https://www.youtube.com/watch?v=SrS9UdLwS3Q,2026-01-19,Unknown,Full Sermon,,0.0,Evangelismo Para El Rapto,2026-01-19,available,
2024-09-21,Success,Miembros Vivientes.. Expectativa,Miembros Vivientes.. Expectativa,https://www.youtube.com/watch?v=pel-f_tayng,2026-01-04,Spanish,Church Service,"Domingo 8 de Septiembre de 2024, Tabernáculo Ebenezer, Barquisimeto Venezuela",122.0,Evangelismo Para El Rapto,2026-01-04,available,
2024-09-21,Success,Unknown Speaker,El Libro de la Vida del Cordero,https://www.youtube.com/watch?v=Rz_pweXhQyc,2026-01-19,Unknown,Full Sermon,,0.0,Evangelismo Para El Rapto,2026-01-19,available,
2024-06-20,Success,Unknown Speaker,Miembros Vivientes del Último Avivamiento. La Sazón de la Soberanía de Dios,https://www.youtube.com/watch?v=BgjKfHSsdJk,2026-01-19,Unknown,Full Sermon,,0.0,Evangelismo Para El Rapto,2026-01-19,available,
2024-03-20,Success,Juan Espinoza,Las Escrituras son cumplidas Parte I.,https://www.youtube.com/watch?v=Tp2jYYwNtC4,2026-01-10,Unknown,Church Service,,104.0,Evangelismo Para El Rapto,2026-01-10,available,
2024-03-20,Success,Juan Espinoza,Las Escrituras se han cumplido,https://www.youtube.com/watch?v=uatfVbWRJeg,2026-01-04,Spanish,Short Clip,Pastor Juan Espinoza 17/4/2024 Tabernáculo Cristiano Omega  Barcelona Venezuela,47.0,Evangelismo Para El Rapto,2026-01-04,available,
2024-02-14,Success,Unknown Speaker,"Econtrandonos con Nuestro Marido,La Palabras Revelada.",https://www.youtube.com/watch?v=AlHP2RyjoLc,2026-01-04,Spanish,Church Service,,86.0,Evangelismo Para El Rapto,2026-01-04,available,
2024-01-23,Success,Unknown Speaker,Entrando en la Aplicación Espiritual del Misterio,https://www.youtube.com/watch?v=svJCn66vhZQ,2026-01-04,Unknown,Church Service,,60.0,Evangelismo Para El Rapto,2026-01-04,available,
2024-01-15,Success,Unknown Speaker,Moviendonos al Ritmo de la Palabra.,https://www.youtube.com/watch?v=crx2OMlku4A,2026-01-19,Unknown,Full Sermon,,0.0,Evangelismo Para El Rapto,2026-01-19,available,
2024-01-14,Success,Juan Espinoza JR,al Rayar el Alba.. Juan Espinoza JR.,https://www.youtube.com/watch?v=cGQvaahdbyU,2026-01-04,Spanish,Short Clip,,2.0,Evangelismo Para El Rapto,2026-01-04,available,
2024-01-06,Success,Unknown Speaker,De la siembra a la cosecha,https://www.youtube.com/watch?v=9UVDcIlvVuE,2026-01-19,Unknown,Full Sermon,,0.0,Evangelismo Para El Rapto,2026-01-19,available,
2023-11-15,Success,Unknown Speaker,Entrando en la Aplicación Espiritual del Misterio parte I.,https://www.youtube.com/watch?v=etlxi11FMak,2026-01-04,Spanish,Church Service,"Tabernáculo Elohim,Caracas , Venezuela, 10 de Noviembre de 2023",140.0,Evangelismo Para El Rapto,2026-01-04,available,
2023-11-15,Success,Unknown Speaker,Entrando en la Aplicación Espiritual del Misterio,https://www.youtube.com/watch?v=Kp_FkzKEvwg,2026-01-04,Unknown,Church Service,,138.0,Evangelismo Para El Rapto,2026-01-04,available,
