date,status,speaker,title,url,last_checked,language,type,description,duration,church
2026-01-04,No Transcript,Ron Peterson,The Uniting Time And Sign Part 4 - Bro Ron Peterson,https://www.youtube.com/watch?v=hG8DSSEK378,2026-01-04,Unknown,Service,2026-0104 Sunday Morning Service,0,Evening Light Fellowship AZ
2025-12-31,Success,Unknown Speaker,Watchnight Service 2025,https://www.youtube.com/watch?v=Y8VKKn5Z2Fg,2026-01-04,Unknown,Full Sermon,,,
2025-12-29,No Transcript,Steven McNeilly,Faith is a Revelation Part 2 - Bro. Steven McNeilly,https://www.youtube.com/watch?v=4Jjl1ZpMnYQ,2026-01-04,Unknown,Full Sermon,2025-1228 Sunday Morning Service,141,Evening Light Fellowship AZ
2025-12-22,Success,Ron Peterson,The Uniting Time and Sign Part 2,https://www.youtube.com/watch?v=2KJpldGoyrM,2026-01-04,Unknown,Full Sermon,,,
2025-12-21,No Transcript,Unknown Speaker,Evening Light Fellowship - The Wedding of Alexis & Grace,https://www.youtube.com/watch?v=P3MupGlu0nM,2026-01-04,Unknown,Wedding,2025-1220 The Wedding of Alexis & Grace,100,Evening Light Fellowship AZ
2025-12-18,Success,Steven McNeilly,Faith is a Revelation,https://www.youtube.com/watch?v=iFb_TjJmwdc,2026-01-04,Unknown,Full Sermon,,,
2025-12-15,Success,Unknown Speaker,Evening Light Fellowship Memorial Service for Mary Yniguez,https://www.youtube.com/watch?v=rPeVI2dOzzU,2026-01-04,English,Memorial Service,,,Evening Light Fellowship AZ
2025-12-15,No Transcript,Ron Peterson,The Voice Of The Bridegroom Is Now In The Bride - Bro. Ron Peterson,https://www.youtube.com/watch?v=sBIm2rfrtj8,2026-01-04,Unknown,Full Sermon,2025-1214 Sunday Morning Service,137,Evening Light Fellowship AZ
2025-12-11,Success,Mario Chua,Gold Tried By Fire,https://www.youtube.com/watch?v=C0PwFKAT9cA,2026-01-04,Unknown,Full Sermon,,,
2025-12-07,Success,Stephen Coffey,Get Off The Ridgeline,https://www.youtube.com/watch?v=-1I6yoFBZ18,2026-01-04,Unknown,Full Sermon,,,
2025-12-04,No Transcript,Freddy Kanana,Evening Light Fellowship - Bro. Freddy Kanana,https://www.youtube.com/watch?v=k23n2sUcV7Q,2026-01-04,Unknown,Full Sermon,2025-1203 Wednesday Evening Service,98,Evening Light Fellowship AZ
2025-12-01,Success,George Smith,Evening Light Fellowship,https://www.youtube.com/watch?v=J7ZcXngmyx0,2026-01-04,Unknown,Full Sermon,,,
2025-11-24,Success,Mario Chua,Covenant of Peace,https://www.youtube.com/watch?v=Jt_Hgb0btrQ,2026-01-04,Unknown,Full Sermon,,,
2025-11-20,Success,James Loveall,Valley of Opportunity,https://www.youtube.com/watch?v=4FlafqbVMtQ,2026-01-04,Unknown,Full Sermon,,,
2025-11-17,Success,Ron Peterson,Refueling The Fire Within You,https://www.youtube.com/watch?v=x9_u6-mT9PE,2026-01-04,Unknown,Full Sermon,,,
2025-11-13,Success,Mario Chua,Deception at The Evening Time,https://www.youtube.com/watch?v=rxpCeBDflqg,2026-01-04,Unknown,Full Sermon,,,
2025-11-10,Success,Ron Peterson,From Form Unto Fire Part 2,https://www.youtube.com/watch?v=KBmCPPJRB6o,2026-01-04,Unknown,Full Sermon,,,
2025-11-06,Success,Benny Perry,Because You Don't See It,https://www.youtube.com/watch?v=ROp2KwilRw8,2026-01-04,Unknown,Full Sermon,,,
2025-11-02,Success,Ron Peterson,From Form Unto Fire,https://www.youtube.com/watch?v=RM5NtzyaBYg,2026-01-04,Unknown,Full Sermon,,,
2025-10-30,Success,Ron Peterson,From Fire Unto Form,https://www.youtube.com/watch?v=YDAhna6kIQc,2026-01-04,Unknown,Full Sermon,,,
2025-10-27,Success,Ron Peterson,To He That Overcometh,https://www.youtube.com/watch?v=6brZbRMsmn4,2026-01-04,Unknown,Full Sermon,,,
2025-10-23,Success,Ron Peterson,The Snares of Laodicea,https://www.youtube.com/watch?v=4ci9GEAFsoo,2026-01-04,Unknown,Full Sermon,,,
2025-10-20,Success,Steven McNeilly,The Handwriting Is On The Wall,https://www.youtube.com/watch?v=q7dtfUOzPf0,2026-01-04,Unknown,Full Sermon,,,
2025-10-16,Success,James Loveall,Law of Love,https://www.youtube.com/watch?v=gWmbzrjyAVo,2026-01-04,Unknown,Full Sermon,,,
2025-10-13,Success,Steven McNeilly,The Love of God,https://www.youtube.com/watch?v=SsTCv0V7Jdc,2026-01-04,Unknown,Full Sermon,,,
2025-10-09,No Transcript,Chris Take,The Beginning of The Bride - Bro. Chris Take,https://www.youtube.com/watch?v=v3m58XIiot4,2026-01-04,Unknown,Full Sermon,2025-1008 Wednesday Service,100,Evening Light Fellowship AZ
2025-10-02,No Transcript,Ron Peterson,Kept by the Power of God Unto Your Destination - Bro. Ron Peterson,https://www.youtube.com/watch?v=Dzq8q64xIYo,2026-01-04,Unknown,Full Sermon,2025-1001 Wednesday Evening Service,112,Evening Light Fellowship AZ
2025-09-29,No Transcript,Steve Mcneilly,The Brook Kidron - Bro. Steve Mcneilly,https://www.youtube.com/watch?v=8InEpv0Nnnw,2026-01-04,Unknown,Full Sermon,2025-0928 Sunday Morning Service,141,Evening Light Fellowship AZ
2025-09-25,Success,Mario Chua,Season of Barrenness,https://www.youtube.com/watch?v=buqWlDLunCM,2026-01-04,Unknown,Full Sermon,,,
2025-09-22,Success,Ron Peterson,What Must We Do To Be Saved,https://www.youtube.com/watch?v=gOVg2yMAHNs,2026-01-04,Unknown,Full Sermon,,,
2025-09-18,Success,Warren Arquisola,Ruth  From Forbidden to Foundation,https://www.youtube.com/watch?v=tFUOjmHfLpk,2026-01-04,Unknown,Full Sermon,,,
2025-09-15,Success,Ron Peterson,Being Wholly Sanctified Unto the Lord Part 2,https://www.youtube.com/watch?v=Y_GivVYow6Y,2026-01-04,Unknown,Full Sermon,,,
2025-09-11,Success,James Loveall,The Inward Law Of God,https://www.youtube.com/watch?v=CCehIXrrMoo,2026-01-04,Unknown,Full Sermon,,,
2025-09-08,Success,Ron Peterson,Communion Service,https://www.youtube.com/watch?v=mWIwMDBWIx8,2026-01-04,Unknown,Full Sermon,,,
2025-09-08,Success,Ron Peterson,Being Wholly Sanctified Unto the Lord,https://www.youtube.com/watch?v=mRAP9mluT94,2026-01-04,Unknown,Full Sermon,,,
2025-09-04,Success,Steve Mcneilly,An Attitude of Gratitude,https://www.youtube.com/watch?v=_RkzzzguAlo,2026-01-04,Unknown,Full Sermon,,,
2025-09-01,Success,Ron Peterson,A Table Prepared In The Presence Of Our Enemies,https://www.youtube.com/watch?v=kRFcxc4_Dp0,2026-01-04,Unknown,Full Sermon,,,
2025-08-28,Success,Ron Peterson,"A Prepared Place For a Prepared People, Part 2- Bro. Ron Peterson",https://www.youtube.com/watch?v=4kPsOXrG4C8,2026-01-04,Unknown,Full Sermon,,,
2025-08-25,Success,Ron Peterson,A Prepared Place For a Prepared People,https://www.youtube.com/watch?v=MiFDpUndMRM,2026-01-04,Unknown,Full Sermon,,,
2025-08-21,Success,Warren Arquisola,Daniel's Diet,https://www.youtube.com/watch?v=U2ZlDgvxvGk,2026-01-04,Unknown,Full Sermon,,,
2025-08-18,Success,Steve Klar,Covenant of The Shoe,https://www.youtube.com/watch?v=q1iHb8Del3E,2026-01-04,Unknown,Full Sermon,,,
2025-08-14,Success,Steven McNeilly,Your Identity,https://www.youtube.com/watch?v=TPP7qtzaCXA,2026-01-04,Unknown,Full Sermon,,,
2025-08-11,Success,Danny Delmundo,The Bride's Inheritance- Bro. Danny Delmundo,https://www.youtube.com/watch?v=OlSGqRODHyQ,2026-01-04,Unknown,Full Sermon,,,
2025-08-07,Success,Ron Peterson,Spiritual Warfare in Laodicea,https://www.youtube.com/watch?v=nhD55s0cBjE,2026-01-04,Unknown,Full Sermon,,,
2025-08-04,Success,Ron Peterson,The Seventh Angel Has Blasted Forth His Gospel Trumpet Part 2,https://www.youtube.com/watch?v=p2ZrS0DGNAo,2026-01-04,Unknown,Full Sermon,,,
Unknown Date,No Transcript,Freddy Kanana,A Hidden Life in Christ - Bro. Freddy Kanana,https://www.youtube.com/watch?v=SjFcb4oOJMI,2026-01-04,Unknown,Service,,0,Evening Light Fellowship AZ
2025-07-28,Success,Freddy Masudi,The Great Mystery of Adoption,https://www.youtube.com/watch?v=YTasnlFo_ws,2026-01-04,Unknown,Full Sermon,,,
2025-07-24,Success,Martin Mulumba,What House Will Thou Built Me Part 8,https://www.youtube.com/watch?v=XWwmZjMGsEM,2026-01-04,Unknown,Full Sermon,,,
2025-07-21,Success,Steven McNeilly,The Sword of the Lord and Gideon,https://www.youtube.com/watch?v=B75Ics2UKHk,2026-01-04,Unknown,Full Sermon,,,
2025-07-17,Success,James Loveall,True Value,https://www.youtube.com/watch?v=zOgZpJDAnz0,2026-01-04,Unknown,Full Sermon,,,
