################################################################################
TIMESTAMPED TRANSCRIPT
################################################################################
Source: 2019-05-25 - 20161203 - Bride Covenant Pt. 1 -  Bro. Jon Curlett - Jon Curlett.txt
Video ID: -6iSOO7kFGc
Segments: 188
URL: https://www.youtube.com/watch?v=-6iSOO7kFGc
================================================================================
Click any timestamp to jump to that point in the video.
Format: [M:SS] or [H:MM:SS] followed by transcript text.
================================================================================

[1:13] [Music]
[2:01] [Music]
[2:24] [Music]
[2:46] [Music]
[5:43] [Music]
[5:44] [Applause]
[5:44] [Music]
[5:52] [Music]
[6:17] [Music]
[6:23] [Applause]
[6:27] [Music]
[6:59] [Music]
[7:08] [Music]
[7:54] [Music]
[8:51] [Applause]
[8:56] [Music]
[8:56] [Applause]
[8:58] [Music]
[9:04] [Applause]
[9:05] [Music]
[9:14] [Applause]
[9:23] [Music]
[9:26] [Applause]
[9:28] [Music]
[10:01] [Music]
[10:07] [Music]
[12:35] [Music]
[13:10] [Applause]
[13:14] [Music]
[13:32] [Applause]
[13:37] [Music]
[13:49] [Music]
[13:56] [Applause]
[14:00] [Music]
[14:12] [Applause]
[14:14] [Music]
[14:19] [Applause]
[14:23] [Music]
[15:05] [Music]
[17:50] [Music]
[17:55] [Music]
[18:05] [Music]
[18:11] [Music]
[18:22] [Music]
[18:48] [Music]
[18:55] [Music]
[19:34] [Music]
[20:01] [Music]
[20:15] [Music]
[20:24] [Music]
[20:31] [Music]
[20:37] [Music]
[20:47] [Music]
[21:36] [Music]
[22:04] [Music]
[22:20] [Music]
[22:31] [Music]
[22:51] [Music]
[23:01] [Music]
[23:25] [Music]
[24:09] [Music]
[24:37] [Music]
[25:00] [Music]
[25:45] [Music]
[26:02] [Music]
[26:18] [Music]
[26:32] [Music]
[26:46] [Music]
[27:47] you know your hand
[28:03] [Music]
[28:16] [Music]
[28:23] [Music]
[28:35] [Music]
[28:45] [Music]
[28:53] [Music]
[29:05] [Music]
[29:11] [Music]
[29:23] [Music]
[29:36] [Music]
[29:44] [Music]
[29:54] [Music]
[30:03] [Music]
[30:13] [Music]
[30:22] [Music]
[30:33] [Music]
[30:42] [Music]
[30:49] [Music]
[31:04] [Music]
[32:50] [Laughter]
[33:27] [Music]
[36:40] [Music]
[36:46] [Music]
[37:07] [Music]
[40:23] [Music]
[41:06] [Music]
[42:59] [Music]
[44:01] [Music]
[56:29] [Music]
[59:01] [Music]
[1:02:30] [Music]
[1:02:37] [Music]
[1:03:02] [Music]
[1:08:00] [Music]
[1:16:01] [Music]
[1:17:02] [Music]
[1:47:48] [Music]
[1:49:21] [Music]
[1:59:08] [Music]
[2:02:43] [Music]
[2:13:33] [Music]
[2:13:51] [Applause]
[2:13:53] [Music]
[2:14:05] [Music]
[2:14:57] [Music]
[2:15:16] [Music]
[2:15:43] [Music]
[2:15:52] [Applause]
[2:15:53] [Music]
[2:16:59] [Music]
[2:18:33] [Music]
[2:18:56] [Music]
[2:19:13] [Music]
[2:20:08] [Music]
[2:20:24] [Music]
[2:20:36] [Music]
[2:21:04] [Music]
[2:21:19] [Music]
[2:21:55] [Music]
[2:22:04] [Music]
[2:22:34] [Music]
[2:22:53] [Music]
[2:23:52] [Music]
[2:24:11] [Music]
[2:24:49] [Music]
[2:24:57] [Music]
[2:27:11] [Music]
[2:30:55] [Music]
[2:33:22] [Music]
[2:34:27] [Music]
[2:35:07] [Music]
[2:37:25] [Music]
[2:37:52] [Music]
[2:38:11] [Music]
[2:38:31] [Music]
[2:38:39] [Music]
[2:38:46] [Music]
[2:39:01] [Music]
[2:39:10] [Applause]
[2:39:40] [Music]
[2:40:42] [Music]
[2:41:09] [Music]
[2:41:19] [Music]
[2:41:27] [Music]
[2:41:38] [Music]
[2:41:50] [Music]
[2:42:37] [Music]
[2:42:56] [Music]
[2:43:35] [Music]
[2:45:23] [Music]
[2:45:40] [Music]
[2:45:52] [Applause]
[2:45:57] [Music]
[2:47:12] [Music]
[2:47:19] [Music]
[2:47:46] [Music]
[2:48:05] [Music]
[2:48:53] [Music]
[2:49:21] [Music]
[2:50:00] [Music]
[2:50:33] [Applause]
[2:50:33] [Music]
[2:50:36] [Applause]
[2:50:40] [Music]
[2:52:34] [Music]
[2:52:57] [Music]
[2:54:18] [Music]
[2:54:51] [Music]
[2:54:57] [Music]
[2:55:14] [Music]
[2:55:26] [Music]
[2:55:48] [Applause]
[2:55:53] [Music]
[2:56:55] [Music]
[2:57:12] [Music]
[2:58:18] [Music]
[2:58:26] [Music]
[2:59:22] [Music]
[3:00:49] [Music]
