################################################################################
TIMESTAMPED TRANSCRIPT
################################################################################
Source: 2020-04-29 - 20200428 - Satan's Eden - Bro. Gerald Lush - Gerald Lush.txt
Video ID: 3YtkOQuTNCQ
Segments: 2584
URL: https://www.youtube.com/watch?v=3YtkOQuTNCQ
================================================================================
Click any timestamp to jump to that point in the video.
Format: [M:SS] or [H:MM:SS] followed by transcript text.
================================================================================

[0:00] [Music]
[0:15] you
[0:16] [Music]
[0:42] you
[0:50] you
[0:57] you
[1:03] [Music]
[1:10] you
[1:11] [Music]
[1:26] you
[1:29] [Music]
[2:04] [Music]
[2:12] you
[2:12] [Music]
[3:21] [Music]
[5:28] [Music]
[6:20] [Music]
[8:11] [Music]
[8:17] [Music]
[9:37] [Music]
[10:05] [Music]
[10:21] [Music]
[10:31] [Music]
[10:43] [Music]
[11:14] welcome you all here 511 911 a crown of
[11:19] thorns that's what the inertia of a suit
[11:25] [Music]
[11:39] there
[11:42] [Music]
[11:47] here
[11:49] [Music]
[11:56] Oh
[11:57] [Music]
[11:59] [Applause]
[12:01] [Music]
[12:02] [Applause]
[12:03] [Music]
[12:10] [Music]
[12:14] [Applause]
[12:15] [Music]
[12:16] [Applause]
[12:19] [Music]
[12:23] [Applause]
[12:25] [Music]
[12:26] [Applause]
[12:28] Hey
[12:31] [Applause]
[12:33] [Music]
[12:36] [Applause]
[12:36] [Music]
[12:40] you
[12:42] [Applause]
[12:45] [Music]
[12:57] [Applause]
[12:59] [Music]
[13:01] [Applause]
[13:02] [Music]
[13:04] [Applause]
[13:08] [Music]
[13:08] [Applause]
[13:26] [Music]
[13:27] [Applause]
[13:30] [Music]
[13:31] [Applause]
[13:36] [Music]
[13:38] [Applause]
[13:40] [Music]
[13:48] Hey
[13:49] [Applause]
[13:53] [Music]
[14:00] [Applause]
[14:08] [Music]
[14:09] [Applause]
[14:11] [Music]
[14:11] [Applause]
[14:20] [Music]
[14:26] [Applause]
[14:32] [Music]
[14:48] [Applause]
[14:57] [Music]
[14:59] [Applause]
[14:59] [Music]
[15:02] [Applause]
[15:04] [Music]
[15:04] [Applause]
[15:08] [Music]
[15:09] [Applause]
[15:10] [Music]
[15:18] [Applause]
[15:19] [Music]
[15:23] [Applause]
[15:26] [Music]
[15:29] [Applause]
[15:30] [Music]
[15:36] [Applause]
[15:36] [Music]
[15:39] [Applause]
[15:40] [Music]
[15:42] [Applause]
[15:51] [Applause]
[15:51] [Music]
[15:53] [Applause]
[15:56] [Music]
[15:56] [Applause]
[16:04] [Music]
[16:06] [Applause]
[16:08] [Music]
[16:10] [Applause]
[16:17] [Music]
[16:20] [Applause]
[16:22] [Music]
[16:25] [Applause]
[16:28] [Music]
[16:34] [Applause]
[16:39] [Music]
[16:42] [Applause]
[16:44] [Music]
[16:46] [Applause]
[16:49] [Music]
[16:55] [Applause]
[16:57] [Music]
[17:02] [Applause]
[17:08] [Music]
[17:15] [Applause]
[17:16] [Music]
[17:17] [Applause]
[17:19] [Music]
[17:21] [Applause]
[17:24] [Music]
[17:37] [Applause]
[17:39] [Music]
[17:42] [Applause]
[17:45] [Music]
[17:48] [Applause]
[17:50] [Music]
[17:51] [Applause]
[17:56] just as we before we go to prayer just
[17:59] to mention these prayer requests here
[18:02] and those Joseph doesn't know about
[18:07] Wayne Shepherd had passed away which is
[18:09] when I remember the grace of God to him
[18:11] and his family at this time and we just
[18:15] asked God bless them be with them was a
[18:18] the morning at lost a loved one here
[18:21] upon this earth and also for the Steen
[18:24] brooch again the notes that this morning
