date,status,speaker,title,url,last_checked,language,type,description,duration,church,first_scraped,video_status,video_removed_date
2026-01-25,Success,A Position of Dominion Pt 6,20260125,https://www.youtube.com/watch?v=vT2pTzhyKrs,2026-01-27,Unknown,Full Sermon,,0.0,Evening Light Fellowship CA,2026-01-27,available,
2026-01-22,Success,Teach Us To Pray Pt 5,20260121,https://www.youtube.com/watch?v=nrAtXbPs774,2026-01-27,Unknown,Full Sermon,,0.0,Evening Light Fellowship CA,2026-01-27,available,
2026-01-18,No Transcript,Jon Curlett,20260118 - A Position of Dominion  Pt. 5 - The Nature Of Our Battle - Bro Jon Curlett,https://www.youtube.com/watch?v=13KQYen68CU,2026-01-25,Unknown,Church Service,Scriptures & Quotes: https://drive.google.com/file/d/1ofiQHsmLLhLOhnbYa6u6FQV0K8RKzBA9/view?usp=sharing,141.0,Evening Light Fellowship CA,2026-01-25,available,
2026-01-15,Success,Hold The Line,20260114,https://www.youtube.com/watch?v=RGlpMbSpkuE,2026-01-21,Unknown,Full Sermon,,0.0,Evening Light Fellowship CA,2026-01-21,available,
2026-01-11,Success,The final Say,20260111,https://www.youtube.com/watch?v=8AgseCuVrGc,2026-01-18,Unknown,Full Sermon,,0.0,Evening Light Fellowship CA,2026-01-18,available,
2026-01-11,Success,The War For Atmospheres,20260110,https://www.youtube.com/watch?v=Vfn5RLXhiWY,2026-01-16,Unknown,Full Sermon,,0.0,Evening Light Fellowship CA,2026-01-16,available,
2026-01-10,Success,Called Out To Conquer,20260109,https://www.youtube.com/watch?v=JVprDNOoICA,2026-01-16,Unknown,Full Sermon,,0.0,Evening Light Fellowship CA,2026-01-16,available,
2025-12-28,No Transcript,Jon Curlett,20251228 - Recognizing Your Opportunity - Bro. Jon Curlett,https://www.youtube.com/watch?v=QCt5MN89QGk,2026-01-16,Unknown,Church Service,Scriptures and Quotes: https://drive.google.com/file/d/1-XGqVuJZwTySpod0QHfykiAsjrfGPWLt/view?usp=sharing,151.0,Evening Light Fellowship CA,2026-01-16,available,
2025-12-14,No Transcript,,Christmas Program 12-14-2025,https://www.youtube.com/watch?v=PCgE_Oui_CA,2026-01-16,Unknown,Christmas Program,,157.0,Evening Light Fellowship CA,2026-01-16,available,
2025-12-11,No Transcript,Jon Curlett,20251207 - Teach Us To Pray Pt 4 - The Right Kind Of Listener - Bro Jon Curlett,https://www.youtube.com/watch?v=25zBc98B_wg,2026-01-16,Unknown,Church Service,Scriptures & Quotes: https://drive.google.com/file/d/1qCkLln75mST9sunfIKgLTv6jW-VxPWlN/view?usp=sharing,140.0,Evening Light Fellowship CA,2026-01-16,available,
2025-11-13,No Transcript,Jon Curlett,20251112 - Teach Us To Pray Pt. 2 - Restoring Fellowship Pt. 2  - Bro Jon Curlett,https://www.youtube.com/watch?v=P-QwylufAZc,2026-01-16,Unknown,Church Service,Scriptures & Quotes: https://drive.google.com/file/d/19iCvb9yQlRKj91ck09C38c9-OCuMSL9t/view?usp=sharing,147.0,Evening Light Fellowship CA,2026-01-16,available,
2025-11-02,No Transcript,Mark Coffey,20251102 - Plan of Redemption Pt. 4 - Bro Mark Coffey,https://www.youtube.com/watch?v=4IuojVEpnJY,2026-01-16,Unknown,Church Service,Scriptures & Quotes: https://drive.google.com/file/d/1-E27mzE_ULBh733L-t6Auysujxzoxwlh/view?usp=sharing,133.0,Evening Light Fellowship CA,2026-01-16,available,
2025-10-26,No Transcript,Jon Curlett,"20251026 - The Token Life Pt 92 - The Mystery, Finished Pt 12 - Bro Jon Curlett",https://www.youtube.com/watch?v=7DxtnvJASsw,2026-01-16,Unknown,Church Service,Scriptures & Quotes: https://drive.google.com/file/d/13MEDbuUIhUq2DHGGtfb5gmpIesf-GRDx/view?usp=sharing,167.0,Evening Light Fellowship CA,2026-01-16,available,
2025-10-12,No Transcript,Jon Curlett,"20251012 - The Token Life Pt 88 - The Mystery, Finished Pt 8 - Bro Jon Curlett",https://www.youtube.com/watch?v=ms_CrcSVXAM,2026-01-16,Unknown,Church Service,Scriptures & Quotes: https://drive.google.com/file/d/1xG9PYLkZX2Mju8ZaCd72LleS4hmYowWC/view?usp=sharing,160.0,Evening Light Fellowship CA,2026-01-16,available,
2025-10-09,No Transcript,Garfield Grant,20251008 - Hidden Purpose of God - Bro. Garfield Grant,https://www.youtube.com/watch?v=gW12yJHSOp0,2026-01-16,Unknown,Church Service,Scriptures & Quotes: https://drive.google.com/file/d/1gP4kvVgfJxq6E3GIgHQeMDdX2C1acZZz/view?usp=sharing,143.0,Evening Light Fellowship CA,2026-01-16,available,
2025-10-05,No Transcript,Gideon Gunawan,20251005 - Season Of Worship - Bro. Gideon Gunawan,https://www.youtube.com/watch?v=poYkzVt2LIE,2026-01-16,Unknown,Church Service,,163.0,Evening Light Fellowship CA,2026-01-16,available,
2025-10-02,No Transcript,Jon Curlett,"20251001 - The Token Life Pt 87 - The Mystery, Finished Pt 7 - Bro Jon Curlett",https://www.youtube.com/watch?v=p4xUZyFTPZs,2026-01-16,Unknown,Church Service,Scriptures & Quotes:  https://drive.google.com/file/d/1MJRpD-RXqJlLWw4a_1ylUjGijCdF9fjh/view?usp=sharing,157.0,Evening Light Fellowship CA,2026-01-16,available,
2025-09-28,No Transcript,Carmen Mills,20250928 - When We Don't Know What To Do - Bro. Carmen Mills,https://www.youtube.com/watch?v=GPflWpRVgUc,2026-01-16,Unknown,Church Service,,133.0,Evening Light Fellowship CA,2026-01-16,available,
2025-09-12,No Transcript,Jon Curlett,20250910 - The Token Life Pt 82 - The Restoration Message Pt 3  - Bro Jon Curlett,https://www.youtube.com/watch?v=RduA76_nV2w,2026-01-16,Unknown,Church Service,Scriptures & Quotes: https://drive.google.com/file/d/1aFLGId6Ux9ezPRHfirgGFnYLE3n8r6Vx/view?usp=sharing,140.0,Evening Light Fellowship CA,2026-01-16,available,
2025-08-31,No Transcript,Jon Curlett,20250831 - The Token Life Pt 81 - The Restoration Message Pt 2  - Bro Jon Curlett,https://www.youtube.com/watch?v=TE-F3QLLAN8,2026-01-16,Unknown,Church Service,Scriptures & Quotes https://drive.google.com/file/d/1MwDY6aGQCG9MYVGMKA7f_BKeXqzizwJo/view?usp=sharing,133.0,Evening Light Fellowship CA,2026-01-16,available,
2025-08-24,No Transcript,Jon Curlett,"20250824 - The Token Life Pt 79 - The Mystery, Finished Pt 4 - Bro Jon Curlett",https://www.youtube.com/watch?v=S3LeL09EmAc,2026-01-16,Unknown,Church Service,Quotes and Scriptures: https://drive.google.com/file/d/1ZXRdn7CQgh9hQ4m7gLpZrXldHuKGo5cu/view?usp=sharing,141.0,Evening Light Fellowship CA,2026-01-16,available,
2025-07-31,No Transcript,Jon Curlett,20250730 - The Token Life Pt 72 -The Mind of Christ Pt 1 - Bro Jon Curlett,https://www.youtube.com/watch?v=lgl8nOtF1nA,2026-01-16,Unknown,Church Service,Scriptures & Quotes: https://drive.google.com/file/d/1ax5Mk7MhmT-NaW0kFfqO0UYcGh3QMaDx/view?usp=sharing,153.0,Evening Light Fellowship CA,2026-01-16,available,
2025-07-06,No Transcript,Jon Curlett,20250706 - The Token Life Pt 65 - Absolute Power Pt 8 - Bro Jon Curlett,https://www.youtube.com/watch?v=BJpz0U5WInM,2026-01-16,Unknown,Church Service,Quotes and Scriptures: https://drive.google.com/file/d/1qqptJBcF5lsjjFNar2xz7oGIIPn8loWz/view?usp=sharing,148.0,Evening Light Fellowship CA,2026-01-16,available,
2025-05-18,No Transcript,Jon Curlett,20250518 - The Token Life Pt 54 - No Room For Fear Pt 5 - Bro. Jon Curlett,https://www.youtube.com/watch?v=MM8WTTl6nE0,2026-01-16,Unknown,Church Service,Quotes and Scriptures: https://drive.google.com/file/d/1wiYn7Gm2pL5b51_YTpk46r2F17lVmBw8/view?usp=sharing,149.0,Evening Light Fellowship CA,2026-01-16,available,
2025-04-10,No Transcript,Jon Curlett,20250409 - The Token Life - Pt 48 - The Divided Kingdom - Pt 3 - Bro. Jon Curlett,https://www.youtube.com/watch?v=-edp5JA8d88,2026-01-16,Unknown,Church Service,Quotes and scriptures: https://drive.google.com/file/d/1iTnXaQsM7Y6R8T_rRfI_RTyFkwqx88Bo/view?usp=sharing,140.0,Evening Light Fellowship CA,2026-01-16,available,
2025-03-30,No Transcript,Barry Coffey,20250330 - Springs Of Living Water - Bro. Barry Coffey,https://www.youtube.com/watch?v=WMdGKgtylsE,2026-01-16,Unknown,Church Service,Quotes and Scriptures: https://drive.google.com/file/d/12mTez5aNQJMV2OBKfuCsLda1rre---AK/view?usp=sharing,168.0,Evening Light Fellowship CA,2026-01-16,available,
2025-03-20,No Transcript,Jon Curlett,20250319 - The Token Life - Pt 44 - A True Conversion - Pt. 1 - Bro. Jon Curlett,https://www.youtube.com/watch?v=wEpEG_anKt0,2026-01-16,Unknown,Church Service,Scriptures & Quotes: https://drive.google.com/file/d/1yMfv-LBzhGc2dGmYYecbn0PdrVm7Tw5q/view?usp=sharing,141.0,Evening Light Fellowship CA,2026-01-16,available,
