date,status,speaker,title,url,last_checked,language,type
2025-12-07,Success,Stephen Coffey,Get Off The Ridgeline - Bro. Stephen Coffey,https://www.youtube.com/watch?v=-1I6yoFBZ18,2025-12-08,English,Full Sermon
2025-12-04,No Transcript,Freddy Kanana,Evening Light Fellowship - Bro. Freddy Kanana,https://www.youtube.com/watch?v=k23n2sUcV7Q,2025-12-08,Unknown,Full Sermon
2025-12-01,Success,Unknown Speaker,Evening Light Fellowship - Bro. George Smith,https://www.youtube.com/watch?v=J7ZcXngmyx0,2025-12-08,English,Full Sermon
2025-11-24,Success,Mario Chua,Covenant of Peace - Bro. Mario Chua,https://www.youtube.com/watch?v=Jt_Hgb0btrQ,2025-12-08,English,Full Sermon
2025-11-20,Success,Unknown Speaker,Valley of Opportunity - Bro. James Loveall,https://www.youtube.com/watch?v=4FlafqbVMtQ,2025-12-08,English,Full Sermon
2025-11-17,Success,Ron Peterson,Refueling The Fire Within You - Bro. Ron Peterson,https://www.youtube.com/watch?v=x9_u6-mT9PE,2025-12-08,English,Full Sermon
2025-11-13,Success,Mario Chua,Deception at The Evening Time - Bro. Mario Chua,https://www.youtube.com/watch?v=rxpCeBDflqg,2025-12-08,English,Full Sermon
2025-11-10,Success,Ron Peterson,From Form Unto Fire Part 2 - Bro. Ron Peterson,https://www.youtube.com/watch?v=KBmCPPJRB6o,2025-12-08,English,Full Sermon
2025-11-06,Success,Benny Perry,Because You Don't See It - Bro. Benny Perry,https://www.youtube.com/watch?v=ROp2KwilRw8,2025-12-08,English,Full Sermon
2025-11-02,Success,Ron Peterson,From Form Unto Fire - Bro. Ron Peterson,https://www.youtube.com/watch?v=RM5NtzyaBYg,2025-12-08,English,Full Sermon
2025-10-30,Success,Ron Peterson,From Fire Unto Form - Bro. Ron Peterson,https://www.youtube.com/watch?v=YDAhna6kIQc,2025-12-08,English,Full Sermon
2025-10-27,Success,Ron Peterson,To He That Overcometh - Bro. Ron Peterson,https://www.youtube.com/watch?v=6brZbRMsmn4,2025-12-08,English,Full Sermon
2025-10-23,Success,Ron Peterson,The Snares of Laodicea - Bro. Ron Peterson,https://www.youtube.com/watch?v=4ci9GEAFsoo,2025-12-08,English,Full Sermon
2025-10-20,Success,Steven McNeilly,The Handwriting Is On The Wall - Bro. Steven McNeilly,https://www.youtube.com/watch?v=q7dtfUOzPf0,2025-12-08,English,Full Sermon
2025-10-16,Success,Unknown Speaker,Law of Love - Bro James Loveall,https://www.youtube.com/watch?v=gWmbzrjyAVo,2025-12-08,English,Full Sermon
2025-10-13,Success,Steven McNeilly,The Love of God - Bro. Steven McNeilly,https://www.youtube.com/watch?v=SsTCv0V7Jdc,2025-12-08,English,Full Sermon
2025-10-09,No Transcript,Chris Take,The Beginning of The Bride - Bro. Chris Take,https://www.youtube.com/watch?v=v3m58XIiot4,2025-12-08,Unknown,Full Sermon
2025-10-02,No Transcript,Ron Peterson,Kept by the Power of God Unto Your Destination - Bro. Ron Peterson,https://www.youtube.com/watch?v=Dzq8q64xIYo,2025-12-08,Unknown,Full Sermon
2025-09-29,No Transcript,Steve Mcneilly,The Brook Kidron - Bro. Steve Mcneilly,https://www.youtube.com/watch?v=8InEpv0Nnnw,2025-12-08,Unknown,Full Sermon
2025-09-25,Success,Mario Chua,Season of Barrenness - Bro. Mario Chua,https://www.youtube.com/watch?v=buqWlDLunCM,2025-12-08,English,Full Sermon
2025-09-22,Success,Ron Peterson,What Must We Do To Be Saved - Bro. Ron Peterson,https://www.youtube.com/watch?v=gOVg2yMAHNs,2025-12-08,English,Full Sermon
2025-09-18,Success,Unknown Speaker,Ruth : From Forbidden to Foundation - Bro. Warren Arquisola,https://www.youtube.com/watch?v=tFUOjmHfLpk,2025-12-08,English,Full Sermon
2025-09-15,Success,Ron Peterson,Being Wholly Sanctified Unto the Lord Part 2 - Bro. Ron Peterson,https://www.youtube.com/watch?v=Y_GivVYow6Y,2025-12-08,English,Full Sermon
2025-09-11,Success,Unknown Speaker,The Inward Law Of God  - Bro. James Loveall,https://www.youtube.com/watch?v=CCehIXrrMoo,2025-12-08,English,Full Sermon
2025-09-08,Success,Ron Peterson,Communion Service  - Bro. Ron Peterson,https://www.youtube.com/watch?v=mWIwMDBWIx8,2025-12-08,English,Full Sermon
2025-09-08,Success,Ron Peterson,Being Wholly Sanctified Unto the Lord  - Bro. Ron Peterson,https://www.youtube.com/watch?v=mRAP9mluT94,2025-12-08,English,Full Sermon
2025-09-04,Success,Steve Mcneilly,An Attitude of Gratitude - Bro. Steve Mcneilly,https://www.youtube.com/watch?v=_RkzzzguAlo,2025-12-08,English,Full Sermon
2025-09-01,Success,"In The, Ron Peterson",A Table Prepared In The Presence Of Our Enemies - Bro. Ron Peterson,https://www.youtube.com/watch?v=kRFcxc4_Dp0,2025-12-08,English,Full Sermon
2025-08-28,Success,Ron Peterson,"A Prepared Place For a Prepared People, Part 2- Bro. Ron Peterson",https://www.youtube.com/watch?v=4kPsOXrG4C8,2025-12-08,English,Full Sermon
2025-08-25,Success,Ron Peterson,A Prepared Place For a Prepared People - Bro. Ron Peterson,https://www.youtube.com/watch?v=MiFDpUndMRM,2025-12-08,English,Full Sermon
2025-08-21,Success,Unknown Speaker,Daniel's Diet - Bro. Warren Arquisola,https://www.youtube.com/watch?v=U2ZlDgvxvGk,2025-12-08,English,Full Sermon
2025-08-18,Success,Steve Klar,Covenant of The Shoe - Bro. Steve Klar,https://www.youtube.com/watch?v=q1iHb8Del3E,2025-12-08,English,Full Sermon
2025-08-14,Success,Steven McNeilly,Your Identity - Bro. Steven McNeilly,https://www.youtube.com/watch?v=TPP7qtzaCXA,2025-12-08,English,Full Sermon
2025-08-11,Success,Danny Delmundo,The Bride's Inheritance- Bro. Danny Delmundo,https://www.youtube.com/watch?v=OlSGqRODHyQ,2025-12-08,English,Full Sermon
2025-08-07,Success,Ron Peterson,Spiritual Warfare in Laodicea - Bro. Ron Peterson,https://www.youtube.com/watch?v=nhD55s0cBjE,2025-12-08,English,Full Sermon
2025-08-04,Success,Ron Peterson,The Seventh Angel Has Blasted Forth His Gospel Trumpet Part 2 - Bro. Ron Peterson,https://www.youtube.com/watch?v=p2ZrS0DGNAo,2025-12-08,English,Full Sermon
2025-07-31,No Transcript,Freddy Kanana,A Hidden Life in Christ - Bro. Freddy Kanana,https://www.youtube.com/watch?v=SjFcb4oOJMI,2025-12-08,Unknown,Full Sermon
2025-07-28,Success,Freddy Masudi,The Great Mystery of Adoption - Bro. Freddy Masudi,https://www.youtube.com/watch?v=YTasnlFo_ws,2025-12-08,English,Full Sermon
2025-07-24,Success,Martin Mulumba,What House Will Thou Built Me Part 8 - Bro. Martin Mulumba,https://www.youtube.com/watch?v=XWwmZjMGsEM,2025-12-08,English,Full Sermon
2025-07-21,Success,Steven McNeilly,The Sword of the Lord and Gideon - Bro. Steven McNeilly,https://www.youtube.com/watch?v=B75Ics2UKHk,2025-12-08,English,Full Sermon
2025-07-17,Success,True Value,True Value - Bro. James Loveall,https://www.youtube.com/watch?v=zOgZpJDAnz0,2025-12-08,English,Full Sermon
2025-07-14,Success,Ron Peterson,The Seventh Angel Has Blasted Forth His Gospel Trumpet- Bro. Ron Peterson,https://www.youtube.com/watch?v=TcRWIXxugUs,2025-12-08,English,Full Sermon
2025-07-10,Success,Mario Chua,That Which Is Done Is That Which Shall Be Done - Bro. Mario Chua,https://www.youtube.com/watch?v=QGG7qW0aeNg,2025-12-08,English,Full Sermon
2025-07-07,Success,Ron Peterson,The Revealing of the Open Book was a Declaration of War Part 3 - Bro. Ron Peterson,https://www.youtube.com/watch?v=mzaxP0kmxjY,2025-12-08,English,Full Sermon
2025-07-03,Success,Unknown Speaker,Tape Service: 62-0601 Taking Sides With Jesus,https://www.youtube.com/watch?v=IkmiY5BV5w8,2025-12-08,English,Full Sermon
2025-06-30,Success,Martin Mulumba,What House Will Thou Build Me?  Part 7 - Bro. Martin Mulumba,https://www.youtube.com/watch?v=7yq4P-XkvPY,2025-12-08,English,Full Sermon
2025-06-26,No Transcript,Martin Mulumba,What House Will Thou Build Me?  Part 6 - Bro. Martin Mulumba,https://www.youtube.com/watch?v=p9CpoTFHiOU,2025-12-08,Unknown,Full Sermon
2025-06-23,Success,Ron Peterson,The Revealing of the Open Book was a Declaration of War Part 2 - Bro. Ron Peterson,https://www.youtube.com/watch?v=yNPmX6oUt-I,2025-12-08,English,Full Sermon
