################################################################################
TIMESTAMPED TRANSCRIPT
################################################################################
Source: 2021-05-05 - Wednesday Evening 552021 - Unknown Speaker.txt
Video ID: NL_5NOqYk-4
Segments: 2638
URL: https://www.youtube.com/watch?v=NL_5NOqYk-4
================================================================================
Click any timestamp to jump to that point in the video.
Format: [M:SS] or [H:MM:SS] followed by transcript text.
================================================================================

[0:02] [Music]
[0:19] [Applause]
[0:20] [Music]
[0:38] [Applause]
[0:38] [Music]
[0:42] oh
[0:45] [Music]
[0:54] [Music]
[1:07] [Music]
[1:19] [Applause]
[1:19] [Music]
[1:20] [Applause]
[1:24] foreign
[1:26] [Music]
[1:39] you
[1:41] [Music]
[2:05] [Music]
[2:34] so
[2:36] [Music]
[3:02] uh
[3:04] [Music]
[3:44] [Music]
[4:19] [Applause]
[4:19] [Music]
[4:26] so
[4:30] [Music]
[4:37] [Music]
[4:40] so
[4:43] [Music]
[4:54] so
[4:59] [Music]
[5:06] [Music]
[5:15] [Music]
[5:21] [Music]
[5:22] yeah so
[5:44] [Music]
[6:04] century
[6:09] [Music]
[6:16] [Music]
[6:22] [Music]
[6:28] [Applause]
[6:30] [Music]
[6:31] [Applause]
[6:40] [Music]
[6:46] so
[6:51] [Applause]
[6:56] [Music]
[7:10] [Music]
[7:15] it
[7:16] [Music]
[7:26] [Music]
[7:27] [Applause]
[7:30] [Music]
[7:47] [Music]
[8:11] and
[8:12] [Music]
[8:33] [Applause]
[8:38] so
[8:43] [Music]
[8:47] [Applause]
[8:48] [Music]
[9:00] [Music]
[9:06] hmm
[9:19] [Music]
[9:25] [Applause]
[9:28] [Music]
[9:58] [Music]
[10:01] [Applause]
[10:05] [Music]
[10:16] oh
[10:20] [Music]
[10:29] [Applause]
[10:31] [Music]
[10:42] [Music]
[10:44] so
[10:47] [Music]
[10:58] my
[11:00] [Music]
[11:07] [Music]
[11:12] [Applause]
[11:13] oh
[11:16] [Music]
[11:24] [Music]
[11:31] [Music]
[11:51] [Music]
[12:03] no matter what your circumstances you're
[12:05] a child of a king you've got something
[12:07] to be had god
[12:22] is
[12:36] um
[13:04] you might today
[13:25] [Music]
[13:32] do
[13:35] [Applause]
[13:39] [Music]
[14:00] foreign
[14:02] [Music]
[14:14] so
[14:20] [Music]
[14:28] so
[14:31] [Music]
[14:50] [Music]
[14:56] so
[14:59] [Music]
[15:35] [Music]
[15:47] [Music]
[15:54] [Music]
[16:03] [Music]
[16:10] [Applause]
[16:14] [Music]
[16:24] [Music]
[16:33] [Music]
[16:56] [Applause]
[16:58] [Music]
[17:02] so
[17:05] [Applause]
[17:06] [Music]
[17:07] [Applause]
[17:07] [Music]
[17:09] [Applause]
[17:09] [Music]
[17:16] oh
[17:20] [Music]
[17:37] [Applause]
[17:45] you
[17:47] [Music]
[18:52] [Music]
[19:08] oh
[19:10] [Music]
[19:36] foreign
[20:18] uh
[20:32] foreign
[21:17] [Music]
[21:51] [Music]
[22:10] foreign
[22:12] [Music]
[22:39] [Music]
[23:00] [Applause]
[23:01] [Music]
[23:21] foreign
[23:22] [Music]
[23:35] [Music]
[23:49] oh
[23:50] [Music]
[24:05] [Applause]
[24:07] [Music]
[24:15] a couple specials
[24:22] this morning
[24:32] [Applause]
[24:33] [Music]
[24:41] [Music]
[24:48] [Applause]
[24:49] [Music]
[25:13] bye
[25:22] [Music]
[25:38] [Music]
[25:48] [Applause]
[25:51] [Music]
[25:58] praise the lord and god
[26:01] wonderful he's wonderful to us
[26:05] what a privilege it is to be a christian
[26:06] tonight good to be in the house of the
[26:08] lord everybody happy say amen
[26:10] i bless you may be seated for just a
[26:12] little bit if you'd like
[26:13] just want to say what a privilege it is
[26:15] to be gathered here with you again
[26:18] in the house of the lord and shall
[26:19] appreciate the opportunity to be able to
[26:21] come by and preach to you
[26:23] appreciate brother tom for allowing us
[26:24] to come by he's um
[26:27] asked me on a few different occasions to
[26:28] try to uh
[26:30] get me over on a wednesday night and so
[26:33] back
[26:34] maybe the first or second or third of
[26:36] february or something like that
[26:37] we we come down with a mild case of
[26:39] coven
[26:40] and uh i was laughing because i said the
[26:43] worst thing the devil could have done
[26:44] was give me antibiotics
[26:47] because that means i can get on the road
[26:48] full time i didn't have to worry about
[26:50] getting sick and uh
[26:52] so then we got vaccinated right after
[26:54] that fully vaccinated by the help of the
[26:55] lord and so
[26:56] we've been on the road pretty well full
[26:57] time and uh
[26:59] so uh just happened that he rained me
[27:02] the other night and said hey can you
[27:03] come by wednesday i said
[27:05] yes i was so happy to be able to say yes
[27:07] amen
[27:08] good to see you folks again so we love
[27:10] you god bless you very much
[27:12] appreciate the lord tonight appreciate
[27:14] his grace and
[27:15] uh trusting that uh everybody come with
[27:17] an empty cup
[27:18] did you ready to be filled up
[27:22] amen that's the way you come to church
[27:23] right there all right
[27:25] it's all right i'm going to sing a song
[27:26] you don't mind and then we'll we'll get
[27:28] in the preaching part
[27:30] i like good music i was enjoying this
[27:32] music tonight
[27:34] the uh oregon and the guitar and the
[27:37] drums and all this i
[27:39] i enjoy it very very much
[27:42] if i could play the piano half as good
[27:44] as sister langley i'd turn into a pretty
[27:46] good piano player
[27:49] amen
[27:50] [Music]
[27:56] let's have a revival
[28:00] from the pulpit to the pew let's have a
[28:03] revival
[28:04] [Music]
[28:07] that starts with me and you
[28:10] that reaches out to belong stand a
[28:13] lonely
[28:14] world to bring them in it's our joy
[28:19] this is our survival
[28:23] let's pray for our holy ghost
[28:27] arrival let's have a revival
[28:33] from the pulpit to the pew let's have a
[28:36] revival
[28:37] [Music]
[28:39] that starts with me and you that
[28:43] reaches out to a long stand hungry
[28:46] we're going to bring them in this is our
[28:48] joy
[28:51] so it's hard from survival
[28:55] we'll pray for our holy ghost revival
[28:59] [Music]
[29:01] i asked an old-time preacher how
[29:04] revival came back there
[29:07] he said we always started
[29:11] upon our knees in prayer just open
[29:15] up those two books your song book and
[29:19] your bible
[29:20] if you sing and preach god's word you'll
[29:23] have a revival
[29:25] you believe that let's have a revival
[29:30] from the pulpit to the pew let's have a
[29:33] revival
[29:37] that starts with me and you that
[29:40] reaches out to a long-standing hungry
[29:43] world to bring them in this is our joy
[29:48] it's on survival let's pray for a holy
[29:54] ghost revival
[29:58] sometimes we've just come through the
[30:01] motions
[30:02] and left the spirit out
[30:05] the power in our program
[30:08] the joy in our shouts that god will
[30:12] give us back the joy it will open up our
[30:16] bible
[30:17] recite formality let's have a revival
[30:23] let's have a revival
[30:25] [Music]
[30:27] from the pulpit to the pew let's have a
[30:30] revival
[30:31] [Music]
[30:33] that starts with me and you
[30:37] that reaches out to a long stand lonely
[30:40] world to bring them in this is our joy
[30:44] [Music]
[30:45] it's our survival
[30:48] let's pray for a holy ghost
[30:52] revival this is our joy
[30:58] it's our survival let's pray for a holy
[31:03] ghost
[31:05] revival
[31:09] [Music]
[31:13] praise the lord
[31:18] praise the lord well i got that old
[31:20] seasonal stuff right down in my throat
[31:22] and i'm
[31:23] tickling like crazy but anyways we
[31:25] appreciate the lord
[31:26] appreciate god's grace you love the lord
[31:28] tonight amen how many wants to have
[31:30] revival tonight say amen
[31:32] praise the lord you say well it's
[31:34] wednesday night we don't have revival on
[31:36] wednesday night
[31:37] yeah we can sure do it we can have
[31:38] revival on wednesday night
[31:40] amen all we have to do is just let the
[31:42] lord absolutely have his way
[31:45] i guess i've sang this song 10 million
[31:47] times especially right here at the
[31:48] church i've sang it a bunch of times but
[31:50] for whatever reason i've just got it on
[31:52] my heart to sing it again tonight
[31:54] in the things familiar
[31:58] we find security
[32:03] resisting all the changes
[32:07] days and years
[32:13] when god decides to lead you
[32:17] through an open door
[32:21] inviting you to walk in
[32:24] realms you've never known before
[32:30] beyond the open door
[32:35] is a new and fresh anointing
[32:40] hear the spirit calling
[32:44] you to go
[32:47] walk on through the door
[32:52] the lord will go before you
[32:56] into our greater power
[33:00] [Music]
[33:03] you've never
[33:06] known before
[33:11] amen hear the spirit calling
[33:17] to wake the living dead
[33:21] to reach those huddled masses
[33:26] who cry out for
[33:29] living breath arise oh my
[33:35] the army take up thy shield and soar
[33:41] the father lifts his golden lamp
[33:46] inside the open door
[33:57] is a new and fresh anointing
[34:02] hear the spirit calling
[34:07] [Music]
[34:13] the lord will go before you
[34:17] into a greater power
[34:21] [Music]
[34:24] you've never known
[34:27] before whoever i'm singing this for
[34:32] tonight the door is open for you
[34:34] where he leads me
[34:39] i
[34:42] will follow
[34:47] raise a hand and say man where
[34:50] he leads me
[34:54] i
[34:58] will follow me
[35:09] i
[35:12] will follow
[35:19] i'll go with him
[35:25] with him yes lord
[35:31] the way not halfway not part of the way
[35:35] i'll go with him i'm against a man
[35:40] with him
[35:45] all
[35:49] the way
[35:55] through his opened
[35:58] door
[36:02] praise god praise god and the church
[36:05] said amen
[36:07] praise the lord
[36:10] let's stand together tonight amen i
[36:14] don't know who i sung that for but the
[36:15] door is open for you
[36:17] so appreciate the lord jesus
[36:21] isn't god good for us he's good for us
[36:24] not just good to us he's good for us you
[36:26] know that
[36:27] amen amen the lord is good for you amen
[36:30] i just um
[36:33] i just appreciate the bible been looking
[36:35] at some things this week that the lord i
[36:37] believe has
[36:38] been speaking to my heart personally on
[36:40] a personal basis just
[36:42] little things you know reading the
[36:43] scripture and i i marvel at
[36:46] how often the scriptures we read
[36:49] the things that we read in the bible
[36:51] that maybe in a way of looking at it
[36:54] we would think well that was speaking to
[36:56] that one and that one and then this one
[36:57] over there and then
[36:59] this kingdom and then that king and this
[37:01] prophet what more but
[37:02] i we could read it like that but i
[37:05] always
[37:05] marvel when i read the word how personal
[37:08] it feels
[37:09] like god's talking right to me right out
[37:11] of his scripture
[37:12] it says wait on the lord and you'll be
[37:14] strengthened and he talks about being
[37:16] overcomers and all the great things
[37:18] my love that i'll give it just feels
[37:19] like he's talking right to me
[37:21] amen that's because the bible is unlike
[37:23] any book in the world
[37:25] it's not like a dictionary or
[37:26] encyclopedia when you pick it up
[37:28] you're going to read certain things and
[37:29] those things were wrote for individuals
[37:32] that were of a specific maybe class or a
[37:35] specific profession but
[37:36] the bible was created and wrote
[37:40] for the saints of god this is why
[37:42] brethren called this god's love letter
[37:44] to you and i
[37:45] i am so glad to have a love letter love
[37:48] letter from the lord jesus christ
[37:50] to know what he thinks about me and how
[37:52] he feels about me amen
[37:54] i love the lord tonight so appreciate
[37:56] his grace let's um
[37:58] if you have your bible tonight turn to
[37:59] matthew chapter 5.
[38:01] i want to speak to you this evening on
[38:03] what are blessings
[38:06] what are blessings
[38:10] amen what are blessings
[38:23] i've been preaching on this for several
[38:25] weeks and i kept saying what is
[38:26] blessings
[38:27] and that little school teacher of mine
[38:28] said you can't say what is it's what are
[38:32] hallelujah matthew 5
[38:36] and he opened his mouth and taught them
[38:37] saying
[38:39] blessed are they let's pray together
[38:43] lord jesus we thank you so much for your
[38:45] word
[38:47] lord as i was just expressing to the
[38:48] people here just
[38:50] just a few seconds ago the meaning
[38:54] and the effect of this great letter lord
[38:56] jesus
[38:58] there are times that i don't feel your
[39:00] presence or times that i don't feel
[39:01] angels around me times i don't feel
[39:03] strengthened from saints
[39:05] there's something comforting about the
[39:07] bible to be able to
[39:09] open it up and to be able to read these
[39:10] words just to be able to hold it close
[39:13] to us and to be able to know that this
[39:14] was the very thoughts of god on paper
[39:17] lord we are so appreciative from being
[39:19] able to write
[39:20] and read from the writings rather of the
[39:23] things that have been
[39:24] lord not only just put on paper but
[39:27] people have given
[39:28] their lives for what we've read tonight
[39:30] we thank you lord for this
[39:32] great bible but yet a strange thing
[39:35] would be said by the apostle paul many
[39:37] years
[39:38] after pentecost had come when he lets us
[39:41] know
[39:42] that the letter kills but the spirit
[39:43] gives life so father tonight we pray
[39:46] that you will come by your anointing
[39:48] that you'll place the anointing of the
[39:49] holy spirit upon this book tonight
[39:52] and that you will edifice by our
[39:54] gathering together
[39:55] may the holy ghost take this word this
[39:57] evening
[39:58] and quicken it to our hearts open our
[40:00] hearts that we may receive
[40:02] open my heart that i may give use me as
[40:04] a vessel now lord and
[40:06] give us the strength that we need lord
[40:07] jesus to understand what you would speak
[40:09] to us tonight by thy word
[40:11] in the name of jesus jesus christ we
[40:14] pray bless every person in divine
[40:15] presence and those
[40:16] that will be streaming online we pray
[40:18] the holy ghost we'll meet them right
[40:19] with their aunt
[40:21] do great things lord healing of the body
[40:22] and moving upon their minds and their
[40:25] thoughts and whatever more they might
[40:26] have need of tonight
[40:27] as we commit this to you lord in the
[40:28] name of jesus christ
[40:30] amen and all the saints said amen you
[40:33] may be seated may the lord bless you
[40:39] what are blessings
[40:43] you know i guess if i took a poll and i
[40:47] sat down with all of you and i maybe had
[40:49] a survey
[40:50] laid out of different questions about
[40:53] what
[40:53] you might think blessings are i imagine
[40:56] every single one of us would probably be
[40:59] in a different mindset about what
[41:02] blessings are
[41:03] some of us would probably say perhaps
[41:05] that you know that the blessings of god
[41:07] are
[41:08] financial maybe somebody would say that
[41:11] the blessings of god are
[41:13] um you know perhaps maybe the way that
[41:16] god would heal bodies
[41:17] or bring peace to marriages or bring
[41:21] peace to children
[41:22] maybe it would be the way that god has
[41:24] blessed a business
[41:25] and all of those things are degrees of
[41:28] blessings it's true
[41:30] that they all have their levels of
[41:32] blessings if you will
[41:34] god does bless us in those manners but
[41:36] the true blessing of god
[41:38] and the blessing that i want to
[41:39] certainly try to emphasize tonight
[41:42] is a whole lot deeper than just the
[41:44] blessing that we get whenever we are
[41:47] maybe offered extra in the paycheck or
[41:49] we've been given a promotion
[41:50] or some kind of new thing has happened
[41:52] and we've been upped in life
[41:55] but the last
[41:58] thing that i want to talk about is on
[42:00] this wise
[42:01] the true blessing of god which is the
[42:03] indwelling of the holy spirit
[42:05] and then from that baptism of the holy
[42:07] ghost we are led
[42:08] into the things of god into the
[42:10] revelation of the holy spirit
[42:11] and that revelation takes us into a deep
[42:14] understanding of who jesus christ
[42:16] is who we are and how we all fit
[42:18] together in this program of god
[42:20] so i want to liken for you tonight and
[42:23] kind of parallel if you will
[42:24] the blessing the word blessing of god or
[42:26] that word blessings
[42:28] with the word repentance and i'd like to
[42:30] use if i could
[42:31] just as an example the message of future
[42:34] home
[42:35] when brother branham explains to us
[42:36] repentance and you have to understand
[42:38] when brother adam goes to approach a
[42:39] repentance this way it's probably the
[42:41] first time
[42:42] that most anybody had ever heard
[42:43] repentance approached this way
[42:45] but he talked about that repentance
[42:47] could come so far
[42:48] that a person used the days of noah when
[42:51] they come to the anne luvion and god
[42:53] saved eight on the ark through the
[42:56] floods
[42:57] and he talked about that being salvation
[43:00] in the form or the type of a christian
[43:02] with the earth
[43:03] paralleling a christian's life he said
[43:05] that the earth was saved
[43:07] in the days of noah even the bible
[43:09] speaks about eight being
[43:11] saved or salvation being applied to
[43:14] those time periods into those days
[43:16] but then notice that he talked about sin
[43:19] coming out on the other side
[43:21] so salvation or repentance as we would
[43:24] look at the type of it
[43:25] the earth as it was come up to the altar
[43:27] give its heart to god
[43:28] got saved and then got baptized but
[43:31] there was
[43:32] nothing prepared inside the earth or
[43:34] nothing
[43:35] made of a fire baptism to turn the earth
[43:38] into its original condition
[43:40] by spoken word which would have been
[43:42] without sin diseased germ
[43:44] there had been no wars that have been
[43:46] none of these type of things
[43:47] had salvation been fully given to the
[43:51] earth in the days of noah
[43:53] we would already be in the paradises of
[43:55] god with the new study setting here
[43:56] and science of god going in and out but
[43:59] now remember the earth
[44:01] got saved but there was only a degree of
[44:04] salvation
[44:05] that took it so far then brother mike is
[44:07] that to an
[44:08] individual that the same exact thing
[44:10] happens for those
[44:11] that will hear acts 2 38 they'll repent
[44:15] they'll repent and they'll come up so
[44:17] far and yet not go
[44:19] all the way into the baptism of the holy
[44:21] ghost by the way
[44:22] judas was such a person that had
[44:24] repented
[44:25] justified which is repentance and then
[44:28] sanctified
[44:29] even by the blood of jesus christ when
[44:31] jesus said
[44:32] by the word of god i mean to say that he
[44:34] said sanctify
[44:36] him by thy word thy word is truth that
[44:38] was judas
[44:39] all the way up through sanctification
[44:41] even repentant to the spot
[44:43] to where that jesus could even share
[44:46] part of his holy ghost given ministry
[44:49] with all 12 disciples judas included so
[44:52] the degree of repentance that he had
[44:54] brought him all the way up to that point
[44:56] to where that he kissed
[44:57] he kisses jesus in the garden of
[44:59] gethsemane and then turns away
[45:01] as we know the rest of the story satan
[45:03] enters into him at the supper
[45:05] and then judas goes to his place so
[45:07] repentance carried him that far
[45:09] but yet he did not receive full
[45:11] repentance you understand that a person
[45:14] whether they're in a message church or
[45:15] out of a message church
[45:17] could hear the message of salvation and
[45:20] just
[45:20] and that's saint john 3 16 god so loved
[45:22] the world he gave
[45:23] and here that they could repent and be
[45:25] saved by jesus christ
[45:27] and actually receive salvation
[45:30] to a degree to a degree that they can
[45:33] even be saved from the world
[45:35] be saved from maybe habits of alcohol or
[45:37] drugs
[45:38] or abuses of some kind uh some kind of
[45:41] misabuse with their body perhaps or
[45:42] homosexual or
[45:44] you know just some kind of a thing out
[45:45] there running around causing havoc all
[45:47] the time
[45:48] and they can hear the gospel preached
[45:50] and actually repent to the point
[45:52] to where that they are saved now listen
[45:55] close
[45:56] but that does not mean if a person is
[45:58] saved
[45:59] that does not mean they are baptized
[46:01] with the holy ghost
[46:03] remember the earth has been saved since
[46:06] the days of noah but the earth don't
[46:07] have the holy ghost yet
[46:09] it will take a period of time in which
[46:12] that the holy spirit
[46:13] will come upon this earth and give it
[46:16] its fiery baptism and then revert it
[46:18] back
[46:19] to the original back to what god
[46:20] intended in the very beginning
[46:22] no diseased germs brother i haven't
[46:24] talked about the holy fire of god will
[46:26] cleanse the atmosphere around us
[46:28] they won't have to wear any mask in
[46:30] heaven because there won't be any
[46:31] respiratory diseases
[46:33] none of that all of the atmosphere will
[46:35] be cleansed
[46:36] 100 completely cleansed out there won't
[46:38] be any disease germs or demonology or
[46:40] nothing for the
[46:41] for demons to work with for all of that
[46:43] will be cleansed
[46:44] at its fire baptism same thing with you
[46:46] when you receive the baptism of the holy
[46:48] ghost
[46:49] all sins of unbelief and all these other
[46:52] things were completely purged
[46:54] out of your soul remember when a person
[46:57] friend
[46:57] is truly born again of the holy spirit
[46:59] any evilness or any
[47:01] meanness or anything contrary to the
[47:03] word as
[47:04] completely taken out of their heart when
[47:07] you see folks
[47:08] that claim to be saved and forever see
[47:10] the holy ghost and they're still
[47:11] struggling and battling
[47:12] with that old temper my wife had a good
[47:14] remark we were speaking about an
[47:16] individual yesterday
[47:18] that has been in church for many many
[47:20] many years and we love this brother and
[47:21] we love we appreciate him but
[47:23] it's just we've known him since we were
[47:24] a little bitty and you know he he
[47:26] claims to be a believer and he claims to
[47:28] be a christian but yet he's got the same
[47:30] attitude the same type nature
[47:32] he's never had any kind of evident
[47:35] change in his life whatsoever and as
[47:37] much as i love
[47:38] this man as much as i would want to help
[47:40] this man i realize that until a person
[47:42] fully gives their heart or the throne
[47:44] room of their heart
[47:46] for jesus to set down upon that throne
[47:48] room
[47:49] i don't care how much they go to church
[47:51] i don't care how much they read the
[47:52] message i don't care how holy they might
[47:54] be
[47:54] they can give a tenth of their living
[47:56] and offering every time they walk
[47:57] through the door
[47:58] and be the best a manner in the service
[48:01] praise the lord
[48:02] any takers on that one tonight amen
[48:05] there could be all of that but yet at
[48:06] the very same time
[48:08] still never move into the real condition
[48:12] of being born again by the holy spirit
[48:15] this is why the prophet of god taught us
[48:17] and this is why the bible taught us
[48:19] that there will be those that can come
[48:20] right up to the border
[48:22] and they can taste of the heavenly gift
[48:25] they can partake
[48:26] of supernatural things and yet never
[48:29] cross fully over
[48:30] into that realm so we know then that
[48:33] that be the way with repentance the
[48:35] blessings of the lord are exactly the
[48:37] same way now mind you i'm going to have
[48:39] to kind of
[48:40] skim through some of this have to do
[48:42] your homework later because i can't get
[48:44] all these scriptures in and be out of
[48:45] here at a reasonable time
[48:46] but when we look at what jesus said
[48:48] about the rain
[48:50] remember the rain is a type of the holy
[48:52] ghost as we know
[48:53] we go back into the days of moses
[48:55] whenever the manna
[48:56] was falling the manna had rained down
[48:59] out of heaven that was a type
[49:01] of the holy ghost and then jesus said
[49:03] that the rain
[49:04] falls on the just and it also falls
[49:07] on the unjust don't forget friends and
[49:10] let's not be
[49:11] deceived into believing that every
[49:13] person that feels the holy spirit
[49:15] is truly a child of god every person
[49:18] that walks on the face of this planet
[49:19] let a good rain come out of the heavens
[49:21] whether they're they could be
[49:23] the awfulest human being and i'll just
[49:25] hold back on making details of it
[49:27] but they could be the worst human being
[49:28] to ever walk the face of this planet
[49:30] and they can enjoy the rain the same
[49:34] as the best person to ever walk shoe
[49:36] leather because the rain
[49:37] and the sun and all of that it shines
[49:40] and it rains and it falls
[49:41] upon any human being that can walk out
[49:44] upon
[49:45] the face of this earth the same way with
[49:47] the blessings of god
[49:49] god can bless any person i don't care
[49:51] who they are
[49:52] whether they be a prostitute whether
[49:54] they be a drunkard whether it be a liar
[49:56] whether they be any part of them that
[49:58] may not have any christianity at all
[50:00] if they learn how to operate the law of
[50:03] god
[50:03] they can be blessed to a degree uh many
[50:06] years ago i was in
[50:07] in concert with a brother a pastor in
[50:10] the message that
[50:11] had taught his children to always pay
[50:14] tithes and pay offerings now this one
[50:16] young man
[50:16] he was a uh he was a businessman a very
[50:19] successful businessman
[50:20] he spent a lot of his time building up
[50:23] businesses and let me tell you something
[50:24] his own father would say
[50:26] this is the most deceitful cruel
[50:28] backbiting undercut human being
[50:30] on the face of the planet when he made a
[50:32] business deal if he thought that she was
[50:34] going to cheat you
[50:35] that just made the whole deal that much
[50:36] sweeter for him but this man had been
[50:39] taught
[50:39] to pay tithes and to give offerings and
[50:42] because
[50:43] he had always been faithful paying ties
[50:45] and had always been
[50:47] faithful to paying offerings he said his
[50:49] own father would testify
[50:50] this low down this low down creature my
[50:53] son that needs the baptism of the holy
[50:55] ghost and needs to get saved
[50:57] worse than any person i know i've
[50:59] watched god bless him in a degree
[51:01] because he would do that much of the
[51:04] word and that's true
[51:05] the prophet talked about how that a
[51:07] prostitute could walk up through the
[51:09] prayer line
[51:10] hear the gospel of salvation hear the
[51:12] gospel of healing
[51:14] and step right into that atmosphere and
[51:16] believe the lord for healing
[51:18] and walk out on the platform completely
[51:21] healed and a staunch christian he said
[51:24] walk out completely defeated
[51:27] what we have to be careful of and please
[51:30] allow me a moment to plug this in here
[51:32] quickly before we go on
[51:33] and don't forget this what we've got to
[51:36] be mindful of is that
[51:37] blessings within itself does not
[51:41] make the approval from god for you
[51:44] if a person is blessed and what we call
[51:47] blessings i think a lot of time is just
[51:50] maybe they've just learned how to work
[51:51] on the devil's side a little bit
[51:55] you know satan has the ability to make
[51:57] things happen in the world
[51:59] i'll agree with that i'm sure i mean
[52:01] let's just face facts elections and
[52:03] things like that are decided
[52:05] let's not be let's not be simple in our
[52:08] mind let's
[52:09] let's think deeply really we say well
[52:11] the lord is the one that puts the kings
[52:13] in and puts the kings out i agree with
[52:15] that
[52:15] but also the devil has a big say in how
[52:18] all of that operates
[52:19] he knows how to rally people together he
[52:21] knows how to put this together and that
[52:23] politic together and this thing together
[52:25] and satan knows exactly how to construct
[52:28] the perfect plan and god just lets him
[52:30] do it because whatever god's will is
[52:33] he's going to allow the devil to do what
[52:35] he needs to do
[52:36] in order to work out the plan of god
[52:39] hey listen i'm just i'm just as hurt and
[52:41] deeply and cry every night that trump
[52:43] didn't get in a second time just like
[52:44] you are i cry every night about it just
[52:46] like you do
[52:48] but somehow another almighty god had a
[52:51] purpose
[52:52] in the way that our election went just
[52:54] this past election
[52:56] there is a reason that things don't go
[52:58] in a certain direction
[52:59] and there's a reason some people are
[53:01] what we call blessed in this life
[53:04] and a reason why some people aren't
[53:07] i'm going to try my best to burst this
[53:09] little balloon
[53:10] that some of us live under tonight and
[53:14] pardon me if you wondering what i'm
[53:15] doing uh my uh
[53:17] my uh my i've got that little device on
[53:19] did i tell you about it my sugar's on
[53:21] that thing and it keeps trying to go out
[53:22] on me and i'm trying to keep it alive
[53:24] where i can walk
[53:27] but you remember when we were talking
[53:29] some time ago
[53:32] let me just let me just lay this in to
[53:34] you quickly before we go into the real
[53:35] depth of what i want to say
[53:38] we were talking some time ago here at
[53:39] the church sometime last year
[53:42] about you know how that sometimes people
[53:44] feel like
[53:46] if god really loved them that he would
[53:49] bless them
[53:50] with abundances remember us talking
[53:52] about this some time ago
[53:53] well that particular talk here is what
[53:55] led me into this tonight
[53:57] and i guess i've shared this with half
[53:59] the country already just in the last few
[54:01] months
[54:02] and the thing that i discovered when i
[54:04] was preaching this is how many people
[54:07] actually tie god's love and his approval
[54:10] and favor
[54:12] to the level of what they think is
[54:14] blessings
[54:19] and what we've got to be careful of is
[54:21] we've got to realize
[54:22] blessings are not always what we think
[54:25] blessings are
[54:28] i'm glad y'all are hollering amen to
[54:30] that because what we're getting ready to
[54:31] get into might be a little sticky
[54:34] are you ready galatians chapter 3
[54:38] verse 13. now the blessing for the bride
[54:41] is not necessarily financial
[54:45] right a lot of times god's children are
[54:48] not rich people
[54:50] as far as paying tithes and things go i
[54:53] hear a lot of preachers preaching about
[54:54] how that god will bless you financially
[54:56] but listen if you pay your tithes and
[54:57] offers god does a whole lot more than
[54:59] bless you financially
[55:01] he blesses your prayer life he'll bless
[55:04] your marriage
[55:05] he'll bless your walk with god he'll
[55:06] give you peace come on now
[55:09] he'll bless you in a whole lot more ways
[55:10] than just money
[55:15] the bible said that a wise man leaves an
[55:17] inheritance
[55:18] to his children i've been thinking about
[55:21] this for a couple of weeks myself
[55:23] being a daddy and i've got girls coming
[55:24] up i think what kind of inheritance
[55:26] can i leave for them i keep thinking
[55:28] lord with as much money as goes out in
[55:30] this ministry on
[55:31] gas and all these other kind of things i
[55:33] better get to me a job at mcdonald's
[55:34] pretty quick
[55:35] or walmart greeter or something i better
[55:39] start stocking up and it seemed like i
[55:40] was going into the store the other day
[55:42] and it seemed like the holy spirit said
[55:43] to me is that the only thing you think
[55:45] inheritance is
[55:49] that's not the only part of inheritance
[55:52] how about leaving for them the ability
[55:53] to know how to pray
[55:55] how to love how to read the bible how to
[55:58] behave in church
[56:00] how to treat other people is that not
[56:02] also friends
[56:03] a type of an inheritance that we can
[56:05] leave for our children
[56:06] well don't the world leave that type of
[56:08] inheritance for their people
[56:10] how they treat them and how they speak
[56:11] and how they act sure it's on the
