################################################################################
TIMESTAMPED TRANSCRIPT
################################################################################
Source: 2022-03-13 - Sunday Morning 3-13-2022 Bro. Brad Powell - Brad Powell.txt
Video ID: Og-QjwTfsFQ
Segments: 2981
URL: https://www.youtube.com/watch?v=Og-QjwTfsFQ
================================================================================
Click any timestamp to jump to that point in the video.
Format: [M:SS] or [H:MM:SS] followed by transcript text.
================================================================================

[0:00] [Music]
[0:16] [Music]
[0:39] [Music]
[0:50] [Music]
[0:55] foreign
[1:02] [Music]
[1:26] [Music]
[1:38] um
[1:42] [Music]
[1:49] [Music]
[2:01] [Music]
[2:16] so
[2:30] [Music]
[2:38] [Music]
[2:50] [Music]
[2:55] so
[2:58] [Music]
[3:22] so
[3:36] so
[3:46] [Music]
[3:50] so
[3:58] [Music]
[4:15] [Music]
[4:24] [Music]
[4:41] foreign
[4:46] [Music]
[4:57] [Music]
[5:01] so
[5:11] [Music]
[5:19] [Music]
[5:32] [Music]
[5:42] [Music]
[5:54] [Music]
[6:20] [Music]
[6:28] [Music]
[6:45] thank you
[6:56] [Music]
[7:06] [Music]
[7:13] [Music]
[7:25] [Music]
[7:36] [Music]
[7:48] [Music]
[8:01] [Music]
[8:14] so
[8:17] [Music]
[8:22] [Music]
[8:29] [Music]
[8:33] good
[8:55] [Music]
[9:06] foreign
[9:07] [Music]
[9:16] thank you
[9:18] [Music]
[9:28] [Music]
[9:47] [Music]
[10:05] [Music]
[10:16] food
[10:17] [Music]
[10:25] [Music]
[10:33] [Music]
[10:38] good
[10:41] [Music]
[10:53] [Music]
[10:57] foreign
[11:00] [Music]
[11:09] [Music]
[11:34] foreign
[11:52] [Music]
[12:13] [Music]
[12:20] yes
[12:23] [Music]
[12:36] food
[12:44] [Music]
[12:50] [Music]
[12:56] [Music]
[13:02] [Music]
[13:13] [Music]
[13:14] so
[13:17] [Music]
[13:23] so
[13:25] [Music]
[13:35] [Music]
[13:41] [Music]
[13:58] foreign
[14:06] [Music]
[14:13] hmm
[14:17] [Music]
[14:36] so
[14:41] [Music]
[15:09] [Music]
[15:21] [Music]
[15:24] foreign
[15:25] [Music]
[15:39] oh
[15:41] [Music]
[15:47] [Music]
[15:58] [Music]
[16:20] right
[16:21] [Music]
[16:26] uh
[16:30] [Music]
[17:13] right
[17:19] uh
[17:22] [Music]
[17:31] [Music]
[17:36] thank you
[17:37] [Music]
[17:46] [Music]
[17:58] right
[18:06] this
[18:07] [Music]
[18:27] [Music]
[18:37] foreign
[19:08] [Music]
[19:22] right
[19:27] [Music]
[19:35] foreign
[19:40] [Music]
[19:50] right
[19:53] [Music]
[19:59] [Music]
[20:17] [Music]
[20:27] [Music]
[20:37] [Music]
[20:47] [Music]
[20:53] yes
[20:59] [Music]
[21:07] [Music]
[21:22] [Music]
[21:34] so
[21:53] [Music]
[21:59] [Music]
[22:10] [Music]
[22:22] [Music]
[22:36] [Music]
[22:46] [Music]
[23:03] so
[23:08] [Music]
[23:25] [Music]
[23:48] roof
[23:54] [Music]
[23:59] [Music]
[24:14] so
[24:16] [Music]
[24:22] [Music]
[24:33] [Music]
[24:43] me
[24:47] so
[24:48] [Music]
[25:03] [Music]
[25:14] [Music]
[25:19] [Music]
[25:26] [Music]
[25:33] [Music]
[25:47] [Music]
[25:50] foreign
[25:53] [Music]
[26:04] [Music]
[26:13] [Music]
[26:51] [Music]
[27:02] [Music]
[27:04] great
[27:11] [Music]
[27:18] me
[27:20] [Music]
[27:29] [Music]
[27:32] oh
[27:46] foreign
[27:48] [Music]
[27:57] [Music]
[28:08] [Music]
[28:15] [Music]
[28:42] mm-hmm
[28:47] [Music]
[28:55] good morning
[28:57] good to be in the house of the lord
[28:59] for it's nice more amen
[29:01] praise the lord god bless you all this
[29:03] morning we just greet you in the name of
[29:04] the lord
[29:05] amen i know we have several out this
[29:07] morning going off to a wedding in
[29:08] johnson city john and them
[29:11] amen but
[29:12] amen we're looking forward to good
[29:13] service brother brad is going to
[29:14] minister for us this morning so
[29:16] amen hope everybody's praying for him
[29:18] and the lord will speak to us
[29:20] i do have a couple of announcements that
[29:22] i want to make
[29:23] i feel led to see if we couldn't have a
[29:26] spring get together again
[29:28] i know we hadn't done it for the last
[29:30] couple years but if you all remember you
[29:31] used to have it like a fish fry
[29:33] so
[29:34] i'm hoping me and my wife get to go down
[29:36] to florida maybe here in about three
[29:38] weeks or so and and we'll try to catch
[29:40] as many as we can
[29:42] but we need brother jeff and everybody
[29:44] on board to go get us some fish
[29:46] but anyway anyway we'll get some fish
[29:48] one way the other we got to buy him but
[29:51] would everybody like
[29:52] that everybody wanna have a spring get
[29:55] together
[29:56] all right and i'm and so we're just
[29:58] putting our feelers out
[30:00] to see when everybody can be here
[30:02] because we'd like to have everybody here
[30:03] if at all possible so if you can't clear
[30:06] your schedule or if you
[30:08] you know if you can
[30:09] and that's going to be easter weekend
[30:11] easter weekend that's the 16th of april
[30:14] that's in about six weeks
[30:16] 16th that's easter weekend or
[30:19] the week after if it works out better
[30:20] for the week after we'll do it on the
[30:22] 23rd of april okay so the 16th or the
[30:25] 23rd
[30:26] and
[30:28] what we'll do is we'll post it on our
[30:29] website and i think everybody can
[30:31] respond and maybe put in what would work
[30:33] best for you that would be all right
[30:35] 16th or 23rd and then we'll work from go
[30:37] from there would that be all right
[30:39] so let's plan on lord willing doing that
[30:42] amen been a long time since we've even
[30:44] had a hardly a fellowship in or anything
[30:47] and i think that by god's grace it looks
[30:49] like the covet is about pretty much gone
[30:55] don't everybody shout at once now
[30:58] that's awesome isn't it just to know
[31:00] that we ain't hearing a bunch of that
[31:01] mess anymore i'm certainly glad i i
[31:03] almost act silly when i go to a public
