################################################################################
TIMESTAMPED TRANSCRIPT
################################################################################
Source: 2022-03-27 - REST FROM OUR ENEMIES  3-27-2022  Pastor Bro. Thomas Byler - Thomas Byler.txt
Video ID: wktRGUD2g_4
Segments: 2888
URL: https://www.youtube.com/watch?v=wktRGUD2g_4
================================================================================
Click any timestamp to jump to that point in the video.
Format: [M:SS] or [H:MM:SS] followed by transcript text.
================================================================================

[0:07] [Music]
[0:22] [Music]
[0:36] [Music]
[0:58] [Music]
[1:20] [Music]
[1:26] [Music]
[1:30] so
[1:38] [Music]
[1:44] [Music]
[1:51] [Music]
[2:01] [Music]
[2:07] foreign
[2:15] [Music]
[2:28] [Music]
[2:37] [Music]
[2:48] foreign
[2:49] [Music]
[3:08] [Music]
[3:29] [Music]
[3:51] [Music]
[3:58] me
[4:01] [Music]
[4:09] [Music]
[4:15] [Music]
[4:23] foreign
[4:25] [Music]
[4:33] [Music]
[4:45] [Music]
[5:09] [Music]
[5:17] [Music]
[5:30] [Music]
[5:50] foreign
[5:55] [Music]
[6:03] [Music]
[6:17] [Music]
[6:27] [Music]
[6:37] [Music]
[6:51] so
[6:54] [Music]
[7:05] [Music]
[7:10] [Music]
[7:23] [Music]
[7:27] foreign
[7:32] uh
[7:34] [Music]
[7:44] [Music]
[7:56] me
[7:59] [Music]
[8:04] good
[8:07] [Music]
[8:28] [Music]
[8:34] oh
[8:39] [Music]
[8:50] [Music]
[9:01] [Music]
[9:07] oh
[9:11] [Music]
[9:23] [Music]
[9:28] so
[9:41] [Music]
[9:45] do
[9:50] [Music]
[10:02] [Music]
[10:09] so
[10:14] [Music]
[10:39] [Music]
[10:49] [Music]
[10:58] foreign
[11:00] [Music]
[11:09] [Music]
[11:50] great
[11:52] [Music]
[11:59] [Music]
[12:06] [Music]
[12:36] [Music]
[12:47] [Music]
[12:53] [Music]
[13:02] woof
[13:08] [Music]
[13:34] um
[13:37] [Music]
[13:56] [Music]
[14:02] [Music]
[14:14] foreign
[14:19] [Music]
[14:26] [Music]
[14:38] [Music]
[14:53] [Music]
[14:56] out
[15:04] [Music]
[15:16] [Music]
[15:25] right
[15:39] [Music]
[15:41] uh
[15:43] [Music]
[15:53] [Music]
[16:20] um
[16:23] [Music]
[16:36] [Music]
[16:53] [Music]
[17:03] [Music]
[17:08] right
[17:15] [Music]
[17:22] [Music]
[17:49] [Music]
[17:52] right
[18:02] [Music]
[18:22] foreign
[18:25] [Music]
[18:34] [Music]
