################################################################################
TIMESTAMPED TRANSCRIPT
################################################################################
Source: 2022-08-25 - THINGS WE TAKE FOR GRANITE 8-24-2022 Wed. Eve.  Pastor Bro Thomas Byler - Thomas Byler.txt
Video ID: _YD1dLOyd1Q
Segments: 2139
URL: https://www.youtube.com/watch?v=_YD1dLOyd1Q
================================================================================
Click any timestamp to jump to that point in the video.
Format: [M:SS] or [H:MM:SS] followed by transcript text.
================================================================================

[0:06] [Music]
[0:18] foreign
[0:21] [Music]
[0:42] [Music]
[0:53] great
[0:56] [Music]
[1:04] this
[1:06] [Music]
[1:15] three
[1:16] [Music]
[1:29] crazy
[1:32] [Music]
[1:40] foreign
[1:44] [Music]
[1:52] [Music]
[2:01] [Music]
[2:12] [Music]
[2:13] okay
[2:16] [Music]
[2:24] uh
[2:26] [Music]
[2:32] [Music]
[2:37] [Music]
[2:44] [Music]
[2:59] crazy
[3:15] [Music]
[3:25] [Music]
[3:28] me
[3:31] [Music]
[3:37] great
[3:43] [Music]
[3:48] one
[3:55] [Music]
[3:58] [Applause]
[3:59] [Music]
[4:00] [Applause]
[4:01] [Music]
[4:38] [Music]
[4:43] [Music]
[4:48] foreign
[4:50] [Music]
[5:04] [Music]
[5:15] free
[5:22] [Music]
[5:34] [Music]
[5:50] me
[5:53] foreign
[6:03] [Music]
[6:11] [Music]
[6:12] ready
[6:18] [Music]
[6:36] great
[6:39] [Music]
[6:45] [Music]
[7:12] [Music]
[7:32] uh
[7:33] [Music]
[8:05] great
[8:12] uh
[8:13] [Music]
[8:24] [Music]
[8:30] [Music]
[8:58] so
[9:06] [Music]
[9:16] [Music]
[9:19] so
[9:33] great
[9:36] [Music]
[9:46] [Music]
[9:57] oh
[10:01] [Music]
[10:27] true
[10:29] [Music]
[10:36] so
[10:39] [Music]
[10:51] um
[10:56] [Music]
[11:04] [Music]
[11:15] [Music]
[11:21] [Music]
[11:30] so
[11:43] um
[11:50] [Music]
[12:01] yes
[12:06] [Music]
[12:16] [Music]
[12:19] great
[12:23] [Music]
[12:28] [Music]
[12:42] [Music]
[12:50] wow
[12:53] great
[12:58] [Music]
[13:07] [Music]
[13:20] [Music]
[13:29] me
[13:36] [Music]
[13:50] ready
[13:56] [Music]
[14:03] [Music]
[14:06] roof
[14:09] [Music]
[14:20] [Music]
[14:29] foreign
[14:33] [Music]
[14:43] [Music]
[14:49] great
[14:50] [Music]
[15:04] very good
[17:25] [Music]
[17:29] great
[17:45] oh
[17:45] [Music]
[17:58] [Music]
[18:00] yes
[18:02] [Music]
[18:11] [Music]
[18:16] me
[18:19] [Music]
[18:38] [Music]
[18:46] [Music]
[19:08] [Music]
[19:11] uh
[19:19] [Music]
[19:30] [Music]
[19:37] [Music]
[19:45] [Music]
[19:58] [Music]
[20:11] hello
[20:14] [Music]
[20:21] [Music]
[20:29] foreign
[20:39] [Music]
[20:45] [Music]
