################################################################################
TIMESTAMPED TRANSCRIPT
################################################################################
Source: 2023-12-24 - MY GOD SHALL SUPPLY ALL YOUR NEEDS 12-24-2023 SUN. MORN.  Pastor Bro. Thomas Byler - Thomas Byler.txt
Video ID: qjf7lMyNAys
Segments: 2076
URL: https://www.youtube.com/watch?v=qjf7lMyNAys
================================================================================
Click any timestamp to jump to that point in the video.
Format: [M:SS] or [H:MM:SS] followed by transcript text.
================================================================================

[0:00] [Music]
[0:12] [Music]
[0:20] [Music]
[0:38] [Music]
[0:48] [Music]
[0:54] [Music]
[1:01] [Music]
[1:07] [Music]
[2:08] [Music]
[2:44] [Music]
[3:59] sh
[4:05] [Music]
[4:22] [Music]
[4:30] [Music]
[4:53] [Music]
[4:58] for
[5:02] [Music]
[5:26] [Applause]
[5:30] [Music]
[5:40] [Music]
[6:14] [Music]
[6:23] [Music]
[7:28] [Music]
[8:02] [Music]
[8:16] [Music]
[9:28] for
[9:29] [Music]
[9:42] [Music]
[9:51] [Music]
[9:58] there
[10:01] [Music]
[10:29] [Music]
[11:18] [Music]
[11:27] oh
[11:34] [Music]
[11:42] [Music]
[11:48] [Music]
[11:57] you
[12:01] [Music]
[13:24] [Music]
[13:27] for
[13:29] [Music]
[13:36] [Music]
[13:44] [Music]
[13:57] I
[14:01] [Music]
[14:27] e
[14:33] [Music]
[15:01] [Music]
[15:11] [Music]
[15:27] she
[15:28] [Music]
[15:35] [Music]
[16:13] [Music]
[16:28] now
[16:30] [Music]
[16:39] [Music]
[16:54] [Music]
[17:07] [Music]
[17:27] for
[17:29] [Music]
[17:44] [Applause]
[17:44] [Music]
[18:09] [Music]
[18:14] [Applause]
[18:15] [Music]
[18:27] e
[18:28] [Music]
[18:45] [Music]
[18:50] [Music]
[18:58] [Music]
[19:27] I
[19:28] [Music]
[20:27] I
[20:31] [Music]
[20:59] [Music]
[21:27] e
[21:29] [Music]
[22:06] [Applause]
[22:06] [Music]
[22:19] [Music]
[23:29] [Music]
[23:31] [Applause]
[23:36] [Music]
[23:47] [Applause]
[23:48] [Music]
[23:54] [Applause]
[23:55] [Music]
[24:19] [Applause]
[24:20] [Music]
[24:57] go
[24:59] [Music]
[25:00] [Applause]
[25:03] [Music]
[25:56] e
[26:13] [Music]
[26:19] [Music]
[26:26] for
[26:32] [Music]
[26:56] let
[26:57] [Music]
[27:26] e
[27:30] [Music]
[27:30] [Applause]
[27:33] [Music]
[27:56] spe
[28:26] for
[28:56] for
[29:26] okay
[29:33] [Music]
[29:51] [Applause]
[29:56] ch
[29:57] [Music]
[30:51] [Applause]
[30:52] [Music]
[31:31] [Applause]
[31:32] [Music]
[31:56] [Music]
[31:59] [Applause]
[32:01] [Music]
[32:06] [Applause]
[32:10] [Music]
[32:15] [Applause]
[32:17] [Music]
[32:37] [Applause]
[32:38] [Music]
[34:25] brother morning
[34:55] and
[35:17] songong
[35:25] com
[35:55] Lord
[35:58] we
[35:59] will in the of God
[36:03] our
[36:25] Lord
[36:52] um if you would turn the first speci
[37:03] listen
[37:25] mesally
[37:28] but I was
[37:35] listening listen know a lot of times
[37:39] about child you know he would read
[37:46] all
[37:49] all about how that when he was a child
[37:53] who you know question wanted to
[38:00] swing from all stories all
[38:05] children but he the most important thing
[38:08] he said when he started reading Bible
[38:11] and started reading the
[38:13] word
[38:15] those only to be
[38:25] representation the word of God
[38:32] we
[38:33] us should change our
[38:38] make know
[38:50] con that he's theen Lord and he needs to
[38:54] be worship we all know
[38:57] ho
[39:13] Gible be that we want to
[39:18] beesus
[39:20] CHR our
[39:22] hearts
[39:23] and you know listen to that
[39:34] one you really need to have that of
[39:37] religion the word
[39:40] godang
[39:44] know
[39:46] it's
[39:49] that's it's not work it's not Duty you
[39:54] know it's n of it's just love Jesus
[39:56] Christ this morning Mak you want to do
[39:58] the things that to World seem hard to
[40:01] but for Christian easy to do
[40:04] and a lot of all go
[40:09] back you have to put your
[40:12] own and submit to the word of God
[40:17] I we all know what
[40:22] first and I'll try not I know I will say
[40:26] I
[40:30] hav you know
[40:36] Prof what you are it's
[40:40] christianer
[40:43] military the people that work for you
[40:46] people that you surround you
[40:49] withr they
[40:55] have your whe
[41:00] Brother
[41:08] people
[41:12] whatever you're to do the same thing you
[41:15] did seven days ago you're do the same
[41:18] morning and that's what a real chran
[41:25] bring
[41:34] everyone will know do right thing
[41:37] because right to pretty simple but it's
[41:41] the truth you whe it's truth
[41:46] 4 same truth and I'll just read uh about
[41:52] starting at the 14th verse you'll have
[41:54] to sometimes words go dark
[42:00] on but I'll start about about 13th verse
[42:05] of first Thessalonians 4th chapter this
[42:09] morning I would not have you be ignorant
[42:12] brother
[42:13] conc that even others have
[42:19] no place this morning you have that hope
[42:23] you have that desire you have that you
[42:25] have that
[42:29] your
[42:33] side you believe that Jesus died and
[42:36] again even so them also sleep in Jesus
[42:40] God for this sayto you by the word of
[42:43] the Lord that we which are alive and
[42:46] remain the coming of the Lord not them
[42:49] which are sweet for the Lord himself
[42:53] from with SH the voice of the archangel
[42:57] and with the Trump of God and the dead
[42:59] chrise first and together with them in
[43:03] the cloud to meet the Lord so shall you
[43:06] ever be with the
[43:08] Lord I was just thinking this 18 read
[43:12] all these but I'm thinking of this verse
[43:14] right
[43:16] here and as we go the
[43:20] 2024 the next
[43:25] days right there you have
[43:28] to know
[43:33] end and I thinking Paul you know he
[43:35] brings those truths in this
[43:38] chapter and then he he starts here in
[43:40] the fth chapter
[43:49] and you can see what preach in mess you
[43:54] can see the word of God
[43:56] you can
[43:59] seey a lot of times we have a hard time
[44:11] seeing the whole world to fall asleep
[44:15] real fall asleep when they shall say
[44:18] peace and that's the world right now all
[44:24] H and
[44:29] upon
[44:32] not more here are not that day should
[44:37] not you and the preach that come
[44:49] behind the only that's to be
[44:54] responsible
[44:56] the choose not to obey the word and you
[44:59] only have one person blame that's you
[45:03] all the children of light and Children
[45:04] of the day we are not of the night nor
[45:08] Darkness therefore let us not sleep as
[45:11] do others
[45:12] but
[45:22] goep of the world just can't see outside
[45:29] things finish a here
[45:43] [Music]
[45:44] usus
[45:47] Christ we are aake orep we should live
[45:51] together with him says the same
[46:12] you all know that
[46:14] storyy old
[46:17] [Music]
[46:18] boed really struck me you know they had
[46:21] it all written down in their cover
[46:24] brother
[46:27] Vision it took a long
[46:32] time but he always people
[46:35] toover truey of the word God
[46:42] come but I was thinking we just don't
[46:45] have that little prophecy that we can
[46:47] take our cover look
[46:54] at
[47:11] promised us this morning in 202 what
[47:16] promised for in the next
[47:24] year
[47:44] [Music]
[47:51] [Music]
[47:54] all
[48:05] [Music]
[48:24] am
[48:32] [Music]
[48:54] n
[48:57] [Music]
[49:05] CHR
[49:11] SS Christ born this time
[49:24] year
[49:29] [Music]
[49:48] let's just
[49:54] start
[50:09] [Music]
[50:24] 366
[50:26] [Music]
[50:33] [Applause]
[50:34] [Music]
[50:54] GL
[51:01] [Music]
[51:24] oh
[51:27] [Music]
[51:46] [Applause]
[51:47] [Music]
[51:54] you
[51:55] [Music]
[52:24] ch
[52:27] [Music]
[52:51] [Applause]
[52:52] [Music]
[52:54] GL
[52:56] [Music]
[53:24] the
[53:26] [Music]
[53:54] amen
[53:57] this
[54:11] [Music]
[54:24] world
[54:25] [Music]
[54:47] [Applause]
[54:49] [Music]
[54:54] h
[54:58] [Music]
[55:24] h
[55:26] [Music]
[55:54] h
[55:56] [Music]
[56:03] [Applause]
[56:03] [Music]
[56:23] this
[56:51] [Music]
[56:53] wish
[56:58] [Music]
[57:23] l
[57:25] [Applause]
[57:28] [Music]
[57:53] all
[57:56] [Music]
[58:11] [Applause]
[58:11] [Music]
[58:23] you
[58:27] [Music]
[58:53] I
[59:00] [Music]
[59:23] I
[59:25] [Music]
[59:48] [Applause]
[59:50] [Music]
[59:53] your
[59:58] [Music]
[1:00:23] GL
[1:00:25] we
[1:00:27] [Music]
[1:00:28] [Applause]
[1:00:29] [Music]
[1:00:53] story
[1:00:54] [Music]
[1:01:23] I
[1:01:29] [Music]
[1:01:49] gr a
[1:01:52] lot where we
[1:02:16] [Music]
[1:02:23] very
[1:02:38] [Music]
[1:02:53] morning
[1:03:15] [Music]
[1:03:23] seems
[1:03:48] [Music]
[1:03:53] con
[1:04:08] [Music]
[1:04:19] thank
[1:04:23] Lord
[1:04:30] [Music]
[1:04:53] amen
[1:05:06] [Music]
[1:05:23] that
[1:05:28] [Music]
[1:05:53] each
[1:06:16] beer be
[1:06:23] lier
[1:06:25] [Music]
[1:06:37] Mary Did You
[1:06:39] Know Jo baby
[1:06:43] boy one day walk on
[1:06:48] water Mary Did You Know
[1:06:52] St boy
[1:06:54] save our sons and
[1:06:57] [Music]
[1:06:59] daughters you know your baby
[1:07:05] boy come to make you
[1:07:11] new you
[1:07:13] deliver will soon deliver
[1:07:18] you maybe did you
[1:07:22] know
[1:07:28] to Mary Did You
[1:07:32] Know Baby Boy come the storm with his
[1:07:39] hand did you
[1:07:41] know your baby boy walk
[1:07:49] angels and when you kiss your little
[1:07:52] baby you kiss the face of
[1:07:58] God do you
[1:08:01] know Mary Did You
[1:08:09] Know see theil
[1:08:12] he
[1:08:14] the live
[1:08:17] again the lame will leave the dong will
[1:08:21] speak the Praises
[1:08:24] of the
[1:08:29] lamb Mary Did You Know
[1:08:33] Jo
[1:08:35] boy Lord of all
[1:08:39] creation did you
[1:08:42] know
[1:08:45] baby
[1:08:47] one
[1:08:49] nation and you
[1:08:51] know Jo be
[1:08:56] Heaven's perfect
[1:08:58] [Music]
[1:09:00] love
[1:09:02] sa
[1:09:04] holding here a great I
[1:09:09] [Music]
[1:09:22] am
[1:09:52] ch
[1:10:22] all
[1:10:52] of
[1:10:57] [Music]
[1:11:22] every
[1:11:43] there you
[1:11:52] go
[1:11:58] just Tessy Tessy
[1:12:06] [Applause]
[1:12:21] Tessy amen thank you
[1:12:28] [Applause]
[1:12:29] y
[1:12:31] amen thank You' all very much
[1:12:37] okay
[1:12:52] amen
[1:13:02] amen thank
[1:13:06] [Applause]
[1:13:22] you
[1:13:24] that's
[1:13:41] [Music]
[1:13:52] right
[1:14:06] [Music]
[1:14:15] yes he did
[1:14:22] amen
[1:14:23] amen praise thank you
[1:14:26] brother
[1:14:28] amen amen thank you
[1:14:32] brother
[1:14:34] okay
[1:14:38] remember that'll work thank you brother
[1:14:41] Steve love you
[1:14:44] brother amen I love all of you amen
[1:14:47] thank you for those kind words brother
[1:14:48] seve we really appreciate it amen amen
[1:14:52] so God bless you all
[1:14:54] very much amen We Love youall From the
[1:14:56] Bottom of our heart amen amen we do
[1:14:59] appreciate Brother Brad and Joyce and
