################################################################################
TIMESTAMPED TRANSCRIPT
################################################################################
Source: 2023-12-27 - MARY DID YOU KNOW  12-27-2023 Wed. Eve.  Pastor Bro. Thomas Byler - Thomas.txt
Video ID: AmjUMR_0pQ0
Segments: 2015
URL: https://www.youtube.com/watch?v=AmjUMR_0pQ0
================================================================================
Click any timestamp to jump to that point in the video.
Format: [M:SS] or [H:MM:SS] followed by transcript text.
================================================================================

[0:28] I
[0:35] [Music]
[0:52] [Music]
[0:58] for
[1:28] e
[1:58] first
[2:13] [Music]
[2:28] e
[2:58] e
[3:28] e
[3:41] [Music]
[3:47] [Music]
[3:58] e
[4:14] [Music]
[4:24] [Music]
[4:28] e
[4:31] [Music]
[4:58] okay
[5:10] [Music]
[5:19] [Music]
[5:28] for
[5:58] e
[6:28] for
[6:58] e
[7:38] [Music]
[7:58] e
[8:24] [Music]
[8:28] e
[8:33] [Music]
[8:45] [Music]
[8:54] [Music]
[9:15] [Music]
[9:28] for
[9:32] [Music]
[9:49] [Music]
[10:15] [Music]
[10:28] for
[10:32] [Music]
[10:58] for
[11:02] [Music]
[11:19] [Music]
[11:25] [Applause]
[11:26] [Music]
[11:53] [Music]
[13:31] [Music]
[13:38] [Music]
[13:57] [Music]
[14:10] [Music]
[14:50] [Music]
[15:07] [Music]
[15:13] [Music]
[15:27] I
[15:30] [Music]
[15:46] [Music]
[15:59] [Music]
[16:38] [Music]
[16:45] [Applause]
[16:47] [Music]
[17:13] [Music]
[17:41] [Music]
[18:11] [Music]
[18:49] [Music]
[18:57] in
[19:01] [Music]
[19:19] [Music]
[19:38] [Music]
[20:27] all
[20:28] [Music]
[20:38] [Music]
[20:50] [Music]
[20:57] I
[20:58] [Music]
[21:59] [Music]
[22:04] [Applause]
[22:05] [Music]
[22:31] [Music]
[23:00] [Music]
[23:56] yeah
[24:02] [Music]
[24:11] [Music]
[24:20] [Music]
[24:42] [Music]
[24:50] [Music]
[24:56] for
[24:58] [Music]
[25:51] [Music]
[26:12] [Music]
[26:56] for
[27:00] [Music]
[27:17] [Music]
[27:52] [Music]
[28:18] [Music]
[29:31] [Music]
[29:40] [Music]
[30:10] [Music]
[30:19] [Music]
[30:26] for
[30:30] [Music]
[31:33] [Music]
[32:38] [Music]
[32:44] [Applause]
[32:44] [Music]
[32:56] for
[33:14] [Music]
[33:25] for
[33:28] [Music]
[34:58] [Music]
[35:10] [Music]
[35:24] [Music]
[35:38] [Music]
[36:36] [Music]
[36:55] for
[36:56] [Music]
[37:13] [Music]
[37:25] h
[37:27] [Music]
[37:55] for
[37:59] [Music]
[38:21] [Music]
[38:25] e
[38:27] [Music]
[38:35] [Music]
[40:25] oh
[40:27] [Music]
[41:25] in
[41:26] [Music]
[41:55] oh
[41:57] [Music]
[42:18] [Applause]
[42:18] [Music]
[42:24] [Applause]
[42:25] you
[42:27] [Music]
[42:55] all
[42:57] [Music]
[43:23] [Music]
[43:25] GL
[43:29] juston
[43:32] Grace
[43:35] [Music]
[43:55] amen
[44:09] father just thank be in your house Lord
[44:12] we just sing a little song we're
[44:14] thankful that there's no secrets between
[44:17] us and you Lord that you tell us what we
[44:19] have need of and Expos yourself Lord and
[44:22] let us know what what it takes in this
[44:25] hour we're a part of your bride and
[44:27] we're thankful to be able to say that
[44:28] tonight Lord Lord we just ask Lord you
[44:31] serveice tonight in a special way Lord
[44:34] we just ask Lord that you speak to our
[44:36] hearts minister to each need as also
[44:38] want to say we're thankful for the
[44:40] testimony we've heard of sister mild and
[44:43] just ask you keep working in that
[44:45] situation Lord May each portion of this
[44:47] service be to bring honor and glory to
[44:49] you this one we love you and appreciate
[44:51] you in Jesus name amen
[44:54] amen you would
[45:13] [Music]
[45:24] number
[45:27] [Music]
[45:54] you
[45:58] [Music]
[46:24] you
[46:25] [Music]
[46:54] all
[46:55] [Music]
[47:24] sh
[47:27] [Music]
[47:54] you
[47:58] [Music]
[48:24] my
[48:27] [Music]
[48:54] h
[48:58] [Music]
[49:46] [Music]
[49:54] h
[49:57] [Music]
[50:17] [Music]
[50:24] am
[50:25] [Music]
[50:43] [Applause]
[50:45] [Music]
[50:54] h
[50:56] [Music]
[51:24] h
[51:27] [Music]
[51:54] we
[51:58] [Music]
[52:24] h
[52:27] [Music]
[52:54] oh
[52:56] [Music]
[53:24] h
[53:25] [Music]
[53:54] h
[53:57] [Music]
[54:24] amen
[54:28] remember
[54:35] [Music]
[54:54] she
[55:24] for
[55:41] [Music]
[55:54] course
[55:55] [Music]
[56:23] PR
[56:27] [Music]
[56:53] h
[56:54] [Music]
[57:53] for
[57:58] [Music]
[58:06] we are headed for that great wonderful
[58:13] country land of sin we're through going
[58:17] to our
[58:22] new God's word is the
[58:25] and we treasure it
[58:30] bondly this great
[58:33] [Music]
[58:40] K we are traveling over the trail that
[58:45] is
[58:48] winding over mountains and Through The
[58:52] Valleys below
[58:57] boing
[59:04] [Music]
[59:04] [Applause]
[59:08] [Music]
[59:13] Springs there are
[59:16] many I'm go back there are many trails
[59:21] going other
[59:23] direction
[59:25] [Music]
[59:28] but our savior guide the one thats
[59:33] [Music]
[59:35] home we are following never voicing
[59:43] of this
[59:45] great keeps
[59:49] [Music]
[59:51] rolling we are traveling
[59:55] or the
[59:57] trail
[1:00:02] is over mountains and Through The
[1:00:05] Valleys
[1:00:09] below bubling Springs of your Living
[1:00:13] Waters we're
[1:00:17] cling this
[1:00:20] greats ring
[1:00:22] [Music]
[1:00:23] along
[1:00:26] [Music]
[1:00:35] dangers all
[1:00:37] along working in the Dark
[1:00:41] [Music]
[1:00:44] Shadows we will never fear Christ is
[1:00:48] always
[1:00:52] alone he will never never refuse to
[1:00:56] Captain our
[1:01:01] battles while
[1:01:04] thiss
[1:01:06] [Music]
[1:01:10] on we are traveling over a trail that is
[1:01:19] wiing over mountains and through the
[1:01:24] valley
[1:01:26] [Music]
[1:01:29] beling Springs the P
[1:01:32] living
[1:01:34] [Music]
[1:01:53] we
[1:01:55] [Music]
[1:02:23] here
[1:02:53] min
[1:03:01] [Music]
[1:03:13] [Music]
[1:03:22] and let of course
[1:03:25] made in his created in His
[1:03:33] [Music]
[1:03:53] image
[1:03:56] [Music]
[1:04:23] Hal
[1:04:25] [Music]
[1:04:47] [Music]
[1:04:53] to
[1:04:56] [Music]
[1:05:23] oh
[1:05:31] [Music]
[1:05:51] [Applause]
[1:05:53] amen
[1:06:06] I hadn't turned it on yet
[1:06:10] amen I was fixing to say the devil's
[1:06:12] fighting but you know it's just me amen
[1:06:16] praise the Lord amen God bless you good
[1:06:19] to be in the house of the Lord coming
[1:06:21] close to the end of this year amen y'all
[1:06:23] ready for another one amen praise the
[1:06:26] lord we can do it by his grace with his
[1:06:29] grace amen we're just so grateful to
[1:06:31] hear the good news good report amen of
[1:06:33] sister mild and how she's doing amen and
[1:06:37] so if anybody wants to go see her just
[1:06:38] check with brother amen David before
[1:06:40] going but amen we seen yesterday she uh
[1:06:44] thanked everybody amen for I might just
[1:06:47] tell this honor I said we come to see
[1:06:50] you you're looking good and she says if
[1:06:54] I looked in the mirror I don't think so
[1:06:56] what she said I said you're beautiful
[1:06:59] you're looking
[1:07:01] good oh my she said something about
[1:07:03] looking in the mirror again you know
[1:07:07] buten we tried to encourage her amen
[1:07:11] praise the Lord and so she uh amen
[1:07:14] praise the Lord I know when I first went
[1:07:15] to seen her and somebody had texted me
[1:07:17] on the way there said she's got little
[1:07:18] to no hope amen and I went down I come
[1:07:22] from down from the elevator and told
[1:07:24] David and them I says if she's going to
[1:07:25] die they going to have to kill
[1:07:29] her
[1:07:31] amen you know hospitals will do that
[1:07:34] sometimes so but anyway uh because I
[1:07:38] don't know you know it's just my feeling
[1:07:40] but amen by God's grace we're thankful
[1:07:42] that the Lord spared her amen we know
