################################################################################
TIMESTAMPED TRANSCRIPT
################################################################################
Source: 2024-12-22 - Bro Thomas Byler - 122224 - Sun - Gift Exchange - Thomas Byler.txt
Video ID: 3lIg2iUeYzY
Segments: 1894
URL: https://www.youtube.com/watch?v=3lIg2iUeYzY
================================================================================
Click any timestamp to jump to that point in the video.
Format: [M:SS] or [H:MM:SS] followed by transcript text.
================================================================================

[0:28] e
[0:58] e
[1:28] e
[1:58] e
[2:28] e
[2:58] e
[3:28] e
[3:58] for
[4:28] e
[4:58] e
[5:28] for
[5:58] e
[6:28] e
[6:58] e
[7:28] e
[7:58] e
[8:28] e
[8:58] e
[9:28] for
[9:58] e
[10:28] e
[10:58] e
[11:28] e
[11:58] e
[12:28] e
[12:58] e
[13:28] e
[13:58] e
[14:28] e
[14:58] e
[15:27] e
[15:57] e
[16:27] e
[16:57] e
[17:27] e
[17:57] e
[18:27] e
[18:57] e
[19:27] e
[19:57] e
[20:27] e
[20:57] e
[21:27] e
[21:57] e
[22:27] e
[22:57] for
[23:27] e
[23:57] e
[24:27] e
[24:57] e
[25:27] e
[25:57] for
[26:27] e
[26:57] e
[27:27] e
[27:57] e
[28:27] e
[28:57] e
[29:27] e
[29:57] e
[30:26] e
[30:56] e
[31:26] e
[31:56] for
[32:26] e
[32:56] e
[33:26] e
[33:56] e
[34:26] e
[34:56] e
[35:26] e
[35:56] e
[36:26] e
[36:56] e
[37:26] e
[37:56] e
[38:26] e
[38:56] e
[39:26] e
[39:56] e
[40:26] e
[40:56] e
[41:26] e
[41:56] e
[42:26] for
[42:56] e
[43:26] e
[43:56] e
[44:26] e
[44:56] e
[45:25] e
[45:55] e
[46:25] e
[46:55] e
[47:25] e
[47:55] e
[48:25] e
[48:55] e
[49:25] e
[49:55] e
[50:25] e
[50:55] e
[51:25] e
[51:55] e
[52:25] e
[52:55] e
[53:25] e
[53:55] e
[54:25] e
[54:55] e
[55:25] e
[55:55] e
[56:25] e
[56:55] e
[57:25] e
[57:55] e
[58:25] e
[58:55] e
[59:25] e
[59:55] e
[1:00:24] e
[1:00:54] e
[1:01:24] e
[1:01:54] e
[1:02:24] e
[1:02:54] e
[1:03:24] e
[1:03:54] e
[1:04:24] e
[1:04:54] e
[1:05:24] e
[1:05:54] e
[1:06:24] e
[1:06:54] e
[1:07:24] e
[1:07:54] e
[1:08:24] e
[1:08:54] e
[1:09:24] e
[1:09:54] e
[1:10:24] e
[1:10:54] e
[1:11:24] e
[1:11:54] e
[1:12:24] e
[1:12:54] e e
[1:13:47] pray that God's will will be done and
[1:13:49] also sister Parish uh and sister Peggy
[1:13:52] are shuttin this morning that God will
[1:13:54] just
[1:13:55] just be with them this morning and and
[1:13:58] uh there was another prayer request but
[1:14:00] I it's just kind of left my mind this
[1:14:02] morning like I said just remember those
[1:14:04] that are traveling and I think brother
[1:14:06] Micah and sister Grace will be traveling
[1:14:08] this week isn't it tomorrow or Tuesday
[1:14:10] you're leaving Tuesday so we want to
[1:14:12] remember them and the ones that'll be
[1:14:14] traveling amen if you have need on your
[1:14:16] hearts you might let it be known by the
[1:14:18] uplo hand we're going to ask brother
[1:14:19] Steve langle if he'd just pray over the
[1:14:21] offering and these needs this morning
[1:14:22] brother
[1:14:24] Steve for
[1:14:55] amen let's sing that little course we've
[1:14:58] got the power in the name of Jesus
[1:14:59] sister Zoe you want to come ahead
[1:15:01] and we've got the
[1:15:07] power in the name of
[1:15:11] Jesus we've got the
[1:15:16] power in the name of the
[1:15:21] Lord though Satan rageing
[1:15:28] is he
[1:15:30] did we've got the
[1:15:34] power in the name of the
[1:15:37] [Music]
[1:15:39] Lord
[1:15:41] [Music]
[1:15:46] amen we're going to have this is going
[1:15:48] to be awesome this morning young people
[1:15:50] are going to play some instrumentals
[1:15:52] this morning so it's going to be awesome
[1:15:57] no saying and sisters always said
[1:16:13] [Music]
[1:19:47] amen
[1:19:49] amen and
[1:19:51] also sister Zoe
[1:19:56] is a mandolin
[1:19:58] player and I didn't know that till her
[1:20:01] dad told me the other day and her great
[1:20:03] grandpa was an awesome mandolin player
[1:20:07] so I said she's going to have to
[1:20:09] practice up because we need a manin
[1:20:11] player don't wean emn and Elena y'all
[1:20:14] come this
[1:20:20] morning was she need a mic stand all
[1:20:23] right
[1:20:28] you're not singing either are you
[1:20:35] okay where's that stand
[1:20:43] at no where's the music for
[1:20:47] her you don't have to have
[1:20:50] it oh there it is brother Sean's hiding
[1:20:53] it and I'm sorry
[1:21:00] is that good
[1:21:24] [Music]
[1:21:53] n oh
[1:21:56] [Music]
[1:22:24] St
[1:22:42] [Music]
[1:22:46] [Applause]
[1:22:52] [Music]
[1:23:10] [Applause]
[1:23:16] amen let's stand and sing that little
[1:23:18] chorus or that song Oh beautiful Star of
[1:23:20] Bethlehem if we could this morning
[1:23:31] oh beautiful Star of
[1:23:36] [Music]
[1:23:37] [Applause]
[1:23:39] Bethlehem you have something you want to
[1:23:43] say you have something you want to say
[1:23:46] okay
[1:23:54] I'll let you finish it God bless
[1:24:01] you Star of
[1:24:05] Bethlehem shine
[1:24:10] on oh beautiful
[1:24:15] star of
[1:24:17] [Music]
[1:24:20] bethleem shine upon us until
[1:24:25] the
[1:24:25] [Music]
[1:24:30] glory give us the light to light the way
[1:24:36] into the land of perfect day beautiful
[1:24:43] Star of
[1:24:45] Bethlehem shine
[1:24:48] [Music]
[1:24:52] on Amen aren't you happy to be Christian
[1:24:54] this morning and this time of the Season
[1:24:57] we can just celebrate the birth of our
[1:24:59] savior and the death Buri on
[1:25:02] Resurrection of our savior I was
[1:25:04] listening to the songs and I I I'm not
[1:25:06] supposed to be up here saying anything
[1:25:08] to be honest but the Lord kept pressing
[1:25:10] something on me that that I learned this
[1:25:12] morning to share and I thought well I'll
[1:25:14] do it at this point at this point and
[1:25:15] then finally I thought I we just let it
[1:25:17] go and then Brother David looks at me he
[1:25:18] said you got something to say I said
[1:25:19] yeah I do so we'll just do what the Lord
[1:25:22] leads okay but I I I heard the story
[1:25:25] this morning and as the girls played the
[1:25:27] song and lay Away in a Manger and the
[1:25:30] story of the of the manger and I thought
[1:25:32] how how uh important it was you know
[1:25:35] nothing we happens in life happens
[1:25:37] without a reason and you know we hear
[1:25:39] about Mary and and the things that
[1:25:41] happened on that day and and then you
[1:25:43] hear about the manger and when I heard
[1:25:45] the story of the manger today it just
[1:25:47] struck out to me how important the
[1:25:49] little things in life are you know that
[1:25:51] manger we see it as a as a wooden manger
[1:25:55] that with hay and straw in it and but
[1:25:57] what it really was it was a it was a
[1:25:59] carved out Stone feed trough is the way
[1:26:02] it was it was a and what they would do
[1:26:04] the significance of that manger being
[1:26:07] Stone it was solid so when the perfect
[1:26:09] lamb was born if of the sheep when that
[1:26:14] perfect lamb was born the one who would
[1:26:16] take away the sins of the world the one
[1:26:17] who was spotless the one who was without
[1:26:19] fault or blemish when that lamb was born
[1:26:22] the Shepherds would take that lamb and
[1:26:24] lay it in that stone manger so that
[1:26:27] nothing could harm that little sheep
[1:26:30] that perfect lamb and Mary do you think
[1:26:32] she knew what she was doing when she
[1:26:34] wrapped him up and she laid that little
[1:26:36] baby in that stone manger and said here
[1:26:38] is the Lamb of
[1:26:40] God that'll take away the sins of the
[1:26:43] world on that very Christmas morning
[1:26:46] there and you know and I thought about
[1:26:47] that and they said you know they the the
[1:26:48] wise men they brought myrr when they
[1:26:51] hung him on the cross the Bible says
[1:26:53] they gave gave him wine laced with myrr
[1:26:56] and he received it not and and when they
[1:26:59] was in the when he was laying in that
[1:27:00] manger they said he would be called
[1:27:02] Emanuel for God is with us they mocked
[1:27:05] him and called him King of the
[1:27:08] Jews what an important gift Jesus was to
[1:27:11] us let's just sing that chorus again and
[1:27:14] and as we invite our pastor to come and
[1:27:15] he's got a a message for us this morning
[1:27:18] and I come expecting did you come
[1:27:19] expecting this morning amen let's just
[1:27:22] sing that chorus if we could Carson
[1:27:24] oh beautiful
[1:27:29] star of
[1:27:33] [Music]
[1:27:34] bethleem shine upon us until the
[1:27:40] [Music]
[1:27:45] glory oh give us the light to light the
[1:27:50] way unto God bless you brother Brad
[1:27:57] beautiful Star of
[1:28:01] Bethlehem shine
[1:28:05] on one more time oh beautiful
[1:28:11] star of
[1:28:18] bethleem upon us until the glory
[1:28:27] on give us thy light to light the way
[1:28:33] onto the land where Jesus lay Bey fall
[1:28:40] star of
[1:28:43] bethleem shine
[1:28:46] on Amen praise the Lord good
[1:28:51] morning good to be in the house of the
[1:28:53] Lord amen good to have everybody out
[1:28:55] this morning amen certainly a nice
[1:28:58] little brisk beautiful winter day thank
[1:29:01] you musicians amen appreciate the music
[1:29:04] this morning amen want to wish everybody
[1:29:06] a Merry Christmas amen certainly hope
[1:29:09] that you have a really wonderful time
[1:29:12] amen with your family and amen as we
[1:29:15] celebrate at this time amen we know that
[1:29:18] the birth of the Lord was of course Amen
[1:29:21] in the springtime but amen the prophet
[1:29:24] but God said God wouldn't care where you
[1:29:26] what time but that just we honor and
[1:29:29] worship His coming to the Earth amen so
[1:29:32] praise the Lord let's just bow our heads
[1:29:34] Lord Jesus we come before you this
[1:29:36] morning thankful once again to be
[1:29:38] assembled together in your name in your
[1:29:40] house
[1:29:41] father Lord realizing God that you set
[1:29:45] this up father this is your set up this
[1:29:48] is the way that you have ordained for it
[1:29:50] to be Lord Jesus for the gospel to be
[1:29:53] preached Lord Jesus for Sinners to come
[1:29:56] to you Lord for people to be
[1:29:58] saved Lord for their lives to be
[1:30:02] preserved through
[1:30:04] eternity Lord Jesus to be immortal even
[1:30:08] as you're Immortal and father we ask God
[1:30:11] this morning Lord Jesus as we come
[1:30:14] before you Lord Jesus and Mark is
[1:30:16] wanting to be baptized and given his
[1:30:18] life to you Lord and we're thankful for
[1:30:20] this father and we ask God that you'll
[1:30:23] just bless not a meditation of a heart
[1:30:26] and that which we feel Lord that you've
[1:30:27] laid Upon Our Hearts to speak in Jesus
[1:30:30] name amen I was just thinking this
[1:30:32] morning amen the Lord amen yesterday I
[1:30:35] was pondering on what the Lord would
[1:30:37] have me to
[1:30:39] speak amen and uh I thinking of my
[1:30:43] series I was thinking of just kind of
[1:30:45] thinking of what I might what I want to
[1:30:47] say or whatever and I didn't really know
[1:30:49] what I wanted to say and something come
[1:30:51] to me well this is Christmas if you
[1:30:52] can't preach at Christmas I don't know
[1:30:54] that you can
[1:30:55] preach I mean come on you know you know
[1:30:59] so I mean I don't know maybe that was
[1:31:02] the Lord talking to me but I thought
[1:31:04] yeah that's about right if you can't
[1:31:06] preach at Christmas time I don't know if
[1:31:07] you can so amen and then I just begin to
[1:31:10] think and the Lord begin to lay
[1:31:12] something on my heart and and he just
[1:31:14] give me something that I like when he
[1:31:16] does that amen and it was just a a
[1:31:18] simple thought it was so simple that I
[1:31:20] thought you know but I learned something
[1:31:24] that no matter how simple it is if it's
[1:31:26] of the Lord that's what you need to do
[1:31:28] amen amen and so uh we want to share
[1:31:32] that with you and I thought this morning
[1:31:33] as I got up and the Sun was shining cold
[1:31:36] winry day and I thought we're fixing to
[1:31:38] go to church first of all isn't that a
[1:31:40] wonderful thing to be able to go to
[1:31:41] church and then to have something on
[1:31:43] your heart that God has laid on your
[1:31:45] heart to bring to the people so you have
[1:31:47] a AR rest so to speak and and you're not
[1:31:50] nervous or anything you realize what God
[1:31:52] wants you to say amen and then uh I
[1:31:56] thought that's just wonderful be amen
[1:31:58] because amen when God gives me something
[1:32:00] so we appreciate that and I trust amen
[1:32:03] it'll be a blessing to you this morning
[1:32:06] a simple message amen uh and I want to
[1:32:09] title it gift exchange gift exchange
[1:32:14] amen it'll be a Christmas message amen
[1:32:17] praise the Lord amen I know some people
[1:32:20] don't believe in Christmas and all that
[1:32:21] and and I and I've said well well
[1:32:24] brother brandham called it his Christmas
[1:32:26] message so if he did it it' be all right
[1:32:28] amen so praise the Lord so if you will
[1:32:31] turn your Bibles amen and this is
[1:32:33] certainly U uh this is going to be a
[1:32:36] message just centered around the simple
[1:32:39] gospel amen just preaching the simple
[1:32:43] gospel amen amen that God has given us
[1:32:47] amen and so I trust it'll be a blessing
[1:32:49] to you amen I think uh some of uh Mark's
[1:32:53] family brother Michael I think his mom's
[1:32:55] here so God bless you good to have y'all
[1:32:57] with us this morning and of course the
[1:32:59] Ws some of the other WS are gone this
[1:33:01] morning they're from the uh wedding and
[1:33:04] all so we're looking forward to having
[1:33:05] Dany and Julie and them coming back amen
[1:33:08] here next week so we pray that they have
[1:33:10] a great honeymoon um Mark let's go let
[1:33:13] me see let's go to Mark 8 Mark 8 and
[1:33:17] Isaiah 1 Mark 8 and Isaiah 1 amen amen
[1:33:24] we know that this is the season of
[1:33:27] exchanging gifts isn't it amen and we
[1:33:30] realize I think yeah as far as I know as
[1:33:33] much as I know about it amen perhaps
[1:33:36] they get it out of the Bible where they
[1:33:37] brought gifts to Jesus ain't that right
[1:33:40] gold frankincense and mura they brought
[1:33:42] their gifts to him and so forth and so
[1:33:45] we want to see talk about gift
[1:33:48] exchange how many knows that Jesus
[1:33:50] Christ wrapped in that uh swaddling
[1:33:53] cloth laying in the major was the
[1:33:55] greatest gift God ever gave to mankind
[1:33:58] that was the greatest gift amen why
[1:34:00] because it was the key he was the key or
[1:34:04] should we say the door for Humanity to
[1:34:08] come back into fellowship with him amen
[1:34:10] that Adam lost in the fall so what a
[1:34:13] Monumental time amen I'm going to read
[1:34:17] this and then we'll just try to get
[1:34:18] started amen and you know we just follow
[1:34:21] the leading of the spirit this morning
[1:34:23] if we go a little extra long just bear
[1:34:25] with us is that okay we want to try to
[1:34:28] convey what the Holy Spirit wants us to
[1:34:30] say Amen Mark 8 and verse
[1:34:37] 34 and when he had called the disciples
[1:34:40] called the people unto him with his
[1:34:42] disciples also he said unto them
[1:34:44] whosoever will come after me let him
[1:34:46] deny himself take up his cross and
[1:34:50] follow me for whosoever will save his
[1:34:53] life shall lose it and whosoever will
[1:34:54] lose his life for my sake and the
[1:34:56] gospels the same shall save it for what
[1:35:00] a man profit what shall it profit a man
[1:35:04] if he shall gain the whole world and
[1:35:06] lose his own soul or what shall a man
[1:35:10] give in
[1:35:11] exchange for his soul amen whosoever
[1:35:16] therefore shall be ashamed of me in my
[1:35:18] words in this adulterous and sinful
[1:35:21] generation of him also shall the son of
[1:35:23] man be ashamed when he cometh in the
[1:35:26] glory of his father with his Holy Angels
[1:35:29] amen Isaiah
[1:35:32] 1 and verse
[1:35:37] 18 come now and let us reason together
[1:35:40] sayeth the Lord though your sins be as
[1:35:43] Scarlet they shall be as white as snow
[1:35:46] though they be red like Crimson they
[1:35:48] shall be as wool may God add His
[1:35:51] blessings to the reading of the word you
[1:35:52] can be see that you might say well
[1:35:54] that's awful strange Christmas
[1:35:56] scriptures am mean normally we would
[1:35:58] talk and read about him laying in the
[1:36:00] manger and so forth but we want to go
[1:36:02] and jump ahead just a little bit with
[1:36:04] the help of the Lord amen you know I was
[1:36:08] thinking back there that there was a ma
[1:36:10] there was a time when Humanity was
[1:36:13] ignorant right we didn't we didn't know
[1:36:16] just exactly what God expected of us
[1:36:19] amen amen man in ignorance didn't really
[1:36:22] know just what to do thought about
[1:36:24] Israel and how that they uh murmured and
[1:36:26] complained and how they were bit of the
[1:36:28] serpents and a a and wouldn't it have
