date,status,speaker,title,url,last_checked,language,type,description,duration,church
2026-01-11,Success,Sun.,Bro. Joe Adams,https://www.youtube.com/watch?v=gyFvSW2VtcQ,2026-01-12,Unknown,Full Sermon,,,Evening Light Tabernacle Elkton KY
2026-01-09,Success,Wed. Evening,Bro. Joe Adams,https://www.youtube.com/watch?v=9ghOFBugnII,2026-01-12,Unknown,Full Sermon,,,Evening Light Tabernacle Elkton KY
2026-01-05,Success,Sun. Eve,Bro. Brad Powell,https://www.youtube.com/watch?v=j51VWtJSrlk,2026-01-12,Unknown,Full Sermon,,,Evening Light Tabernacle Elkton KY
2026-01-05,Success,Sun.,Bro. Thomas Byler,https://www.youtube.com/watch?v=BQsASXIxpj0,2026-01-12,Unknown,Full Sermon,,,Evening Light Tabernacle Elkton KY
2025-12-31,Success,Tue.,Bro. Thomas Byler,https://www.youtube.com/watch?v=H_acCzzsYs4,2026-01-12,Unknown,Full Sermon,,,Evening Light Tabernacle Elkton KY
2025-12-28,Success,Thomas Byler,Bro. Thomas Byler • Sun. • 122825 • The Father's Business,https://www.youtube.com/watch?v=GGjigZC5i7U,2026-01-04,Unknown,Church Service,,141,Evening Light Tabernacle Elkton KY
2025-12-21,Success,Brad Powell,Bro. Brad Powell  • Sun. • 122125 • His Name Shall be Called Jesus,https://www.youtube.com/watch?v=ogqKmPv8hg4,2026-01-04,Unknown,Church Service,,176,Evening Light Tabernacle Elkton KY
2025-12-18,No Transcript,Thomas Byler,Bro. Thomas Byler • Wed. • 12/17/25 • Testimony Service,https://www.youtube.com/watch?v=9bPlaV-V7WE,2026-01-04,Unknown,Testimonies,Bro. Thomas Byler • Wed. • 12/17/25 • Testimony Service,125,Evening Light Tabernacle Elkton KY
2025-12-14,Success,Thomas Byler,Bro. Thomas Byler • Sun. • 121425 • The Love and Grace of God,https://www.youtube.com/watch?v=enc_O08CZ0w,2026-01-04,Unknown,Church Service,,117,Evening Light Tabernacle Elkton KY
2025-12-11,Success,Thomas Byler,Bro. Thomas Byler • Wed. • 121025 • What Then. Now and Then.,https://www.youtube.com/watch?v=Uvu4I76Vsr8,2026-01-04,Unknown,Church Service,,129,Evening Light Tabernacle Elkton KY
2025-12-08,Success,Chris Cathey,Bro. Chris Cathey • Sun. • 12725 • Your Labor Is Not IN Vain Pt2,https://www.youtube.com/watch?v=u5lKLny6cH0,2026-01-04,Unknown,Church Service,,121,Evening Light Tabernacle Elkton KY
2025-12-07,Success,Chris Cathey,Bro. Chris Cathey • Sun. • 12725 • Your Labor Is Not IN Vain,https://www.youtube.com/watch?v=gFnARKeEwcQ,2026-01-04,Unknown,Church Service,,114,Evening Light Tabernacle Elkton KY
2025-12-04,Success,Thomas Byler,"Bro. Thomas Byler • Sun. • 12325 • The Word of God, The Bible",https://www.youtube.com/watch?v=4H9P29dJ1lI,2026-01-04,Unknown,Church Service,,112,Evening Light Tabernacle Elkton KY
