date,status,speaker,title,url,last_checked,language,type,description,duration,church,first_scraped,video_status,video_removed_date
2026-01-18,Success,"January 18, 2026",Sunday Morning Service,https://www.youtube.com/watch?v=mf3fUQLMoQU,2026-01-19,Unknown,Full Sermon,,0.0,Flagstaff Mission Tabernacle,2026-01-19,available,
2026-01-14,Success,"January 14, 2026",Wednesday Evening Service,https://www.youtube.com/watch?v=4srVRC8rxtY,2026-01-19,Unknown,Full Sermon,,0.0,Flagstaff Mission Tabernacle,2026-01-19,available,
2026-01-11,Success,"January 11, 2026",Sunday Morning Service,https://www.youtube.com/watch?v=XjyMC2K3qSQ,2026-01-18,Unknown,Full Sermon,,0.0,Flagstaff Mission Tabernacle,2026-01-18,available,
2024-03-31,No Transcript,,This Blood- FMT Choir,https://www.youtube.com/watch?v=v9bo6nyij5w,2026-01-16,Unknown,Short Clip,This song was recorded live at Flagstaff Tabernacle.,5.0,Flagstaff Mission Tabernacle,2026-01-16,available,
2024-03-08,No Transcript,Isaac Robson,Psalms 34- Isaac Robson,https://www.youtube.com/watch?v=7OYiulLF4cA,2026-01-16,Unknown,Short Clip,This song was recorded live at Flagstaff Tabernacle.,4.0,Flagstaff Mission Tabernacle,2026-01-16,available,
2024-03-07,No Transcript,Stephen Martinez,Restless- Wendy Daulton & Stephen Martinez,https://www.youtube.com/watch?v=3WrPoCz1FRc,2026-01-16,Unknown,Short Clip,This song was recorded live at Flagstaff Tabernacle.,4.0,Flagstaff Mission Tabernacle,2026-01-16,available,
2024-03-07,No Transcript,,He Already Sees The Rainbow- Caitlin Buchanan & Cammie Wilson,https://www.youtube.com/watch?v=8lt0zNQvnE8,2026-01-16,Unknown,Short Clip,This song was recorded live at Flagstaff Tabernacle.,3.0,Flagstaff Mission Tabernacle,2026-01-16,available,
2023-04-16,No Transcript,William Robson,All The Praise- Matthias and William Robson,https://www.youtube.com/watch?v=u7p8aB9Zz9U,2026-01-16,Unknown,Short Clip,This song was recorded live at Flagstaff Tabernacle.,4.0,Flagstaff Mission Tabernacle,2026-01-16,available,
2023-04-09,No Transcript,Nikki Ignace,I Can't Even Walk- Bro. Nikki Ignace,https://www.youtube.com/watch?v=16PteNDKWwc,2026-01-16,Unknown,Short Clip,This song was recorded live at Flagstaff Tabernacle.,4.0,Flagstaff Mission Tabernacle,2026-01-16,available,
2023-04-09,No Transcript,,The Commission- Maddie and Kathleen Daulton,https://www.youtube.com/watch?v=Whrsd6zxVO4,2026-01-16,Unknown,Short Clip,This song was recorded live at Flagstaff Tabernacle.,3.0,Flagstaff Mission Tabernacle,2026-01-16,available,
2023-04-09,No Transcript,,How Deep The Father's Love For Us- FMT Choir,https://www.youtube.com/watch?v=-2Ju7xcGJAY,2026-01-16,Unknown,Short Clip,This song was recorded live at Flagstaff Tabernacle.,3.0,Flagstaff Mission Tabernacle,2026-01-16,available,
2023-04-09,No Transcript,Flag Tab,I Will Rise Again- Flag Tab Choir,https://www.youtube.com/watch?v=tPd3HwXx13U,2026-01-16,Unknown,Short Clip,This song was recorded live at Flagstaff Tabernacle.,3.0,Flagstaff Mission Tabernacle,2026-01-16,available,
