date,status,speaker,title,url,last_checked,language,type,description,duration,church
2026-01-11,Success,"Bro. Andrew Spencer on January 11th, 2026",Restoring The Barren (Part 3),https://www.youtube.com/watch?v=B8aMFXgDTos,2026-01-12,Unknown,Full Sermon,,,Full Gospel Lighthouse Tabernacle
2026-01-11,Success,"Bro. Andrew Spencer on January 10th, 2026",Restoring The Barren (Part 2),https://www.youtube.com/watch?v=93PZwVzx_jE,2026-01-12,Unknown,Full Sermon,,,Full Gospel Lighthouse Tabernacle
2026-01-04,No Transcript,Andrew Spencer,"New Year's Meeting on January 4th, 2026",https://www.youtube.com/watch?v=m_JTToy9oUM,2026-01-10,Unknown,New Year Service,"""Restoring the Barren"" (Part 1) - Bro. Andrew Spencer ""It's Wedding Day"" - Bro. Ron Spencer  If these messages have blessed you, please consider supporting our ministry. We are very thankful for the help God sends us through praying saints. Full Gospel Lighthouse Tabernacle is a Non-Profit Christian Ministry and is wholly funded by the tax-deductible donations of our supporters. Please visit our website if you like to support Full Gospel Lighthouse Tabernacle. https://www.fullgospellighthousetab",165,Full Gospel Lighthouse Tabernacle
2026-01-03,Success,Matt McClard,"New Year's Meeting on January 3rd, 2026",https://www.youtube.com/watch?v=w2f2uC5sePU,2026-01-10,English,New Year Service,"""Take Advantage of Your Opportunity"" - Bro. Matt McClard ""Hope vs. Faith"" - Bro. William Borlovan ""Be Ye Steadfast"" - Bro. Matt Spencer  If these messages have blessed you, please consider supporting our ministry. We are very thankful for the help God sends us through praying saints. Full Gospel Lighthouse Tabernacle is a Non-Profit Christian Ministry and is wholly funded by the tax-deductible donations of our supporters. Please visit our website if you like to support Full Gospel Lighthouse Tab",171,Full Gospel Lighthouse Tabernacle
2025-12-28,Success,"Bro. Ron Spencer on December 28th, 2025",There Is Hidden Treasures In The Darkness,https://www.youtube.com/watch?v=z-ND6QA3yrg,2026-01-12,Unknown,Full Sermon,,,Full Gospel Lighthouse Tabernacle
2025-12-27,No Transcript,Andrew Spencer,"""I Will Restore"" - Bro. Andrew Spencer on December 27th, 2025",https://www.youtube.com/watch?v=m30MMmsiagI,2026-01-05,Unknown,Church Service,"If these messages have blessed you, please consider supporting our ministry. We are very thankful for the help God sends us through praying saints. Full Gospel Lighthouse Tabernacle is a Non-Profit Christian Ministry and is wholly funded by the tax-deductible donations of our supporters. Please visit our website if you like to support Full Gospel Lighthouse Tabernacle. https://www.fullgospellighthousetabernacle.com/live-stream/",121,Full Gospel Lighthouse Tabernacle
2025-12-21,Success,"Bro. Ron Spencer on December 21st, 2025",'The Testimony of One,https://www.youtube.com/watch?v=AevNKe11wk0,2026-01-12,Unknown,Full Sermon,,,Full Gospel Lighthouse Tabernacle
2025-12-21,No Transcript,Andrew Spencer,"""Touching Jesus"" - Bro. Andrew Spencer on December 20th, 2025 / 2025 Christmas Program",https://www.youtube.com/watch?v=6FJ00_jr1CU,2026-01-05,Unknown,Christmas Program,"If these messages have blessed you, please consider supporting our ministry. We are very thankful for the help God sends us through praying saints. Full Gospel Lighthouse Tabernacle is a Non-Profit Christian Ministry and is wholly funded by the tax-deductible donations of our supporters. Please visit our website if you like to support Full Gospel Lighthouse Tabernacle. https://www.fullgospellighthousetabernacle.com/live-stream/",81,Full Gospel Lighthouse Tabernacle
2025-12-14,Success,"Bro. David Mayeur on December 14th, 2025",The Mystery Revealed In Earthen Vessels,https://www.youtube.com/watch?v=li5C2CV6Hww,2026-01-12,Unknown,Full Sermon,,,Full Gospel Lighthouse Tabernacle
2025-12-13,Success,"Bro. David Mayeur on December 13th, 2025","The Unstoppable Seed Of God, All Is Well",https://www.youtube.com/watch?v=ZX2fDkNsUPg,2026-01-12,Unknown,Full Sermon,,,Full Gospel Lighthouse Tabernacle
