################################################################################
TIMESTAMPED TRANSCRIPT
################################################################################
Source: 2018-07-20 - 00137 - Unknown Speaker.txt
Video ID: 2cCSZ4Fj5J0
Segments: 200
URL: https://www.youtube.com/watch?v=2cCSZ4Fj5J0
================================================================================
Click any timestamp to jump to that point in the video.
Format: [M:SS] or [H:MM:SS] followed by transcript text.
================================================================================

[0:05] [Music]
[0:12] [Music]
[0:58] [Music]
[1:18] [Music]
[1:32] [Music]
[1:56] [Music]
[2:26] [Music]
[2:48] [Music]
[3:01] [Music]
[3:18] [Music]
[3:44] [Music]
[4:00] [Music]
[4:32] [Music]
[5:06] [Music]
[5:08] Oh
[5:35] [Music]
[5:48] [Music]
[5:54] [Laughter]
[6:05] [Music]
[6:35] [Music]
[6:45] [Music]
[6:54] [Laughter]
[7:09] [Music]
[7:34] [Music]
[7:45] [Music]
[7:55] [Music]
[8:52] [Music]
[8:59] [Music]
[9:24] [Music]
[9:39] [Music]
[10:14] [Music]
[10:52] [Music]
[11:44] [Music]
[12:17] [Music]
[12:35] [Music]
[13:22] [Music]
[13:41] [Music]
[13:52] [Music]
[13:59] [Music]
[15:01] [Music]
[15:12] [Music]
[15:21] [Music]
[15:39] [Music]
[16:07] [Music]
[16:23] [Music]
[16:29] [Music]
[16:37] [Music]
[16:52] [Music]
[17:15] [Music]
[17:25] [Music]
[17:47] [Music]
[18:11] [Applause]
[18:27] [Music]
[18:51] [Applause]
[19:00] [Music]
[19:17] [Music]
[19:46] [Music]
[19:48] that's right
[20:03] [Music]
[20:16] [Applause]
[20:23] [Music]
[20:30] [Music]
[20:33] [Applause]
[20:34] [Music]
[21:04] [Music]
[21:29] [Music]
[21:46] [Music]
[21:52] [Music]
[21:58] [Music]
[22:13] [Music]
[22:25] [Music]
[22:37] [Music]
[22:48] [Music]
[22:57] [Music]
[23:06] [Music]
[23:14] [Music]
[23:20] [Music]
[23:32] [Music]
[24:01] [Music]
[24:19] [Music]
[24:38] [Music]
[24:53] [Music]
[25:03] [Music]
[25:12] [Music]
[25:31] [Music]
[25:43] [Music]
[26:03] [Music]
[26:18] [Music]
[26:24] [Music]
[26:30] [Music]
[26:42] [Music]
[27:02] [Music]
[27:09] [Music]
[27:28] [Music]
[27:33] [Music]
[27:53] [Music]
[28:06] [Music]
[28:16] [Music]
[28:24] Oh
[28:24] [Music]
[28:54] [Music]
[29:20] [Music]
[29:26] [Music]
[29:39] [Music]
[29:52] [Music]
[29:58] [Music]
[30:14] [Music]
[30:23] [Music]
[30:37] [Music]
[30:49] Oh
[30:51] [Music]
[31:06] [Music]
[31:45] [Music]
[32:02] [Music]
[32:08] [Music]
[32:27] [Music]
[33:05] [Music]
[33:17] [Music]
[33:20] Oh
[33:23] [Music]
[33:31] [Music]
[33:48] [Music]
[33:56] [Music]
[34:02] [Music]
[34:27] [Music]
[35:03] [Music]
[35:19] [Music]
[35:20] that's right
[35:30] [Applause]
[35:40] [Music]
[35:56] [Music]
[36:05] receive glory believe words can express
[36:18] nice change completely habits broken
[36:27] relationships Revere
[36:30] [Music]
[36:35] because it's all because of the spoken
[36:45] word just the spoken word cows out there
[36:51] you see so many times brother sisters we
[36:59] don't
[37:00] [Music]
[37:06] today the service are there again
[37:11] refreshments this time it will be
[37:15] downstairs you'll get your food or
[37:20] whatever is provided upstairs and the
[37:23] point and this after you'll be able to
[37:27] move downstairs their chairs ready here
[37:30] we're just doing the best we can
[37:32] this was supposed to be outside people
[37:35] who have tents up and that sort of thing
[37:37] but because of their rain we did not do
[37:41] that
[37:41] one Brotherhood sister sacrificing their
[37:44] time that they were there outside we
[37:48] live now all the time and is the
[37:53] evolution they said they were barbecuing
[37:57] and
[37:58] like that monster that tent why they
[38:02] were here
[38:15] that wonderful sacrifice of them doing
[38:20] that first or many others in here for
[38:24] [Music]
[38:26] smartest invention and the autobahn
[38:29] express our appreciation the Christian
[38:37] Assembly of those efforts will give the
[38:39] Toronto area thank you for coming from
[38:42] the Lord bless you the Lord and I want
[38:55] to say that by the end of this week
[38:58] Saturday and Sunday I will be
[39:02] ministering to the petronia Christian
[39:04] Assembly the Word of God there and all
[39:08] of your invited to come I know these are
[39:12] not the old days where where I can just
[39:14] rent a faucet or something everybody
[39:25] [Music]
[39:30] all right so keep your word
[39:54] and be there so that we can all have a
[39:57] wonderful time together those who are
[40:04] before you can at the end we let them
[40:08] know that they're going to be these
[40:10] retreats at the end of the week we will
[40:12] gather together and control you Dorian
[40:31] [Music]
[40:43] [Music]
[40:48] [Music]
[41:03] for the word everything yourself to the
[41:06] Holy Spirit when wonderful time last
[41:08] night everybody
[41:11] praise God keep us in your prayers the
[41:13] devil is doing time now Barack recovers
[41:20] right because the Bible says he'd been
[41:22] told there's an army rising up that's
[41:25] right he was the hunter
[41:36] [Laughter]
[41:42] [Music]
[41:57] [Music]
[42:13] [Music]
[42:20] congregation of meeting always come
[42:38] in the
[43:09] [Applause]
[43:25] [Music]
