date,status,speaker,title,url,last_checked,language,type,description,duration,church,first_scraped,video_status,video_removed_date
2026-01-15,No Transcript,Danny Mazzilli,The Bridegroom Call - Part 2 (The Purpose Of God - Part 15) - Pastor Danny Mazzilli,https://www.youtube.com/watch?v=RsPzcVZX4JQ,2026-01-19,Unknown,Church Service,"Pastor Danny Mazzilli Good Neighbour Ministries  Burlington, Ontario Contact us at: info@gnministries.org  Website: https://gnministries.org/",74,Good Neighbour Ministries,2026-01-19,available,
2026-01-18,Success,Part 3 (The Purpose Of God,The Bridegroom Call,https://www.youtube.com/watch?v=l2eEPABLFWQ,2026-01-19,Unknown,Full Sermon,,0,Good Neighbour Ministries,2026-01-19,available,
2026-01-11,Success,Pastor Danny Mazzilli,The Capstone Revelation,https://www.youtube.com/watch?v=UqTTUWJUxzQ,2026-01-18,Unknown,Full Sermon,,0,Good Neighbour Ministries,2026-01-18,available,
2025-12-04,No Transcript,Emmanuel Tombe,"Joseph, The Prince of Prosperity (Part 2)- Minister Emmanuel Tombe",https://www.youtube.com/watch?v=GRJmlyBUgcE,2026-01-16,Unknown,Church Service,"Minister Emmanuel Tombe Good Neighbour Ministries  Burlington, Ontario Contact us at: info@gnministries.org  Website: https://gnministries.org/",99,Good Neighbour Ministries,2026-01-16,available,
2025-11-20,No Transcript,Philip Bobie-Frimpong,God's Thoughts Are Higher Than Our Thoughts - Minister Philip Bobie-Frimpong,https://www.youtube.com/watch?v=sDe4RJiU11k,2026-01-16,Unknown,Church Service,"Minister Philip Bobie-Frimpong Good Neighbour Ministries  Burlington, Ontario Contact us at: info@gnministries.org  Website: https://gnministries.org/",85,Good Neighbour Ministries,2026-01-16,available,
2025-10-30,No Transcript,Emmanuel Tombe,"Joseph, The Prince of Prosperity - Minister Emmanuel Tombe",https://www.youtube.com/watch?v=EQBod1sZflE,2026-01-16,Unknown,Church Service,"Minister Emmanuel Tombe Good Neighbour Ministries  Burlington, Ontario Contact us at: info@gnministries.org  Website: https://gnministries.org/",79,Good Neighbour Ministries,2026-01-16,available,
2025-07-20,No Transcript,Danny Mazzilli,The Rapture Dispensation - Part 2 (Under Authority - Part 6) - Pastor Danny Mazzilli,https://www.youtube.com/watch?v=L7Vl_7h8ZbE,2026-01-16,Unknown,Church Service,"Pastor Danny Mazzilli Good Neighbour Ministries  Burlington, Ontario Contact us at: info@gnministries.org  Website: https://gnministries.org/",128,Good Neighbour Ministries,2026-01-16,available,
2025-07-03,No Transcript,Danny Mazzilli,Understanding Your Existence (Under Authority - Part 3) - Pastor Danny Mazzilli,https://www.youtube.com/watch?v=quRft9vvEXA,2026-01-16,Unknown,Church Service,"Pastor Danny Mazzilli Good Neighbour Ministries  Burlington, Ontario Contact us at: info@gnministries.org  Website: https://gnministries.org/",85,Good Neighbour Ministries,2026-01-16,available,
2025-06-26,No Transcript,Emmanuel Tombe,The Valley of Decision - Minister Emmanuel Tombe,https://www.youtube.com/watch?v=EFY1s-xqZks,2026-01-16,Unknown,Church Service,"Minister Emmanuel Tombe  Good Neighbour Ministries  Burlington, Ontario Contact us at: info@gnministries.org  Website: https://gnministries.org/",76,Good Neighbour Ministries,2026-01-16,available,
2025-06-22,No Transcript,Maxwell Lee,Junction Of All Junctions- Bro. Maxwell Lee,https://www.youtube.com/watch?v=JOzoUpysLNo,2026-01-16,Unknown,Church Service,"Bro Maxwell Lee  Good Neighbour Ministries  Burlington, Ontario Contact us at: info@gnministries.org  Website: https://gnministries.org/",144,Good Neighbour Ministries,2026-01-16,available,
2025-06-08,No Transcript,John Simon,The Rear Guards Of The Lord's Hosts - Minister John Simon,https://www.youtube.com/watch?v=-rxi8gtX1tU,2026-01-16,Unknown,Church Service,"Minister John Simon Good Neighbour Ministries  Burlington, Ontario Contact us at: info@gnministries.org  Website: https://gnministries.org/",149,Good Neighbour Ministries,2026-01-16,available,
2025-05-11,No Transcript,John Simon,A Mother's Love - Minister John Simon,https://www.youtube.com/watch?v=66K3bDTXleM,2026-01-16,Unknown,Church Service,"Minister John Simon Good Neighbour Ministries  Burlington, Ontario Contact us at: info@gnministries.org  Website: https://gnministries.org/",142,Good Neighbour Ministries,2026-01-16,available,
2025-05-08,No Transcript,Tim Beers,Sitting In The Prison With The Door Wide Open (The Power Of Tradition - Part 13) -Minister Tim Beers,https://www.youtube.com/watch?v=rcggYhZsZmw,2026-01-16,Unknown,Church Service,"Minister Tim Beers  Good Neighbour Ministries  Burlington, Ontario Contact us at: info@gnministries.org  Website: https://gnministries.org/",103,Good Neighbour Ministries,2026-01-16,available,
2025-04-13,No Transcript,Danny Mazzilli,This Is Love (Part 2) - Pastor Danny Mazzilli,https://www.youtube.com/watch?v=Z0LJlBtX7xE,2026-01-16,Unknown,Church Service,"Pastor Danny Mazzilli Good Neighbour Ministries  Burlington, Ontario Contact us at: info@gnministries.org  Website: https://gnministries.org/",125,Good Neighbour Ministries,2026-01-16,available,
2025-04-06,No Transcript,Danny Mazzilli,This Is Love - Pastor Danny Mazzilli,https://www.youtube.com/watch?v=V0J9GHXIzD8,2026-01-16,Unknown,Church Service,"Pastor Danny Mazzilli Good Neighbour Ministries  Burlington, Ontario Contact us at: info@gnministries.org  Website: https://gnministries.org/",123,Good Neighbour Ministries,2026-01-16,available,
2025-03-30,No Transcript,Danny Mazzilli,For Such A Time As This (Our Identity In Christ - Part 4) - Pastor Danny Mazzilli,https://www.youtube.com/watch?v=BM-vMUCxh5g,2026-01-16,Unknown,Church Service,"Pastor Danny Mazzilli Good Neighbour Ministries  Burlington, Ontario Contact us at: info@gnministries.org  Website: https://gnministries.org/",125,Good Neighbour Ministries,2026-01-16,available,
2025-03-27,No Transcript,Danny Mazzilli,The First Seal (A Study of the Seven Seals - Part 4) - Pastor Danny Mazzilli,https://www.youtube.com/watch?v=bfVDm6Vyhfs,2026-01-16,Unknown,Church Service,"Pastor Danny Mazzilli Good Neighbour Ministries  Burlington, Ontario Contact us at: info@gnministries.org  Website: https://gnministries.org/",97,Good Neighbour Ministries,2026-01-16,available,
2025-03-13,No Transcript,Danny Mazzilli,The First Seal (A Study of the Seven Seals - Part 3) - Pastor Danny Mazzilli,https://www.youtube.com/watch?v=5LCVMPtqr_Q,2026-01-16,Unknown,Church Service,"Pastor Danny Mazzilli Good Neighbour Ministries  Burlington, Ontario Contact us at: info@gnministries.org  Website: https://gnministries.org/",84,Good Neighbour Ministries,2026-01-16,available,
2025-02-09,No Transcript,John Simon,God Proving Himself - Minister John Simon,https://www.youtube.com/watch?v=EW7SZj4Z1Do,2026-01-16,Unknown,Church Service,"Minister John Simon Good Neighbour Ministries  Burlington, Ontario Contact us at: info@gnministries.org  Website: https://gnministries.org/",129,Good Neighbour Ministries,2026-01-16,available,
