date,status,speaker,title,url,last_checked,language,type,description
2019-09-15,Success,Unknown Speaker,09/15/19 - Sunday Morning service,https://www.youtube.com/watch?v=yTgtkmquGp4,2025-12-30,Unknown,Full Sermon,
2019-09-18,Success,Unknown Speaker,09-18-19 The Binding and Loosing Principle,https://www.youtube.com/watch?v=Xz1CwFama24,2025-12-28,Unknown,Full Sermon,
2019-09-22,Success,Loyal Carlon,"09-22-19 This Is My Story, The Fight Is On - Bro. Loyal Carlon",https://www.youtube.com/watch?v=_RjMLvj1QGk,2025-12-30,Unknown,Full Sermon,
2019-09-22,Success,Unknown Speaker,09-22-19 Sunday School,https://www.youtube.com/watch?v=Zvz6igPUgSU,2025-12-28,Unknown,Full Sermon,
2019-09-25,Success,Bloteh Won,09-25-19 The Binding and Loosing Principle Part 2 - Bro Bloteh Won,https://www.youtube.com/watch?v=eFJPZIG3sa8,2025-12-30,Unknown,Full Sermon,
2019-09-29,Success,Bloteh Won,09-29-19 All The Father Has Given Me - Bro Bloteh Won,https://www.youtube.com/watch?v=YG_pRBSqKZA,2025-12-30,Unknown,Full Sermon,
2019-09-29,Success,Prayer Part 20,09-29-2019 Sunday School - Prayer Part 20 - Bro Daniel Ali,https://www.youtube.com/watch?v=8bW1-6HLtyg,2025-12-30,Unknown,Full Sermon,
2019-10-02,Success,Bloteh Won,10-02-19 All The Father Has Given Me Part 2 - Bro Bloteh Won,https://www.youtube.com/watch?v=mHfUTKyZFg0,2025-12-30,Unknown,Full Sermon,
2019-10-06,Success,Bloteh Won,10-06-2019 Let's Go Unto Perfection - Bro Bloteh Won,https://www.youtube.com/watch?v=eDQ_cSZHVk0,2025-12-30,Unknown,Full Sermon,
2019-10-06,Success,Unknown Speaker,10-06-2019 Sunday Evening Communion Service,https://www.youtube.com/watch?v=OdGR3G7Dm0U,2025-12-28,Unknown,Full Sermon,
2019-10-06,Success,Unknown Speaker,10-06-2019 Sunday School - Prayer,https://www.youtube.com/watch?v=5B3j8bu2w1k,2025-12-30,Unknown,Full Sermon,
2019-10-09,Success,The,10-09-2019 - The Token - Bro Samuel Otgate,https://www.youtube.com/watch?v=sCb4lCaf8dU,2025-12-30,Unknown,Full Sermon,
2019-10-13,Success,The Greatest Expectation,10-13-2019 - The Greatest Expectation - Bro Joseph Niyi Adeludem,https://www.youtube.com/watch?v=dEDIrU9JqY0,2025-12-30,Unknown,Full Sermon,
2019-10-13,Success,Unknown Speaker,10-13-2019 Sunday School Prayer,https://www.youtube.com/watch?v=Lkk8avMhuK4,2025-12-28,Unknown,Full Sermon,
2019-10-16,Success,The Covenant People,10-16-2019 - The Covenant People - Bro Samuel Otgate,https://www.youtube.com/watch?v=VaQPOGfP1xU,2025-12-30,Unknown,Full Sermon,
2019-10-20,Success,Loyal Carlon,10-20-2019 Spiritual Edurance - Bro Loyal Carlon,https://www.youtube.com/watch?v=JOtCTASKdb4,2025-12-30,Unknown,Full Sermon,
2019-10-20,Success,Daniel Ali,10-20-2019 Sunday School - Bro Daniel Ali,https://www.youtube.com/watch?v=rxscBKL02gQ,2025-12-30,Unknown,Full Sermon,
2019-10-23,Success,Bloteh Won,10-23-19 Trust - Bro Bloteh Won,https://www.youtube.com/watch?v=6pzFuZeWhaQ,2025-12-30,Unknown,Full Sermon,
2019-10-27,Success,Daniel Ali,10-27-19 Sunday School - Bro Daniel Ali,https://www.youtube.com/watch?v=33TOfixGOXc,2025-12-30,Unknown,Full Sermon,
2019-10-27,Success,Bloteh Won,10-27-19 Trust part 2: Running From His Presence - Bro Bloteh Won,https://www.youtube.com/watch?v=Z06bueVsLb4,2025-12-30,Unknown,Full Sermon,
2019-10-30,Success,Bloteh Won,10-30-2019 Trust Part 3 - Bro Bloteh Won,https://www.youtube.com/watch?v=wmega6JqDLE,2025-12-30,Unknown,Full Sermon,
2019-11-03,Success,Bloteh Won,11-03-2019 Even Devils Are Subject To Us Through Thy Name - Bro Bloteh Won,https://www.youtube.com/watch?v=Ktki-XOvIUw,2025-12-30,Unknown,Full Sermon,
2019-11-03,Success,Daniel Ali,11-03-2019 Sunday School - Bro Daniel Ali  Prayer,https://www.youtube.com/watch?v=L_bo3Ag5Qr0,2025-12-30,Unknown,Full Sermon,
2019-11-10,Success,Unknown Speaker,11-10-2019 Sunday School,https://www.youtube.com/watch?v=aa9Ai46VtKE,2025-12-28,Unknown,Full Sermon,
2019-11-13,Success,Elijah Jebor,11-13-2019 Inspiration - Bro Elijah Jebor,https://www.youtube.com/watch?v=LvYzHMhNVJs,2025-12-30,Unknown,Full Sermon,
2019-11-16,Success,Darrel Ward,11-16-2019 He's In The Ship Bro Darrel Ward,https://www.youtube.com/watch?v=rL_q1f8IQCE,2025-12-28,Unknown,Full Sermon,
2019-11-17,Success,Let Everything That Has Breath Praise The,11-17-2019 - Let Everything That Has Breath Praise The Lord - Bro Darrel Ward,https://www.youtube.com/watch?v=uktKrdNisL0,2025-12-30,Unknown,Full Sermon,
2019-11-20,Success,Unknown Speaker,11-20-2019 - God With Us - Bro Godwin Omoigui,https://www.youtube.com/watch?v=XuD4iCtRBhg,2025-12-30,Unknown,Full Sermon,
2019-11-24,Success,Sunday School,11-24-2019 - Sunday School - 65-1125   THE INVISIBLE UNION OF THE BRIDE OF CHRIST,https://www.youtube.com/watch?v=F-tacC6PHdI,2025-12-30,Unknown,Full Sermon,
2019-12-01,Success,Preeminence,12-01-19 - Preeminence - Bro Bloteh Won,https://www.youtube.com/watch?v=qAtk-X5qPf4,2025-12-30,Unknown,Full Sermon,
2019-12-04,Success,He That Is Whole Need No Physician,12-04-19 - He That Is Whole Need No Physician - Bro Bloteh Won,https://www.youtube.com/watch?v=Qo029sNK1ic,2025-12-30,Unknown,Full Sermon,
2019-12-08,Success,Unknown Speaker,12-04-19  Sunday School Message: The Invisible Union Of the Bride,https://www.youtube.com/watch?v=s7xMCWMxN7U,2025-12-30,Unknown,Full Sermon,
2019-12-08,Success,John Gbadku,12-08-19  According To Your Faith Be It Unto You - Bro John Gbadku,https://www.youtube.com/watch?v=jc1q7TW8Z58,2025-12-30,Unknown,Full Sermon,
2019-12-11,Success,From the House of Shame to a House,12-11-19 - From the House of Shame to a House of Testimony - Bro Bloteh Won,https://www.youtube.com/watch?v=7rmGwL6_ck8,2025-12-30,Unknown,Full Sermon,
2019-12-15,Success,From the House of Shame to the House,12-15-19 -  From the House of Shame to the House of Testimony - Bro Bloteh Won,https://www.youtube.com/watch?v=WMDOn66IX0Y,2025-12-30,Unknown,Full Sermon,
2019-12-18,Success,Bloteh Won,12-18-2019 Just Man Maketh Not Ashamed - Bro Bloteh Won,https://www.youtube.com/watch?v=-h2BgEMZGf0,2025-12-30,Unknown,Full Sermon,
2019-12-22,Success,Dan Fraijo,12-22-2019 Perfection Through Restored Friendship - Bro Dan Fraijo,https://www.youtube.com/watch?v=-ykfYAwTKMc,2025-12-30,Unknown,Full Sermon,
2019-12-22,Success,Daniel Ali,12-22-2019 Sunday School  on Prayer- Bro Daniel Ali,https://www.youtube.com/watch?v=XEz0UwY356k,2025-12-28,Unknown,Full Sermon,
2019-12-24,Success,Bloteh Won,12-24-19 Just Man Maketh Not Ashamed Part 2 - Bro Bloteh Won,https://www.youtube.com/watch?v=tgxWe3F80O4,2025-12-30,Unknown,Full Sermon,
2019-12-29,Success,Message And From That Time,"12-29-2019 Sunday School - Message ""And From That Time""",https://www.youtube.com/watch?v=sRsfYaqTaaw,2025-12-30,Unknown,Full Sermon,
2019-12-29,Success,Daniel Fraijo,12-29-2019 The New Order - Bro Daniel Fraijo,https://www.youtube.com/watch?v=yL0UWlbnE-k,2025-12-30,Unknown,Full Sermon,
2019-12-31,Success,Bloteh Won,12-31-2019 Speak To Yourself - Bro Bloteh Won,https://www.youtube.com/watch?v=EvsoSdsJh5w,2025-12-30,Unknown,Full Sermon,
2020-01-05,Success,Bloteh Won,"01-05-2020 Whom Shall I Send, And Who Will Go For Us? - Bro Bloteh Won",https://www.youtube.com/watch?v=NSqDDjQPymU,2025-12-30,Unknown,Full Sermon,
2020-01-05,Success,Otis Wilson,01-05-2020 Expectation - Bro Otis Wilson,https://www.youtube.com/watch?v=Hw6bQmalBh0,2025-12-30,Unknown,Full Sermon,
2020-01-05,Success,Message From That Time,"01-05-2020 Sunday School - Message ""From That Time""",https://www.youtube.com/watch?v=hUsGbisxuRU,2025-12-30,Unknown,Full Sermon,
2020-01-08,Success,Caleb Nyoni,01-08-2020 Applying The Token In The Evening Time - Bro Caleb Nyoni,https://www.youtube.com/watch?v=MqS-OwAWM-I,2025-12-30,Unknown,Full Sermon,
2020-01-12,Success,Bloteh Won,01-12-2020 Children in the Marketplace - Bro Bloteh Won,https://www.youtube.com/watch?v=u3ovHI5texA,2025-12-30,Unknown,Full Sermon,
2020-01-12,Success,Tithes Part 1,01-12-2020 Sunday School - Tithes Part 1 - Bro Daniel Ali,https://www.youtube.com/watch?v=FKEvkiKhWWw,2025-12-30,Unknown,Full Sermon,
2020-01-15,Success,Bloteh Won,01-15-2020 Children in the Marketplace Part 2 - Bro Bloteh Won,https://www.youtube.com/watch?v=xxF38-zH-eU,2025-12-30,Unknown,Full Sermon,
2020-01-19,Success,Daniel Ali,01-19-2020 Sunday School: Tithes Part 2 - Bro Daniel Ali,https://www.youtube.com/watch?v=UHHISuAsX_U,2025-12-30,Unknown,Full Sermon,
2020-01-19,Success,Bloteh Won,01-19-2020 The Washing Of The Water By The Word - Bro Bloteh Won,https://www.youtube.com/watch?v=XB_gAJvDDuA,2025-12-30,Unknown,Full Sermon,
2020-01-26,Success,Daniel Ali,01-26-2020 Sunday School - Bro Daniel Ali,https://www.youtube.com/watch?v=RH6E1GCoI6M,2025-12-30,Unknown,Full Sermon,
2020-01-26,Success,Bloteh Won,01-26-2020 Types and Shadows part 2- Bro Bloteh Won,https://www.youtube.com/watch?v=DiPsePsNePY,2025-12-28,Unknown,Full Sermon,
2020-01-29,Success,Bloteh Won,01-29-2020 Dewdrops of Refreshing - Bro Bloteh Won,https://www.youtube.com/watch?v=O8TvUT8-kIc,2025-12-30,Unknown,Full Sermon,
2020-02-02,Success,Sunday School Tithing,02-02-2020 Bro Dan - Sunday School Tithing,https://www.youtube.com/watch?v=Hlg1P-xNyvs,2025-12-30,Unknown,Full Sermon,
2020-02-05,Success,Daniel Ali,02-05-2020 What Is Your God-Given Purpose In Life?  - Bro Daniel Ali,https://www.youtube.com/watch?v=2HKnhEM_lng,2025-12-30,Unknown,Full Sermon,
2020-02-09,Success,Dan,02-09-2020 I Know my reedemer liveth - Bro Dan,https://www.youtube.com/watch?v=9VMi08dXRmY,2025-12-30,Unknown,Full Sermon,
2020-02-12,Success,Bloteh Won,"02-12-2020 Though Noah, Daniel And Job... - Bro Bloteh Won",https://www.youtube.com/watch?v=TRIeysqx8yk,2025-12-30,Unknown,Full Sermon,
2020-02-16,Success,Bloteh Won,02-16-2020 Communion Service - Bro Bloteh Won,https://www.youtube.com/watch?v=ToeeviiX5xc,2025-12-30,Unknown,Full Sermon,
2020-02-16,Success,Bloteh Won,02-16-2020 Naboth's Vineyard: The Importance of the Father's Inheritance - Bro Bloteh Won,https://www.youtube.com/watch?v=7t9BW4JoJ4M,2025-12-30,Unknown,Full Sermon,
