date,status,speaker,title,url,last_checked,language,type,description,duration,church,first_scraped,video_status,video_removed_date
2026-01-18,Success,Bro. Paul Haylett The Brides Position 2,"January 18, 2026",https://www.youtube.com/watch?v=4bLhCbRBC1s,2026-01-21,Unknown,Full Sermon,,0,Grace Tabernacle Nampa,2026-01-21,available,
2025-01-14,Success,Bro David Dienhart Her Head,"January 14, 2025",https://www.youtube.com/watch?v=oS9OcRNwxbY,2026-01-21,Unknown,Full Sermon,,0,Grace Tabernacle Nampa,2026-01-21,available,
2026-01-11,No Transcript,Paul Haylett,"January 11, 2026 - Bro. Paul Haylett - ""The Brides Position""",https://www.youtube.com/watch?v=KqRqJtfun18,2026-01-21,Unknown,Short Clip,Grace Tabernacle,0,Grace Tabernacle Nampa,2026-01-21,available,
2026-01-11,Success,Bro. Paul Haylett,"January 11, 2026",https://www.youtube.com/watch?v=mSNg22qCrws,2026-01-18,Unknown,Full Sermon,,0,Grace Tabernacle Nampa,2026-01-18,available,
2026-01-04,No Transcript,,"January 4, 2026 - Bro Jose Hernandez - Lord Is My Shepherd""",https://www.youtube.com/watch?v=EHlwVMEXm1U,2026-01-16,Unknown,Church Service,Grace Tabernacle,139,Grace Tabernacle Nampa,2026-01-16,available,
2025-12-21,No Transcript,Paul Haylett,"December 21, 2025 - Bro Paul Haylett ""The Flood Has Come""",https://www.youtube.com/watch?v=dPbJPJJbJNo,2026-01-16,Unknown,Church Service,Bro Paul Haylett Grace Tabernacle,121,Grace Tabernacle Nampa,2026-01-16,available,
2025-10-29,No Transcript,Paul Haylett,"October 29, 2025 - Bro Paul Haylett ""Built Up""",https://www.youtube.com/watch?v=8z-dZeio1tU,2026-01-16,Unknown,Church Service,Bro Paul Haylett Grace Tabernacle,108,Grace Tabernacle Nampa,2026-01-16,available,
2025-10-12,No Transcript,Paul Haylett,"October 12, 2025 - Bro. Paul Haylett - ""Loosed... At The Spoken Word""",https://www.youtube.com/watch?v=a2DseiBuYB0,2026-01-16,Unknown,Church Service,Grace Tabernacle,128,Grace Tabernacle Nampa,2026-01-16,available,
2025-09-08,No Transcript,Paul Haylett,"September, 7 2025 - Bro. Paul Haylett - ""Be Thou My Vision""",https://www.youtube.com/watch?v=JHujjyyuIY8,2026-01-16,Unknown,Church Service,Grace Tabernacle,151,Grace Tabernacle Nampa,2026-01-16,available,
2025-08-03,No Transcript,Paul Haylett,"August 3, 2025  - Bro. Paul Haylett - ""Strength For Lifes Journey""",https://www.youtube.com/watch?v=1gD4mAWYqY4,2026-01-16,Unknown,Church Service,Grace Tabernacle,121,Grace Tabernacle Nampa,2026-01-16,available,
