date,status,speaker,title,url,last_checked,language,type,description,duration,church,first_scraped,video_status,video_removed_date
2026-01-18,Success,Matt Morse,Pastor Matt Morse 1-21-26 PM,https://www.youtube.com/watch?v=c3_nR8YFTM4,2026-01-24,Unknown,Full Sermon,,0,Grace Tabernacle,2026-01-24,available,
2026-01-18,Success,Andrew Glover,Bro Andrew Glover Spiritual Concentration (Concentrated On The Attraction) 1-14-26,https://www.youtube.com/watch?v=WNph-jG02nY,2026-01-24,Unknown,Full Sermon,,0,Grace Tabernacle,2026-01-24,available,
2026-01-15,Success,Andrew Glover,Bro Andrew Glover Spiritual Concentration (Concentrated On The Attraction) 1-14-26,https://www.youtube.com/watch?v=EtjlTnQQEKA,2026-01-22,English,Church Service,Wednesday Evening Service,148,Grace Tabernacle,2026-01-22,available,
2025-09-12,No Transcript,Mark Morse,Bro. Mark Morse | | 9-10-25,https://www.youtube.com/watch?v=lc6Zc9Uy5a8,2026-01-16,Unknown,Church Service,Wednesday Evening Service,107,Grace Tabernacle,2026-01-16,available,
2025-07-02,No Transcript,Andrew Glover,Bro Andrew Glover | Lose Not The Feeling Of and For The People | 07-02-2025,https://www.youtube.com/watch?v=jeFRBCn8I-E,2026-01-16,Unknown,Church Service,Wednesday Night Service,160,Grace Tabernacle,2026-01-16,available,
2025-06-25,No Transcript,Mark Morse,Bro Mark Morse | When God Has A Purpose | 06-25-2025,https://www.youtube.com/watch?v=d_zmOkEpDFE,2026-01-16,Unknown,Church Service,Wednesday Night Service,111,Grace Tabernacle,2026-01-16,available,
2025-06-01,No Transcript,Matt Morse,Pastor Matt Morse | A Door of Vindication | 06-01-2025,https://www.youtube.com/watch?v=qPAOEdOLpVo,2026-01-16,Unknown,Church Service,Sunday Morning Service,128,Grace Tabernacle,2026-01-16,available,
2025-05-28,No Transcript,Joe Reynolds,Bro. Joe Reynolds | A Sign of Victory | 05-28-2025,https://www.youtube.com/watch?v=HGBy2T8lSwI,2026-01-16,Unknown,Church Service,Wednesday Night Service,123,Grace Tabernacle,2026-01-16,available,
2025-05-04,No Transcript,Joe Reynolds,Anointed For Victory 3 | Bro Joe Reynolds |05/04/2025,https://www.youtube.com/watch?v=NsgpY_cts4M,2026-01-16,Unknown,Church Service,,133,Grace Tabernacle,2026-01-16,available,
2025-04-20,No Transcript,Andrew Glover,It's Easter Again | Bro. Andrew Glover | 04-20-2025,https://www.youtube.com/watch?v=VdBxuB-Tnz0,2026-01-16,Unknown,Easter Program,Sunday Morning Service,182,Grace Tabernacle,2026-01-16,available,
2025-03-03,No Transcript,Donny Reagan,Let My Beloved Come Into His Garden p 2 | Bro Donny Reagan,https://www.youtube.com/watch?v=YubRDZ9LB5E,2026-01-16,Unknown,Church Service,Sunday Morning Service Anniversary Meeting,176,Grace Tabernacle,2026-01-16,available,
2025-01-16,No Transcript,Andrew Glover,01-15-25 | Footsteps Means Possessions | Bro Andrew Glover,https://www.youtube.com/watch?v=k2hmpWiUZvk,2026-01-16,Unknown,Church Service,Wednesday Night Service,113,Grace Tabernacle,2026-01-16,available,
2025-01-06,No Transcript,Andrew Glover,01-05-25 | The Peculiarity of Light the Believer Walks In | Bro Andrew Glover,https://www.youtube.com/watch?v=PAX8KHtYs5w,2026-01-16,Unknown,Church Service,Sunday Morning Service,148,Grace Tabernacle,2026-01-16,available,
2024-12-08,No Transcript,Matt Morse,12-08-2024 | The End-Time Generation | Pastor Matt Morse,https://www.youtube.com/watch?v=X0ViOXv45Fk,2026-01-16,Unknown,Church Service,Sunday Morning Service,122,Grace Tabernacle,2026-01-16,available,
2024-10-20,No Transcript,David Siler,Tent Revival | Sunday Morning | Bro David Siler,https://www.youtube.com/watch?v=FtInH6H2T6s,2026-01-16,Unknown,Church Service,Arkansas Tent Meetings - Sunday Morning,131,Grace Tabernacle,2026-01-16,available,
2024-10-10,No Transcript,Joe Reynolds,10-9-2024 | | Bro Joe Reynolds,https://www.youtube.com/watch?v=I5bQ0yKM8pY,2026-01-16,Unknown,Church Service,Wednesday Evening Service,144,Grace Tabernacle,2026-01-16,available,
2024-09-22,No Transcript,Matt Morse,09-22-2024 |A Kingdom Revelation| Pastor Matt Morse,https://www.youtube.com/watch?v=dotHU3nHFeg,2026-01-16,Unknown,Church Service,Sunday Morning Service,129,Grace Tabernacle,2026-01-16,available,
2024-09-15,No Transcript,Matt Morse,09-15-2024 | A Kingdom Message | Pastor Matt Morse,https://www.youtube.com/watch?v=rrn06Mjc_MU,2026-01-16,Unknown,Church Service,Sunday Morning Service,131,Grace Tabernacle,2026-01-16,available,
2024-09-01,No Transcript,Matt Morse,09-01-2024 | An Everlasting Kingdom | Pastor Matt Morse,https://www.youtube.com/watch?v=Y87Kcv3K-QE,2026-01-16,Unknown,Church Service,Sunday Morning Service,123,Grace Tabernacle,2026-01-16,available,
