################################################################################
TIMESTAMPED TRANSCRIPT
################################################################################
Source: 2022-06-05 - Bro. Sam Chesa Prestinated Unto Sons Sunday 06522 - Sam Chesa.txt
Video ID: fzS_zqE6uV4
Segments: 1055
URL: https://www.youtube.com/watch?v=fzS_zqE6uV4
================================================================================
Click any timestamp to jump to that point in the video.
Format: [M:SS] or [H:MM:SS] followed by transcript text.
================================================================================

[0:01] [Music]
[0:05] so
[0:09] [Music]
[0:44] [Music]
[0:57] [Music]
[1:01] so
[1:07] [Music]
[1:30] so
[1:31] [Music]
[1:44] so
[1:50] [Music]
[2:34] [Music]
[3:09] [Music]
[3:21] so
[3:22] [Music]
[3:36] [Music]
[3:44] um
[3:57] foreign
[4:36] foreign
[5:07] is
[5:21] is
[5:29] by
[5:38] [Music]
[6:13] there's a land that is
[6:16] [Music]
[6:28] foreign
[6:29] [Music]
[6:52] is
[6:57] [Music]
[7:11] oh
[7:12] [Music]
[7:33] [Music]
[7:50] [Music]
[7:55] is
[7:56] [Music]
[8:03] is
[8:05] [Music]
[8:14] oh
[8:19] [Music]
[8:26] [Music]
[8:34] oh
[8:41] [Music]
[8:52] fire
[8:55] [Music]
[8:58] oh
[9:04] [Music]
[9:16] [Applause]
[9:24] [Music]
[9:27] oh
[9:29] [Music]
[9:41] [Music]
[9:51] oh
[9:58] [Music]
[10:13] oh
[10:17] [Music]
[10:40] me
[10:41] [Music]
[10:45] [Applause]
[10:46] [Music]
[10:57] me
[11:00] [Music]
[11:15] oh
[11:16] [Music]
[11:31] me
[11:32] [Music]
[11:48] oh
[11:52] [Music]
[12:04] me
[12:06] [Music]
[12:18] [Applause]
[12:19] [Music]
[12:20] me
[12:24] [Music]
[12:25] [Applause]
[12:29] [Music]
[12:37] me
[12:38] [Music]
[13:04] oh soon
[13:08] [Music]
[13:27] me
[13:33] [Music]
[13:46] let's talk to our lord
[13:48] [Music]
[14:00] the thanks this morning
[14:02] blessed us so much
[14:06] [Music]
[14:16] give us the chance this morning to be
[14:18] alive
[14:19] [Music]
[14:27] [Music]
[14:34] so
[14:37] [Music]
[14:57] oh
[15:01] [Music]
[15:17] oh
[15:19] [Music]
[16:20] friends
[16:22] [Music]
[16:29] [Applause]
[16:30] [Music]
[16:34] okay
[16:37] [Music]
[16:41] [Applause]
[16:47] [Music]
[17:02] is
[17:03] [Music]
[17:25] [Music]
[17:30] who oh
[17:40] [Music]
[18:05] [Music]
[18:18] oh
[18:19] [Music]
[18:33] foreign
[18:42] [Music]
[19:11] [Music]
[19:16] oh
[19:18] [Music]
[19:25] [Music]
[19:41] is
[19:44] [Music]
[19:55] see
[19:59] [Music]
[20:13] oh
[20:17] [Music]
[20:28] [Music]
[20:34] [Applause]
[20:38] [Music]
[20:42] me
[20:46] [Music]
[20:53] me
[20:57] [Music]
[21:02] [Music]
[21:20] is
[21:22] [Music]
[21:31] [Music]
[21:34] [Applause]
[21:37] [Music]
[21:40] [Applause]
[21:42] [Music]
[21:48] is
[21:50] [Music]
[22:01] [Music]
[22:38] we say thanks for the good health
[22:42] spiritual thanks for the spiritual
[22:45] strength
[22:50] we say thanks for all the good stuff you
[22:53] have given us
[22:55] oh my god
[23:01] we have come this morning as a weak
[23:03] people
[23:05] but you have told us
[23:10] that is in our weakness that we uh you
[23:12] found our strength
[23:17] you said the youth will work and uh now
[23:20] faint
[23:34] [Music]
[23:48] to you
[23:50] in energy eternal you give us an eternal
[23:53] energy
[23:54] energy sun limit
[23:57] you give us a uh
[23:59] endless energy
[24:01] energy
[24:02] and our energy is the holy ghost
[24:08] and the holy ghost make us to be a god
[24:11] in this heart
[24:14] you say you
[24:16] you are god
[24:44] strength and power to work as gods
[24:47] [Music]
[24:51] may you renew our
[24:53] strengths
[24:56] may you increase our faith in your word
[25:12] is
[25:26] human beings
[25:29] we are eternity creatures
[25:33] and we just peregrine in this earth
[25:40] that's why we have to do everything to
