date,status,speaker,title,url,last_checked,language,type,description,duration,church,first_scraped,video_status,video_removed_date
Unknown Date,No Transcript,Sam Chesa,Let It Be Unto Me According To Thy Word - Bro. Sam Chesa,https://www.youtube.com/watch?v=DFGT9lwslyk,2026-01-18,Unknown,Church Service,,0.0,Higher Ground Tabernacle Iowa City,2026-01-18,available,
Unknown Date,No Transcript,Isiah brooks,Life Moves - Past. Isaiah Brooks,https://www.youtube.com/watch?v=j1eyYwCWeco,2026-01-16,Unknown,Church Service,,0.0,Higher Ground Tabernacle Iowa City,2026-01-16,available,
Unknown Date,No Transcript,Lys-Paul Lukuka,Back To True Repentence - Bro. Lys-Paul Lukuka,https://www.youtube.com/watch?v=efOqCI24FI8,2026-01-16,Unknown,Church Service,,0.0,Higher Ground Tabernacle Iowa City,2026-01-16,available,
Unknown Date,No Transcript,Fr. Jean Lumbala,Parable Of Talent - Fr. Jean Lumbala,https://www.youtube.com/watch?v=rEIDYD6Fpfc,2026-01-16,Unknown,Church Service,,0.0,Higher Ground Tabernacle Iowa City,2026-01-16,available,
Unknown Date,No Transcript,Fr. Jean Lumbala,Parable Of Talent - Fr. Jean Lumbala,https://www.youtube.com/watch?v=NmBTrtqB3VM,2026-01-16,Unknown,Church Service,,0.0,Higher Ground Tabernacle Iowa City,2026-01-16,available,
Unknown Date,No Transcript,Lys Paul,"Divorced from Law, Married to Grace - Bro Lys Paul",https://www.youtube.com/watch?v=ZD7a7RXQ2DQ,2026-01-16,Unknown,Church Service,,0.0,Higher Ground Tabernacle Iowa City,2026-01-16,available,
Unknown Date,No Transcript,Jean Lumbala,The Unity Of One God In One Church - Bro. Jean Lumbala,https://www.youtube.com/watch?v=1-eezYaM_Nk,2026-01-16,Unknown,Church Service,,0.0,Higher Ground Tabernacle Iowa City,2026-01-16,available,
2025-11-14,No Transcript,John Lumbala,Friday Service - Bro. John Lumbala,https://www.youtube.com/watch?v=QGxN1Bae644,2026-01-16,Unknown,Short Clip,"Jesus Christ est le meme, hier, et aujourd'hui, et eternellement. Jesus Christ is the same yesterday and today and forever.    le message du temps de la fin the end time message  http://branham.org/en/MessageAudio",4.0,Higher Ground Tabernacle Iowa City,2026-01-16,available,
Unknown Date,No Transcript,William M. Branham,10 - 15- 1961: Respect - Bro. William Branham,https://www.youtube.com/watch?v=LrXA6DE3Avc,2026-01-16,Unknown,Tape Service,,0.0,Higher Ground Tabernacle Iowa City,2026-01-16,available,
Unknown Date,No Transcript,William M. Branham,10 - 15- 1961: Respect - Bro. William Branham,https://www.youtube.com/watch?v=seZ2p2jBlvI,2026-01-16,Unknown,Tape Service,,0.0,Higher Ground Tabernacle Iowa City,2026-01-16,available,
Unknown Date,No Transcript,John Lumbala,Friday Service - Bro. John Lumbala,https://www.youtube.com/watch?v=WZbiv1k_7Zo,2026-01-16,Unknown,Church Service,,0.0,Higher Ground Tabernacle Iowa City,2026-01-16,available,
Unknown Date,No Transcript,Isiah brooks,Grace In The Rainbow The Covenant People - Past. Isaiah Brooks,https://www.youtube.com/watch?v=rv2-3si8sG0,2026-01-16,Unknown,Church Service,,0.0,Higher Ground Tabernacle Iowa City,2026-01-16,available,
Unknown Date,No Transcript,Jean Lumbala,Friday Service     Bro. Jean Lumbala,https://www.youtube.com/watch?v=-nz4xy1r4Rw,2026-01-16,Unknown,Church Service,,0.0,Higher Ground Tabernacle Iowa City,2026-01-16,available,
Unknown Date,No Transcript,Jean Lumbala,The Law Of Love - Bro. Jean Lumbala,https://www.youtube.com/watch?v=4U-YIQeUHm4,2026-01-16,Unknown,Church Service,,0.0,Higher Ground Tabernacle Iowa City,2026-01-16,available,
