date,status,speaker,title,url,last_checked,language,type,description,duration,church
2026-11-01,Success,Steven Dodd,Throne Of God Bro Steven Dodd 11.01.2026,https://www.youtube.com/watch?v=qIFCfL0o-3A,2026-01-12,Unknown,Full Sermon,,,Inner Veil Ministries
2026-01-11,Success,Steven Dodd,The Revelation Of Sonship Bro Steven Dodd 1.11.2026,https://www.youtube.com/watch?v=5yltpvLMYXk,2026-01-12,Unknown,Full Sermon,,,Inner Veil Ministries
2026-07-01,Success,Esagala Martin,The Power in Soul-Searching Pastor Esagala Martin 07.01.2026,https://www.youtube.com/watch?v=nmillBXSSD8,2026-01-10,Unknown,Church Service,,82,Inner Veil Ministries
2026-04-01,Success,Katumba James,Holiness To God  Pastor Katumba James  04.01.2026,https://www.youtube.com/watch?v=8kN6mr6Yv3Y,2026-01-12,Unknown,Full Sermon,,,Inner Veil Ministries
Unknown Date,No Transcript,katumba James,Continue In My Temptation |  Pastor Katumba James |    31.12.2025,https://www.youtube.com/watch?v=aBSNJVNVh9I,2026-01-10,Unknown,Church Service,,236,Inner Veil Ministries
2025-12-28,Success,Katumba James,When You Are Converted   Pastor Katumba James    28.12.2025,https://www.youtube.com/watch?v=R0DwEYP0wuI,2026-01-05,Unknown,Church Service,,177,Inner Veil Ministries
2025-12-24,No Transcript,Katumba James,Labour To Enter Into The Rest |  Pastor Katumba James |    12.24.2025,https://www.youtube.com/watch?v=DcLJLY1us4g,2026-01-05,Unknown,Church Service,,113,Inner Veil Ministries
2025-12-21,Success,Ibale Stephen,Finding Rest  Pastor Ibale Stephen  Inner Veil Ministries  21.12.2025,https://www.youtube.com/watch?v=FiPG77Y3M30,2026-01-05,Unknown,Church Service,,180,Inner Veil Ministries
2025-12-14,Success,Andreas Ringen,Is This That          Pastor Andreas Ringen      Inner Veil Ministries         14.12.2025,https://www.youtube.com/watch?v=WfeQFNT97ms,2026-01-05,Unknown,Church Service,,141,Inner Veil Ministries
2025-12-14,Success,Andreas Ringen,The Bride Has Made Herself  Ready         Pastor Andreas Ringen     14.12.2025,https://www.youtube.com/watch?v=OjYIJGVS0Fw,2026-01-05,Unknown,Church Service,,231,Inner Veil Ministries
2025-10-12,No Transcript,Katumba James,Search The Scriptures | Pastor Katumba James | 10.12.2025,https://www.youtube.com/watch?v=2_JZ54vFhcI,2026-01-05,Unknown,Church Service,,118,Inner Veil Ministries
2025-07-12,Success,Part  2  Pastor Katumba James  07.12.2025,The Elect Lady Grace,https://www.youtube.com/watch?v=rgH9dEpFpXo,2026-01-12,Unknown,Full Sermon,,,Inner Veil Ministries
2025-07-12,Success,Part 1  Pastor Katumba James  07.12.2025,The Elect Lady Grace,https://www.youtube.com/watch?v=eDPaKz2MEac,2026-01-12,Unknown,Full Sermon,,,Inner Veil Ministries
2025-03-12,Success,Katumba James,Calling Out The Elect      Pastor Katumba James      03.12.2025,https://www.youtube.com/watch?v=FHqUfixdLl8,2026-01-05,Unknown,Church Service,,108,Inner Veil Ministries
2025-11-30,Success,Ibale Stephen,He Cares For The Two Branches      Pastor Ibale Stephen     30.11.2025,https://www.youtube.com/watch?v=4n7rkhI0J68,2026-01-05,Unknown,Church Service,,217,Inner Veil Ministries
2025-11-26,Success,Katumba James,Thy Sins Have Been forgiven      Pastor Katumba James        26.11.2025,https://www.youtube.com/watch?v=_NDTtd3B7ec,2026-01-05,Unknown,Church Service,,108,Inner Veil Ministries
Unknown Date,No Transcript,Tim Dodd,Human Spirit  |     Bro Tim Dodd |  23.11.2025,https://www.youtube.com/watch?v=lGkIY7v3BiM,2026-01-05,Unknown,Church Service,,151,Inner Veil Ministries
2025-11-23,Success,Tim Dodd,Understanding The New Birth      Bro Tim Dodd     23.11.2025,https://www.youtube.com/watch?v=vuR4eLhm3Mc,2026-01-05,Unknown,Church Service,,204,Inner Veil Ministries
2025-11-19,Success,Katumba James,Being In Chains Of Darkness  Pastor Katumba James  19.11.2025,https://www.youtube.com/watch?v=EgRYN1rRpVo,2026-01-05,Unknown,Church Service,,95,Inner Veil Ministries
2025-11-16,Success,Talenga Wilson,Covenantal Seed          Bro Talenga Wilson              16.11.2025,https://www.youtube.com/watch?v=zmlRDmKBeHk,2026-01-05,Unknown,Church Service,,188,Inner Veil Ministries
2025-12-11,Success,Katumba James,Oppossing Spirits In The Exodus         Pastor Katumba James    12.11.2025,https://www.youtube.com/watch?v=9Ai-vAu2BeM,2026-01-05,Unknown,Church Service,,109,Inner Veil Ministries
2025-09-11,No Transcript,Esagala Martin,Unfailing Thoughts  |       Pastor Esagala Martin  |     09.11.2025,https://www.youtube.com/watch?v=pzqCx1b_jjU,2026-01-05,Unknown,Church Service,,189,Inner Veil Ministries
2025-05-11,Success,Katumba James,My Peace I Give Unto You   Pastor Katumba James   05.11.2025,https://www.youtube.com/watch?v=Ya82esCAHJI,2026-01-05,Unknown,Church Service,,93,Inner Veil Ministries
2025-02-11,Success,Katumba James,The Acceptable Sacrifice    Pastor Katumba James   02.11.2025,https://www.youtube.com/watch?v=Hj0bnMhpfWo,2026-01-05,Unknown,Church Service,,111,Inner Veil Ministries
2025-02-11,Success,Ibale Stephen,Faith Is A Substance    Pastor Ibale Stephen    02.11.2025,https://www.youtube.com/watch?v=qSwLEYMShOc,2026-01-05,Unknown,Church Service,,169,Inner Veil Ministries
2025-10-29,Success,Katumba James,The Good Man Of The House     Pastor Katumba James      10.29.2025,https://www.youtube.com/watch?v=06098DMeTic,2026-01-05,Unknown,Church Service,,99,Inner Veil Ministries
2025-10-26,Success,Katumba James,The Stone That Was Cut Without Hands     Pastor Katumba James    10.26.2025,https://www.youtube.com/watch?v=c1Zy4PoLgdo,2026-01-05,Unknown,Church Service,,210,Inner Veil Ministries
2025-10-19,Success,Michael Rae,The Pressure to Conform Vs Eternity's Call to Transform      Brother Michael Rae    19.10.2025,https://www.youtube.com/watch?v=3GVTsYJN8Kg,2026-01-05,Unknown,Church Service,,134,Inner Veil Ministries
2025-10-19,Success,Tom Rae,The Full Revelation Of Christ         Pastor Tom Rae          19.10.2025,https://www.youtube.com/watch?v=mLo_vFsq4WQ,2026-01-05,Unknown,Church Service,,172,Inner Veil Ministries
2025-10-15,Success,Katumba James,Living By The Word          Pastor Katumba James       15.10.2025,https://www.youtube.com/watch?v=riHL-2c362w,2026-01-05,Unknown,Church Service,,95,Inner Veil Ministries
2025-12-10,Success,Katumba James,Satan Entered Judas            Pastor Katumba James       12.10.2025,https://www.youtube.com/watch?v=k5VBKHwasng,2026-01-05,Unknown,Church Service,,181,Inner Veil Ministries
2025-08-10,Success,Katumba James,Carrying Your Cross          Pastor Katumba James    08.10.2025,https://www.youtube.com/watch?v=HsirfGyVp3o,2026-01-05,Unknown,Church Service,,96,Inner Veil Ministries
2025-05-10,Success,Katumba James,This Is My Way         Pastor Katumba James     05.10.2025,https://www.youtube.com/watch?v=XvJYUD5go7A,2026-01-05,Unknown,Church Service,,105,Inner Veil Ministries
2025-05-10,Success,Katumba James,The Healing Of  The Wounded Spirit           Pastor Katumba James      05.10.2025,https://www.youtube.com/watch?v=RZxpuOMH_8M,2026-01-05,Unknown,Church Service,,169,Inner Veil Ministries
2025-01-10,No Transcript,Katumba James,Keeping Your Nazarite Vow   |        Pastor Katumba James  |  01.10.2025,https://www.youtube.com/watch?v=2DW1ExSBphM,2026-01-05,Unknown,Church Service,,97,Inner Veil Ministries
2025-09-28,Success,Katumba James,Let Your Fruit Remain           Pastor Katumba James      28.09.2025,https://www.youtube.com/watch?v=kB8YxonxSg8,2026-01-05,Unknown,Church Service,,176,Inner Veil Ministries
2025-09-24,Success,Unknown Speaker,Inner Veil Ministries- Wednesday Service,https://www.youtube.com/watch?v=VKpPg8zU2u4,2026-01-05,Unknown,Church Service,,63,Inner Veil Ministries
2025-09-21,Success,Ibale Stephen,Lord Remember Me           Pastor Ibale Stephen    21.09.2025,https://www.youtube.com/watch?v=ZUFWbauFsuQ,2026-01-05,Unknown,Church Service,,183,Inner Veil Ministries
2025-09-17,Success,Katumba James,Temperance           Pastor Katumba James            17.09.2025,https://www.youtube.com/watch?v=Z12iHmV_jGE,2026-01-05,Unknown,Church Service,,77,Inner Veil Ministries
2025-09-14,Success,Ibale Stephen,Preaching Stability- Auto Immunity           Pastor Ibale Stephen     14.09.2025,https://www.youtube.com/watch?v=zASpvugJkbM,2026-01-05,Unknown,Church Service,,193,Inner Veil Ministries
2025-10-09,No Transcript,Mukama Dan,Only Trust Him Now    |      Bro Mukama Dan      |       10.09.2025,https://www.youtube.com/watch?v=DFCz9b58tOU,2026-01-05,Unknown,Church Service,,85,Inner Veil Ministries
2025-07-09,Success,Katumba James,The Lord's Supper             Pastor Katumba James         07.09.2025,https://www.youtube.com/watch?v=kHPOvm-OeDE,2026-01-05,Unknown,Communion Service,,115,Inner Veil Ministries
2025-07-09,Success,Katumba James,Communion             Pastor Katumba James        07.09.2025,https://www.youtube.com/watch?v=213vkeVgW2M,2026-01-05,Unknown,Communion Service,,176,Inner Veil Ministries
2025-03-09,Success,Katumba James,Give Me Living Water             Pastor Katumba James         03.09.2025,https://www.youtube.com/watch?v=o3vwQlGsXu4,2026-01-05,Unknown,Church Service,,106,Inner Veil Ministries
2025-08-31,Success,Katumba James,Seeing The Daughters Of The Land             Pastor Katumba James        31. 08.2025,https://www.youtube.com/watch?v=sxZ74-bvLpo,2026-01-05,Unknown,Church Service,,182,Inner Veil Ministries
2025-08-27,Success,Katumba James,Ever More Give Us This Bread             Pastor Katumba James         27.08.2025,https://www.youtube.com/watch?v=N6sYqjVGjQ8,2026-01-05,Unknown,Church Service,,98,Inner Veil Ministries
2025-08-24,Success,George Franklin,Faith Our Ticket To Victory              Pastor George  Franklin        24.08.2025,https://www.youtube.com/watch?v=h6rI0BymnJk,2026-01-10,Unknown,Church Service,,169,Inner Veil Ministries
2025-08-24,Success,Sunday Service,Inner Veil Ministries,https://www.youtube.com/watch?v=bZcpzYg08Po,2026-01-12,Unknown,Full Sermon,,,Inner Veil Ministries
2025-08-20,Success,Katumba James,The Spirit Of Life              Pastor Katumba James           20.08.2025,https://www.youtube.com/watch?v=4iDGumueSqo,2026-01-05,Unknown,Church Service,,114,Inner Veil Ministries
