################################################################################
TIMESTAMPED TRANSCRIPT
################################################################################
Source: 2022-05-01 - 2022-0501 His Word Is The Power Of Authority - Bro. Luis Aguilar - Luis Aguilar.txt
Video ID: Ky9YGkSTGwM
Segments: 1308
URL: https://www.youtube.com/watch?v=Ky9YGkSTGwM
================================================================================
Click any timestamp to jump to that point in the video.
Format: [M:SS] or [H:MM:SS] followed by transcript text.
================================================================================

[0:35] [Music]
[1:45] so
[1:54] [Music]
[2:40] [Applause]
[2:41] [Music]
[3:05] so
[3:14] [Music]
[4:40] for you to help
[4:54] any
[5:15] [Music]
[5:21] amen amen
[5:32] [Music]
[5:53] foreign
[5:55] [Music]
[6:09] foreign
[6:12] [Music]
[6:24] is
[6:29] [Music]
[6:45] [Applause]
[6:47] is
[6:50] [Music]
[6:58] [Music]
[7:02] foreign
[7:04] [Music]
[7:22] hey
[7:24] [Music]
[7:31] [Applause]
[7:31] [Music]
[7:34] oh
[7:38] [Music]
[7:49] [Applause]
[7:53] foreign
[7:55] [Music]
[8:10] [Music]
[8:15] [Music]
[8:24] i
[8:28] [Music]
[8:31] i am
[8:34] [Music]
[8:42] [Music]
[8:50] hey
[8:51] [Music]
[8:54] [Applause]
[8:57] foreign
[8:59] [Applause]
[8:59] [Music]
[9:09] [Music]
[9:21] [Applause]
[9:27] [Music]
[9:38] [Music]
[9:38] [Applause]
[9:52] [Music]
[10:01] is
[10:07] huh
[10:10] [Music]
[10:21] hey
[10:24] [Music]
[10:34] [Music]
[10:36] so
[10:45] [Music]
[10:48] is
[10:51] [Music]
[11:00] um
[11:04] [Music]
[11:19] [Music]
[11:40] i is
[12:02] [Music]
[12:05] [Applause]
[12:08] [Music]
[12:16] oh
[12:30] a
[12:38] [Music]
[12:52] [Music]
[13:03] foreign
[13:08] [Music]
[13:12] so
[13:28] [Music]
[13:53] [Music]
[14:00] foreign
[14:01] [Music]
[14:26] [Music]
[14:55] me
[14:56] [Music]
[15:07] [Music]
[15:10] god
[15:18] [Music]
[15:24] foreign
[15:28] [Music]
[15:34] [Applause]
[15:36] [Music]
[16:09] foreign
[16:11] [Music]
[16:41] [Applause]
[16:42] [Music]
[16:59] foreign
[17:00] [Music]
[17:16] is
[17:18] [Music]
[17:29] [Applause]
[17:38] [Music]
[18:03] so
[18:11] [Music]
[18:18] foreign
[18:20] [Music]
[18:53] [Music]
[19:04] [Applause]
[19:08] [Music]
[19:17] [Applause]
[19:17] [Music]
[19:28] [Applause]
[19:29] foreign
[19:35] [Music]
[19:48] foreign
[19:52] [Music]
[20:01] [Applause]
[20:10] [Music]
[20:27] [Music]
[20:32] m
[20:36] [Music]
[21:01] is
[21:03] [Music]
[21:17] [Music]
[21:35] [Applause]
[21:36] [Music]
[21:49] oh
[21:57] [Music]
[22:01] me
[22:03] [Music]
[22:11] [Applause]
[22:13] [Music]
[22:24] um
[22:27] [Music]
[22:35] [Music]
[22:36] okay
[22:38] [Music]
[23:20] olympia
[23:32] [Music]
[23:33] foreign
[23:39] [Music]
[24:15] a
[24:17] [Music]
[24:32] [Music]
[24:44] me
[24:54] [Music]
[24:55] me
[24:58] [Music]
[25:05] is
[25:07] [Music]
[25:34] [Applause]
[25:36] me
[25:42] [Music]
[25:53] [Music]
[26:03] foreign
[26:09] [Music]
[26:21] [Music]
[26:29] [Music]
[26:39] [Music]
[26:42] [Applause]
[26:44] is
[26:45] [Music]
[27:04] foreign oh
[27:07] [Music]
[27:16] [Applause]
[28:15] la familia chavez perez
[28:30] the chavez and perez family is thanking
[28:32] the lord for sister arminda's 84th
[28:35] birthday amen
[28:42] for thanksgivings el hermano napoleon
[28:44] santos hermana andreas santos agrades
[28:50] napoleon and sister andrea santos are
[28:53] thanking the lord for their safe return
[28:55] hermana sonia munoz
[28:59] [Music]
[29:03] is thanking the lord for the successful
[29:05] surgery of emma helea montes
[29:08] [Music]
[29:09] hermana sonia mondargon
[29:21] [Music]
[29:29] is thanking the lord for his blessings
[29:31] of his and his family el hermano juanito
[29:34] hermana
[29:35] betty
[29:36] sauced
[29:42] [Applause]
[29:51] are taking the lord for their 45th
[29:54] wedding anniversary hermano amen
[29:57] hermana miranda flores
[30:01] sister mina flores is thanking the lord
[30:03] for his blessings and her healing
[30:06] petitiones
[30:17] is asking prayer for his mother sister
[30:20] rebecca guzman she will be having an
[30:22] open heart surgery tomorrow
[30:26] please keep her in your prayers
[30:28] [Music]
[30:33] brother jose has asked asking for prayer
[30:35] for his son jose daniel sosa for a
[30:37] speedy recovery
[30:39] hermana francis pideoracion polar mana
[30:42] rosita gonzalez
[30:44] sister francis is asking for prayer for
[30:47] sister rosita gonzalez and sister
[30:55] [Music]
[30:58] is asking for prayer for sunny carpenter
[31:01] for a full recovery
[31:12] the
[31:13] chavez and perez family are asking
[31:15] prayer for sister minda perez she will
[31:17] be having an eye surgery on tuesday
[31:19] [Music]
[31:25] unspoken request
[31:27] por favor
[31:28] mantega persona
[31:38] this is an unspoken request please keep
[31:40] this person in prayer because they he is
[31:43] having a heart agitation
[31:46] they are also having dizzy spells please
[31:49] pray for both body and soul
