date,status,speaker,title,url,last_checked,language,type,description,duration,church,first_scraped,video_status,video_removed_date
2026-01-22,No Transcript,William M. Branham,Proving His Word (64-0816) - Rev. William Marrion Branham,https://www.youtube.com/watch?v=qsuQm35mvOo,2026-01-22,Unknown,Tape Service,2026-0121 Probando Su Palabra,88.0,Jericho Tabernacle,2026-01-22,available,
2026-01-19,Success,Hno. Jose Flores,Respeto 2,https://www.youtube.com/watch?v=v8nXoBG8mK0,2026-01-22,Unknown,Full Sermon,,0.0,Jericho Tabernacle,2026-01-22,available,
2026-01-17,Success,Bro. Communion Kitsisa,The Secret Of Transformation,https://www.youtube.com/watch?v=Z626a-MOzF4,2026-01-22,Unknown,Full Sermon,,0.0,Jericho Tabernacle,2026-01-22,available,
2026-01-15,Success,William M. Branham,Recognizing Your Day And Its Message (64-0726M),https://www.youtube.com/watch?v=t0j3Sv2hcug,2026-01-22,Unknown,Full Sermon,,0.0,Jericho Tabernacle,2026-01-22,available,
2026-01-11,Success,Hno. Emmanuel Santos,El Ano Del Jubileo 41 (Israel En Su Patria 33),https://www.youtube.com/watch?v=cLuFVi0yqYo,2026-01-18,Unknown,Full Sermon,,0.0,Jericho Tabernacle,2026-01-18,available,
2026-01-10,Success,Bro. Ivan Yanez,3 Stages Of Grace (Baptism Of The Holy Ghost),https://www.youtube.com/watch?v=GtmMZBgNS5I,2026-01-16,Unknown,Full Sermon,,0.0,Jericho Tabernacle,2026-01-16,available,
2026-01-08,No Transcript,William M. Branham,Broken Cisterns (64-0726E) - Rev. William Marrion Branham,https://www.youtube.com/watch?v=exL9WlKzQpg,2026-01-16,Unknown,Tape Service,2026-0107 Cisternas Rotas,44.0,Jericho Tabernacle,2026-01-16,available,
2025-12-18,No Transcript,William M. Branham,The Feast Of The Trumpets (64-0719M) - Rev. William Marrion Branham,https://www.youtube.com/watch?v=MVvzfcIUnyY,2026-01-16,Unknown,Tape Service,2025-1217 La Fiesta De Las Trompetas,80.0,Jericho Tabernacle,2026-01-16,available,
2025-12-01,No Transcript,Jonathan Saucedo,Our First Love: The Church & It's Condition - Bro. Jonathan Saucedo,https://www.youtube.com/watch?v=05uHuGFY8UM,2026-01-16,Unknown,Church Service,"2025-1130  Int:Bro. Marcos Santana Jr.   Specials: - Sis. Elizama Garcia  - Sis. Sharon Guzman - Brothers & Sisters from Prescott, Arizona",181.0,Jericho Tabernacle,2026-01-16,available,
2025-11-02,No Transcript,Emmanuel Santos,El Año Del Jubileo #38 (Israel En Su Patria #30) - Hno. Emmanuel Santos,https://www.youtube.com/watch?v=QSfum__vguE,2026-01-16,Unknown,Church Service,"2025-1102 The Year of Jubilee #38 (Israel in Its Homeland #30) Inter: Bro. Marcos Santana, Jr.  Scriptures Salmos 82:1, 6-7; Ester 1:5.12-14   Specials 1) Sis. Moriah Diaz 2) Bro. Marcos Santana 3) Bro. Jose Rios & Rebecca Rios",160.0,Jericho Tabernacle,2026-01-16,available,
2025-10-20,No Transcript,Emmanuel Santos,El Año Del Jubileo #37 (Israel En Su Patria #29) - Hno. Emmanuel Santos,https://www.youtube.com/watch?v=Vz9O7m7FxmY,2026-01-16,Unknown,Church Service,2025-1019 The Year Of Jubilee #37 (Israel In Their Homeland #29) Inter: Bro. Ivan Yanez  Specials 1) Bro. Josh Saucedo 2) Bro. John Paul Saucedo,137.0,Jericho Tabernacle,2026-01-16,available,
2025-10-09,No Transcript,William M. Branham,Token (63-0901M) - Rev. William Marrion Branham,https://www.youtube.com/watch?v=PhmCodUYzjs,2026-01-16,Unknown,Tape Service,2028-1008 La Señal,43.0,Jericho Tabernacle,2026-01-16,available,
2025-10-06,No Transcript,Juanito Saucedo,Los Oficios De Dios En Hombres En La Iglesia #6 (El Ministerio) - Hno. Juanito Saucedo,https://www.youtube.com/watch?v=2v4s0-_w7Ro,2026-01-16,Unknown,Church Service,"2025-1005 The Offices of God in the Men of the Church #6 (The Ministry) Inter: Bro. Marcos Santana, Jr.  Specials 1) Grupo Nueva Esperanza 2) Hna's. Elizama Garcia, Graciela Andrade, Lupita Alvarado",155.0,Jericho Tabernacle,2026-01-16,available,
2025-10-04,No Transcript,Ivan Yanez,The Three Stages of Grace: Sanctification #4 - Bro. Ivan Yanez,https://www.youtube.com/watch?v=4liCI30QXA4,2026-01-16,Unknown,Church Service,2025-1003 Las Tres Etapas de la Gracia: Sanctification #4  Int: Bro. Emmanuel Santos,115.0,Jericho Tabernacle,2026-01-16,available,
1963-07-14,No Transcript,William M. Branham,63-0714M Why Cry? Speak! - Rev. William Marrion Branham,https://www.youtube.com/watch?v=G6FAb12GR3U,2026-01-16,Unknown,Tape Service,2025-0903  ¿Por Qué Clamas? ¡Di!,76.0,Jericho Tabernacle,2026-01-16,available,
2025-08-25,No Transcript,Marcos Santana,"Trials Of The Believer: Betrayal - Bro. Marcos Santana, Jr.",https://www.youtube.com/watch?v=iokw3XHZAkc,2026-01-16,Unknown,Church Service,2025-0824 Las Pruebas Del Creyente: La Traición Inter: Hno. Emmanuel Santos  Specials 1) Bro. John Paul Saucedo 2) Hno. Yael Escalante 3) Sis. Lisa Santana,149.0,Jericho Tabernacle,2026-01-16,available,
2025-07-28,No Transcript,Marcos Santana,"Agapao Love #4: Let All Things Be Done In Love - Bro. Marcos Santana, Jr.",https://www.youtube.com/watch?v=_dasn0WBou4,2026-01-16,Unknown,Song Special,"2025-0727 Amor Agapao #4: Que Todas Las Cosas Se Hagan Con Amor Interpreter:  Hno. Emmanuel Santos  Special Songs 1) Sis. Grace Alvarado 2) Bro. Jorge Isaac Osorio, Jr. & Jericho Tabernacle, Inc. Musicians",194.0,Jericho Tabernacle,2026-01-16,available,
2025-06-28,No Transcript,Victor Chavez,"The 3 Stages Of Grace: Justification #3 - Bro. Victor Chavez, Jr & Bro. Ivan Yanez",https://www.youtube.com/watch?v=J--cmENssuk,2026-01-16,Unknown,Church Service,2025-0627 Las Tres Etapas De la Gracia: Justificación #3 Int: Hno. Emmanuel Santos,100.0,Jericho Tabernacle,2026-01-16,available,
2025-06-26,No Transcript,William M. Branham,Works Is Faith Expressed (65-1126) - Rev. William Marrion Branham,https://www.youtube.com/watch?v=Y2f4ppKOtmY,2026-01-16,Unknown,Tape Service,2025-0622 Obras Es La Fe Expresada,84.0,Jericho Tabernacle,2026-01-16,available,
2025-05-19,No Transcript,Mark Castillo,2025-0518- The Great All Sufficient Sacrifice - Bro. Mark Castillo,https://www.youtube.com/watch?v=fmEj7jvGsdA,2026-01-16,Unknown,Song Special,Int: Hno. Emmanuel Santos   Song Specials  - Hno. Marcos & Hna. Rosita Carrasco - Bro. Joshua Alvarado,165.0,Jericho Tabernacle,2026-01-16,available,
2025-05-17,No Transcript,Emmanuel Santos,El Año Del Jubileo #31 (Israel En Su Patria #23) - Hno. Emmanuel Santos,https://www.youtube.com/watch?v=3sKUk7zM_TY,2026-01-16,Unknown,Song Special,2025-0516 The Year of Jubilee #31 (Israel In Their Homeland #23) Interpreter:  Bro. Ivan Yanez   Song Specials  - Sis. Grace Santana,143.0,Jericho Tabernacle,2026-01-16,available,
