date,status,speaker,title,url,last_checked,language,type,description,duration,church,first_scraped,video_status,video_removed_date
2026-01-13,No Transcript,Hannah Slachta,"“Running Back to You” sung by Kenny, Grace and Hannah Slachta at Literal Life Church",https://www.youtube.com/watch?v=2J1qtqZLTZQ,2026-01-16,Unknown,Short Clip,"When I wander…When I choose my own way…When I feel too far gone… He’s still standing there...arms open wide.  This song is a reminder that repentance is not shame, it’s an invitation home. If you’re weary, weak, or wondering if it’s too late, it isn’t. You can still run back!  “Running Back to You” sung by Kenny, Grace and Hannah Slachta at Literal Life Church in Petersburg, Michigan  #runningbacktoyou #comehome #repentance #openarms #jesusstillcalls #gracethatrestores #churchmusic  Lyrics (writ",5.0,Literal Life Church,2026-01-16,available,
2026-01-04,Success,Bro. Paul LaFontaine,2026.01.04,https://www.youtube.com/watch?v=-VIiBIiPqg0,2026-01-16,Unknown,Full Sermon,,0.0,Literal Life Church,2026-01-16,available,
2025-12-21,No Transcript,Paul LaFontaine,2025.12.21 - Bro. Paul LaFontaine - When The Word Became A Great Light,https://www.youtube.com/watch?v=LP0_FF2HmJ0,2026-01-16,Unknown,Sunday School,0:00 Preservice Worship 22:30 Special - Happy Birthday Jesus 24:54 Preservice 26:49 Special - Reaching 31:37 Preservice 32:10 LLC Choir - I Worship The King 36:53 Preservice 37:34 Children's Choir - Give Him Your Heart 42:07 Preservice 43:50 Sermon 1:38:55 Postservice Worship 1:42:16 Closing Prayer 1:46:45 Postservice Worship 1:50:12 Special - Jesus What A Wonderful Child 1:53:27 Postservice 1:54:50 Postservice Worship,139.0,Literal Life Church,2026-01-16,available,
2025-11-09,No Transcript,Brandyn Sinacola,2025.11.09 - Bro. Brandyn Sinacola - Times Of Refreshing (Part 3),https://www.youtube.com/watch?v=5CuZ1T6UIqw,2026-01-16,Unknown,Church Service,0:00 Preservice Worship 6:18 Opening Prayer 7:30 Preservice Worship 25:12 Special - Thy Word 28:40 Preservice Worship 30:32 Special - Revive Us 34:01 Preservice 38:39 Sermon 1:46:27 Postservice Worship,138.0,Literal Life Church,2026-01-16,available,
2025-10-26,No Transcript,Paul LaFontaine,"2025.10.26 - Bro. Paul LaFontaine - Lo, In The Book It Is Written Of Me",https://www.youtube.com/watch?v=vGhmZ98-4sM,2026-01-16,Unknown,Church Service,0:00 Opening Worship 4:05 Preservice Worship 7:37 Opening Prayer 8:55 Preservice Worship 24:06 Special - So Will I (100 Billion X) 31:26 Preservice Worship 32:54 Sermon 1:45:32 Postservice Worship 1:47:09 Congregational Prayer 1:49:12 Postservice Worship,127.0,Literal Life Church,2026-01-16,available,
2025-10-22,No Transcript,Paul LaFontaine,"2025.10.22 - Bro. Paul LaFontaine - The Key In ""He Cares, Do You Care?"" (Part 9)",https://www.youtube.com/watch?v=yM4X8s2ey_w,2026-01-16,Unknown,Church Service,0:00 Preservice Worship 22:46 Preservice 25:53 Sermon 1:12:59 Special - Good News 1:16:27 Postservice & Closing Prayer 1:18:50 Postservice Worship,86.0,Literal Life Church,2026-01-16,available,
2025-10-15,No Transcript,Steven Strooh,2025.10.15 - Bro. Steven Strooh - The Three Exoduses,https://www.youtube.com/watch?v=CLVENFDXmQQ,2026-01-16,Unknown,Church Service,0:00 Preservice Worship 2:17 Opening Prayer 3:49 Preservice Worship 22:04 Sermon 1:31:16 Postservice Worship,100.0,Literal Life Church,2026-01-16,available,
2025-08-03,No Transcript,"Emmaus Road, Gideon LaFontaine",I Can See On the Emmaus Road | Gideon LaFontaine | Music of Literal Life Church,https://www.youtube.com/watch?v=PCNtJSEZf8g,2026-01-16,Unknown,Short Clip,"#literallifechurch #worshipmusic #ICanSeeOnTheEmmausRoad  Friend, if you’ve ever felt the ache of emptiness — know this: when Jesus steps into your life, you’ll never be the same again.  Performed live at Literal Life Church on February August 03, 2025, Gideon LaFontaine sings ""I Can See (On the Emmaus Road)"" written by Steve Green and reminds us that God's presence is enough. He renews our joy, and makes us living witnesses that Jesus is alive!  [Verse 1] All at once He walked beside me Like He",4.0,Literal Life Church,2026-01-16,available,
2025-09-10,No Transcript,Valentin Kouamé,2025.09.10 - Bro. Valentin Kouamé - The Rebirth Of The Predestinated Seed,https://www.youtube.com/watch?v=JRLkrGeL25U,2026-01-16,Unknown,Church Service,0:00 Preservice Worship 1:54 Opening Prayer 3:46 Preservice Worship 27:47 Preservice 30:12 Preservice Worship 30:48 Sermon 1:10:59 Postservice 1:12:24 Postservice Worship 1:16:38 Closing Prayer 1:19:44 Postservice Worship,98.0,Literal Life Church,2026-01-16,available,
2025-08-27,No Transcript,Paul LaFontaine,"2025.08.27 - Bro. Paul LaFontaine - The Key In ""He Cares, Do You Care?"" (Part 7)",https://www.youtube.com/watch?v=JJEtdDC5OZc,2026-01-16,Unknown,Church Service,0:00 Preservice Worship 2:29 Opening Prayer 3:25 Preservice Worship 19:15 Sermon 1:11:27 Postservice Worship 1:17:13 Closing Prayer 1:19:25 Postservice Worship,82.0,Literal Life Church,2026-01-16,available,
2025-08-10,No Transcript,Paul LaFontaine,2025.08.10 - Bro. Paul LaFontaine - The Prophet's Word Cleanses Us In Jordan (Part 3),https://www.youtube.com/watch?v=S9VlSc3k_Is,2026-01-16,Unknown,Church Service,0:00 Preservice Worship 3:28 Opening Prayer 4:06 Preservice Worship 25:33 Sermon 1:37:52 Postservice Worship 1:44:28 Congregational Prayer 1:47:13 Postservice Worship,121.0,Literal Life Church,2026-01-16,available,
2025-08-03,No Transcript,Paul LaFontaine,2025.08.03 - Bro. Paul LaFontaine - The Prophet's Word Cleanses Us In Jordan (Part 2),https://www.youtube.com/watch?v=saKgL6NvQBY,2026-01-16,Unknown,Church Service,0:00 Preservice Worship 6:06 Opening Prayer 6:36 Preservice Worship 22:04 Special - I Can See 26:40 Preservice Worship 28:43 Special - Season With God 32:48 Preservice Worship 36:40 Sermon 1:43:33 Postservice Worship 1:51:16 Congregational Prayer 1:52:36 Postservice Worship 2:00:38 Closing Prayer 2:02:28 Postservice Worship,135.0,Literal Life Church,2026-01-16,available,
2025-07-20,No Transcript,Aaron McGeary,2025.07.20PM - Bro. Aaron McGeary - That's NOT Normal,https://www.youtube.com/watch?v=M2Ds-d1-t84,2026-01-16,Unknown,Church Service,0:00 Opening Prayer 0:24 Preservice Worship 21:08 Special - First Things First 25:16 Preservice 26:37 Preservice Worship 30:45 Sermon 1:41:29 Postservice Worship 1:48:18 Postservice 1:52:11 Postservice Worship,116.0,Literal Life Church,2026-01-16,available,
