date,status,speaker,title,url,last_checked,language,type,description,duration,church,first_scraped,video_status,video_removed_date
2026-01-18,Success,Br Allistair Francis,How to Read the Book of Revelation Part 1,https://www.youtube.com/watch?v=Qy7hberDXUg,2026-01-18,Unknown,Full Sermon,,0,MOTRC,2026-01-18,available,
2026-01-16,Success,The Message on Trial,Discouraged by the Message and the Prophet,https://www.youtube.com/watch?v=2doctzIpqvU,2026-01-18,Unknown,Full Sermon,,0,MOTRC,2026-01-18,available,
2026-01-14,Success,Br Allistair Francis,Knowing God and Knowing the Devil P3,https://www.youtube.com/watch?v=RPdgUhro-So,2026-01-18,Unknown,Full Sermon,,0,MOTRC,2026-01-18,available,
2026-01-08,No Transcript,,The Throne of God P8 | The Inner Court P2 - The Golden Lampstand,https://www.youtube.com/watch?v=k7xY76jz1Cg,2026-01-16,English,Church Service,"The Throne of God: The Golden Lampstand (Part 8) In this session, we continue our journey through the Inner Court (the Holy Place) to examine the second major piece of furniture: The Golden Lampstand. Known also as the Seven Golden Candlesticks or the Menorah, this instrument provided the only source of light within the windowless Sanctuary.  Key Highlights in This Teaching: The Position of Light: The lampstand was placed on the South side of the Sanctuary, ""over against"" (directly facing) the T",65,MOTRC,2026-01-16,available,
2026-01-06,Success,Br Allistair Francis,Morally Gray Area,https://www.youtube.com/watch?v=pE1Xo-1QjeE,2026-01-16,Unknown,Full Sermon,,0,MOTRC,2026-01-16,available,
2026-01-04,Success,The Table of Shewbread-Bread of the Presence,The Throne of God P7 The Inner Court P1,https://www.youtube.com/watch?v=BZDmozJ9mB0,2026-01-16,Unknown,Full Sermon,,0,MOTRC,2026-01-16,available,
2026-01-02,Success,The Realm of God's Presence,The Throne of God P6 The Most Holy Place P4,https://www.youtube.com/watch?v=8AYKB0ghDe0,2026-01-16,Unknown,Full Sermon,,0,MOTRC,2026-01-16,available,
2025-12-30,Success,The Veil of Covering,The Throne Of God P5 The Most Holy Place P3,https://www.youtube.com/watch?v=M5zSWw6Sf10,2026-01-16,Unknown,Full Sermon,,0,MOTRC,2026-01-16,available,
2025-12-28,Success,Br Allistair Francis,Knowing God and Knowing the Devil P2,https://www.youtube.com/watch?v=6jvlRU0HC3g,2026-01-16,Unknown,Full Sermon,,0,MOTRC,2026-01-16,available,
2025-12-26,Success,,The Throne Of God P4 The Most Holy Place P2,https://www.youtube.com/watch?v=cLQRdR4OlVs,2026-01-16,Unknown,Full Sermon,,0,MOTRC,2026-01-16,available,
2025-12-23,Success,And Then,"Q&A on The Holy Ghost, Sexuality and The Hebrews 6 and 10 Confusion",https://www.youtube.com/watch?v=3SO1bIS1rVs,2026-01-16,English,Q&A Session,"Questions and Answers 2025 P8 - The Holy Ghost, Sexuality and The Hebrews 6 and 10 Confusion Does Tasting of the Heavenly Gift and then Backsliding mean You’re Lost Forever? 17 December 2025 Wednesday --------------------------------------------------  00:00 - Scripture Reading 02:05 - Title 19:03 - What Do You Do when fellow ministers call you ..... 22:17 - Accusation 1 31:24 - Accusation 2 38:31 - Accusation 3 40:49 - The Teaching at BCF 01:27:15 - Question 1 01:35:49 - Question 2 & 3 --------",125,MOTRC,2026-01-16,available,
2025-12-19,Success,,The Throne Of God P3 The Most Holy Place P1,https://www.youtube.com/watch?v=yjkIyc6ohh4,2026-01-16,Unknown,Full Sermon,,0,MOTRC,2026-01-16,available,
2025-12-16,Success,,The Throne Of God P2 A Tabernacle.....,https://www.youtube.com/watch?v=kntJrB_wrGc,2026-01-16,Unknown,Full Sermon,,0,MOTRC,2026-01-16,available,
2025-12-13,Success,Where He Chooses to Place His Name,The Throne Of God P1,https://www.youtube.com/watch?v=sx2RmW17NxM,2026-01-16,Unknown,Full Sermon,,0,MOTRC,2026-01-16,available,
2025-12-10,Success,Br Allistair Francis,Who and What is God,https://www.youtube.com/watch?v=G0_19wvpjUg,2026-01-16,Unknown,Full Sermon,,0,MOTRC,2026-01-16,available,
2025-12-06,Success,Br Allistair Francis,Knowing God and Knowing the Devil P1,https://www.youtube.com/watch?v=YZz2Se-qZBM,2026-01-16,Unknown,Full Sermon,,0,MOTRC,2026-01-16,available,
2025-11-28,Success,The Fullness of Times,Dispensation of The Bride,https://www.youtube.com/watch?v=C9eCkeyafEQ,2026-01-16,Unknown,Full Sermon,,0,MOTRC,2026-01-16,available,
2025-11-24,Success,Gathering Together in One All Things in Christ,The Story of God and Man P6,https://www.youtube.com/watch?v=5_G5Y6QFIIE,2026-01-16,Unknown,Full Sermon,,0,MOTRC,2026-01-16,available,
