date,status,speaker,title,url,last_checked,language,type,description,duration,church
2016-11-20,No Transcript,Diego Arroyo,The Bride Being Caught Away On The Wings Of The Great White Eagle,https://www.youtube.com/watch?v=pO_mNM1QRDI,2026-01-05,Unknown,Full Sermon,Sun/Dom Am Service/Servicio Pastor: Diego Arroyo,145,Malachi Four Tabernacle
2016-11-18,No Transcript,Diego Arroyo,Age Of Identification Pt.3,https://www.youtube.com/watch?v=y7QYWWtgIE8,2026-01-05,Unknown,Full Sermon,"Friday/ Viernes Pm Service Pastor: Diego Arroyo ""La Edad De Identificacion"" Pt.3",87,Malachi Four Tabernacle
2016-11-13,No Transcript,Diego Arroyo,Age Of Identification Pt 2,https://www.youtube.com/watch?v=gIUtJHJKDq0,2026-01-05,Unknown,Full Sermon,"Sunday Am Morning Service/ Domingo Am Sercivio Pastor: Diego Arroyo ""La Edad De Identification Pt.2""",116,Malachi Four Tabernacle
2016-11-11,No Transcript,Diego Arroyo,Age Of Identification,https://www.youtube.com/watch?v=bOilsspXVMk,2026-01-05,Unknown,Full Sermon,"Fri/Vier Pm Service Pastor: Diego Arroyo ""La Edad De La Identificacion""",94,Malachi Four Tabernacle
Unknown Date,No Transcript,Unknown Speaker,The Oneness In Acts 4,https://www.youtube.com/watch?v=1ADXPgaNpiE,2026-01-05,Unknown,Service,,0,Malachi Four Tabernacle
2016-10-23,Success,Diego Arroyo,Book Of Acts Conference With God,https://www.youtube.com/watch?v=Ehk8RXzJi7c,2026-01-05,Unknown,Full Sermon,,,
2016-10-16,Success,Diego Arroyo,The Book Of Acts Consecration Pt. 2,https://www.youtube.com/watch?v=ll5TCwl4_0k,2026-01-05,Unknown,Full Sermon,,,
2016-10-14,Success,Diego Arroyo,The Book Of Acts Consecration,https://www.youtube.com/watch?v=wc_0Neo5KQM,2026-01-05,Unknown,Full Sermon,,,
2016-10-09,Success,Diego Arroyo,The Book Of Acts The True Vine & The Fruitful Branches,https://www.youtube.com/watch?v=t3wAS_gAn1I,2026-01-05,Unknown,Full Sermon,,,
2016-10-07,Success,Diego Arroyo,The Book Of Acts Pt.2,https://www.youtube.com/watch?v=Y2NicOATRhI,2026-01-05,Unknown,Full Sermon,,,
2016-10-02,Success,Diego Arroyo,The Book Of Acts One Giver And Many Gifts,https://www.youtube.com/watch?v=akvaqE8spXE,2026-01-05,Unknown,Full Sermon,,,
