################################################################################
TIMESTAMPED TRANSCRIPT
################################################################################
Source: 2021-07-11 - 07-11-2021 The Rapture - Unknown Speaker.txt
Video ID: 8xcl0VIZysY
Segments: 2116
URL: https://www.youtube.com/watch?v=8xcl0VIZysY
================================================================================
Click any timestamp to jump to that point in the video.
Format: [M:SS] or [H:MM:SS] followed by transcript text.
================================================================================

[0:01] [Music]
[0:08] hallelujah
[0:09] [Music]
[0:26] as we all raise our heads
[0:29] [Music]
[0:38] [Applause]
[0:45] [Music]
[0:51] [Music]
[0:58] god
[1:01] [Music]
[1:12] [Music]
[1:21] [Music]
[1:29] [Music]
[1:55] [Music]
[2:01] is
[2:07] [Music]
[2:09] [Applause]
[2:16] [Music]
[2:38] [Music]
[2:44] oh
[2:47] [Applause]
[2:47] [Music]
[3:00] [Music]
[3:16] oh
[3:20] [Music]
[3:25] jesus
[3:28] [Applause]
[3:29] [Music]
[3:38] is
[3:40] [Music]
[3:46] [Music]
[3:53] [Music]
[4:04] oh
[4:06] [Music]
[4:13] [Music]
[4:16] is
[4:20] [Applause]
[4:25] [Applause]
[4:27] [Music]
[4:30] is
[4:33] [Music]
[4:46] is
[4:51] [Music]
[5:01] of our lives
[5:07] [Music]
[5:09] [Applause]
[5:14] uh
[5:17] [Music]
[5:22] [Music]
[5:29] [Applause]
[5:31] is
[5:37] [Music]
[5:38] [Applause]
[5:43] me
[5:47] [Music]
[5:54] [Applause]
[6:02] [Music]
[6:09] [Applause]
[6:10] [Music]
[6:16] is
[6:25] hallelujah
[6:30] [Music]
[6:46] oh
[6:48] [Music]
[6:55] [Music]
[7:03] [Applause]
[7:04] [Music]
[7:17] is
[7:27] [Music]
[7:33] us
[7:36] [Music]
[7:55] [Applause]
[7:55] [Music]
[7:59] yes
[8:00] [Music]
[8:25] you
[8:31] [Music]
[8:33] [Applause]
[8:34] [Music]
[8:42] yes
[8:44] [Music]
[8:50] [Applause]
[8:54] [Music]
[9:35] oh
[9:37] [Music]
[10:09] [Music]
[10:22] oh
[10:23] [Music]
[10:33] oh
[10:34] [Music]
[10:36] [Applause]
[10:46] jesus
[10:48] i don't know those
[10:50] obama times
[10:53] [Music]
[10:54] [Applause]
[11:03] [Music]
[11:20] come on
[11:29] uh
[11:31] [Music]
[11:43] oh
[12:01] [Applause]
[12:11] [Music]
[12:13] me
[12:16] [Music]
[12:25] peace
[12:31] [Applause]
[12:32] [Music]
[12:36] [Applause]
[12:37] [Music]
[12:51] [Music]
[12:51] [Applause]
[12:55] [Music]
[12:55] [Applause]
[12:56] oh
[12:59] [Music]
[13:12] [Applause]
[13:13] [Music]
[13:25] oh
[13:26] [Music]
[13:39] [Music]
[13:43] [Applause]
[13:45] [Music]
[13:49] me
[13:53] [Music]
[13:59] [Applause]
[14:01] [Music]
[14:07] [Applause]
[14:11] [Music]
[14:19] [Music]
[14:40] [Music]
[14:51] [Music]
[14:55] [Applause]
[14:58] [Music]
[15:01] oh
[15:03] [Music]
[15:13] [Applause]
[15:17] [Music]
[15:28] is
[15:31] [Music]
[15:36] [Applause]
[15:37] [Music]
[15:43] [Applause]
[15:47] [Music]
[15:52] [Applause]
[15:59] um
[16:05] [Music]
[16:16] let's raise our hands
[16:18] [Music]
[16:31] oh
[16:33] [Music]
[16:43] [Music]
[17:03] oh
[17:04] [Music]
[17:12] [Applause]
[17:19] [Music]
[17:32] [Music]
[17:38] [Music]
[17:50] [Music]
[18:11] [Applause]
[18:17] [Music]
[18:25] oh
[18:36] [Music]
[18:39] red
[18:45] [Applause]
[18:50] jehovah
[18:53] [Applause]
[18:57] [Music]
[19:04] [Music]
[19:07] foreign
[19:11] [Music]
[19:22] [Music]
[19:26] foreign
[19:27] [Music]
[19:35] [Applause]
[19:40] [Music]
[19:46] [Music]
[20:03] yes
[20:06] [Applause]
[20:12] [Music]
[20:18] foreign
[20:21] [Music]
[20:27] [Music]
[20:44] israel
[20:46] [Applause]
[20:54] [Music]
[20:57] is
[21:00] [Music]
[21:13] [Applause]
[21:15] go
[21:22] [Applause]
[21:22] [Music]
[21:27] [Applause]
[21:36] [Music]
[21:48] [Applause]
[21:53] [Music]
[21:55] my
[21:57] [Applause]
[21:59] [Music]
[22:05] [Applause]
[22:07] [Music]
[22:14] [Music]
[22:17] [Applause]
[22:24] of time
[22:28] [Music]
[22:37] see
[22:40] [Music]
[22:48] um
[22:51] [Applause]
[22:52] [Music]
[23:01] [Applause]
[23:03] [Music]
[23:14] bless the choir
[23:17] there's the instrumentals
[23:20] about foreign
[23:23] [Music]
[23:31] [Applause]
[23:33] jehovah
[23:41] [Music]
[23:45] um
[23:50] [Music]
[23:58] is
[24:04] [Music]
[24:10] [Applause]
[24:11] [Music]
[24:13] [Applause]
[24:31] [Music]
[24:36] [Applause]
[24:47] step forward
[25:13] you
[26:15] so
[26:25] so
[26:27] [Music]
[26:41] [Music]
[26:55] [Music]
[27:02] fall square
[27:06] [Music]
[27:15] is
[27:21] [Music]
[27:26] is
[27:28] [Music]
[27:43] [Music]
[27:50] oh
[27:56] [Music]
[28:03] is
[28:05] [Music]
[28:11] [Music]
[28:16] my name is
[28:20] [Music]
[28:39] is
[28:42] [Music]
[28:55] [Music]
[29:08] my
[29:12] oh
[29:13] [Music]
[29:30] me
[29:32] [Music]
[29:53] oh
[29:56] [Music]
[30:25] [Music]
[30:42] ah
[30:43] [Applause]
[30:46] [Music]
[30:50] i am
[30:54] [Music]
[31:03] [Music]
[31:12] [Applause]
[31:14] [Music]
[31:20] [Applause]
[31:21] [Music]
[31:22] [Applause]
[31:29] [Music]
[31:30] [Applause]
[31:32] [Music]
[31:34] [Applause]
[31:40] [Music]
[32:13] all right
[32:14] [Applause]
[32:20] [Music]
[32:28] oh man
[32:32] [Music]
[32:53] [Music]
[32:59] [Music]
[33:06] [Applause]
[33:06] [Music]
[33:07] [Applause]
[33:08] [Music]
[33:18] [Music]
[33:34] [Applause]
[33:36] may i take this opportunity to welcome
[33:38] you all
[33:40] and all our visitors feel at home
[33:43] as i pray to all in the precious name
[33:46] of our lord and savior
[34:18] in your heart just raise your hand
[34:22] and believe with all your heart that the
[34:24] lord
[34:32] gracious eternal heavenly father
[34:36] alpha and omega
[34:38] the beginning at the end
[34:41] the god
[34:44] this morning lord we want to thank you
[34:47] for your grace and mercy
[34:50] as we raise our hands unto the lord
[34:54] we know that you always fulfill your
[34:57] promises
[34:59] here is a family that would be traveling
[35:02] to the eastern cape
[35:05] foreign
[35:08] may the angel of the lord go before them
[35:10] and pretend
[35:13] yes our sister also has a bad age
[35:18] father the believers have raised their
[35:20] hand
[35:21] because they have desires
[35:26] we believe god almighty that will
[35:28] provide for them
[35:30] father god we thank you for the offering
[35:33] and the tithings that we brought forth
[35:36] bless each and every heart
[35:38] that gave
[35:40] as we commit all unto thee lord
[35:43] in the mighty day of our lord and savior
[35:45] jesus christ
[35:48] [Applause]
[36:11] may the lord rishi bless you
[36:14] for those
[36:15] that had requests
[36:18] last week sunday
[36:19] immediately after the service
[36:22] some of them sent messages to say the
[36:24] lord
[36:32] some of the messages we receive
[36:36] they say when the pastor is preaching
[36:38] they got healed
[36:41] when the church is singing
[36:50] baptism
[36:58] they will be baptized this afternoon
[37:03] there is
[37:05] [Applause]
[37:15] two requests i have
[37:17] one is for the outreach to malawi
[37:21] i will request again that
[37:24] immediately after the service
[37:27] just be kind to stay behind
[37:30] including our point
[37:33] just be kind to stay behind for the
[37:36] announcement for malawi outreach
[37:42] now
[37:43] my last request
[37:46] every saturday we issue
[37:49] attendancy based
[37:51] for people that must attend here in
[37:53] bangalore
[37:56] but every sunday we get close to
[37:59] extra 60 people
[38:01] coming in where else they are not going
[38:04] to release
[38:06] so
[38:09] from my heart
[38:10] communicate with your deacons
[38:15] at least before friday
[38:18] so that they can enlist you
[38:21] on their knees
[38:23] you don't just travel all the way from
