################################################################################
TIMESTAMPED TRANSCRIPT
################################################################################
Source: 2021-12-26 - 26-12-2021 The Marriage Certificate Of The Bride Of Christ III - sePedi Interpretation - Unknown Speaker.txt
Video ID: W2xvFaJvjok
Segments: 1683
URL: https://www.youtube.com/watch?v=W2xvFaJvjok
================================================================================
Click any timestamp to jump to that point in the video.
Format: [M:SS] or [H:MM:SS] followed by transcript text.
================================================================================

[0:00] me
[0:02] [Music]
[0:19] foreign
[0:22] [Music]
[0:41] is
[0:43] [Music]
[0:45] [Applause]
[0:46] [Music]
[0:56] foreign
[1:02] [Music]
[1:09] [Music]
[1:20] [Music]
[1:39] um
[1:51] [Music]
[2:04] foreign
[2:10] yes
[2:12] [Music]
[2:33] is
[2:36] [Music]
[2:40] is
[2:44] [Music]
[3:07] is
[3:11] [Music]
[3:19] is
[3:22] [Music]
[3:37] foreign
[3:42] [Music]
[3:50] yes
[3:54] [Music]
[4:08] um
[4:11] [Music]
[4:16] um
[4:18] [Music]
[4:52] [Music]
[4:54] foreign
[4:57] [Music]
[5:07] [Music]
[5:21] [Music]
[5:27] um
[5:29] [Music]
[5:41] foreign
[5:45] [Music]
[6:13] foreign
[6:17] [Music]
[6:29] foreign
[6:32] [Music]
[6:59] yes
[7:01] [Music]
[7:15] is
[7:19] [Music]
[7:30] [Music]
[7:39] yes
[7:40] [Music]
[7:51] [Music]
[8:12] amen
[8:14] amen
[8:20] amen amen
[8:23] [Applause]
[8:24] [Music]
[8:37] sister
[8:57] foreign
[9:39] yes
[9:46] [Music]
[10:04] is
[10:05] [Music]
[10:27] oh
[10:28] [Music]
[10:38] god
[10:41] [Music]
[11:20] is
[11:25] [Music]
[11:44] is
[11:45] [Music]
[12:06] oh
[12:09] [Music]
[12:22] is
[12:29] [Music]
[12:38] is
[12:43] [Music]
[12:51] [Music]
[12:56] is
[12:58] [Music]
[13:07] is
[13:10] [Music]
[13:22] is
[13:24] [Music]
[13:51] is
[13:56] [Music]
[14:10] is
[14:11] [Music]
[14:29] is
[14:30] [Music]
[14:44] is
[14:45] [Music]
[14:58] is
[15:03] [Music]
[15:18] is
[15:20] [Music]
[15:37] is
[15:39] [Music]
[15:52] my
[15:54] [Music]
[15:58] um
[15:59] [Music]
[16:30] is
[16:33] [Music]
[16:39] foreign
[16:43] [Music]
[16:59] uh
[17:03] [Music]
[17:45] [Music]
[17:55] [Music]
[17:57] you might be
[18:03] [Music]
[18:26] hey
[18:28] [Music]
[18:34] [Music]
[18:44] [Music]
[19:03] [Music]
[19:26] [Music]
[19:30] do
[19:34] [Music]
[19:50] my
[19:51] [Music]
[20:13] foreign
[20:20] come on
[20:22] [Music]
[20:46] me okay
[20:54] [Music]
[21:07] oh
[21:11] [Music]
[21:21] oh
[21:24] [Music]
[21:42] [Music]
[21:46] huh
[21:48] [Music]
[21:55] [Music]
[22:02] [Music]
[22:06] oh
[22:14] hello
[22:17] [Music]
[22:31] [Music]
[23:09] foreign
[23:12] [Music]
[23:23] foreign
[23:28] [Music]
[23:38] come on
[23:44] [Music]
[23:53] so
[23:56] [Music]
[24:20] so
[24:23] [Music]
[24:43] hallelujah
[24:46] hallelujah
[24:53] [Music]
[25:03] um
[25:22] foreign
[25:44] [Music]
[25:46] foreign
[26:09] and the brother
[26:10] number
[26:11] to come in front to give us their ideas
[26:14] amen
[26:21] heroes started
[26:25] [Music]
[26:47] how can you
[26:50] work
[26:51] [Music]
[27:01] is
[27:05] [Music]
[27:15] together
[27:17] [Music]
[27:25] is
[27:27] [Music]
[27:55] do
[27:58] [Music]
[28:13] of god
