################################################################################
TIMESTAMPED TRANSCRIPT
################################################################################
Source: 2022-02-13 - 13.02.2022  The  Rapture (English-Zulu Channel) - Unknown Speaker.txt
Video ID: QwRmnZSpoic
Segments: 1411
URL: https://www.youtube.com/watch?v=QwRmnZSpoic
================================================================================
Click any timestamp to jump to that point in the video.
Format: [M:SS] or [H:MM:SS] followed by transcript text.
================================================================================

[0:00] [Music]
[0:04] oh
[0:06] [Music]
[0:19] [Music]
[0:20] [Applause]
[0:22] oh
[0:25] [Music]
[0:30] [Applause]
[0:33] oh
[0:40] [Music]
[1:03] oh
[1:08] [Music]
[1:11] [Applause]
[1:15] oh
[1:17] [Music]
[1:19] [Applause]
[1:20] [Music]
[1:28] foreign
[1:32] [Music]
[1:39] [Music]
[1:40] [Applause]
[1:45] [Music]
[1:47] [Applause]
[1:49] [Music]
[1:59] [Applause]
[1:59] [Music]
[2:05] ah
[2:07] [Music]
[2:13] oh
[2:18] [Music]
[2:18] [Applause]
[2:21] [Music]
[2:25] [Applause]
[2:27] uh
[2:28] [Music]
[2:32] [Applause]
[2:32] [Music]
[2:51] [Music]
[2:54] wow
[2:56] [Music]
[2:57] [Applause]
[3:06] oh
[3:13] [Music]
[3:23] oh
[3:31] [Applause]
[3:31] [Music]
[3:33] [Applause]
[3:41] [Music]
[3:53] [Applause]
[3:54] [Music]
[3:56] last
[3:58] [Music]
[4:02] oh
[4:04] [Music]
[4:08] [Applause]
[4:11] [Music]
[4:17] hey
[4:20] [Music]
[4:22] [Applause]
[4:30] [Music]
[4:37] oh
[4:38] [Music]
[4:43] two
[4:45] [Music]
[4:56] [Applause]
[4:59] [Music]
[5:02] [Applause]
[5:05] [Music]
[5:06] [Applause]
[5:09] [Music]
[5:18] [Applause]
[5:19] [Music]
[5:20] [Applause]
[5:27] so
[5:29] [Music]
[5:43] so
[5:44] [Music]
[6:01] oh
[6:13] oh
[6:22] [Music]
[6:29] is
[6:32] [Music]
[6:35] oh
[6:41] [Applause]
[6:56] [Applause]
[6:58] [Music]
[7:01] [Applause]
[7:02] [Music]
[7:09] [Music]
[7:15] [Music]
[7:22] oh
[7:25] [Music]
[7:31] is
[7:37] [Applause]
[7:37] [Music]
[7:41] [Applause]
[7:49] is
[7:50] [Music]
[8:02] oh
[8:06] [Music]
[8:25] [Applause]
[8:28] [Music]
[8:32] [Applause]
[8:34] [Music]
[8:34] [Applause]
[8:36] [Music]
[8:36] [Applause]
[8:38] [Music]
[8:46] [Applause]
[8:47] [Music]
[8:54] [Applause]
[8:57] yes
[9:02] [Music]
[9:08] [Applause]
[9:10] yes
[9:20] [Music]
[9:26] [Applause]
[9:27] [Music]
[9:33] [Music]
[9:35] [Applause]
[9:42] [Music]
[9:46] what
[9:49] [Music]
[9:50] [Applause]
[9:54] [Music]
[10:01] what's up
[10:03] [Music]
[10:23] so
[10:27] [Music]
[10:40] ceased
[10:41] [Music]
[10:45] [Applause]
[10:48] [Music]
[10:48] [Applause]
[10:54] these days are numbered
[10:56] jesus
[11:03] [Music]
[11:07] as well
[11:09] [Music]
[11:25] oh
[11:26] [Music]
[11:29] oh
[11:31] [Music]
[11:47] [Music]
[11:59] [Applause]
[12:01] [Music]
[12:06] [Applause]
[12:14] oh
[12:15] [Music]
[12:21] [Music]
[12:26] yes
[12:32] [Music]
[12:35] [Applause]
[12:40] time
[12:45] [Music]
[13:02] [Music]
[13:03] [Applause]
[13:09] [Music]
[13:15] uh
[13:17] [Music]
[13:21] my gosh
[13:28] [Music]
[13:38] [Music]
[13:41] foreign
[13:49] see
[13:52] [Music]
[14:00] [Applause]
[14:02] [Music]
[14:09] oh
[14:13] [Music]
[14:24] [Music]
[14:28] [Applause]
[14:31] is
[14:40] [Music]
[14:47] [Applause]
[14:55] oh
[15:00] [Applause]
[15:10] put an appointment with you
[15:16] suddenly didn't sleep in the evening
[15:18] lord
[15:20] because of the attack
[15:23] that was sent out to them
[15:31] [Applause]
[15:38] foreign to damascus note
[15:42] so that he can go and attack
[15:45] the christians who were there
[15:48] but there was a knight lord that strike
[15:52] on his way to damascus
[15:55] that is striking this
[16:00] [Applause]
[16:06] morning that father is playing lord
[16:09] towards your righteousness
[16:13] we are the church we are the pride
[16:16] but we know that father we need to
[16:18] overcome
[16:20] because jesus said as i am sitting
[16:24] in the throne you need to also to
[16:26] overcome
[16:27] so that you can be able to sit where i
[16:29] am
[16:31] but father we know that they are always
[16:34] [Applause]
[16:36] [Music]
[16:47] doesn't have any chance
[16:59] [Music]
[17:06] [Applause]
[17:13] is
[17:19] [Applause]
[17:23] [Music]
[17:34] [Music]
[17:39] situations and problems
[17:44] [Applause]
[17:57] [Music]
[17:58] are coming out
[18:00] their pastor is setting them
[18:02] [Applause]
[18:12] we need to be up father
[18:15] where we are coming to your way
[18:17] whether we believe that every soul which
[18:19] is here lord
[18:21] will be able father to listen to your
[18:23] word in this morning
[18:25] father we pray for our brothers leading
[18:27] us with songs
[18:28] father we pray for the timings lord and
[18:31] offerings that are coming
[18:33] god will have to pray also for the world
[18:35] the father is coming also we're not
