################################################################################
TIMESTAMPED TRANSCRIPT
################################################################################
Source: 2022-02-20 - 20.02.2022  Rapture (English-Zulu Channel) - Unknown Speaker.txt
Video ID: 14bXdAj2WpU
Segments: 1370
URL: https://www.youtube.com/watch?v=14bXdAj2WpU
================================================================================
Click any timestamp to jump to that point in the video.
Format: [M:SS] or [H:MM:SS] followed by transcript text.
================================================================================

[0:18] um
[1:06] so
[1:30] so
[2:15] so
[2:32] um
[2:36] um
[2:52] yes
[3:03] [Music]
[3:18] [Music]
[3:24] [Music]
[3:32] okay
[3:37] [Music]
[3:52] um
[3:56] [Music]
[4:01] um
[4:05] [Music]
[4:30] ah
[4:40] [Music]
[4:56] um
[4:58] [Music]
[5:16] [Music]
[5:24] hello
[5:31] [Music]
[5:46] [Music]
[6:03] me
[6:06] [Music]
[6:08] hmm
[6:13] [Music]
[6:22] [Music]
[6:41] so
[7:13] huh
[8:04] so
[8:16] so
[9:39] so
[9:42] [Music]
[9:55] [Music]
[10:02] uh
[10:05] [Music]
[10:21] um
[10:28] [Music]
[10:36] [Music]
[10:48] [Music]
[11:07] um
[11:10] [Music]
[11:24] [Music]
[11:33] [Applause]
[11:39] oh
[11:40] [Music]
[11:46] [Music]
[11:55] [Music]
[12:11] [Applause]
[12:14] yes
[12:16] [Applause]
[12:26] [Music]
[12:38] [Music]
[12:45] [Applause]
[12:46] [Music]
[12:49] [Applause]
[12:52] oh
[12:58] [Music]
[13:09] oh
[13:14] [Music]
[13:22] [Applause]
[13:24] day
[13:29] [Music]
[13:34] [Applause]
[13:36] wow
[13:37] [Music]
[13:51] [Music]
[14:02] [Applause]
[14:06] oh
[14:11] [Music]
[14:20] [Music]
[14:30] [Music]
[14:36] oh
[14:40] [Music]
[14:54] [Applause]
[14:59] ah
[15:01] [Music]
[15:10] [Music]
[15:15] oh
[15:38] [Applause]
[15:38] [Music]
[15:44] [Music]
[15:47] jesus
[15:48] [Music]
[15:56] oh
[15:59] [Music]
[16:09] [Music]
[16:17] jesus is coming again
[16:20] [Music]
[16:25] is
[16:30] [Applause]
[16:32] [Music]
[16:37] [Applause]
[16:44] [Music]
[16:53] [Music]
[16:55] jesus
[17:01] [Music]
[17:07] [Music]
[17:33] away
[17:39] [Music]
