################################################################################
TIMESTAMPED TRANSCRIPT
################################################################################
Source: 2022-07-05 - 07-05-2022 -  The Key  Of Knowledge (English - Sepedi Channel) - Marcel Shamba.txt
Video ID: ExuBQLV851o
Segments: 1715
URL: https://www.youtube.com/watch?v=ExuBQLV851o
================================================================================
Click any timestamp to jump to that point in the video.
Format: [M:SS] or [H:MM:SS] followed by transcript text.
================================================================================

[0:08] [Music]
[0:11] hmm
[0:13] [Music]
[0:36] [Music]
[0:44] hmm
[0:57] [Music]
[1:07] hey
[1:18] [Music]
[1:31] eh
[1:46] so
[1:57] [Music]
[2:05] hey
[2:13] so
[2:28] [Music]
[2:30] uh
[2:34] [Music]
[2:42] so
[2:43] [Music]
[2:53] [Music]
[3:01] [Music]
[3:12] [Music]
[3:23] [Music]
[3:32] do
[3:46] [Music]
[3:55] [Music]
[4:03] [Music]
[4:05] so
[4:29] [Music]
[4:32] so
[4:38] [Music]
[4:44] so
[4:50] [Music]
[5:01] so
[5:04] [Music]
[5:39] [Music]
[5:46] [Music]
[6:02] [Music]
[6:17] so
[6:26] so
[6:36] [Music]
[6:44] [Music]
[6:53] so
[7:04] [Music]
[7:13] [Music]
[7:22] so
[7:24] [Music]
[7:34] so
[7:46] [Music]
[8:05] [Music]
[8:10] my
[8:11] [Music]
[8:18] so
[8:23] [Music]
[8:37] [Music]
[8:40] so
[8:45] [Music]
[9:13] so
[9:17] [Music]
[9:26] [Music]
[9:32] [Music]
[9:33] okay
[9:40] [Music]
[9:57] [Music]
[10:03] [Music]
[10:14] [Music]
[10:20] [Music]
[10:30] my
[10:33] [Music]
[10:44] [Music]
[10:49] so
[10:52] [Music]
[11:11] [Music]
[11:12] hmm
[11:15] so
[11:19] [Music]
[11:26] [Music]
[11:33] [Music]
[11:40] [Music]
[11:47] [Music]
[12:09] [Music]
[12:12] so
[12:18] [Music]
[12:24] oh
[12:38] [Music]
[13:00] [Music]
[13:13] [Music]
[13:25] so
[13:26] [Music]
[13:45] [Music]
[14:03] [Music]
[14:08] so
[14:11] [Music]
[14:19] [Music]
[14:22] so
[14:27] [Music]
[14:45] [Music]
[15:16] so
[15:22] [Music]
[15:32] so
[15:43] [Music]
[15:44] so
[15:53] [Music]
[16:02] do
[16:15] so
[16:23] [Music]
[16:29] [Music]
[16:41] so
[17:07] so
[17:24] so
[17:29] [Music]
[17:39] so
[17:51] [Music]
[18:04] so
[18:10] [Music]
[19:08] foreign
[19:50] [Music]
[20:07] [Music]
[20:11] so
[20:17] [Music]
[20:26] so
[20:32] [Music]
[20:50] [Music]
[20:54] so
[21:01] [Music]
[21:07] so
[21:08] [Music]
[21:28] [Music]
[21:37] um
[21:46] [Music]
[21:49] so
[21:51] [Music]
[22:01] [Music]
[22:05] so
[22:16] [Music]
[22:18] so
[22:22] [Music]
[22:44] [Music]
[22:56] [Music]
[23:07] [Music]
[23:17] [Music]
[23:29] [Music]
[23:39] [Music]
[23:42] so
[23:45] [Music]
[23:51] [Music]
[24:06] [Music]
[24:25] so
[24:33] [Music]
[24:44] [Music]
[25:17] [Music]
[25:28] [Music]
[25:43] [Music]
[26:04] [Music]
[26:25] [Music]
[26:46] [Music]
[26:52] [Music]
[27:12] [Music]
[27:17] so
[27:46] hmm
[27:49] [Music]
[27:55] [Music]
[28:11] [Music]
[28:13] mmm
[28:17] [Music]
[28:28] [Music]
[28:38] [Music]
[28:49] [Music]
[29:00] [Music]
[29:22] [Music]
[29:24] uh
[29:26] [Music]
[29:39] [Music]
[30:08] [Music]
[30:13] so
[31:10] so
[31:15] [Music]
[31:27] [Music]
[31:44] [Music]
[32:00] [Music]
[32:07] so
[32:09] [Music]
[32:34] so
[32:38] [Music]
[32:47] [Music]
[33:00] so
[33:03] [Music]
[33:15] so
[33:26] [Music]
[33:27] so
[33:37] [Music]
[33:48] [Music]
[34:02] foreign
[34:18] my
[34:20] [Music]
[34:37] [Music]
[34:50] so
[34:52] [Music]
[35:19] so
[35:28] [Music]
[35:35] [Music]
[36:30] okay
[36:44] so
[36:47] [Music]
[37:01] [Music]
[37:16] [Music]
[37:41] [Music]
[38:01] [Music]
[38:13] my
[38:16] mother yeah
[38:29] [Music]
[38:39] so
[38:53] [Music]
[39:06] muscles
[39:08] [Music]
[39:20] [Music]
[39:39] [Music]
[39:53] [Music]
[40:03] [Music]
[40:07] so
[40:15] [Music]
[40:45] so
[40:48] [Music]
[40:55] so
[41:07] [Music]
[41:10] so
[41:17] [Music]
[41:29] wow
[41:38] [Music]
[41:48] [Music]
[42:00] [Music]
[42:07] so
[42:20] so
[42:33] so
[42:37] [Music]
[42:54] [Music]
[43:00] [Music]
[43:21] [Music]
[43:23] i think
[43:31] [Music]
[43:38] from
[43:44] [Music]
[43:55] amen
[43:57] i'll greet you all in the name of our
[43:59] lord jesus
[44:01] we so thankful to our god for helping us
[44:04] to come into his house do you love him
[44:07] praise the lord
[44:15] [Music]
[44:36] is
[44:37] [Music]
[44:49] [Music]
[45:01] oh
[45:06] is
[45:14] [Music]
[45:15] [Laughter]
[45:20] [Music]
[45:29] [Music]
[45:39] [Music]
[45:42] oh
[45:53] [Music]
[45:55] [Applause]
[45:57] one more time pick up your hand now
[46:02] [Music]
[46:07] [Music]
[46:14] [Music]
[46:26] voice
[46:31] [Applause]
[46:43] yes
[46:44] [Music]
[46:53] [Music]
[47:03] [Music]
[47:17] [Music]
[47:21] as he's preparing
[47:22] himself just sing once more time
[47:28] is it wonderful
[47:30] [Music]
[47:41] [Music]
[47:46] [Music]
[47:53] [Applause]
[47:56] let us pray
[47:58] our dear heavenly father
[48:00] we humbly come before you this afternoon
[48:02] once again almighty god
[48:04] we thank you that we can all be found in
[48:06] your presence thank you for the safe
[48:08] traveling mercies that you have granted
[48:09] unto us lord
[48:11] dear jesus we come here this afternoon
[48:13] for one purpose lord jesus and that's to
[48:15] make me lord we bring every unclean
[48:17] spirit and every
[48:19] foreign spirit under the control of the
[48:21] name of jesus christ may we be free to
[48:23] worship you lord and give you the praise
[48:25] the glory and honor bless the song
[48:27] leader almighty father together the
[48:29] congregation may we make a joyful noise
[48:31] unto you lord father for it was david
[48:33] who said i will enter his gate through
[48:35] thanksgiving in my heart lord jesus the
[48:37] reason why we come with thanksgiving is
[48:39] because you have set us free lord jesus
[48:41] heavenly father i'm praying this morning
[48:43] may you also bless your servant that's
[48:45] got to bring forth your word oh god may
[48:48] you may you give him all the inspiration
[48:50] that he needs lord to speak to us dear
[48:52] jesus father every person that has come
[48:54] here this afternoon lord jesus some come
[48:56] your problems lord some come here with
[48:59] questions heavenly father may they
[49:01] receive their hearts desires by the
[49:03] preaching of your word this afternoon
[49:05] lord and in all things we'll be sure to
[49:07] give you the praise the glory and honor
[49:09] we access in jesus name
[49:11] amen
[49:16] amen amen you love the lord
[49:19] praise god i'm so glad that i'm can say
[49:22] i'm one of them amen
[49:33] [Music]
[49:39] [Music]
[49:43] oh
[49:45] [Applause]
[49:46] [Music]
[49:58] that i can say
[50:01] [Music]
[50:25] [Music]
[50:29] i'm so glad
[50:32] i can say i'm one of them
[50:35] [Music]
[50:42] [Music]
[51:00] oh
[51:04] [Music]
[51:12] oh
[51:22] i can say
[51:27] [Music]
[51:39] just leave one another say god bless you
[51:42] my sister
[51:43] happy to see you into the house of the
[51:45] lord
[51:46] praise god
[51:48] god
[51:55] is
[52:03] [Music]
[52:28] i can see
[52:31] [Music]
[52:32] [Applause]
[52:36] amen amen
[52:38] oh i'm happy
[52:41] are you all so happy
[52:44] oh lord you are with me
[52:48] [Music]
[53:01] oh
[53:03] [Music]
[53:15] [Applause]
[53:16] hello
[53:18] [Music]
[53:29] [Applause]
[53:29] [Music]
[53:33] oh
[53:36] [Music]
[53:48] uh
[53:49] [Music]
[54:02] [Music]
[54:03] oh
[54:07] [Music]
[54:19] [Music]
[54:25] wow
[54:31] [Music]
[54:41] me
[54:43] [Music]
[54:52] lord jesus
[54:54] [Music]
[55:00] [Music]
[55:06] one more time
[55:08] [Music]
[55:29] [Applause]
[55:30] [Music]
[55:46] now this last one
[55:48] [Music]
[56:04] [Music]
[56:43] may
[56:44] [Music]
[57:07] oh
[57:11] [Music]
[57:25] to
[57:30] [Music]
[57:43] [Music]
[57:52] oh
[57:54] [Music]
[58:01] oh
[58:06] [Music]
[58:18] one by one
[58:21] [Music]
[58:25] see what god
[58:27] has done
[58:32] [Music]
[58:40] [Music]
[58:45] is
[58:48] [Music]
[58:50] your blessings
[58:56] [Music]
[59:07] thank you lord
[59:10] count your blessing
[59:12] thank you lord
[59:13] anyone who can
[59:15] collect offerings by the is
[59:17] preparing himself
[59:40] um
[59:48] [Music]
[1:00:12] hmm
[1:00:20] [Music]
[1:01:41] [Applause]
[1:01:46] [Music]
[1:01:55] oh this is wonderful
[1:01:57] another round of applause
[1:01:59] [Applause]
[1:02:04] praise god
[1:02:06] [Music]
[1:02:18] amen oh
[1:02:23] [Music]
[1:02:46] once again thank you almighty god
[1:02:49] for this wonderful time because
[1:02:53] there is no other better place that you
[1:02:55] can feel than being in your prayers
[1:02:58] god thank you for helping us to come
[1:03:00] here listen to thy word we are really
[1:03:03] under expectation
[1:03:05] bless each and every one of us
[1:03:07] and bless the offerings and tights that
[1:03:09] have been brought into the
[1:03:12] your house lord
[1:03:13] bless them lord as we're waiting upon
[1:03:16] thy word the most important part of this
[1:03:19] service be the alpha and omega the first
[1:03:22] and the last
[1:03:23] all lord for we commit everything unto
[1:03:26] thee in the mighty wonderful name of the
[1:03:28] lord jesus christ we pray thank you
[1:03:31] amen
[1:03:33] praise god
[1:03:36] amen
[1:03:38] we're going to sing
[1:03:40] these are the days of elijah
[1:03:42] amen just before
[1:03:45] the word of god
[1:03:46] of the lord
[1:03:48] shall we stand on our faith brethren
[1:03:52] [Music]
[1:03:54] these are the days of the lord the
[1:03:55] brother can project it for us
[1:04:00] [Music]
[1:04:06] [Music]
[1:04:16] love your hands
[1:04:17] [Music]
[1:04:26] first of all
[1:04:30] [Music]
[1:04:47] and these are the days
[1:04:49] [Music]
[1:05:15] oh
[1:05:20] [Music]
[1:05:24] foreign
[1:05:28] [Music]
[1:05:41] oh
[1:05:45] [Music]
[1:06:15] oh
[1:06:18] [Music]
[1:06:23] [Music]
[1:06:25] oh
[1:06:26] [Music]
[1:06:31] [Applause]
[1:06:32] is
[1:06:35] [Music]
[1:06:45] [Applause]
[1:06:46] [Music]
[1:06:57] yes
[1:07:01] [Music]
[1:07:33] oh
[1:07:34] [Music]
[1:07:57] oh
[1:08:00] [Music]
[1:08:14] oh
[1:08:17] [Music]
[1:08:24] [Applause]
[1:08:27] amen you love the lord
[1:08:29] oh my my my thank you jesus you may be
[1:08:32] seated
[1:08:35] your very
[1:08:42] [Music]
[1:09:11] is
[1:09:18] [Music]
[1:09:34] oh
[1:09:37] [Music]
[1:09:42] [Applause]
[1:09:44] [Music]
[1:09:54] [Music]
[1:09:57] oh
[1:10:02] [Music]
[1:10:22] oh
[1:10:25] [Music]
[1:10:42] preach in the name of the lord jesus
[1:10:44] christ
[1:10:47] of the lord tonight
[1:10:49] let's give him a better hand of
[1:10:50] appreciation
[1:10:52] let's welcome his presence our lord is
[1:10:54] so good and so wonderful
[1:10:57] he has done so much for us
[1:11:00] he has done so much that we don't have
[1:11:02] enough in our language
[1:11:04] to express what the lord has done
[1:11:07] we come in his presence with
[1:11:08] thanksgivings with praises with
[1:11:11] appreciation
[1:11:12] and we say blessed be the name of the
[1:11:15] lord
[1:11:16] for the lord is good and reign forever
[1:11:19] amen let's give him another hand
[1:11:29] the bible says in the book of psalm
[1:11:31] 11617
[1:11:33] verse
[1:11:35] i will offer to thee the sacrifice of my
[1:11:38] thanksgiving
[1:11:40] and we'll call upon the name of the lord
[1:11:44] amen as the bible say count
[1:11:48] what the lord has done
[1:11:50] there are so many things that the lord
[1:11:52] has done in our lives we owe him our
[1:11:55] time
[1:11:56] we owe him all that we are
