################################################################################
TIMESTAMPED TRANSCRIPT
################################################################################
Source: 2022-10-04 - 10.04.2022  The Battle of Armageddon II (English-Zulu Channel) - Unknown Speaker.txt
Video ID: 38Fw2giu5MM
Segments: 2295
URL: https://www.youtube.com/watch?v=38Fw2giu5MM
================================================================================
Click any timestamp to jump to that point in the video.
Format: [M:SS] or [H:MM:SS] followed by transcript text.
================================================================================

[0:12] do
[0:15] [Music]
[0:39] [Music]
[0:51] do
[2:29] do
[2:32] [Music]
[2:44] do
[2:49] [Music]
[2:55] [Music]
[3:39] do
[4:14] [Music]
[4:20] so
[4:24] [Music]
[4:33] so
[5:00] so
[5:53] [Music]
[6:07] [Music]
[7:09] so
[8:38] [Music]
[8:47] so
[8:56] [Music]
[9:13] so
[10:48] [Music]
[11:17] hmm
[11:38] do
[11:40] [Music]
[12:07] [Music]
[12:18] do
[12:19] [Music]
[12:43] [Music]
[12:47] yes
[12:55] oh
[12:56] [Music]
[13:06] bye
[13:08] [Music]
[13:33] oh
[13:35] [Music]
[14:17] oh
[14:19] [Music]
[14:47] please
[14:52] [Music]
[15:07] oh
[15:10] [Music]
[15:19] [Music]
[15:21] oh
[15:22] [Music]
[15:27] is
[15:32] [Music]
[15:46] oh
[15:47] [Music]
[15:54] [Applause]
[15:55] [Music]
[16:04] you
[16:09] oh
[16:12] [Music]
[16:12] [Applause]
[16:14] [Music]
[16:25] [Music]
[16:33] all
[16:36] [Music]
[16:47] [Music]
[17:03] [Music]
[17:07] oh
[17:09] [Music]
[17:16] [Music]
[17:23] [Music]
[17:27] oh
[17:28] [Music]
[17:37] uh
[17:51] uh
[17:55] [Music]
[18:04] [Applause]
[18:09] [Music]
[18:13] we have blessed people this morning
[18:18] [Applause]
[18:18] [Music]
[18:32] [Music]
[18:44] is
[18:47] [Music]
[18:49] [Applause]
[18:54] [Music]
[19:01] me
[19:07] [Music]
[19:12] is
[19:16] [Music]
[19:33] please
[19:37] [Music]
[19:41] is
[19:44] [Music]
[19:50] [Applause]
[19:53] [Music]
[19:54] easy
[19:56] [Music]
[20:04] [Applause]
[20:07] oh
[20:13] [Applause]
[20:32] my
[20:34] oh
[20:41] [Applause]
[20:42] [Music]
[20:44] [Applause]
[20:48] [Music]
[20:51] [Applause]
[20:53] [Music]
[21:07] uh
[21:15] [Music]
[21:18] is
[21:32] um
[21:33] [Music]
[21:33] [Laughter]
[21:35] [Music]
[21:43] [Music]
[21:49] [Music]
[21:51] uh
[21:53] [Music]
[22:00] [Music]
[22:27] [Music]
[22:31] me
[22:42] [Music]
[22:46] is
[22:47] [Music]
[22:56] see
[22:57] [Music]
[23:22] me
[23:25] [Music]
[23:32] [Music]
[23:36] is
[23:38] [Music]
[23:53] oh
[23:58] [Music]
[24:05] uh
[24:07] [Music]
[24:32] [Music]
[24:38] oh
[24:50] [Music]
[24:55] now
[24:57] [Music]
[25:03] oh
[25:04] [Music]
[25:19] hey
[25:24] [Music]
[25:28] oh
[25:33] [Applause]
[25:34] [Music]
[25:42] [Applause]
[26:02] [Music]
[26:22] foreign
[26:23] [Music]
[26:35] even this morning
[27:04] yes
[27:17] is
[27:42] is
[28:09] [Applause]
[29:07] [Applause]
[29:10] is
[29:27] in the name of jesus i pray amen
[29:30] [Applause]
[29:47] [Music]
[29:57] [Music]
[30:00] so
[30:07] [Music]
[30:28] so
[30:38] [Music]
[30:44] [Music]
[31:00] that she
[31:13] oh
[31:23] [Music]
[31:30] today
[31:34] [Music]
[31:45] foreign
[31:50] [Music]
[32:07] [Music]
[32:16] thank you
[32:22] [Music]
[32:29] uh
[32:31] [Music]
[32:47] is
[32:49] [Music]
[33:03] [Music]
[33:05] that gives me
[33:11] to day
[33:24] [Music]
[33:27] oh
[33:38] oh
[33:43] [Music]
[33:53] from
[33:58] [Music]
[34:07] [Applause]
[34:12] [Music]
[34:15] oh
[34:27] [Music]
[34:29] oh
[34:41] [Music]
[34:47] is
[34:53] [Music]
[34:55] [Applause]
[35:03] is
[35:09] [Music]
[35:16] hey
[35:22] [Applause]
[35:27] [Music]
[35:35] eat whatever
[35:45] [Music]
[35:48] he
[35:49] will never
[35:53] [Applause]
[36:02] we take
[36:12] oh
[36:13] [Music]
[36:21] [Music]
[36:26] [Music]
[36:36] from
[36:39] [Music]
[36:43] is
[36:44] [Applause]
[36:57] hallelujah let's take a song that says
[37:00] not per share we may stand on our feet
[37:06] nah
[37:10] [Music]
[37:20] [Music]
[37:25] me
[37:29] [Music]
[37:48] myself
[37:57] [Music]
[38:04] today
[38:08] [Applause]
[38:09] [Music]
[38:20] let's take the best
[38:33] [Music]
[38:38] me
[38:40] [Music]
[38:46] me
[38:48] [Music]
[39:05] [Applause]
[39:08] foreign
[39:18] foreign
[39:36] let's take this one fast
[39:39] [Music]
[39:49] here we are
[39:50] [Music]
[39:58] [Music]
[40:00] [Applause]
[40:03] is
[40:06] [Music]
[40:23] [Music]
[40:28] foreign
[40:44] is
[40:49] [Music]
[40:52] take the last verse now
[40:58] [Music]
[41:06] [Music]
[41:11] me
[41:17] [Applause]
[41:17] [Music]
[41:24] [Music]
[41:31] [Music]
[41:40] [Music]
[41:44] foreign
[41:53] foreign
[41:57] [Applause]
[41:59] [Music]
[42:06] [Music]
[42:07] one more last time
[42:10] [Music]
[42:23] [Music]
[42:28] me foreign
[42:42] [Music]
[42:45] is
[42:50] [Music]
[42:53] [Applause]
[43:01] [Music]
[43:08] as i greet you all in the precious name
[43:11] of our lord and savior jesus christ
[43:15] i trust you are all happy
[43:19] amen can you say shalom to those that
[43:22] are streaming
[43:24] amen
[43:28] [Applause]
[43:37] amen amen
[43:42] let me take this opportunity to welcome
[43:44] all our visitors
[43:46] if they can stand
