################################################################################
TIMESTAMPED TRANSCRIPT
################################################################################
Source: 2023-01-28 - Wedding Celebration Of Bro.Karabo & Sis.Ntokozo Rasogo - Ntokozo Rasogo.txt
Video ID: eB753SdIzLo
Segments: 2085
URL: https://www.youtube.com/watch?v=eB753SdIzLo
================================================================================
Click any timestamp to jump to that point in the video.
Format: [M:SS] or [H:MM:SS] followed by transcript text.
================================================================================

[0:00] foreign
[0:02] [Music]
[0:06] [Applause]
[0:12] [Music]
[0:28] [Music]
[0:29] [Applause]
[0:45] [Applause]
[0:50] Jesus
[0:52] [Applause]
[0:56] [Music]
[1:00] [Applause]
[1:03] Christ
[1:05] [Applause]
[1:11] [Music]
[1:23] foreign
[1:24] [Music]
[1:31] [Music]
[1:47] [Applause]
[1:53] amen
[1:58] so this is
[2:19] amen
[2:25] [Music]
[2:34] because
[2:38] everybody
[2:46] [Applause]
[2:47] [Music]
[2:53] [Applause]
[3:03] [Applause]
[3:05] foreign
[3:07] [Music]
[3:08] [Applause]
[3:14] [Applause]
[3:19] [Music]
[3:21] [Applause]
[3:31] [Music]
[3:32] [Applause]
[3:40] [Music]
[3:42] [Applause]
[3:43] [Music]
[3:44] [Applause]
[3:46] foreign
[3:49] [Applause]
[4:05] [Applause]
[4:05] [Music]
[4:07] [Applause]
[4:14] okay
[4:15] [Applause]
[4:19] foreign
[4:21] [Applause]
[4:22] [Music]
[4:26] [Applause]
[4:34] [Music]
[4:37] [Applause]
[4:43] [Applause]
[4:47] [Music]
[4:53] please
[4:55] [Music]
[4:58] please
[4:59] [Applause]
[5:00] [Music]
[5:02] [Applause]
[5:03] [Music]
[5:05] [Applause]
[5:11] [Music]
[5:26] foreign
[5:36] [Applause]
[5:39] [Music]
[5:41] [Applause]
[5:41] [Music]
[5:47] [Applause]
[5:50] [Music]
[5:56] [Applause]
[6:02] [Music]
[6:03] [Applause]
[6:05] yeah
[6:06] [Music]
[6:08] [Applause]
[6:11] I don't
[6:14] know
[6:19] [Applause]
[6:39] [Music]
[6:41] foreign
[6:42] [Music]
[6:50] [Music]
[7:09] doing the pride and destroys it will
[7:12] come
[7:15] on
[7:46] um
[7:50] [Music]
[8:09] [Applause]
[8:10] [Music]
[8:18] foreign
[8:22] [Music]
[8:28] [Music]
[8:32] [Applause]
[8:36] [Music]
[8:37] [Applause]
[8:42] [Music]
[8:49] [Applause]
[8:51] [Music]
[8:53] [Applause]
[8:58] foreign
[9:01] [Applause]
[9:04] [Music]
[9:06] [Applause]
[9:08] [Music]
[9:29] foreign
[9:30] [Applause]
[9:30] [Music]
[9:40] [Applause]
[9:45] [Music]
[9:48] [Applause]
[9:50] [Music]
[10:04] okay
[10:05] foreign
[10:07] [Music]
[10:08] [Applause]
[10:16] [Applause]
[10:19] [Music]
[10:26] [Applause]
[10:28] [Music]
[10:29] [Applause]
[10:31] [Music]
[10:32] [Applause]
[10:36] foreign
[10:40] [Applause]
[10:41] [Music]
[10:44] [Applause]
[10:47] [Music]
[10:53] [Applause]
[10:53] [Music]
[11:09] foreign
[11:19] [Music]
[11:27] [Music]
[11:35] foreign
[11:41] [Music]
[11:47] [Applause]
[11:51] [Music]
[11:59] [Music]
[12:05] [Applause]
[12:07] [Music]
[12:17] [Music]
[12:18] [Applause]
[12:20] [Music]
[12:22] thank you
[12:25] [Music]
[12:29] [Applause]
[12:32] [Music]
[12:41] because I'm ready
[12:46] foreign
[13:19] foreign
[13:27] [Music]
[13:54] foreign
[14:02] [Music]
[14:08] [Applause]
[14:10] [Music]
[14:22] [Music]
[14:26] foreign
[14:30] [Music]
[14:57] foreign
[15:06] [Music]
[15:26] [Applause]
[15:34] Hearts have seen
[15:39] it today
[15:48] [Music]
[15:53] [Applause]
[15:53] [Music]
[16:01] [Applause]
[16:01] [Music]
[16:05] [Applause]
[16:11] [Music]
[16:20] could you see you
[16:24] [Applause]
[16:29] guys
[16:31] [Applause]
[16:32] [Music]
[16:32] [Applause]
[16:38] [Music]
[16:48] foreign
[16:59] [Music]
[17:33] foreign
[17:39] [Music]
[18:06] the season
[18:07] of our
[18:10] um
[18:21] to come and pray for us
[18:24] as a City Tennessee
[18:30] [Music]
[18:44] [Music]
[18:46] when I
[18:49] say
[18:55] hi
[19:02] there is
[19:05] [Music]
[19:12] [Music]
[19:14] away
[19:16] I came
[19:27] [Music]
[19:30] [Applause]
[19:35] to see
[19:37] [Music]
