################################################################################
TIMESTAMPED TRANSCRIPT
################################################################################
Source: 2024-03-30 - 2024.03.30 Incidents Which Takes Place Between The Seventh Church Age And The Marriage Supper - Erastus Makua.txt
Video ID: xD6lv6uMNvw
Segments: 1913
URL: https://www.youtube.com/watch?v=xD6lv6uMNvw
================================================================================
Click any timestamp to jump to that point in the video.
Format: [M:SS] or [H:MM:SS] followed by transcript text.
================================================================================

[0:02] [Applause]
[0:03] [Music]
[0:07] [Applause]
[0:09] [Music]
[0:18] [Applause]
[0:24] [Music]
[0:25] [Applause]
[0:28] w
[0:30] [Music]
[0:35] [Applause]
[0:36] [Music]
[0:37] [Applause]
[0:39] [Music]
[0:44] [Applause]
[0:49] [Music]
[0:50] [Applause]
[0:58] up
[1:00] [Music]
[1:07] [Music]
[1:07] [Applause]
[1:09] [Music]
[1:25] [Applause]
[1:28] of
[1:32] [Music]
[1:34] [Applause]
[1:34] [Music]
[1:38] [Applause]
[1:39] [Music]
[1:41] [Applause]
[1:42] [Music]
[1:46] [Applause]
[1:56] [Music]
[1:57] [Applause]
[1:58] oh
[2:00] [Music]
[2:03] [Applause]
[2:03] [Music]
[2:05] [Applause]
[2:06] [Music]
[2:14] [Music]
[2:24] [Applause]
[2:26] [Music]
[2:28] PR
[2:30] [Music]
[2:41] [Applause]
[2:44] [Music]
[2:45] [Applause]
[2:51] [Applause]
[2:52] [Music]
[2:58] jus
[3:00] [Music]
[3:02] [Applause]
[3:06] [Music]
[3:13] [Applause]
[3:25] [Music]
[3:28] th
[3:31] [Applause]
[3:40] [Music]
[3:41] [Applause]
[3:44] [Music]
[3:49] [Applause]
[3:49] [Music]
[3:56] [Music]
[3:58] oh
[4:01] [Music]
[4:02] [Applause]
[4:04] [Music]
[4:10] [Music]
[4:16] [Applause]
[4:17] [Music]
[4:28] J
[4:31] oh
[4:33] [Applause]
[4:33] [Music]
[4:35] CH ah praise
[4:47] [Music]
[4:56] God for it is
[5:01] [Music]
[5:08] [Applause]
[5:10] [Music]
[5:22] [Applause]
[5:23] [Music]
[5:28] be
[5:29] [Music]
[5:31] [Applause]
[5:34] [Music]
[5:34] [Applause]
[5:38] [Music]
[5:42] [Applause]
[5:43] [Music]
[5:44] [Applause]
[5:49] [Music]
[5:53] [Applause]
[5:58] you
[6:00] [Music]
[6:00] [Applause]
[6:01] [Music]
[6:06] [Applause]
[6:06] [Music]
[6:07] [Applause]
[6:09] [Music]
[6:10] [Applause]
[6:13] [Music]
[6:17] [Applause]
[6:18] [Music]
[6:20] [Applause]
[6:28] oh
[6:30] [Applause]
[6:32] [Music]
[6:40] [Applause]
[6:41] [Music]
[6:44] [Applause]
[6:46] [Music]
[6:46] [Applause]
[6:53] [Music]
[6:58] again
[7:00] [Music]
[7:10] [Applause]
[7:11] [Music]
[7:17] [Applause]
[7:19] [Music]
[7:19] [Applause]
[7:23] [Music]
[7:26] [Applause]
[7:28] how
[7:32] [Applause]
[7:32] [Music]
[7:34] [Applause]
[7:38] [Music]
[7:39] [Applause]
[7:43] [Music]
[7:46] [Applause]
[7:49] [Music]
[7:55] [Applause]
[7:59] my
[7:59] [Applause]
[8:00] [Music]
[8:04] you
[8:05] [Applause]
[8:05] [Music]
[8:14] [Applause]
[8:16] [Music]
[8:28] are
[8:33] [Music]
[8:40] [Applause]
[8:40] [Music]
[8:53] [Applause]
[8:55] [Music]
[8:58] what
[9:00] [Music]
[9:01] [Applause]
[9:03] [Music]
[9:14] [Applause]
[9:18] prise the
[9:19] [Applause]
[9:24] Lord praise
[9:26] [Applause]
[9:28] God
[9:31] [Applause]
[9:32] [Music]
[9:37] [Applause]
[9:38] [Music]
[9:39] [Applause]
[9:49] [Music]
[9:53] [Applause]
[9:54] [Music]
[9:58] oh
[10:00] [Applause]
[10:00] [Music]
[10:02] [Applause]
[10:05] [Music]
[10:08] [Applause]
[10:10] [Music]
[10:11] [Applause]
[10:13] [Music]
[10:16] [Applause]
[10:17] [Music]
[10:18] [Applause]
[10:19] [Music]
[10:28] oh
[10:31] [Music]
[10:31] [Applause]
[10:37] [Music]
[10:38] [Applause]
[10:41] [Music]
[10:45] [Applause]
[10:47] [Music]
[10:50] [Applause]
[10:54] [Music]
[10:55] [Applause]
[10:56] [Music]
[10:58] oh
[10:59] [Music]
[11:00] [Applause]
[11:03] [Music]
[11:03] [Applause]
[11:07] [Music]
[11:08] [Applause]
[11:09] [Music]
[11:11] [Applause]
[11:14] [Music]
[11:18] [Applause]
[11:21] [Music]
[11:22] [Applause]
[11:28] C
[11:30] [Applause]
[11:34] [Music]
[11:34] [Applause]
[11:35] [Music]
[11:37] [Applause]
[11:37] [Music]
[11:39] [Applause]
[11:41] [Music]
[11:42] [Applause]
[11:45] [Music]
[11:58] LIF
[12:01] [Music]
[12:01] [Applause]
[12:06] [Music]
[12:15] [Applause]
[12:24] [Applause]
[12:28] right
[12:31] you going to sing
[12:44] it
[12:46] original
[12:48] Hallelujah
[12:50] original
[12:52] Hallelujah is what I believe son of man
[12:57] the son of man
[12:59] oh
[13:01] [Music]
[13:08] heal Hallelujah the
[13:11] [Music]
[13:18] original
[13:21] [Applause]
[13:23] [Music]
[13:28] ohal
[13:29] is what I
[13:32] [Music]
[13:34] believe
[13:35] [Applause]
[13:35] [Music]
[13:39] [Applause]
[13:41] [Music]
[13:44] [Applause]
[13:47] [Music]
[13:50] of original as you all
[13:56] [Music]
[13:58] stand
[14:03] oral
[14:05] [Music]
[14:06] way what I
[14:08] [Music]
[14:17] [Applause]
[14:24] believe oh Vision I see
[14:30] [Music]
[14:31] is praise
[14:33] God Lord you are
[14:36] worthy you are
[14:38] worthy you are worthy to be PR oh you
[14:43] are
[14:44] worthy you are
[14:46] worthy you are worthy to be PR oh Lord
[14:52] you are worthy you are with you are you
[14:55] are you arey to
[14:59] [Applause]
[15:10] oh
[15:12] oh
[15:15] are
[15:20] [Applause]
[15:26] [Applause]
[15:27] I
[15:29] you are with
[15:31] to oh you
[15:34] are you are you
[15:40] are you
[15:42] are you
[15:45] are
[15:46] [Music]
[15:53] [Applause]
[15:57] arey
[16:02] you are worthy to be
[16:17] PR you
[16:19] [Music]
[16:27] are
[16:29] [Applause]
[16:34] you
[16:37] are oh Lord you
[16:40] are are
[16:45] are oh you
[16:48] are are
[16:53] are oh Lord you
[16:57] are are
[17:03] [Music]
[17:05] [Applause]
[17:12] [Applause]
[17:16] are
[17:17] [Music]
[17:22] [Applause]
[17:27] to
[17:31] oh you are worthy to be PR you are
[17:37] with you are you
[17:41] [Music]
[17:42] are oh Lord You
[17:50] [Music]
[17:53] [Applause]
[17:55] [Music]
