################################################################################
TIMESTAMPED TRANSCRIPT
################################################################################
Source: 2024-12-25 - 2024.12.25 . (E) The Final End of the Attributes - Unknown Speaker.txt
Video ID: gSRvzXTuOi8
Segments: 2331
URL: https://www.youtube.com/watch?v=gSRvzXTuOi8
================================================================================
Click any timestamp to jump to that point in the video.
Format: [M:SS] or [H:MM:SS] followed by transcript text.
================================================================================

[0:02] [Music]
[0:54] [Music]
[1:00] he
[1:01] [Music]
[1:24] [Music]
[1:37] for
[1:41] [Music]
[2:31] h
[2:35] [Music]
[3:00] h
[3:10] [Music]
[3:37] for
[3:41] [Music]
[4:01] [Music]
[5:01] all
[5:06] [Music]
[5:29] I
[5:32] [Music]
[5:39] [Music]
[6:29] for
[6:31] [Music]
[6:41] [Music]
[7:03] [Music]
[7:09] [Music]
[8:05] [Music]
[8:16] [Music]
[8:57] [Music]
[9:28] for e
[9:34] [Music]
[10:01] [Music]
[10:23] [Music]
[10:37] for
[10:48] [Music]
[10:56] [Music]
[11:04] [Music]
[11:32] [Music]
[11:37] for
[11:39] [Music]
[11:48] [Music]
[11:59] [Music]
[12:11] [Music]
[12:31] [Music]
[12:48] [Music]
[13:09] [Music]
[13:18] [Music]
[13:29] for
[13:30] [Music]
[13:50] [Music]
[14:21] [Music]
[14:29] [Music]
[14:47] [Music]
[15:13] [Music]
[15:24] [Music]
[15:56] [Music]
[16:06] for
[16:15] [Music]
[16:25] [Music]
[16:36] [Music]
[16:50] [Music]
[16:55] [Music]
[16:58] for
[17:01] [Music]
[17:22] [Music]
[17:49] [Music]
[18:00] [Music]
[18:06] for
[18:09] [Music]
[18:15] [Music]
[18:26] [Music]
[18:43] [Music]
[18:51] [Music]
[18:59] yes
[19:01] [Music]
[19:17] [Music]
[19:24] [Music]
[20:01] [Music]
[20:05] h
[20:06] [Music]
[20:26] [Music]
[20:30] oh
[20:35] [Music]
[20:43] [Music]
[21:05] [Music]
[21:14] [Music]
[21:27] h e
[22:06] for
[22:09] [Music]
[22:20] [Music]
[22:36] for
[22:44] [Music]
[22:58] h
[23:05] [Music]
[23:13] [Music]
[24:05] [Music]
[24:23] [Music]
[24:35] [Music]
[24:47] [Music]
[25:07] [Music]
[25:14] [Music]
[25:36] for
[26:06] for
[26:09] [Music]
[26:55] [Music]
[27:14] [Music]
[27:28] for
[27:31] [Music]
[28:06] for
[28:11] [Music]
[28:18] [Music]
[28:43] [Music]
[28:50] [Music]
[29:01] [Music]
[29:06] for
[29:12] [Music]
[29:20] [Music]
[29:33] [Music]
[29:56] [Music]
[30:28] h
[30:35] [Music]
[30:48] [Music]
[30:57] [Music]
[31:07] [Music]
[31:11] h
[31:13] [Music]
[31:28] I
[31:29] [Music]
[31:35] [Music]
[31:45] [Music]
[31:55] [Music]
[32:01] [Music]
[32:21] [Music]
[32:28] I
[32:30] [Music]
[32:50] [Music]
[33:12] [Music]
[33:18] [Music]
[33:30] we greet you all in the name of our Lord
[33:32] and Savior Jesus Christ
[33:34] amen are we all happy again to be in the
[33:37] house of the Lord this
[33:39] afternoon let's just stand on our feet
[33:41] we are going to start with our afternoon
[33:46] service you can welcome your brother or
[33:49] your sister again and say you've made
[33:52] the right decision to come into the
[33:54] house of the Lord
[33:57] [Music]
[34:02] we are going to take uh a few praise
[34:05] songs and immediately after the praise
[34:07] songs we'll just take very three good
[34:10] hymns and uh worship God Amen
[34:15] [Music]
[34:26] [Music]
[34:28] [Applause]
[34:29] [Music]
[34:47] [Music]
[34:51] we are hold
[35:16] hold On's
[35:35] [Applause]
[35:48] [Music]
[35:55] oh J
[35:59] [Applause]
[36:06] be
[36:13] [Music]
[36:24] [Applause]
[36:26] [Music]
[36:31] b b
[36:33] [Music]
[36:44] [Music]
[37:00] [Applause]
[37:02] [Music]
[37:26] my
[37:27] [Music]
[37:43] see
[37:49] [Music]
[38:09] me
[38:11] [Music]
[38:34] oh hallelu
[38:36] [Music]
[38:45] [Music]
[38:59] [Music]
[39:06] [Music]
[39:18] Hallelujah
[39:23] again Hal Hallelujah
[39:27] [Music]
[39:34] time
[39:50] [Music]
[39:55] [Music]
[40:05] [Music]
[40:10] huj
[40:14] [Music]
[40:20] [Music]
[40:33] iall
[40:38] [Music]
[40:54] [Music]
[41:11] [Music]
[41:13] ience the conference let's give
[41:17] [Music]
[41:28] wece
[41:30] [Music]
[41:51] mother the H the
[42:02] [Music]
[42:08] [Music]
[42:12] [Applause]
[42:26] she never
[42:35] [Music]
[42:55] is
[42:58] sh
[43:09] [Music]
[43:16] sh the
[43:23] [Music]
[43:32] [Music]
[43:37] [Applause]
[43:40] [Music]
[43:50] one this one more time
[43:56] [Music]
[44:08] [Music]
[44:13] [Applause]
[44:18] [Music]
[44:21] oh
[44:25] hallelujah oh what
[44:30] let's just sing a few worshiping songs
[44:32] take three hymns then right at the end
[44:34] of three hyms I'll ask Pastor Edgar to
[44:37] nominate One Pastor who will open with
[44:40] the word of
[44:41] prayer let
[44:52] your the holy
[44:54] [Music]
[45:08] [Music]
[45:14] take oh
[45:19] Hallelujah my
[45:29] youring
[45:31] [Music]
[45:38] water
[45:42] my your ho Spirit come and
[45:51] take every situation
[45:56] [Music]
[46:11] [Music]
[46:20] I say
[46:21] [Music]
[46:24] Jesus we calling on you Jes
[46:32] [Music]
[46:38] we're lifting up our voices we say
[46:41] father
[46:50] [Music]
[46:54] [Applause]
[46:55] [Music]
[46:58] all of us
[47:00] [Music]
[47:15] now and
[47:21] [Music]
[47:31] [Music]
[47:37] let's say
[47:40] [Music]
[47:45] Jesus up your name
[47:55] [Music]
[48:04] [Music]
[48:09] [Applause]
[48:15] [Music]
[48:22] father your life to Jesus
[48:31] [Music]
[48:41] you you give your life
[48:45] [Music]
[48:47] to
[48:51] you you
[48:54] will with
[48:56] [Music]
[48:59] and with
[49:01] [Music]
[49:08] him we sing
[49:12] [Music]
[49:25] Jesus let's say we call him the father
[49:28] we call Father
[49:35] [Music]
[49:42] [Applause]
[49:43] [Music]
[49:48] father oh
[49:51] [Applause]
[49:53] hallelujah thank you oh my
[50:00] father
[50:03] [Music]
[50:05] foring
[50:09] youring your spirit
[50:11] [Music]
[50:29] we say thank you oh my
[50:33] father
[50:35] you oh
[50:42] my
[50:46] for your
[50:48] [Music]
[51:02] [Music]
[51:06] everybody in this house say thank you
[51:09] body we say thank you Lord
[51:21] [Music]
[51:26] I your
[51:28] [Music]
[52:11] [Music]
[52:23] oh
[52:29] we thank you
[52:34] [Music]
[52:39] [Applause]
[52:42] [Music]
[52:48] [Music]
[52:50] Lord your
[52:53] [Music]
[53:14] oh my God
[53:32] [Music]
[53:46] keeping your spirit
[53:49] [Music]
[54:12] say I know the master of the wind and I
[54:15] know the maker of the rain you can come
[54:17] all
[54:18] Stones he
[54:22] [Music]
[54:38] almost my
[54:44] [Music]
[54:52] B in my
[54:56] [Music]
[55:00] I
[55:01] [Music]
[55:15] have I know the
[55:23] my the
[55:32] [Music]
[55:36] my he can come St he can come
[55:44] St
[55:49] shine I know master
[55:56] [Music]
[56:10] my
[56:16] [Music]
[56:24] soul heart
[56:27] [Music]
[56:32] bring I want to hear
[56:34] every I know the master of I know the
[56:40] master
[56:45] [Music]
[56:53] of we
[57:03] [Music]
[57:09] sh every in
[57:12] house I
[57:16] know I
[57:19] [Music]
[57:24] know I know
[57:32] I
[57:35] [Music]
[57:46] jesus can we sing one more
[57:51] time I know
[57:56] I know the master
[58:02] of
[58:08] I let's say Jesus
[58:19] come can you s it one more time he's the
[58:23] master of the Wom
[58:27] every situation in the
[58:30] head I
[58:34] [Music]
[58:41] know I know
[58:43] the I know
[58:50] the he can
[58:52] come he can come
[59:01] [Music]
[59:10] Jesus
[59:12] [Music]
[59:18] come
[59:22] sh I know the
[59:26] [Music]
[59:34] Jesus and the to sh
[59:40] [Music]
[59:48] [Music]
[59:50] [Applause]
[59:57] let us
[59:58] pray our blessed Heavenly Father we come
[1:00:01] once more this
[1:00:03] afternoon thanking you Lord Jesus Christ
[1:00:05] for what you did oh Father for us in the
[1:00:07] morning we bless you oh Lord Jesus
[1:00:09] Christ because we know you are still the
[1:00:11] same and you're able father to give more
[1:00:14] father unto us thank you oh God for the
[1:00:18] healing thank you Lord Jesus Christ for
[1:00:20] answering the prayers of your children
[1:00:22] or father in the morning and we are
[1:00:24] committing or father this afternoon in
[1:00:26] your hands go that oh Lord may you come
[1:00:29] down again and speak to us father
[1:00:31] through your vessel that Lord father you
[1:00:33] have set for us in this afternoon we
[1:00:36] pray for your blessings oh Father to
[1:00:37] come through him oh God unto us and that
[1:00:41] Lord May dwell in your presence or
[1:00:43] Master this afternoon we look to you and
[1:00:45] we are asking for your mercy we are
[1:00:48] thankful Lord Jesus Christ because your
[1:00:49] father this message is true and oh God
[1:00:52] Master we are rejoicing because of
[1:00:54] Master you you you spoke un to us
[1:00:56] through your servant that Lord or father
[1:00:58] he saw us or father beyond the curtain
[1:01:00] of time that's why we are rejoicing or
[1:01:03] father even in this hour because we know
[1:01:06] you are in control of us may your name
[1:01:09] of Master be honored this afternoon and
[1:01:11] of Father we pray you start with us and
[1:01:14] end with us oh God in Jesus Christ's
[1:01:17] name
[1:01:22] amen God bless you sir we may take our
[1:01:24] seats amen
[1:01:26] um
[1:01:27] all people who are here to testify if
[1:01:30] they can all of them all four items can
[1:01:34] they please stand on from their seats
[1:01:37] and use the door to just be standing
[1:01:38] backstage amen if they can just walk
[1:01:41] that way right now
[1:01:45] amen sister Hana davidon choir let have
[1:01:49] SW youth choir choir
[1:01:56] [Music]
[1:02:13] [Music]
[1:02:22] God bless you Saints
[1:02:29] [Music]
[1:02:31] upon my
[1:02:34] [Music]
[1:02:37] Earth and cover the
[1:02:40] face of my
[1:02:46] deep move Spirit Ro upon my Earth
[1:02:57] fluty
[1:02:59] Wings
[1:03:00] coming
[1:03:04] now king of all
[1:03:08] light drive away my night let this new
[1:03:16] day be
[1:03:22] realiz walk in the light he is is the
[1:03:26] light and you will become the
[1:03:29] [Music]
[1:03:31] light walk in the light he is the light
[1:03:36] and you will become the
[1:03:39] light walk in the light he is the light
[1:03:44] and you will become the
[1:03:48] light walk in the light he is the light
[1:03:53] and you will become the light
[1:03:58] let there be no part dark in
[1:04:05] me Father take
[1:04:08] over my
[1:04:11] [Music]
[1:04:14] soul and let the glory that I once
[1:04:17] shared with
[1:04:19] the long
[1:04:23] ago be now away
[1:04:26] aen in
[1:04:29] [Music]
