date,status,speaker,title,url,last_checked,language,type,description,duration,church,first_scraped,video_status,video_removed_date
2025-12-27,No Transcript,,2025.12.27M The Ministry of The Seventh Seal Angel,https://www.youtube.com/watch?v=WYMVBXw62vs,2026-01-25,Unknown,Church Service,,0.0,Mamelodi Tabernacle,2026-01-25,available,
Unknown Date,No Transcript,,2025 12 27E The Ministry of The Seventh Seal Angel Vol 2,https://www.youtube.com/watch?v=GJGxgyrpShw,2026-01-25,Unknown,Church Service,,0.0,Mamelodi Tabernacle,2026-01-25,available,
2025-01-28,No Transcript,,2025-01-28 The Ministry of The Seventh Seal Angel Vol 3,https://www.youtube.com/watch?v=79JYpji-lc8,2026-01-25,Unknown,Church Service,,0.0,Mamelodi Tabernacle,2026-01-25,available,
2026-01-19,No Transcript,,Mamelodi Church Singing - 18 01 2026,https://www.youtube.com/watch?v=h0dmdTC38w8,2026-01-25,Unknown,Short Clip,Sunday Morning Service,28.0,Mamelodi Tabernacle,2026-01-25,available,
2026-01-24,Success,Precious Name,Mamelodi Church Instrumental,https://www.youtube.com/watch?v=Ow3-Q-A7pIQ,2026-01-25,Unknown,Full Sermon,,0.0,Mamelodi Tabernacle,2026-01-25,available,
2026-01-22,Success,,2021 06 13 The Order of His Coming To The Gentiles And To The Jews Vol 13,https://www.youtube.com/watch?v=OjovKouxRoY,2026-01-25,English,Church Service,,173.0,Mamelodi Tabernacle,2026-01-22,available,
2026-01-21,Success,,2026-01-21 The East Gate Mystery Part 2 of 2,https://www.youtube.com/watch?v=9b-axj9HfiY,2026-01-25,English,Church Service,,50.0,Mamelodi Tabernacle,2026-01-21,available,
2026-01-18,Success,,2026.01.18 Be Settled And Know Who You Are.,https://www.youtube.com/watch?v=FWVRtWRNOGc,2026-01-25,English,Church Service,,199.0,Mamelodi Tabernacle,2026-01-18,available,
2021-06-06,Success,,2021-06-06 The Order of His Coming To The Gentiles And To The Jews Vol 12,https://www.youtube.com/watch?v=WTTHEbLefj4,2026-01-24,English,Church Service,,229.0,Mamelodi Tabernacle,2026-01-16,available,
2026-01-16,Success,,2026 01 11 The Children of The Light Vol 2,https://www.youtube.com/watch?v=pNO5q52hDOw,2026-01-24,English,Church Service,,214.0,Mamelodi Tabernacle,2026-01-16,available,
2026-01-14,Success,Unknown Speaker,Mamelodi Church Instrumental,https://www.youtube.com/watch?v=_IOPowRh9Ns,2026-01-25,Unknown,Full Sermon,,0.0,Mamelodi Tabernacle,2026-01-25,available,
2026-01-14,Success,,2026-01-14 The East Gate Mystery Part 1 of 2,https://www.youtube.com/watch?v=DqWEXgPRiFY,2026-01-21,English,Church Service,,45.0,Mamelodi Tabernacle,2026-01-15,available,
2026-01-12,Success,Unknown Speaker,Mamelodi Church Singing,https://www.youtube.com/watch?v=2iZW5wmuBa8,2026-01-25,Unknown,Full Sermon,,0.0,Mamelodi Tabernacle,2026-01-25,available,
2026-01-10,No Transcript,Unknown Speaker,2026.01.10 Funeral Service of Bro Stanford Malumane.,https://www.youtube.com/watch?v=cavxCrB_wIc,2026-01-16,Unknown,Memorial Service,,0.0,Mamelodi Tabernacle,2026-01-16,available,
2026-01-09,No Transcript,Unknown Speaker,2026.01.09 Memorial Service of Bro Stanford Malumane.,https://www.youtube.com/watch?v=gJSwG96kPl8,2026-01-16,Unknown,Memorial Service,,0.0,Mamelodi Tabernacle,2026-01-16,available,
2026-01-09,No Transcript,,Mamelodi Church Singing - 04 01 2026,https://www.youtube.com/watch?v=ocQPqrDI_ug,2026-01-16,Unknown,Short Clip,,22.0,Mamelodi Tabernacle,2026-01-16,available,
2025-12-06,No Transcript,Unknown Speaker,2025.12.06  Funeral Service of  Jabulile Njivashe,https://www.youtube.com/watch?v=cEj-FrCjBaA,2026-01-16,Unknown,Memorial Service,,0.0,Mamelodi Tabernacle,2026-01-16,available,
2025-12-05,No Transcript,Unknown Speaker,2025.12.05  Memorial Service of  Jabulile Njivashe,https://www.youtube.com/watch?v=8xPpWXB0OGM,2026-01-16,Unknown,Memorial Service,,0.0,Mamelodi Tabernacle,2026-01-16,available,
2025-11-30,No Transcript,Masete Venue,2025.11.30  -  Placing Of  The Son.,https://www.youtube.com/watch?v=vILnpt6pKHQ,2026-01-16,Unknown,Church Service,Preacher:  Deacon Masete Venue: Mamelodi Tabernacle,154.0,Mamelodi Tabernacle,2026-01-16,available,
Unknown Date,No Transcript,Unknown Speaker,2025.11. 22  - Funeral Service Of Bro Philemon Mabunda,https://www.youtube.com/watch?v=VGSOul_PwCQ,2026-01-16,Unknown,Memorial Service,,0.0,Mamelodi Tabernacle,2026-01-16,available,
Unknown Date,No Transcript,Unknown Speaker,21-11-2025 Memorial Service of Brother Philemon  Mabunda,https://www.youtube.com/watch?v=BnlzgOC_yd0,2026-01-16,Unknown,Memorial Service,,0.0,Mamelodi Tabernacle,2026-01-16,available,
2025-10-31,No Transcript,Unknown Speaker,2025.10.31 Memorial Service of Sis Salome Thema,https://www.youtube.com/watch?v=M6qSd9FBdNo,2026-01-16,Unknown,Memorial Service,,0.0,Mamelodi Tabernacle,2026-01-16,available,
2025-10-11,No Transcript,Nkosinathi Nyangombe,2025.10.11-  Wedding  Bro Nkosinathi Nyangombe &  Sis Lesedi  Dladla,https://www.youtube.com/watch?v=erIJFL8xLL0,2026-01-16,Unknown,Wedding,Venue: Soshanguve Smart School,205.0,Mamelodi Tabernacle,2026-01-16,available,
2025-09-21,No Transcript,Makuwa Venue,2025.09.21 -  The Battle for Possession or Occupation,https://www.youtube.com/watch?v=3CjQaVsP9sg,2026-01-16,Unknown,Church Service,Preacher: Pastor Makuwa Venue: Mamelodi Tabernacle,198.0,Mamelodi Tabernacle,2026-01-16,available,
2025-09-14,No Transcript,Neo Makgareetsa,2025.09.14 . Simultaneous Appearance Of Our Lord Jesus Christ .Vol 5,https://www.youtube.com/watch?v=sIWxU6YW8uY,2026-01-16,Unknown,Church Service,Preacher : Elder Neo Makgareetsa Venue: Mamelodi Tabernacle,148.0,Mamelodi Tabernacle,2026-01-16,available,
2025-07-26,No Transcript,Unknown Speaker,2025.07.26 - Funeral Service of Sis Tshebesebe,https://www.youtube.com/watch?v=cxn_MVjPleY,2026-01-16,Unknown,Memorial Service,,109.0,Mamelodi Tabernacle,2026-01-16,available,
2025-06-29,No Transcript,Peter Skosana,2025.06.29 - Watch the Reaction.,https://www.youtube.com/watch?v=LSo75_wcK64,2026-01-16,Unknown,Church Service,Preacher : Elder Peter Skosana Venue :   Mamelodi Tabernacle,184.0,Mamelodi Tabernacle,2026-01-16,available,
2025-06-14,No Transcript,Makuwa Venue,2025.06.14 - 10th Wedding Anniversary celebration of Sylvester & Queen Moraka.,https://www.youtube.com/watch?v=VoS2cEhnv60,2026-01-16,Unknown,Wedding,Preacher: Pastor Makuwa Venue:   Mamelodi Tabernacle Text: Renewal of Vows,187.0,Mamelodi Tabernacle,2026-01-16,available,
2025-04-06,No Transcript,,2025.04.06 - A man in the image of God.,https://www.youtube.com/watch?v=HSQTUFvOOEw,2026-01-16,Unknown,Church Service,,206.0,Mamelodi Tabernacle,2026-01-16,available,
2025-02-02,No Transcript,,2025.02.02 The Signs of what is going on in our time.,https://www.youtube.com/watch?v=Kli61IZM7rE,2026-01-16,Unknown,Church Service,,218.0,Mamelodi Tabernacle,2026-01-16,available,
2024-11-24,No Transcript,,2024.11.24.  Secret Mystery,https://www.youtube.com/watch?v=y3RPVKVD2Rw,2026-01-16,Unknown,Church Service,Title:  Venue: Mamelodi Tabernacle,188.0,Mamelodi Tabernacle,2026-01-16,available,
2024-10-25,No Transcript,Unknown Speaker,2024.10.25. Memorial Service of Sister Rita Vuma.,https://www.youtube.com/watch?v=S7kac4faIeg,2026-01-16,Unknown,Memorial Service,Venue: Soshanguve,106.0,Mamelodi Tabernacle,2026-01-16,available,
2024-05-25,No Transcript,Unknown Speaker,25.05.2024 Funeral Service of Sister Doris Nkgapele,https://www.youtube.com/watch?v=ureln4PhOxM,2026-01-16,Unknown,Memorial Service,,113.0,Mamelodi Tabernacle,2026-01-16,available,
2024-04-26,No Transcript,Unknown Speaker,26.04.2024  Funeral Service of Bro Victor Moholwa,https://www.youtube.com/watch?v=oEvnl4qe07U,2026-01-16,Unknown,Memorial Service,,108.0,Mamelodi Tabernacle,2026-01-16,available,
2022-04-24,No Transcript,Israel Nkodima,24-04-2022 - Is my Name There?  (English-Zulu Channel),https://www.youtube.com/watch?v=3DyoFAgx0XI,2026-01-16,Unknown,Church Service,Title: Is my Name There?  Date: 24.04.2022   Venue: Mamelodi Preacher: Pastor Israel Nkodima,212.0,Mamelodi Tabernacle,2026-01-16,available,
2022-01-30,No Transcript,Nkodima,30.01.2022  The Rapture (English-Zulu Channel),https://www.youtube.com/watch?v=GwhYZ9Ypuxg,2026-01-16,Unknown,Church Service,Title: The Rapture Text: The calling of the bride to the feast in the air -1 Date: 30.01.2022 Venue: Mamelodi Preacher: Pastor Nkodima,184.0,Mamelodi Tabernacle,2026-01-16,available,
2025-12-27,No Transcript,,Mamelodi Church Singing - 25 12 2025,https://www.youtube.com/watch?v=2zjlIVwOA1U,2026-01-16,Unknown,Short Clip,,22.0,Mamelodi Tabernacle,2026-01-16,available,
Unknown Date,No Transcript,Unknown Speaker,2025 09 06 Funeral Service of Sis Sarah Segauke,https://www.youtube.com/watch?v=Nf0PAgvp6rU,2026-01-16,Unknown,Memorial Service,,0.0,Mamelodi Tabernacle,2026-01-16,available,
2025-07-13,No Transcript,Unknown Speaker,2025-07-13 Funeral Service of Thando Mvelo,https://www.youtube.com/watch?v=wqr3oCyPsAE,2026-01-16,Unknown,Memorial Service,,0.0,Mamelodi Tabernacle,2026-01-16,available,
2025-12-15,No Transcript,,Mamelodi Church instrumental - Jesus keeps me near the cross,https://www.youtube.com/watch?v=0bbwZpQvcKk,2026-01-16,Unknown,Short Clip,,5.0,Mamelodi Tabernacle,2026-01-16,available,
2025-12-15,No Transcript,,Mamelodi Church Singing - 14 12 2025,https://www.youtube.com/watch?v=BZ8nB0IYr2o,2026-01-16,Unknown,Short Clip,,25.0,Mamelodi Tabernacle,2026-01-16,available,
2025-12-03,No Transcript,,Mamelodi Church Singing - 30 11 2025,https://www.youtube.com/watch?v=V2aDqZbCtSA,2026-01-16,Unknown,Short Clip,,23.0,Mamelodi Tabernacle,2026-01-16,available,
2025-11-16,No Transcript,,Mamelodi Church Singing - 16 11 2025,https://www.youtube.com/watch?v=K3JZG4whrTs,2026-01-16,Unknown,Short Clip,,22.0,Mamelodi Tabernacle,2026-01-16,available,
2025-11-01,No Transcript,Unknown Speaker,2025.11.01 Funeral Service of Sis Salome Thema - (Soweto),https://www.youtube.com/watch?v=dXDVnHyp6_g,2026-01-16,Unknown,Memorial Service,,0.0,Mamelodi Tabernacle,2026-01-16,available,
2025-10-29,No Transcript,,2025.10.29 The Second Man from Heaven Part 4 of 4,https://www.youtube.com/watch?v=SLmTsQ18sRg,2026-01-16,Unknown,Church Service,,0.0,Mamelodi Tabernacle,2026-01-16,available,
2025-10-22,No Transcript,,Mamelodi Church Singing - 19 10 2025,https://www.youtube.com/watch?v=oZwUVUB6vPw,2026-01-16,Unknown,Short Clip,,25.0,Mamelodi Tabernacle,2026-01-16,available,
Unknown Date,No Transcript,,The Second Man From Heaven part 3 of 4,https://www.youtube.com/watch?v=JA8rCKNyiBk,2026-01-16,Unknown,Church Service,,0.0,Mamelodi Tabernacle,2026-01-16,available,
Unknown Date,No Transcript,,The Second Man From Heaven prt 2,https://www.youtube.com/watch?v=_10WL_45bFU,2026-01-16,Unknown,Church Service,,0.0,Mamelodi Tabernacle,2026-01-16,available,
2025-10-08,No Transcript,,2025 10 08 The Second Man From Heaven,https://www.youtube.com/watch?v=A8E52E-zMcw,2026-01-16,Unknown,Short Clip,,43.0,Mamelodi Tabernacle,2026-01-16,available,
2025-10-07,No Transcript,,Mamelodi Church Singing - 05 10 2025,https://www.youtube.com/watch?v=WDMKM2GrI-Y,2026-01-16,Unknown,Short Clip,,25.0,Mamelodi Tabernacle,2026-01-16,available,
Unknown Date,No Transcript,,2025 10 01 Deity of Jesus Christ Part 2 of 2,https://www.youtube.com/watch?v=UoklSCm2PNQ,2026-01-16,Unknown,Church Service,,0.0,Mamelodi Tabernacle,2026-01-16,available,
2025-09-29,No Transcript,,Mamelodi Church Singing - 28 09 2025,https://www.youtube.com/watch?v=X4ezAi0p4Ww,2026-01-16,Unknown,Short Clip,,28.0,Mamelodi Tabernacle,2026-01-16,available,
Unknown Date,No Transcript,,2025 09 24 Deity of Jesus Christ Part 1 of 2,https://www.youtube.com/watch?v=ocGwudxAY40,2026-01-16,Unknown,Church Service,,0.0,Mamelodi Tabernacle,2026-01-16,available,
2025-09-22,No Transcript,,Mamelodi Church Singing - 21 09 2025,https://www.youtube.com/watch?v=2pGb1qGZO3I,2026-01-16,Unknown,Short Clip,,21.0,Mamelodi Tabernacle,2026-01-16,available,
2025-09-16,No Transcript,,Mamelodi Church Singing - 14 09 2025,https://www.youtube.com/watch?v=waimgpYQnt4,2026-01-16,Unknown,Short Clip,,22.0,Mamelodi Tabernacle,2026-01-16,available,
2025-09-10,No Transcript,,Mamelodi Church Singing - 07 09 2025,https://www.youtube.com/watch?v=iiaVuaHoWt4,2026-01-16,Unknown,Short Clip,,27.0,Mamelodi Tabernacle,2026-01-16,available,
2025-06-22,No Transcript,Peter Skosana,2025.06.22 Events After The Rapture Cape Town,https://www.youtube.com/watch?v=Xh6Y7fs0ADE,2026-01-16,Unknown,Church Service,Title: Events After The Rapture Preached by Elder Peter Skosana in Cape Town,191.0,Mamelodi Tabernacle,2026-01-16,available,
2025-07-19,No Transcript,,Mamelodi Church Singing - 13 07 2025,https://www.youtube.com/watch?v=ceG5OdlnqaM,2026-01-16,Unknown,Short Clip,,17.0,Mamelodi Tabernacle,2026-01-16,available,
2025-07-10,No Transcript,,Mamelodi Church Singing - 06 07 2025,https://www.youtube.com/watch?v=PFlLqVmmnOg,2026-01-16,Unknown,Short Clip,,24.0,Mamelodi Tabernacle,2026-01-16,available,
2025-07-09,No Transcript,,A Man In Christ Part 2 of 2  2025.07.09,https://www.youtube.com/watch?v=XZPJsz4VmDc,2026-01-16,Unknown,Short Clip,,50.0,Mamelodi Tabernacle,2026-01-16,available,
