date,status,speaker,title,url,last_checked,language,type,description,duration,church
2026-01-12,Success,Steven Shelley,Sunday Morning Service,https://www.youtube.com/watch?v=Js86F6NsKmE,2026-01-12,English,Church Service,"---  New Hope Revival Ministries with Pastor Steven L. Shelley  For over 40 years, we’ve ministered a prophetic message of deliverance and hope to the End-time Bride of Jesus Christ. Our confidence is in the unfailing Truth of God's Word—bringing total transformation to the life of the Believer. We hope our media will be a blessing to you, as the Lord Jesus Christ proves Himself the same yesterday, today and forever in your life!  We invite you to subscribe to our channel, and to like and share ",214,New Hope Revival Ministries
2026-01-05,Success,Steven Shelley,Sunday Morning Service,https://www.youtube.com/watch?v=S5X13f1myq0,2026-01-10,Unknown,Church Service,,174,New Hope Revival Ministries
2026-01-01,Success,Unknown Speaker,You Were Born With a Purpose,https://www.youtube.com/watch?v=aEsMplbgJaU,2026-01-12,Unknown,Church Service,,,New Hope Revival Ministries
2025-12-29,Success,Steven Shelley,Sunday Morning Service,https://www.youtube.com/watch?v=5o9PwnbYdng,2026-01-10,Unknown,Church Service,,163,New Hope Revival Ministries
2025-12-21,No Transcript,Steven Shelley,Sunday Morning Service,https://www.youtube.com/watch?v=9uTD0ysHTGM,2026-01-06,Unknown,Church Service,"---  New Hope Revival Ministries with Pastor Steven L. Shelley  For over 40 years, we’ve ministered a prophetic message of deliverance and hope to the End-time Bride of Jesus Christ. Our confidence is in the unfailing Truth of God's Word—bringing total transformation to the life of the Believer. We hope our media will be a blessing to you, as the Lord Jesus Christ proves Himself the same yesterday, today and forever in your life!  We invite you to subscribe to our channel, and to like and share ",188,New Hope Revival Ministries
2025-12-15,No Transcript,Steven Shelley,Sunday Morning Service,https://www.youtube.com/watch?v=qRZ_606EjXg,2026-01-06,Unknown,Church Service,"---  New Hope Revival Ministries with Pastor Steven L. Shelley  For over 40 years, we’ve ministered a prophetic message of deliverance and hope to the End-time Bride of Jesus Christ. Our confidence is in the unfailing Truth of God's Word—bringing total transformation to the life of the Believer. We hope our media will be a blessing to you, as the Lord Jesus Christ proves Himself the same yesterday, today and forever in your life!  We invite you to subscribe to our channel, and to like and share ",215,New Hope Revival Ministries
2025-12-07,Success,Steven Shelley,Sunday Morning Service,https://www.youtube.com/watch?v=RJdGO9Q5vmc,2026-01-10,Unknown,Church Service,,180,New Hope Revival Ministries
2025-12-07,Success,Steven Shelley,Saturday Evening Service,https://www.youtube.com/watch?v=Va31ZL_5uIw,2026-01-10,Unknown,Church Service,,143,New Hope Revival Ministries
2025-11-30,No Transcript,Steven Shelley,Sunday Morning Service,https://www.youtube.com/watch?v=ctc5j2st4Ks,2026-01-06,Unknown,Church Service,"---  New Hope Revival Ministries with Pastor Steven L. Shelley  For over 40 years, we’ve ministered a prophetic message of deliverance and hope to the End-time Bride of Jesus Christ. Our confidence is in the unfailing Truth of God's Word—bringing total transformation to the life of the Believer. We hope our media will be a blessing to you, as the Lord Jesus Christ proves Himself the same yesterday, today and forever in your life!  We invite you to subscribe to our channel, and to like and share ",196,New Hope Revival Ministries
2025-11-23,Success,Steven Shelley,Sunday Morning Service,https://www.youtube.com/watch?v=h8fTknkAalY,2026-01-10,Unknown,Church Service,,177,New Hope Revival Ministries
