################################################################################
TIMESTAMPED TRANSCRIPT
################################################################################
Source: 2020-09-30 - (9-30-20) Prove All Things, Pt. 13 - Jesse Smith - Jesse Smith.txt
Video ID: fU4rESqo4T4
Segments: 2278
URL: https://www.youtube.com/watch?v=fU4rESqo4T4
================================================================================
Click any timestamp to jump to that point in the video.
Format: [M:SS] or [H:MM:SS] followed by transcript text.
================================================================================

[0:00] [Music]
[0:11] [Music]
[0:16] [Applause]
[0:20] [Music]
[0:28] so
[0:30] [Music]
[1:24] this
[1:27] [Music]
[1:32] thank you
[1:42] [Music]
[1:52] first
[1:56] [Music]
[2:06] is
[2:09] [Music]
[2:20] is
[2:26] [Music]
[2:34] jesus
[2:40] jesus christ
[2:55] [Music]
[3:13] [Music]
[3:16] so
[3:19] [Music]
[3:44] yes
[3:50] [Music]
[3:58] so
[4:00] [Music]
[4:18] [Applause]
[4:22] [Music]
[4:26] right
[4:28] [Music]
[4:40] is
[4:42] [Music]
[4:54] is
[5:00] [Music]
[5:13] [Music]
[5:33] [Applause]
[5:33] [Music]
[5:36] oh
[5:38] [Music]
[5:50] see
[5:55] [Music]
[6:08] [Music]
[6:21] [Applause]
[6:22] [Music]
[6:29] [Music]
[6:40] [Music]
[7:00] foreign
[7:08] [Music]
[7:14] [Music]
[7:36] [Music]
[7:42] so
[7:44] [Music]
[7:49] [Music]
[7:56] so
[7:58] [Music]
[8:10] missing
[8:12] [Music]
[9:06] is
[9:10] [Music]
[9:16] [Music]
[9:19] [Applause]
[9:20] [Music]
[9:34] is
[9:51] [Music]
[10:02] so
[10:04] [Music]
[10:16] bye
[10:18] [Music]
[10:27] [Music]
[10:34] [Music]
[10:39] [Music]
[10:58] um
[11:00] [Music]
[11:01] [Applause]
[11:04] [Music]
[11:07] [Applause]
[11:10] [Music]
[11:12] oh
[11:14] [Music]
[11:26] hello
[11:28] [Music]
[11:40] my
[11:46] [Music]
[11:54] oh
[12:00] [Applause]
[12:06] [Music]
[12:08] is
[12:10] [Music]
[12:36] uh
[12:38] [Music]
[13:07] [Music]
[13:14] [Music]
[13:18] oh
[13:20] [Music]
[13:32] do
[13:36] [Music]
[13:49] we give you
[14:04] [Music]
[14:14] hey
[14:19] [Music]
[14:31] [Music]
[14:42] baby
[14:47] [Music]
[14:56] z
[14:59] [Music]
[15:10] yes
[15:12] [Music]
[15:24] now
[15:28] [Music]
[15:36] [Music]
[15:38] so
[15:41] [Music]
[15:52] so
[15:54] [Music]
[16:05] [Music]
[16:23] [Music]
[16:34] me
[16:39] [Music]
[17:01] [Music]
[17:08] [Music]
[17:30] me
[17:32] [Music]
[17:45] you
[17:48] [Music]
[17:51] [Applause]
[17:54] [Music]
[18:12] so
[18:18] [Music]
[18:33] [Music]
[18:38] [Music]
[18:52] [Music]
[18:55] [Applause]
[18:58] [Music]
[19:08] do
[19:10] [Music]
[19:22] yes
[19:25] [Music]
[19:47] i think we have the same ones from
[19:49] wednesday i was looking at or sunday
[19:50] rather i was looking at the list here
[19:54] let's just remember the saints in prayer
[19:56] i haven't talked to any of them let's
[19:58] remember brother brooks's family with
[19:59] their loss
[20:00] let's remember the dennis mcbride for
[20:03] the jose's family
[20:06] and with amen's job situation let's
[20:08] remember those in prayer
[20:10] anybody have any other requests they'd
[20:11] like to be remembered tonight
[20:16] well thank the lord
[20:23] why don't you play that uh that's why we
[20:25] praise him that's why we say that's why
[20:34] the song just came out of my heart there
[20:36] that's why we praise god because of all
[20:38] that he's done
[20:39] he gave himself
[20:50] [Music]
[21:00] is a blessing you know when we're sick
[21:03] there's hard times
[21:17] [Music]
[21:28] is
[21:33] anything else
[21:45] [Music]
[21:57] says
[21:58] [Music]
[22:24] oh
[22:26] [Music]
[23:00] third shift
[23:09] and there will be
[23:22] [Music]
[23:29] [Applause]
[23:30] [Music]
[23:34] foreign
[23:36] [Music]
[23:48] oh
[23:51] [Music]
[24:02] uh
[24:04] [Music]
[24:16] jesus
[24:20] that's why we praised
[24:32] [Music]
[24:44] so
[24:47] [Music]
[24:58] foreign
[25:01] [Music]
[25:12] um
[25:16] [Music]
[25:26] because
[25:31] [Music]
[25:47] [Applause]
[25:49] [Music]
[26:07] [Music]
[26:08] hello
[26:11] [Music]
[26:31] [Music]
[26:36] three
[26:46] [Music]
[27:04] is
[27:10] [Music]
[27:18] is
[27:21] [Music]
[27:26] but this is the most important job
[27:28] that's why i bow down
[27:34] receive your praise and lord we love you
[27:35] and bow down in our hearts and in
[27:38] our standing here lord we bow down
[27:48] [Music]
[28:00] hallelujah
[28:02] [Music]
[28:24] let's see what we're seeing here
[28:35] when i think about
[28:56] so
[29:00] [Music]
[29:10] me
[29:12] [Music]
[29:26] [Laughter]
[29:27] [Music]
[29:34] [Applause]
[29:36] [Music]
[29:57] [Music]
[30:00] [Applause]
[30:00] [Music]
[30:06] so
[30:14] [Music]
[30:20] so
[30:22] [Music]
[31:02] so
[31:09] [Applause]
[31:14] [Music]
[31:21] [Applause]
[31:22] [Music]
[31:30] so
[31:34] [Music]
[31:41] [Music]
[31:58] [Music]
[32:13] go back to this thought on proving all
