################################################################################
TIMESTAMPED TRANSCRIPT
################################################################################
Source: 2020-10-15 - (10-14-20) The Mystery of God's Will, Pt. 8 - Jesse Smith - Jesse Smith.txt
Video ID: t17cn_UTc_U
Segments: 2023
URL: https://www.youtube.com/watch?v=t17cn_UTc_U
================================================================================
Click any timestamp to jump to that point in the video.
Format: [M:SS] or [H:MM:SS] followed by transcript text.
================================================================================

[0:00] [Music]
[0:14] oh
[0:23] [Music]
[0:42] [Music]
[1:24] so
[1:28] [Music]
[1:52] so
[1:59] [Music]
[2:15] [Music]
[2:20] first
[2:22] [Music]
[2:34] things
[2:35] [Music]
[2:48] foreign
[2:53] [Music]
[3:02] two
[3:05] [Music]
[3:44] so
[3:47] [Music]
[4:15] [Music]
[4:29] [Music]
[4:37] [Music]
[4:54] so
[4:58] [Music]
[5:22] yes
[5:25] [Music]
[5:41] [Applause]
[5:41] [Music]
[6:02] [Music]
[6:02] [Applause]
[6:03] [Music]
[6:05] you
[6:11] [Music]
[6:17] [Music]
[6:27] [Music]
[6:39] [Music]
[7:00] so
[7:12] [Music]
[7:29] [Music]
[7:45] [Music]
[7:54] [Music]
[8:05] [Music]
[8:24] so
[8:27] [Music]
[8:37] [Music]
[8:43] [Music]
[8:49] [Music]
[9:06] so
[9:08] [Music]
[9:20] is
[9:27] [Music]
[9:34] oh
[9:38] [Music]
[9:40] he walks with me and talks with me
[9:44] a long life
[9:54] [Music]
[10:02] salvation
[10:06] [Music]
[10:16] is
[10:19] [Music]
[10:30] oh
[10:34] [Music]
[11:26] do
[11:28] [Music]
[11:40] do
[11:45] [Music]
[12:10] [Music]
[12:17] [Applause]
[12:19] [Music]
[12:22] bye
[12:25] [Music]
[12:51] you
[12:57] [Music]
[13:04] [Music]
[13:13] [Music]
[13:18] ready
[13:20] [Music]
[13:33] [Music]
[13:51] [Music]
[14:28] is
[14:33] [Music]
[14:42] so
[14:51] [Music]
[14:52] [Applause]
[14:54] [Music]
[15:24] so
[15:28] [Music]
[15:38] is
[15:43] [Music]
[16:26] [Music]
[16:35] you
[16:37] [Music]
[17:06] [Music]
[17:30] so
[17:33] [Music]
[17:38] [Music]
[17:45] [Music]
[17:58] do
[18:01] [Music]
[18:11] [Music]
[18:33] [Music]
[18:40] do
[18:43] [Music]
[18:57] [Applause]
[18:57] [Music]
[19:22] so
[19:26] [Music]
[20:05] [Music]
[20:25] [Applause]
[20:26] [Music]
[20:32] good
[20:34] [Music]
[20:40] [Music]
[21:14] [Music]
[21:18] what a friend like jesus
[21:30] [Music]
[21:52] [Music]
[21:56] now
[21:58] [Music]
