date,status,speaker,title,url,last_checked,language,type,description,duration,church,first_scraped,video_status,video_removed_date
2026-01-19,Success,In Each Age The Church Goes Astray Balanced,B.B. MODERN KORAH Invades Pulpits = Tape Churches,https://www.youtube.com/watch?v=konktokAX08,2026-01-20,Unknown,Full Sermon,,0,Pastor Jesse Smith,2026-01-20,available,
2026-01-17,Success,Meet in Private Room,"5 Qs About Church Order Gifts Tongues, Interpretations, Prophecy",https://www.youtube.com/watch?v=GVr0Fs0ZS3Q,2026-01-20,Unknown,Full Sermon,,0,Pastor Jesse Smith,2026-01-20,available,
2026-01-15,Success,Did THUS SAITH THE LORD Fail,The Donny Morton Reader's Digest Accusation v. William Branham,https://www.youtube.com/watch?v=H9vGTKX9ojs,2026-01-20,Unknown,Full Sermon,,0,Pastor Jesse Smith,2026-01-20,available,
2023-04-30,Success,Junction City (4.30.23),"Laying Foundational Bible Truth, Sermon 2",https://www.youtube.com/watch?v=aJZzQuKHENM,2026-01-20,Unknown,Full Sermon,,0,Pastor Jesse Smith,2026-01-20,available,
2020-11-22,Success,Simon Smith,(11-22-20AM) Sunday Evening Service,https://www.youtube.com/watch?v=fFP_c0wq6sU,2026-01-20,Unknown,Full Sermon,,0,Pastor Jesse Smith,2026-01-20,available,
2020-11-22,Success,Simon Smith,(11-22-20AM) Sunday Morning Worship,https://www.youtube.com/watch?v=zYTbEonYXD4,2026-01-20,Unknown,Full Sermon,,0,Pastor Jesse Smith,2026-01-20,available,
2020-11-19,Success,Jesse Smith,"(11-18-20) Blessings and Curses, Pt. 5",https://www.youtube.com/watch?v=7AX5t9sNmko,2026-01-20,Unknown,Full Sermon,,0,Pastor Jesse Smith,2026-01-20,available,
2020-11-16,Success,Jesse Smith,"(11-15-20) Blessings and Curses, Pt. 4",https://www.youtube.com/watch?v=lFbCjhgNKwY,2026-01-20,Unknown,Full Sermon,,0,Pastor Jesse Smith,2026-01-20,available,
2020-11-15,Success,Jesse Smith,"(11-15-20AM) Blessings and Curses, Pt. 3",https://www.youtube.com/watch?v=1zuQ9XueyII,2026-01-20,Unknown,Full Sermon,,0,Pastor Jesse Smith,2026-01-20,available,
2020-11-12,Success,Jesse Smith,(11-11-20) The Mystery of Israel's Spiritual Blindness,https://www.youtube.com/watch?v=NFpbWLHM4wQ,2026-01-20,Unknown,Full Sermon,,0,Pastor Jesse Smith,2026-01-20,available,
2020-11-08,Success,Nathaniel Sias,"(11-08-20) A Little Leaven, Leaveneth The Whole Lump",https://www.youtube.com/watch?v=RA4KJMDX9CU,2026-01-20,Unknown,Full Sermon,,0,Pastor Jesse Smith,2026-01-20,available,
2020-11-05,Success,Jesse Smith,(11-4-20) Praying For and Seeking Peace In Our Nation,https://www.youtube.com/watch?v=ZEn_mdUp1qY,2026-01-20,Unknown,Full Sermon,,0,Pastor Jesse Smith,2026-01-20,available,
2020-11-01,Success,Randy Vertin,(11-01-20) I Will Remember,https://www.youtube.com/watch?v=gZKcQ3KA2Ws,2026-01-20,Unknown,Full Sermon,,0,Pastor Jesse Smith,2026-01-20,available,
2020-10-31,Success,Randy Vertin,(10-31-20) Opening The Channels,https://www.youtube.com/watch?v=c9lUazuBwng,2026-01-20,Unknown,Full Sermon,,0,Pastor Jesse Smith,2026-01-20,available,
2020-10-31,Success,Randy Vertin,(10-30-20) The Contrast Of God In The Believer,https://www.youtube.com/watch?v=pFQmB15vvY8,2026-01-20,Unknown,Full Sermon,,0,Pastor Jesse Smith,2026-01-20,available,
2020-10-29,Success,Randy Vertin,(10-29-20) The Dark Comprehended Not The Light And The Contrast Thereof,https://www.youtube.com/watch?v=9DLQnhVq7GU,2026-01-20,Unknown,Full Sermon,,0,Pastor Jesse Smith,2026-01-20,available,
