################################################################################
TIMESTAMPED TRANSCRIPT
################################################################################
Source: 2019-05-31 - 2019-0531 PM - Annual International Convention - Isaias Diaz - Pedro Pineda - Pedro Pineda.txt
Video ID: FlKJGkSgKrg
Segments: 2151
URL: https://www.youtube.com/watch?v=FlKJGkSgKrg
================================================================================
Click any timestamp to jump to that point in the video.
Format: [M:SS] or [H:MM:SS] followed by transcript text.
================================================================================

[0:01] [Música]
[0:05] [Aplausos]
[0:08] [Música]
[0:18] ah
[0:21] [Música]
[0:25] ah
[0:27] [Música]
[0:40] no
[0:42] [Música]
[1:08] [Música]
[1:26] [Aplausos]
[1:27] [Música]
[2:01] a
[2:03] [Música]
[2:37] [Música]
[2:47] e
[2:47] [Música]
[2:55] [Aplausos]
[2:57] [Música]
[3:20] ah
[3:22] [Música]
[3:24] ay
[3:26] [Música]
[3:27] [Aplausos]
[3:29] [Música]
[3:32] [Aplausos]
[3:33] [Música]
[3:43] [Aplausos]
[3:44] [Música]
[3:51] ah
[3:53] ah
[3:53] [Aplausos]
[3:56] [Música]
[4:01] [Aplausos]
[4:02] ah
[4:04] [Aplausos]
[4:06] [Música]
[4:07] [Aplausos]
[4:09] [Música]
[4:15] [Aplausos]
[4:19] [Música]
[4:41] [Aplausos]
[4:43] [Música]
[4:44] [Aplausos]
[4:45] [Música]
[4:56] [Aplausos]
[4:58] [Música]
[5:00] [Aplausos]
[5:02] [Música]
[5:20] e
[5:20] [Música]
[5:25] no no no
[5:28] [Música]
[5:32] [Aplausos]
[5:34] [Música]
[5:40] [Música]
[5:42] [Aplausos]
[5:43] [Música]
[5:46] [Aplausos]
[5:49] eres
[5:53] [Aplausos]
[5:55] en él
[5:56] [Música]
[5:59] y
[6:00] [Música]
[6:06] a
[6:09] sí
[6:13] [Música]
[6:22] [Aplausos]
[6:24] [Música]
[6:25] [Aplausos]
[6:25] [Música]
[6:31] y
[6:34] i
[6:36] [Aplausos]
[6:37] [Música]
[6:42] [Aplausos]
[6:45] [Música]
[6:46] [Aplausos]
[6:48] [Música]
[6:49] [Aplausos]
[6:50] [Música]
[6:51] jajaja
[6:52] [Música]
[6:57] [Aplausos]
[7:04] [Música]
[7:06] [Aplausos]
[7:06] [Música]
[7:09] ah
[7:12] tal
[7:16] [Música]
[7:18] ah
[7:25] [Aplausos]
[7:25] [Música]
[7:37] [Música]
[7:49] [Música]
[7:57] hola
[7:58] [Aplausos]
[7:58] [Música]
[8:00] no
[8:02] [Aplausos]
[8:04] [Música]
[8:08] [Aplausos]
[8:13] [Música]
[8:17] ah
[8:22] [Música]
[8:29] y
[8:35] más
[8:37] [Música]
[8:40] [Aplausos]
[8:42] [Música]
[8:46] [Aplausos]
[8:48] [Música]
[8:50] ah
[8:51] [Música]
[8:55] ah
[8:59] [Aplausos]
[9:00] [Música]
[9:03] ah
[9:09] [Música]
[9:19] ah
[9:20] [Aplausos]
[9:24] [Música]
[9:27] [Aplausos]
[9:33] [Música]
[9:48] ah
[9:55] [Aplausos]
[9:57] yo
[10:00] [Aplausos]
[10:02] [Música]
[10:08] ah
[10:11] [Música]
[10:21] [Aplausos]
[10:25] ah
[10:30] ah
[10:41] [Música]
[10:46] [Aplausos]
[10:48] [Música]
[10:50] [Aplausos]
[10:52] [Música]
[10:54] [Aplausos]
[10:55] [Música]
[10:59] [Aplausos]
[11:05] [Música]
[11:11] [Aplausos]
[11:11] [Música]
[11:16] [Aplausos]
[11:17] [Música]
[11:21] [Aplausos]
[11:30] [Música]
[11:31] [Aplausos]
[11:33] [Música]
[11:39] ah
[11:41] ah
[11:45] ah
[11:48] [Música]
[11:56] y
[11:58] i
[12:01] [Música]
[12:10] [Aplausos]
[12:10] [Música]
[12:24] [Aplausos]
[12:28] [Música]
[12:47] qué dice
[12:54] tenemos valores después
[12:57] vamos a anclar nuestro rostro para poner
[13:00] este servicio de la mano del señor los
[13:01] padres sobre compensaciones en agencias
[13:03] dolor amantísimo y buen padre celestial
[13:06] below beringer hebbel y folder en esta
[13:09] tarde señor decir ni dolor primeramente
[13:11] señor te damos las gracias sr first we
[13:13] take your por la vida y la salud que nos
[13:15] permite este día de hoy señor del iphone
[13:18] out y que viene usted señor por habernos
[13:20] permitido señor venir a este lugar sr
[13:23] por otro lado y nuestro camps después
[13:25] señor ponemos este servicio en tus manos
[13:27] señor agentes que tú bendigas a cada
[13:30] persona que está quien esta tarde señor
[13:32] may ips ver sentenció decir ni porque te
[13:34] venimos buscando tiene esta mañana
[13:36] tratar de señor y que es we camps y king
[13:38] for di design y para ti es la honra y la
[13:40] gloria sr
[13:41] dijo no engorda señor ponemos a cada
[13:43] partícipe señor que va a participar en
[13:45] este servicio sr en tus manos señor no
[13:48] me place hs pendiente cuatro de cbs de
[13:51] los músicos sr los que van a predicar
[13:54] señor los que van a cantar sr
[13:58] ponemos a todos en tus manos niño para
[14:00] que tu señor hagas la honra tengo
[14:03] linda sweeting por día
[14:06] gracias por todo señor una vez más señor
[14:08] tranquilo permitir cualquier espíritu
[14:11] incorrecto señor que quiere entrar aquí
[14:13] señor lo sacamos en tu nombre precio
[14:19] gracias por todo señor y una vez más
[14:21] señor en el nombre precioso de tu
[14:23] difamado lo pedimos todo
[14:24] [Música]
[14:38] [Música]
[14:43] los hermanos hermanos olvida las
[14:48] tristezas hay miedos nuestras manos
[14:52] [Música]
[14:54] no no
[14:58] [Música]
[15:01] [Aplausos]
[15:06] esta soy de
[15:10] consejo los hermanos con el amor el
[15:16] miedo nuestras manos que olvidar los
[15:20] rectores todos
[15:33] [Aplausos]
[15:40] a mí
[15:44] soy más tarde donde el maestro
[15:50] [Música]
[15:53] de los puestos todos
[15:59] [Música]
[16:09] amigo
[16:13] y esos contenidos
[16:20] [Música]
[16:27] al entrar
[16:34] ah
[16:40] bien
[16:44] [Música]
[16:55] conforme
[17:00] no
[17:03] hola
[17:06] mejor
[17:19] hola
[17:22] volví
[17:25] aleluya
[17:31] ah
[17:33] no
[17:37] [Música]
[17:39] en el partido
[17:45] dónde está
[18:09] el mundo
[18:11] [Música]
[18:20] al mar
[18:26] a la baja
[18:48] a
[18:54] [Música]
[18:58] [Aplausos]
[19:07] sí
[19:09] ah
[19:12] a la baja
[19:27] no
[19:32] no no
[19:35] y nada
[19:42] [Música]
[19:47] dios los bendiga más en esta tarde a la
[19:50] sesión siguiente schilling vamos a estar
[19:51] entrando las peticiones
[19:54] james jones nacimientos de gracia ex que
[19:57] bing severamente tenemos la familia
[20:00] reyes de la gracia a dios por darle un
[20:02] año más de vida a su nieto adrián
[20:09] edwin
[20:11] también hay agradecimientos los
[20:13] siguientes hermanos le dan gracias al
[20:15] señor por todas las bendiciones la
[20:17] familia mendoza mendoza villa y la
[20:20] familia reyes la falta en retener este
[20:22] color folk de blessings también dos días
[20:24] en leh en el rey estable también tenemos
[20:27] una petición que el señor conoce lo
[20:30] sabrán spot quest la familia mendoza
[20:33] villa
[20:35] familia en 12 día son todas las
[20:38] peticiones que tenemos escritas la
[20:40] petición se brinde aun si cada uno
[20:42] nosotros tenemos cualquier necesidad en
[20:44] ebay a venir cualquier agradecimiento en
[20:47] ítems que ven dios conoce cada una de
[20:49] nuestras necesidades los nuevos diseños
[20:51] warning vamos vamos a orar el espray
[20:54] padre celestial evely father
[20:56] primeramente damos gracias por
[20:58] permitirnos estar en este lugar citó
[21:00] sólo le dijiste instalamos yenes 0 place
[21:02] han sido dispuestas peticiones des
[21:05] peticiones álbum red y agradecimientos
[21:07] antes que lens tú las conocidas padre
[21:10] jim jordan father y cada petición que
[21:12] ésta nosotros
[21:15] y también los que nos están viendo por
[21:18] internet
[21:18] [Música]
[21:20] tú conoces cada una de nuestras
[21:22] necesidades para el hielo y nieve 1
[21:24] vanish le pedimos que la contesta es
[21:26] conforme a tu gracia y misericordia para
[21:28] este sitio web también padre te pedimos
[21:31] por esta ofrenda que va ser recorrida el
[21:32] gastor fredes al fin del conflicto que
[21:35] la bendiga y la multipliquen el inglés
[21:37] en weymouth playa bendigas andador
[21:39] alegre que es el chef o'keeffe te lo
[21:41] pedimos en el nombre de jesucristo
[21:44] los escribe amén
[21:46] [Música]
[21:50] ah
[21:52] [Música]
[21:53] ah
[22:08] [Aplausos]
[22:14] no
[22:17] [Aplausos]
[22:19] [Música]
[22:23] en batalla
[22:27] vamos
[22:28] [Aplausos]
[22:30] tal vez
[22:33] aunque sí
[22:35] sí
[22:37] [Música]
[22:45] y
[22:49] mi despertar
[22:52] ah
[22:56] ah
[22:57] a mí
[23:01] o no
[23:08] mira
[23:10] a quien quiera
[23:12] no lo es
[23:17] [Música]
[23:17] [Aplausos]
[23:18] [Música]
[23:20] a mí
[23:24] a mí no
[23:28] [Música]
[23:34] as
[23:46] si me dejas
[23:52] [Aplausos]
[23:58] bueno
[24:01] no no no
[24:05] ah
[24:07] no
[24:09] [Música]
[24:16] el lugar
[24:21] [Música]
[24:28] [Música]
[24:29] y es que el mar
[24:34] 4 no no
[24:44] no no
[24:47] a mí
[24:58] d
[25:00] [Música]
[25:06] es muy fuerte
[25:07] [Aplausos]
[25:08] el señor es mi rey
[25:10] [Música]
[25:12] para tomar
[25:17] [Música]
[25:22] en el senado
[25:24] [Música]
[25:43] aquí
[25:45] [Aplausos]
[25:49] no estamos solos
[25:53] tu corazón del sector este
[26:10] [Música]
[26:15] [Aplausos]
[26:19] el trazo
[26:23] el momento
[26:27] como sales y celos y música los señores
[26:30] viven
[26:31] el señor es
[26:32] [Música]
[26:40] bien
[26:41] [Aplausos]
[26:46] yo soy
[26:50] y mis pasos
[26:53] él defiende sus brazos
[26:57] no lo sé
[26:59] [Aplausos]
[27:05] el señor
[27:09] [Música]
[27:10] si estás
[27:25] a mí
[27:27] [Aplausos]
[27:31] a lo mejor
[27:42] tablas y decir
[27:44] presiones bendiga en esta forma unos
[27:48] lugares por momento deja de presionar
[27:55] y tengo la oportunidad de presentar los
[27:59] que van a predicar antes de hacer eso
[28:06] ah
[28:08] hay unas personas que tengo que
[28:10] reconocer la razón que reconozco a estas
[28:14] personas
[28:16] we have
[28:18] slide house tenemos aquí este faro
[28:24] por un gran guerrero
[28:28] clapton marc
[28:31] en el show una persona que ha dejado una
[28:33] marca en cada corazón una persona que ha
[28:38] vivido la vida
[28:40] de white una persona que nos enseñó cómo
[28:43] vivir la vida
[28:44] que podíamos vivir la vida we can si lo
[28:48] podemos lograr
[28:51] él siempre apuntó
[28:54] a jesucristo
[29:00] como joven predicador para siempre
[29:04] mencionaba su nombre en one hour de aun
[29:06] cuando me bajaba y él me decía
[29:14] toda la honra y la gloria al señor
[29:16] jesucristo y no a mí
[29:20] pero la marca continúa donde vaya a
[29:27] decir mabel garcía bernabé garcía
[29:31] mi pastor mi apóstol vacas mi pastor
[29:39] pero en otro pastor
[29:43] seguramente tampoco espero otro postor
[29:46] yo ya tengo un apóstol
[29:50] podemos y nosotros tenemos sus cintas
[29:57] la respuesta está en las cintas para
[30:01] firewall pero sí recuerdo
[30:09] hace 23 años
[30:14] la primer dama y dije
[30:20] mi madre la gloria
[30:24] pero tú eres mi madre
[30:27] tú eres
[30:30] madre reconozco como mi madre y mi
[30:34] hermano bernabé
[30:37] no solamente como mi padre espirituales
[30:41] pero mi padre también es una persona que
[30:45] me creo es una persona que me regañó
[30:48] james ward kirchner medió una garantía
[30:51] de aquí y allá va ir la pme pero me
[30:54] permitió
[30:56] y perdón
[31:00] jesucristo y aquí tenemos a la primera
[31:05] dama quiero que ella se ponga de pie
[31:11] l
[31:18] gracias
[31:24] y también
[31:28] que dejó una marca solo en mi alma máter
[31:32] mis pensamientos
[31:37] pablo garcía el señor fue a tucson a
[31:41] visitar el manolo garcía con la mano
[31:46] pablo garcía
[31:48] le miré y escuché a man
[31:52] un hombre con bastante sabiduría
[31:56] pues bastante sabiduría no se sabía qué
[32:00] decir cuando sé cuándo decirlo
[32:04] sobre acción tenemos el honor al joven
[32:11] espero que se ponga de pie
[32:16] [Aplausos]
[32:24] la razón que yo hago esto
[32:30] enseñó a mi esposa
[32:33] hardware cómo vestirse what our que
[32:37] ponerse una web que no ponerse de borja
[32:42] pero lo que sucedió vígara web nos
[32:45] alejamos hay un archivo de esa clase de
[32:48] enseñanzas
[32:51] por eso comparto con el faro go back
[32:56] si tomo regresar a las cintas win it go
[32:58] back in here
[32:59] estamos regresar estuvieron lo que se
[33:02] nos ha sido enseñado la vida mostrada a
[33:09] nosotros por estos grandes hombres y de
[33:15] repente
[33:18] no sé quién fue más grande cuando fue
[33:22] mejor en 1978
[33:26] en derecho de amar con life pero esta
[33:28] persona que marcó mi vida también da
[33:31] igual
[33:38] 20 años antes que se les olvide lo que
[33:43] tú hacías
[33:46] bravos pero se me fue enseñado fue
[33:48] enseñando voy a estar como fui enseñado
[33:51] pues bywaters era por uno de los
[33:54] ancianos en el bloque ambiente me miraba
[33:59] esta expresión
